TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The verb phrase 'had been promised' includes an overt internal argument 'to Joseph', indicating a two-participant event directed from the external argument (Mary) toward the internal argument (Joseph), satisfying the ASTrns feature.",0,high,"The verb 'had been promised' is passive and licenses an external argument (the promiser), thus vetoing ASUncc.",0,high,"The verb phrase 'had been promised' licenses an internal argument (Joseph), indicating a passive construction with an internal argument, thus not instantiating ASUnrg.",0,high,"'had been promised' denotes a past state or condition resulting from a prior event, lacking a durative process phase or inherent endpoint unfolding over time.",0,high,'had been promised' describes a state or condition resulting from a prior event rather than a punctual boundary transition event.,0,high,"'had been promised' denotes a completed, bounded event with a defined result state (a promise made), not a dynamic durative activity.",0,high,"'had been promised' entails a resulting state of a promise being made, not a punctual single bounded event without change of state.",0,high,"'had been promised' is morphologically marked as past perfect progressive aspect indicating a completed event with dynamic change, thus not a stative situation.",0,high,The clause 'His mother Mary had been promised to Joseph in marriage' presents a factual past event without any indication that it is contrary to fact or counterfactual.,0.0,high,"The phrase 'had been promised' is stated affirmatively without any negation affecting it; the negation in the sentence applies to the marriage status, not to the promise.",0,high,"The clause with 'had been promised' contains no overt lexical, phrasal, or clausal temporal adverbial anchoring the event to a specific past time interval.",0,high,The phrase 'had been promised' entails a change of social/legal status (promise of marriage) that remains in effect at the reference time.,0,high,"The phrase 'had been promised' reports a past interaction without entailing a resulting state currently in effect, thus it does not encode a transition with a persisting resulting state.",0,high,'had been promised' describes a discrete past event (a promise made) rather than a continuous state or habitual series holding up to the reference time.,0,high,"The phrase 'had been promised' is a stative passive construction describing a state without a construed boundary or transition, and it does not present the situation as a bounded whole.",0,high,"'had been promised' asserts a realized past fact about Mary and Joseph, with no modal, conditional, future, or wish context indicating irrealis.",1,high,"'had been promised' is a past perfect passive construction with past-tense 'had' plus past participle, thus instantiating TLTS.",1,high,"The phrase 'had been promised' includes the auxiliary 'had been' plus a past participle 'promised', the subject 'His mother Mary' is the semantic patient, and the agent is omitted, matching passive morphology."
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,"The verb 'had commanded' introduces an overt internal argument 'him', indicating a two-participant event with an external agent and an affected internal argument.",0,high,"The verb 'had commanded' licenses an external argument (the angel of God as agent), so it does not instantiate ASUncc.",0,high,"The verb 'had commanded' licenses an internal argument ('him'), so it does not instantiate ASUnrg.",0,high,"'Had commanded' denotes a punctual act of issuing an order, a near-instantaneous change-of-state without a durative process or inherent endpoint.",0,high,'had commanded' describes a past state or instruction rather than a punctual boundary transition event; it does not denote an instantaneous change of state or crossing of a threshold.,0,high,"The verb phrase 'had commanded' entails a specific, inherent endpoint (the completion of the command), thus it is not a dynamic durative activity.",0,high,"'had commanded' entails a resulting state of having given an order, not a punctual single bounded event without change of state.",0,high,"'had commanded' denotes a bounded dynamic event (an act of commanding completed in the past), which involves eventive change and is incompatible with a stative reading.",0,high,"The clause presents the situation as having actually occurred in the actual world, with no indication that it is contrary to fact.",0.0,high,"The phrase 'had commanded' is presented affirmatively without any negation affecting it, indicating the event did occur.",0,high,The clause contains no overt temporal adverbial anchoring the event to a specific past time interval; 'when' introduces a temporal clause but does not itself serve as an explicit temporal adverbial anchoring the event of 'had commanded'.,1,high,The phrase 'had commanded' presents the event as part of Joseph's life history without asserting a resulting state holding at the reference time.,1,high,"The phrase 'had commanded' indicates a completed directive whose effect (Joseph doing what was commanded) persists at the reference time, thus encoding a resulting state.",0,high,"'had commanded' refers to a discrete, completed event (the angel's command) rather than a continuous state or habitual activity holding up to the reference time.",1,high,"The phrase 'had commanded' denotes a completed, bounded transition event (the act of commanding) without profiling internal temporal development, fitting the perfective aspect.",0,high,"The phrase 'had commanded' asserts a realized past event that Joseph acted upon, with no modal, conditional, future, or wish context indicating irrealis.",1,high,"'had commanded' is a past perfect construction formed with past-tense 'had' plus past participle, thus instantiating TLTS.",0,high,"The grammatical subject 'the angel of God' is the agent who commanded, and 'had commanded' is active past perfect without passive morphology or a by-phrase; thus, it is not a passive construction."
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,The verb phrase 'has come near' does not introduce an overt internal argument; it functions intransitively describing a state change without a patient affected by an external agent.,1,high,"The verb phrase 'has come near' encodes a one-participant event with no external argument and no direct object, indicating a change of location without an agent.",0,high,"The verb phrase 'has come near' denotes a change-of-location event where the sole argument functions as an internal argument (theme/patient), not an external agent, thus failing the ASUnrg feature.",0,high,"'has come near' denotes a punctual or near-instantaneous boundary transition without a durative process phase, matching the set_to_0_if condition for punctual change-of-state verbs.",1,high,"'has come near' denotes a punctual transition crossing a definable threshold (the kingdom of heaven approaching), fitting the achievement definition.",0,high,"'has come near' denotes a bounded perceptual/cognitive event marking the onset of awareness, with a specific inherent endpoint (the kingdom arriving near), thus not a dynamic durative unfolding activity.",0,high,"The phrase 'has come near' entails a change of state (a transition into a new resulting state of proximity), so it does not meet the semelfactive criteria.",0,high,"'has come near' denotes a bounded dynamic event involving change of state or event boundary, thus not a stative situation.",0,high,The clause presents the situation as having actually occurred ('the kingdom of heaven has come near') without any indication that it is contrary to fact.,0.0,high,"The sentence affirms that the kingdom of heaven has come near, with no negation present to indicate the event did not occur.",0,high,"The clause contains no overt lexical, phrasal, or clausal temporal adverbial anchoring the event to a specific past time interval.",0,high,"The phrase 'has come near' entails a change of location that holds at the reference time, indicating a current state rather than a life-history event.",1,high,"The phrase 'has come near' indicates a change of state with the kingdom of heaven now being near, a resulting state that holds at the reference time.",0,high,The phrase 'has come near' describes a punctual transition into a new state rather than a continuous situation holding from a past point up to the reference time.,1,high,"The phrase 'has come near' denotes a completed transition event presenting the situation as a bounded whole, without profiling internal temporal development.",0,high,"The phrase 'has come near' asserts the situation as realized in the actual world without modal, conditional, future, or wish contexts.",0,high,"The gram is formed with present-tense 'has' followed by the past participle 'come' with no additional modal, future, or progressive marking, matching simple present perfect.",0,high,The phrase 'has come near' is active intransitive with the subject as agent; no passive morphology or 'been' + past participle construction is present.
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,"The verb 'have approved' has an overt internal argument 'whom' referring to 'my Son', indicating a two-participant event with an external agent and an affected internal argument.",0,high,"The verb 'have approved' licenses an external argument (the subject 'I') acting as an agent approving the object 'my Son', so it does not instantiate ASUncc.",0,high,"The verb 'have approved' licenses an internal argument ('whom I have approved'), so it does not instantiate ASUnrg.",0,high,'have approved' denotes a punctual change-of-state (approval) without a durative process phase or inherent endpoint unfolding over time.,1,high,"'have approved' denotes a punctual change-of-state event marking the crossing of a threshold into a new result state (approval), fitting the achievement definition.",0,high,"'have approved' denotes a bounded cognitive event with a defined result state (approval), not a dynamic durative activity.",0,high,"The event 'have approved' entails a resulting state of approval, thus it involves a transition into a new resulting state, which vetoes semelfactive status.",0,high,"'have approved' denotes a bounded dynamic event of giving approval, which involves change of state and eventive unfolding, thus not an AktState.",0,high,The clause presents the situation as having actually occurred in the actual world without any indication that it is contrary to fact.,0.0,high,The phrase 'I have approved' is stated affirmatively without any negation; the event is presented as occurring.,0,high,"'Then' in the clause is a logical connector introducing speech, not a temporal adverb anchoring the event to a past time interval.",1,high,The phrase 'whom I have approved' presents the approval as an event that has occurred in the subject's life history without asserting a resulting state holding at the reference time.,1,high,"The phrase 'I have approved' indicates a change of state (approval granted) that holds at the reference time, implying the resulting state of approval persists.",0,high,The clause describes a discrete event of approval rather than a continuous state or habitual series holding up to the reference time.,1,high,'have approved' denotes a completed transition event presenting the approval as a bounded whole without internal temporal development.,0,high,"The phrase 'whom I have approved' asserts a realized fact in the actual world without any modal, conditional, future, or wish context, thus it is realis.",0,high,"The target 'have approved' is formed with present-tense 'have' followed by a past participle with no additional modal, future, or progressive marking, matching the simple present perfect construction.",0,high,"The grammatical subject 'I' is the semantic agent approving, and there is no passive morphology or auxiliary 'been' + past participle; the verb phrase 'have approved' is active."
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The verb phrase 'had been arrested' includes an overt internal argument 'John' who is affected by the event, fulfilling the two-participant event requirement with an external agent implied in the passive construction.",0,high,"The verb phrase 'had been arrested' is passive and licenses an external argument (the agent who arrested), thus it does not instantiate ASUncc.",0,high,"'had been arrested' licenses an internal argument (the person arrested), so it does not instantiate ASUnrg.",0,high,'had been arrested' denotes a punctual change-of-state (arrest) without a durative process phase leading to a defined endpoint.,1,high,"'had been arrested' denotes a completed, punctual change-of-state event marking the transition into a new result state (being under arrest), fitting the achievement definition.",0,high,"The phrase 'had been arrested' denotes a completed, bounded event with a defined result state, not a dynamic durative activity.",0,high,"'had been arrested' entails a resulting change of state (being in custody), so it is not semelfactive.",0,high,"'had been arrested' is morphologically progressive perfect and denotes a bounded change-of-state event (the arrest), thus not a stative situation.",0,high,"The clause presents the situation as having actually occurred in the actual world, with no indication it is contrary to fact.",0.0,high,"The phrase 'had been arrested' is stated affirmatively with no negation present in the sentence, so the event is presented as having occurred.",0,high,"The clause contains no overt lexical, phrasal, or clausal temporal adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The verb 'had been arrested' entails a change of state (being in custody) that holds at the reference time, as it sets the scene for the next event.",1,high,"The phrase 'had been arrested' indicates a completed change of state (from free to arrested) that holds at the reference time, with no negation or duration adverbial present.",0,high,"'had been arrested' describes a discrete, bounded event (an arrest) rather than a continuous state or habitual activity.",1,high,"'had been arrested' denotes a completed transition event (arrest) presented as a bounded whole, not profiling internal temporal development or stative situation.",0,high,"The phrase 'John had been arrested' is presented as a reported fact within the actual world, not as a hypothetical or projected situation.",1,high,"'had been arrested' is a past perfect passive construction with past tense 'had' plus past participle, thus instantiating TLTS.",1,high,"'had been arrested' includes the auxiliary 'had been' plus a past participle 'arrested', the subject 'John' is the semantic patient, and the agent is omitted, matching passive morphology."
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1,high,"The verb phrase 'have heard' includes an overt internal argument 'it', indicating a two-participant event with an external agent and an affected internal argument.",0,high,"The verb 'have heard' licenses an external argument (the subject 'You' as agent) and takes an overt direct object 'it', so it does not instantiate ASUncc.",0,high,"The verb 'have heard' licenses an internal argument ('it'), so it does not instantiate ASUnrg.",0,high,"'have heard' here denotes a punctual cognitive event of becoming aware of information, an instantaneous change of state without a durative process phase leading to a defined endpoint.",1,high,"'have heard' denotes a punctual perceptual transition into awareness, matching the achievement definition and positive examples.",0,high,"The verb phrase 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is a single completed occurrence without durative unfolding.",0,high,The phrase 'have heard' is a perfect aspect verb indicating a past experience or state rather than a single punctual event; it entails a durative or resultant state rather than a single bounded occurrence without change of state.,0,high,"The verb phrase 'have heard' denotes a bounded perceptual event marking the completion of awareness, which involves dynamic change and eventive unfolding, thus it is not an AktState.",0,high,The clause 'You have heard it was said' presents a factual past event without any indication of being contrary to fact or counterfactual.,0.0,high,"The phrase 'You have heard' is positive and not negated; the negation 'should not commit adultery' applies to the embedded content, not to 'have heard'.",0,high,"The clause contains no overt lexical, phrasal, or clausal temporal adverbial anchoring the event to a specific past time interval.",1,high,"The phrase 'You have heard' presents the event as part of the subject's life history (hearing something at least once) without asserting a resulting state, and no veto conditions apply.",0,high,The verb 'have heard' reports a past interaction without entailing that the information is currently in effect or that a resulting state holds at the reference time.,0,high,The clause describes a discrete event of hearing a statement rather than a continuous state or habitual activity.,0,high,"The phrase 'have heard' is a present perfect form of a stative verb indicating a state of having knowledge, without a construed boundary or transition event, thus not presenting a bounded whole.",0,high,"The phrase 'You have heard' asserts a realized fact in the actual world without modal, conditional, future, or wish contexts.",0,high,"The gram is formed with present-tense 'have' followed by a past participle with no additional modal, future, or progressive marking, matching simple present perfect.",0,high,"The grammatical subject 'You' corresponds to the semantic agent (doer) of 'have heard', indicating an active construction without passive morphology."
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,"The verb phrase 'have heard' includes an overt internal argument 'it', indicating a two-participant event with an external agent and an affected internal argument.",0,high,"The verb 'have heard' licenses an external agent argument (the experiencer) and the clause contains an overt direct object 'it', violating the ASUncc feature conditions.",0,high,"The verb 'have heard' licenses an internal argument ('it'), so it does not instantiate ASUnrg.",0,high,"'have heard' here denotes a punctual cognitive event marking the moment of becoming aware, without a durative process phase leading to a defined endpoint.",1,high,"'have heard' denotes a punctual perceptual transition into awareness, matching the achievement criteria.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is a single completed occurrence without durative unfolding.",0,high,"'have heard' entails a resulting state of having knowledge and is not a single punctual event without change of state, thus it does not instantiate AktSemel.",0,high,"The verb phrase 'have heard' denotes a bounded perceptual event marking the completion of awareness, which involves dynamic change and eventive unfolding, thus not instantiating AktState.",0,high,The clause 'You have heard it said' presents a factual past event without any indication of counterfactuality.,0.0,high,"The phrase 'You have heard it said' is affirmative and does not contain negation of the event 'have heard'; thus, the target gram is not negated.",0,high,The clause contains no temporal adverbial explicitly anchoring the event to a past time interval.,1,high,"The phrase 'You have heard' presents the event as part of the subject's life history without asserting a resulting state, matching the experiential use of present perfect.",0,high,"The phrase 'You have heard it said' reports a past interaction without entailing that the information is currently in effect, thus no resulting state holds at the reference time.",0,high,"'have heard' here refers to a discrete event of hearing a saying, not a continuous or habitual state holding over time.",1,high,"'have heard' here denotes a completed event of perceiving information, presenting the situation as a bounded whole without internal temporal development.",0,high,"'You have heard' asserts a realized fact in the actual world without modal, conditional, future, or wish contexts.",0,high,"The gram is formed with present-tense 'have' followed by a past participle 'heard' with no additional modal, future, or progressive marking, matching the simple present perfect construction.",0,high,'have heard' is active voice with the grammatical subject as agent and no passive morphology or 'been' auxiliary present.
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1,high,"The verb phrase 'have heard' includes an overt internal argument 'it', indicating a two-participant event directed from the external argument 'you' toward the internal argument 'it'.",0,high,"The verb 'have heard' licenses an external argument (the subject 'you' as agent) and takes an overt direct object 'it', violating the ASUncc feature conditions.",0,high,"The verb 'have heard' licenses an internal argument ('it'), so it does not instantiate ASUnrg.",0,high,'have heard' denotes a punctual change of state (coming into possession of information) without a durative process phase leading to a defined endpoint.,1,high,"'have heard' denotes a punctual perceptual transition into awareness, matching the achievement feature as a boundary point of transition.",0,high,"The verb phrase 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is a single completed occurrence without dynamic unfolding.",0,high,"'have heard' entails a resulting state of having knowledge or information, not a single punctual event without change of state, and it unfolds over a duration rather than as a single bounded occurrence.",0,high,"The verb phrase 'have heard' denotes a bounded perceptual event marking the completion of awareness, which involves dynamic change and eventive unfolding, thus incompatible with AktState.",0,high,The clause 'You have heard it said' presents a factual past event without any indication of counterfactuality or contrary-to-fact meaning.,0.0,high,The phrase 'You have heard' is positive and not negated; no negator negates the target gram 'have heard' in the sentence.,0,high,The clause contains no temporal adverbial explicitly anchoring the event to a specific past time interval.,1,high,"The phrase 'You have heard' presents the event as part of the subject’s life history without asserting a resulting state, matching the experiential use of 'have heard'.",0,high,The phrase 'have heard' reports a past perception event without entailing a resulting state that holds at the reference time.,0,high,"The phrase 'You have heard it said' refers to a discrete event of hearing something, not a continuous state or habitual series holding over time.",0,high,"'have heard' is a present perfect form of a stative verb indicating a resultant state of having knowledge, not a bounded transition event, and does not present a completed transition as a whole.",0,high,"'You have heard' asserts a realized fact in the actual world without modal, conditional, future, or wish context, so it is not irrealis.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle with no additional modal, future, or progressive marking, matching the simple present perfect construction.",0,high,"'have heard' is active voice with the grammatical subject as the agent ('You'), no passive morphology or 'been' auxiliary is present."
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,0,high,"The verb phrase 'have been paid' is passive and does not introduce an overt internal argument in the given sentence, thus it does not instantiate the ASTrns feature.",0,high,"The verb phrase 'have been paid' is passive and licenses an external argument (the agent who pays), thus it does not instantiate ASUncc.",0,high,"The verb phrase 'have been paid' licenses an internal argument (the recipient of payment), so it does not instantiate ASUnrg.",0,high,"'have been paid' denotes a punctual, completed transaction without a durative process phase or inherent endpoint unfolding over time.",0,high,"'have been paid' describes a completed state resulting from a durative process of payment, not a punctual boundary transition.",0,high,"The phrase 'have been paid' denotes a completed, bounded event with a defined result state, as indicated by 'already been paid in full', thus it is not a dynamic durative activity.",0,high,"The phrase 'have been paid' entails a resulting change of state (the payment has been completed), so it does not instantiate AktSemel.",0,high,"'have been paid' denotes a completed, bounded event indicating a change of state (payment completed), thus not a stative situation.",0,high,The clause 'they have already been paid in full' presents a factual past event without any indication of being contrary to fact or counterfactual.,0.0,high,"The phrase 'they have already been paid in full' affirms the occurrence of the event, so the target gram is not negated.",1,high,"The phrase 'already' is an overt lexical adverbial explicitly anchoring the event to a specific past time interval, satisfying the DtDTAM feature.",0,high,The phrase 'have been paid' entails a completed change of possession with the resulting state (having been paid) holding at the reference time.,1,high,The phrase 'have been paid' entails a completed transaction with the resulting state of payment currently holding at the reference time.,0,high,"'have been paid' describes a completed, discrete event (a past payment) rather than a continuous state or habitual series holding up to the reference time.",1,high,"The phrase 'have been paid' denotes a completed transition event presented as a bounded whole, indicating the payment has already occurred, matching positive examples like 'We have been discharged.'",0,high,"The phrase 'they have already been paid in full' asserts a realized fact in the actual world with no modal, conditional, future, or wish context.",0,high,"The gram 'have been paid' is formed with present-tense 'have' plus past participle with no additional modal, future, or progressive marking, matching the simple present perfect and thus set to 0.",1,high,"'have been paid' includes overt passive morphology with 'have been' + past participle, the subject 'they' is the semantic patient, and no copular or non-verbal predicate is present."
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The verb phrase 'have been paid' includes an overt internal argument 'in full' indicating the event affects a patient, thus instantiating ASTrns.",0,high,"The verb phrase 'have been paid' is passive and licenses an external agent (payer), thus failing the set_to_0_if conditions.",0,high,"The verb phrase 'have been paid' licenses an internal argument (the entity being paid), indicating a change-of-state event where the subject is the theme/patient, not an external argument.",0,high,"'have been paid' denotes a punctual, completed transaction without a durative process phase or inherent endpoint unfolding over time.",1,high,"'have been paid' denotes a punctual change-of-state event marking the completion of payment, an instantaneous transition into a new result state.",0,high,"'have been paid' denotes a completed, bounded event with a defined result state (payment completed), not a dynamic durative activity.",0,high,"The phrase 'have been paid' entails a resulting change of state (payment completed), so it does not instantiate AktSemel.",0,high,"'have been paid' is morphologically progressive perfect passive indicating a completed, bounded event (payment), which involves dynamic change and event boundary, thus not a stative situation.",0,high,The clause 'they have been paid in full' presents the situation as having actually occurred without any indication that it is contrary to fact.,1.0,high,"The phrase 'have been paid' is negated by 'I assure you they have been paid in full' in a sarcastic or ironic sense implying the event of being paid is not genuinely realized, consistent with the negative meaning in context.",0,high,"The clause contains no overt lexical, phrasal, or clausal temporal adverbial anchoring the event to a specific past time interval.",0,high,"The phrase 'have been paid in full' entails a completed change of possession with the resulting state holding at the reference time, thus it is not a life-history event.",1,high,The phrase 'have been paid in full' indicates a completed transaction with the resulting state of payment currently holding at the reference time.,0,high,"The phrase 'have been paid in full' describes a completed, bounded event (payment completed), not a continuous state or habitual series holding over time.",1,high,'have been paid' denotes a completed passive transition event presenting the situation as a bounded whole.,0,high,"The phrase 'they have been paid in full' asserts a realized fact in the actual world with no modal, conditional, future, or wish context.",0,high,"'have been paid' is formed with present-tense 'have' plus past participle with no additional modal, future, or progressive marking, matching simple present perfect.",1,high,"The phrase 'have been paid' shows overt passive morphology with 'have been' + past participle 'paid', and the subject 'they' is the semantic patient receiving the action, consistent with passive voice."
