TokenID,FullText,Target,run_id,model_provider,model_name,feature_name,permutation_type,permutation_component,annotation,confidence,explanation,error
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,20260224T212107Z_bba9b605,gemini,gemini-2.5-flash,DtExp,full,,,,,Model output is not valid JSON. JSONDecodeError: Expecting value: line 1 column 1 (char 0)
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,20260224T212107Z_bba9b605,gemini,gemini-2.5-flash,DtExp,full,,,,,Model output is not valid JSON. JSONDecodeError: Expecting value: line 1 column 1 (char 0)
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,20260224T212107Z_bba9b605,gemini,gemini-2.5-flash,DtExp,full,,,,,Model output is not valid JSON. JSONDecodeError: Expecting value: line 1 column 1 (char 0)
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,20260224T212107Z_bba9b605,gemini,gemini-2.5-flash,DtExp,full,,,,,Model output is not valid JSON. JSONDecodeError: Expecting value: line 1 column 1 (char 0)
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,20260224T212107Z_bba9b605,gemini,gemini-2.5-flash,DtExp,full,,,,,Model output is not valid JSON. JSONDecodeError: Expecting value: line 1 column 1 (char 0)
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,20260224T212107Z_bba9b605,gemini,gemini-2.5-flash,DtExp,full,,,,,Model output is not valid JSON. JSONDecodeError: Expecting value: line 1 column 1 (char 0)
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,20260224T212107Z_bba9b605,gemini,gemini-2.5-flash,DtExp,full,,,,,Model output is not valid JSON. JSONDecodeError: Expecting value: line 1 column 1 (char 0)
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,20260224T212107Z_bba9b605,gemini,gemini-2.5-flash,DtExp,full,,,,,Model output is not valid JSON. JSONDecodeError: Expecting value: line 1 column 1 (char 0)
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,20260224T212107Z_bba9b605,gemini,gemini-2.5-flash,DtExp,full,,,,,Model output is not valid JSON. JSONDecodeError: Expecting value: line 1 column 1 (char 0)
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,20260224T212107Z_bba9b605,gemini,gemini-2.5-flash,DtExp,full,,,,,Model output is not valid JSON. JSONDecodeError: Expecting value: line 1 column 1 (char 0)
