TokenID,FullText,Target,run_id,provider,model_name,feature_name_x,annotation,confidence,explanation,feature_name_y,error
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The target 'had been promised' does not introduce a result state, current state of affairs, physical change of location, permanent result, or ongoing situation, so it does not instantiate DtExp.",DtExp,
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The target 'had commanded' does not introduce a result state, current state of affairs, physical change of location, permanent result, or ongoing situation; therefore, it does not instantiate the feature DtExp.",DtExp,
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The target 'has come near' introduces a current state of affairs, which aligns with the negative examples where the feature DtExp is not instantiated.",DtExp,
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The target 'have approved' does not introduce a result state, current state of affairs, physical change of location, permanent result, or ongoing situation, as per the negative examples.",DtExp,
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The target 'had been arrested' introduces a result state [be in custody], which matches the negative example 'He has been arrested. (Introduces result state [be in custody] -> 0)'.",DtExp,
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The example 'have heard' does not introduce a result state, current state of affairs, physical change of location, permanent result, or ongoing situation, so it does not instantiate the feature DtExp.",DtExp,
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The target 'have heard' does not introduce a result state, current state of affairs, physical change of location, permanent result, or ongoing situation, so it does not instantiate DtExp.",DtExp,
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The target 'have heard' does not introduce a result state, current state of affairs, physical change of location, permanent result, or ongoing situation, as per the examples provided for negative annotation.",DtExp,
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The target 'have been paid' introduces a result state, similar to the negative examples provided.",DtExp,
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The target 'have been paid' introduces a result state, similar to the negative examples provided.",DtExp,
40006016,"» When you abstain from food , do not be like the hypocrites , with sad faces to be seen by men . They have received their reward .",have received,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The example 'They have received their reward' introduces a result state, which aligns with the negative examples provided, thus the annotation is 0.",DtExp,
40007028,"When Jesus had finished these words , the crowds were astonished at what he taught .",had finished,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The sentence 'When Jesus had finished these words' introduces a result state, similar to the examples in examples_negative, thus it does not instantiate DtExp.",DtExp,
40008010,"When Jesus heard it , he was amazed , and said to the crowd : » I tell you , I have not found such great faith in Israel .",have not found,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The target 'have not found' introduces a result state, similar to the negative examples provided, indicating DtExp is not instantiated.",DtExp,
40008029,"They screamed at him , saying : » What have we to do with you , Son of God ? Have you come to torment us before the time ? «",have you come,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The target 'have you come' describes a physical change of location that persists at reference time, similar to the negative examples.",DtExp,
40009008,"But when the people saw it , they marveled , and glorified God who had given such authority to men .",had given,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The example 'He has died. (Permanent result -> 0)' is similar to the target, as 'had given' describes a completed action with a lasting result, thus it does not instantiate DtExp.",DtExp,
40009016,» Why patch an old garment with cloth that has not been shrunk ? The patch shrinks and pulls away from the old cloth leaving a big hole .,has not been shrunk,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The target 'has not been shrunk' describes a state of the cloth, indicating that it has not undergone a physical change, similar to the negative examples.",DtExp,
40009022,"Jesus turned to see her and said : » Daughter , take courage ; your faith has made you well . « The woman was healed at that time .",has made you well,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The target 'has made you well' introduces a result state, similar to the negative examples provided.",DtExp,
40009033,"When the demon was cast out , the dumb man spoke . The crowd marveled , saying : » We have never seen anything like this in Israel ! «",have never seen,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The sentence 'We have never seen anything like this in Israel!' does not introduce a result state, current state of affairs, physical change of location, permanent result, or ongoing situation, so it does not instantiate the feature DtExp.",DtExp,
40010023,"» When they persecute you in this city , flee to the next . I tell you ; before you have gone through all the cities of Israel the Son of man will come .",have gone through,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The target 'have gone through' describes a physical change of location that persists at reference time, similar to the negative examples.",DtExp,
40011012a,"» From the days of John the Baptist until now , the kingdom of heaven has been man’s goal , and men of violence have attempted to take it by force .",has been,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The target 'has been' introduces a current state of affairs, similar to the negative examples provided.",DtExp,
40011012b,"» From the days of John the Baptist until now , the kingdom of heaven has been man’s goal , and men of violence have attempted to take it by force .",have attempted,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The target 'have attempted' does not introduce a result state, current state of affairs, physical change of location, permanent result, or ongoing situation, as per the negative examples.",DtExp,
40011021a,"» Woe to you , Chorazin ! Woe to you , Bethsaida ! If the mighty works had been done in Tyre and Sidon that were done in you , they would have repented long ago in sackcloth and ashes .",had been done,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The target 'had been done' does not introduce a result state, current state of affairs, physical change of location, permanent result, or ongoing situation, similar to the negative examples.",DtExp,
40011021b,"» Woe to you , Chorazin ! Woe to you , Bethsaida ! If the mighty works had been done in Tyre and Sidon that were done in you , they would have repented long ago in sackcloth and ashes .",would have repented,20260227T182819Z_8e66d1a1,gemini,gemini-2.0-flash-001,DtExp,0.0,high,"The target 'would have repented' does not introduce a result state, current state of affairs, physical change of location, permanent result, or ongoing situation; it describes a hypothetical action, so it does not instantiate DtExp.",DtExp,
