TokenID,FullText,Target,run_id,provider,model_name,feature_name_x,annotation,confidence,explanation,feature_name_y
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,20260226T152108Z_eb0e2efe,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'promised' entails a change of social/legal status that remains in effect at the reference time, so the annotation is 0.",DtExp
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,20260226T152108Z_eb0e2efe,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'commanded' does not focus on the occurrence of an experience at least once, but rather on the completion of the action, and the resulting state of obedience.",DtExp
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,20260226T152108Z_eb0e2efe,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb entails a change of location or state, and that resulting state holds at the reference time.",DtExp
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,20260226T152108Z_eb0e2efe,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, so the annotation is 0.",DtExp
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,20260226T152108Z_eb0e2efe,gemini,gemini-2.0-flash-001,DtExp,0,high,"The event 'John had been arrested' sets the scene for the next plot point ('Jesus withdrew'), and the resulting state of the event is relevant for subsequent discourse, so it is classified as non-experiential (0) according to the 'Narrative Progression' edge case.",DtExp
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,20260226T152108Z_eb0e2efe,gemini,gemini-2.0-flash-001,DtExp,1,high,"The verb 'hear' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",DtExp
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,20260226T152108Z_eb0e2efe,gemini,gemini-2.0-flash-001,DtExp,1,high,"The verb 'hear' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",DtExp
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,20260226T152108Z_eb0e2efe,gemini,gemini-2.0-flash-001,DtExp,1,high,"The verb 'hear' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",DtExp
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,20260226T152108Z_eb0e2efe,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as 'have been paid' implies they received payment and the benefit of that payment persists.",DtExp
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,20260226T152108Z_eb0e2efe,gemini,gemini-2.0-flash-001,DtExp,0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,DtExp
40006016,"» When you abstain from food , do not be like the hypocrites , with sad faces to be seen by men . They have received their reward .",have received,20260226T152108Z_eb0e2efe,gemini,gemini-2.0-flash-001,DtExp,1,high,"The verb 'have received' indicates the completion of an action and the clause implies that the hypocrites have already obtained their reward, marking it as a past experience.",DtExp
40007028,"When Jesus had finished these words , the crowds were astonished at what he taught .",had finished,20260226T152108Z_eb0e2efe,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'finish' entails a change of state, and in this context, it sets the scene for the next event, indicating narrative progression where the resulting state of the event is relevant for subsequent discourse.",DtExp
40008010,"When Jesus heard it , he was amazed , and said to the crowd : » I tell you , I have not found such great faith in Israel .",have not found,20260226T152108Z_eb0e2efe,gemini,gemini-2.0-flash-001,DtExp,1,high,"The gram is a negative Perfect ('have not found'), which functions as a claim about the absence of the event in the subject's history.",DtExp
40008029,"They screamed at him , saying : » What have we to do with you , Son of God ? Have you come to torment us before the time ? «",have you come,20260226T152108Z_eb0e2efe,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'come' entails a transition into a new physical location, and the subject remains at that location at the reference time.",DtExp
40009008,"But when the people saw it , they marveled , and glorified God who had given such authority to men .",had given,20260226T152108Z_eb0e2efe,gemini,gemini-2.0-flash-001,DtExp,0,medium,"The verb 'had given' entails a change of possession or social/legal status that remains in effect at the reference time, so the annotation is 0.",DtExp
40009016,» Why patch an old garment with cloth that has not been shrunk ? The patch shrinks and pulls away from the old cloth leaving a big hole .,has not been shrunk,20260226T152108Z_eb0e2efe,gemini,gemini-2.0-flash-001,DtExp,1,high,"The gram is a negative Perfect ('has not been shrunk'), which functions as a claim about the absence of the event in the subject's history.",DtExp
40009022,"Jesus turned to see her and said : » Daughter , take courage ; your faith has made you well . « The woman was healed at that time .",has made you well,20260226T152108Z_eb0e2efe,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb entails a change of state or location, and that resulting state holds at the reference time.",DtExp
40009033,"When the demon was cast out , the dumb man spoke . The crowd marveled , saying : » We have never seen anything like this in Israel ! «",have never seen,20260226T152108Z_eb0e2efe,gemini,gemini-2.0-flash-001,DtExp,1,high,"The gram is a negative Perfect ('have never seen'), which functions as a claim about the absence of the event in the subject's history.",DtExp
40010023,"» When they persecute you in this city , flee to the next . I tell you ; before you have gone through all the cities of Israel the Son of man will come .",have gone through,20260226T152108Z_eb0e2efe,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb entails a transition into a new physical location, and the subject remains at that location at the reference time.",DtExp
40011012a,"» From the days of John the Baptist until now , the kingdom of heaven has been man’s goal , and men of violence have attempted to take it by force .",has been,20260226T152108Z_eb0e2efe,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb entails a change of state or location, and that resulting state holds at the reference time.",DtExp
40011012b,"» From the days of John the Baptist until now , the kingdom of heaven has been man’s goal , and men of violence have attempted to take it by force .",have attempted,20260226T152108Z_eb0e2efe,gemini,gemini-2.0-flash-001,DtExp,0,high,"The verb 'attempted' entails a change of state or location, and that resulting state holds at the reference time.",DtExp
