TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The target 'had been promised' is passive, matching the example 'The world has been loved. (Passive -> 1)'.",1.0,high,"The target 'had been promised' is a copular 'be' clause, as in 'She has been queen for ten years', so it instantiates ASUncc.",0,high,"The target 'had been promised' does not fit any of the positive examples, as it is a passive construction and does not involve a subject performing an action like eating, flying, walking, weeping, or laboring.",0,high,"The target 'had been promised' does not fit any of the positive examples, as it does not involve a durative process leading to a defined goal, an 'in' adverbial, a gradual change of state, or directed motion toward a goal.",0.0,high,"The target 'had been promised' does not describe a punctual transition or instantaneous event, nor does it contain a specific time point adverbial, or a punctual perceptual transition, so it does not fit any of the positive examples.",0,high,"The target 'had been promised' does not describe a dynamic durative situation, 'for' adverbial, homogeneous situation, or iterative series of punctual events, so it does not instantiate AktAct.",0.0,high,The target 'had been promised' does not describe a single instantaneous event; it describes a state resulting from a prior event.,0,high,"The target 'had been promised' does not express a durative mental state, durative attribute, existence, static/persistent relation, or durative location as shown in the examples.",0,high,The target 'had been promised' does not match any of the examples for counterfactuals.,0,high,"The target gram 'had been promised' does not contain any direct syntactic negation, negative subject, or negative object, so it does not instantiate the ClNegPol feature.",1,high,"The target 'had been promised' is an example of the past perfect passive construction, which indicates an action completed before a specific point in the past, aligning with the 'Clausal -> 1' example in the positive examples.",0.0,high,"The target 'had been promised' does not instantiate any of the positive examples, which include frequency adverbials, entries in subject's life history, negative perfect, and perception focusing on occurrence rather than result state.",1.0,high,The target 'had been promised' implies that the promise to Joseph persisted at the reference time.,0.0,high,"The target 'had been promised' does not fit any of the positive examples, as it does not express activity with duration, iterative series over time, or a state with 'since'.",1,high,"The target 'had been promised' instantiates the feature TLAspPfv because it is a passive bounded transition, similar to the example 'We have been discharged. (Passive bounded transition -> 1)'.",0,high,"The target 'had been promised' does not express conditional/hypothetical, counterfactual, future/prediction, speculative, or optative meaning, so it does not instantiate TLMdIrr.",1,high,"The target 'had been promised' is an instance of the past perfect, which is marked as positive for TLTS based on the examples provided.",1,high,"The target 'had been promised' exhibits passive morphology, matching the examples in the positive examples CRI."
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,0,high,"The target 'had commanded' is not an overt object, passive, or ditransitive, so it does not instantiate the ASTrns feature.",0.0,high,"The target 'had commanded' is not an intransitive change of state, change of location without external argument, appearance/coming-into-being, or a copular 'be' clause, so it does not instantiate the ASUncc feature.",0,high,"The target 'had commanded' does not fit any of the positive examples, as it involves a transitive verb with an object ('him to do').",0,low,"The target 'had commanded' does not fit any of the positive examples, as it does not involve a durative process leading to a defined goal, an 'in' adverbial, a gradual change of state, or directed motion toward a goal; therefore, it is not annotated as 1.",0.0,high,"The target 'had commanded' does not fit any of the positive examples, as it does not represent a punctual transition or instantaneous event.",0,high,"The target 'had commanded' does not fit any of the positive examples, as it does not describe a dynamic durative situation, involve a 'for' adverbial, describe a homogeneous situation, or involve an iterative series of punctual events.",0.0,high,"The target 'had commanded' does not describe a single instantaneous event without change of state, so it does not instantiate AktSemel.",0,high,"The target 'had commanded' does not express a durative mental state, durative attribute, existence, static/persistent relation, or durative location, so it does not instantiate AktState.",0,high,The target 'had commanded' does not fit any of the examples provided for counterfactuals.,0,high,"The target 'had commanded' does not contain any explicit negative markers or negative polarity items, so it does not instantiate ClNegPol.",1,high,"The target 'had commanded' instantiates the feature DtDTAM because it is an example of past perfect tense, similar to the examples provided in the positive examples.",1.0,high,"The target 'had commanded' is an instance of a negative perfect, similar to 'He had not sinned' in the examples.",1.0,high,The target 'had commanded' implies that the command was given and its effect (the obligation to follow the command) persisted at the reference time.,0.0,high,"The target 'had commanded' does not fit any of the positive examples, as it does not express activity with duration, iterative series over time, or a state with 'since'.",0,low,"The target 'had commanded' does not represent a passive bounded transition or a transition event as shown in the examples, so it does not instantiate the feature TLAspPfv.",0,high,"The target 'had commanded' does not express conditional/hypothetical, counterfactual, future/prediction, speculative, or optative meaning, so it does not instantiate TLMdIrr.",1,high,"The target 'had commanded' is an example of the past perfect, which instantiates the TLTS feature as shown in the examples.",0,high,"The target 'had commanded' does not exhibit passive morphology as shown in the examples, therefore it is not passive."
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,"The target 'has come near' does not have an overt object, is not passive, and is not ditransitive, so it does not instantiate ASTrns.",1.0,high,"The target 'has come near' instantiates the feature ASUncc because it is a change of location without an external argument, similar to 'He has arrived'.",0,high,"The target 'has come near' does not fit any of the positive examples provided, as it does not involve subject only, manner of motion, bodily process, or volitional agent without an object.",1,high,"The target 'has come near' instantiates directed motion toward a goal, similar to the example 'They have walked to Jerusalem.', thus AktAcc is present.",0.0,low,"The target 'has come near' does not clearly instantiate a punctual transition or instantaneous discovery as in the examples, and lacks a specific time point adverbial.",0,high,"The target 'has come near' does not describe a dynamic durative situation, involve a 'for' adverbial, describe a homogeneous situation, or describe an iterative series of punctual events, so it does not instantiate AktAct.",0.0,high,"The target 'has come near' does not describe a single instantaneous event without change of state, so it does not instantiate AktSemel.",0,high,"The target 'has come near' does not express a durative mental state, durative attribute, existence, static/persistent relation, or durative location, so it does not instantiate AktState.",0,low,"The target does not match any of the examples provided, and there is no clear indication of counterfactuality.",0,high,"The target 'has come near' does not contain any direct syntactic negation, negative subject, or negative object, so it does not instantiate the ClNegPol feature based on the provided examples.",1,high,The target 'has come near' instantiates the feature DtDTAM because it is similar to the example 'They had visited Paris in 2007. (Phrasal -> 1)'.,1.0,high,"The target 'has come near' instantiates the feature DtExp because it describes an entry in the subject's life history, similar to the example 'Have you ever tried sushi? (Entry in subject's life history -> 1)'.",1.0,high,"The phrase 'has come near' implies a change of location that persists at the reference time, similar to the example 'The guests have arrived', thus instantiating the feature DtRes.",0.0,high,"The target 'has come near' does not fit any of the positive examples, as it does not express activity with duration, iterative series over time, or a state with 'since'.",1,high,"The target 'has come near' describes a transition event, similar to 'He has died', thus instantiating the feature TLAspPfv.",0,high,"The target 'has come near' does not express conditional/hypothetical, counterfactual, future/prediction, speculative, or optative meaning, so it does not instantiate TLMdIrr.",1,high,"The target gram 'has come near' instantiates the feature TLTS because it is in the perfect tense, as shown by the examples 'I had known him', 'He will have arrived', 'He would have gone', and 'John has been working a lot'.",0,high,The target 'has come near' does not exhibit passive morphology as shown in the positive examples.
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,0,high,"The target 'have approved' does not have an overt object, is not passive, and is not ditransitive, so it does not instantiate the ASTrns feature.",0.0,high,"The target 'have approved' does not fit any of the positive examples provided, as it is a transitive verb with an external argument, not an intransitive change of state, change of location, appearance, or copular 'be' clause.",0,high,"The target 'have approved' does not fit any of the positive examples, as it involves an object and is not a bodily process, manner of motion, or volitional agent without an internal argument.",0,low,"The target 'have approved' does not fit any of the positive examples, as it does not involve a durative process leading to a defined goal, an 'in' adverbial, a gradual change of state, or directed motion toward a goal; therefore, I cannot confidently assign the AktAcc feature.",0.0,low,"The target 'have approved' does not fit any of the positive examples, as it does not represent a punctual transition, instantaneous discovery, or a specific time point.",0,high,"The target 'have approved' does not fit any of the positive examples, which include dynamic durative situations, 'for' adverbials, homogeneous situations, or iterative series of punctual events.",0.0,high,"The target 'have approved' does not describe a single instantaneous event without change of state, so it does not instantiate AktSemel.",0,high,"The target 'have approved' does not express a durative mental state, durative attribute, existence, static/persistent relation, or durative location, as shown in the examples.",0,high,The target 'have approved' does not match any of the examples provided for ClCntfcl.,0,high,"The target 'have approved' does not contain any direct syntactic negation, negative subject, or negative object as shown in the examples_positive, so it is not ClNegPol.",1,high,"The target 'have approved' instantiates the feature DtDTAM because it is an instance of the perfect aspect, similar to the examples provided.",1.0,high,The target 'have approved' instantiates the feature DtExp because it is similar to the example 'We have seen the Eiffel Tower. (Perception focusing on occurrence rather than result state -> 1)'.,1.0,high,"The target 'have approved' implies that the approval is still in effect at the reference time, indicating the feature DtRes.",0.0,high,"The target 'have approved' does not fit any of the positive examples, as it does not express activity with duration, iterative series over time, or a state with 'since'.",1,high,"The target 'have approved' indicates a transition event, aligning with the positive examples provided, specifically 'He has died. (Transition event -> 1)'.",0,high,"The target 'have approved' does not express conditional/hypothetical, counterfactual, future/prediction, speculative, or optative meaning, so it does not instantiate TLMdIrr.",1,high,"The target 'have approved' is an instance of the perfect tense, as shown in the examples 'I had known him', 'He will have arrived', 'He would have gone', and 'John has been working a lot'.",0,high,The target 'have approved' does not exhibit passive morphology as shown in the positive examples.
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The target 'had been arrested' is passive, which instantiates the feature ASTrns.",0.0,high,"The target 'had been arrested' is not an intransitive change of state, change of location without external argument, appearance/coming-into-being, or a copular 'be' clause, so it does not instantiate ASUncc.",0,high,"The target 'had been arrested' does not fit any of the positive examples, as it is a passive construction and does not involve a subject-only action, manner of motion, bodily process, or volitional agent without an internal argument.",0,high,"The target 'had been arrested' does not instantiate any of the positive examples, as it does not involve a durative process leading to a defined goal, an 'in' adverbial, a gradual change of state, or directed motion toward a goal.",0.0,high,"The target 'had been arrested' does not represent a punctual transition or instantaneous discovery as in the examples, but rather a state resulting from an action.",1,high,The target 'had been arrested' describes a dynamic situation.,0.0,high,"The target 'had been arrested' does not represent a single instantaneous event; it implies a process leading to a state of being arrested, thus not AktSemel.",0,high,"The target 'had been arrested' does not express a durative mental state, durative attribute, existence, static/persistent relation, or durative location, so it does not instantiate AktState.",0,high,"The target 'had been arrested' does not match any of the positive examples, which involve counterfactual conditionals or unfulfilled wishes.",0,high,"The target 'had been arrested' does not contain any direct syntactic negation, negative subject, or negative object as shown in the examples_positive, so it is not ClNegPol.",1,high,"The target 'had been arrested' is an example of the feature DtDTAM because it is a clausal example similar to 'When he arrived, I had left. (Clausal -> 1)'.",1.0,high,"The target 'had been arrested' is a perfect form, similar to the example 'He had not sinned. (Negative Perfect -> 1)'.",1.0,high,The target 'had been arrested' implies that John was in a state of being arrested at the reference time.,0.0,high,"The target 'had been arrested' does not fit any of the positive examples, as it does not express activity with duration, iterative series over time, or a state with 'since'.",1,high,"The target 'had been arrested' instantiates the feature TLAspPfv because it represents a passive transition event, similar to the example 'Many have been made sinners. (Passive transition -> 1)'.",0,high,"The target 'had been arrested' does not express conditional/hypothetical, counterfactual, future/prediction, speculative, or optative meaning, so it does not instantiate TLMdIrr.",1,high,"The target 'had been arrested' is an example of the past perfect, which is a positive example of TLTS.",1,high,"The target 'had been arrested' exhibits passive morphology, aligning with the examples provided."
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,0,high,"The target 'have heard' does not have an overt object, is not passive, and is not ditransitive, so it does not instantiate ASTrns.",0.0,high,"The target 'have heard' does not match any of the positive examples, which include intransitive change of state, change of location without external argument, appearance/coming-into-being, or copular 'be' clauses.",0,high,"The target 'have heard' does not fit any of the positive examples, as it does not involve subject only, manner of motion, bodily process, or volitional agent without an object.",0,high,"The target 'have heard' does not instantiate any of the features in the examples_positive, as it does not involve a durative process leading to a defined goal, an 'in' adverbial, a gradual change of state culminating in a result condition, or directed motion toward a goal.",1.0,high,"The target 'have heard' instantiates the feature AktAch because it represents a punctual perceptual transition, as indicated by the example 'They have heard the news. (Punctual perceptual transition -> 1)'.",0,high,"The target 'have heard' does not describe a dynamic durative situation, 'for' adverbial, homogeneous situation, or iterative series of punctual events, so it does not instantiate AktAct.",0.0,high,"The target 'have heard' does not describe a single instantaneous event without change of state, but rather a state resulting from a past event.",0,high,"The target 'have heard' does not express a durative mental state, durative attribute, existence, static/persistent relation, or durative location as shown in the examples.",0,high,The target 'have heard' does not match any of the examples provided for the ClCntfcl feature.,0,high,"The target gram 'have heard' does not contain any direct syntactic negation, negative subject, or negative object, so it does not instantiate the ClNegPol feature.",1,high,"The target 'have heard' instantiates the feature DtDTAM because it is an example of a phrasal construction expressing past tense, similar to 'They had visited Paris in 2007' from the examples_positive.",1.0,high,"The target 'have heard' is an entry in the subject's life history, similar to the positive example 'Have you ever tried sushi? (Entry in subject's life history -> 1)'.",0.0,high,The target 'have heard' does not imply a resultant state persisting at the reference time; it simply indicates that the listener was informed of something in the past.,0.0,high,"The target 'have heard' does not fit any of the positive examples, as it does not express activity with duration, iterative series over time, or state with 'since'.",0,low,"The target 'have heard' does not represent a passive bounded transition or a transition event as in the examples, so it does not instantiate TLAspPfv.",0,high,"The target 'have heard' does not express conditional/hypothetical, counterfactual, future/prediction, speculative, or optative meaning, so it does not instantiate TLMdIrr.",1,high,"The target ""have heard"" is an instance of the perfect aspect, as shown by the examples 'I had known him. (Past Perfect -> 1)', 'He will have arrived. (Future Perfect -> 1)', 'He would have gone. (Modal Perfect -> 1)', 'John has been working a lot. (Progressive -> 1)'.",0,high,The target 'have heard' does not exhibit passive morphology as shown in the positive examples.
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,0,high,"The target 'have heard' does not involve an overt object, passive voice, or ditransitive construction, so it does not instantiate ASTrns.",0.0,high,"The target 'have heard' does not instantiate any of the examples provided, as it is not an intransitive change of state, change of location without external argument, appearance/coming-into-being, or a copular 'be' clause.",0,high,"The target 'have heard' does not fit any of the positive examples, as it does not involve subject only, manner of motion, bodily process, or volitional agent without an object.",0,low,"The target 'have heard' does not fit any of the positive examples, as it does not involve a durative process leading to a defined goal, an 'in' adverbial, a gradual change of state, or directed motion toward a goal.",1.0,high,"The target 'have heard' instantiates the feature AktAch because it represents a punctual perceptual transition, as indicated by the example 'They have heard the news. (Punctual perceptual transition -> 1)'.",0,high,"The target 'have heard' does not describe a dynamic durative situation, 'for' adverbial, homogeneous situation, or iterative series of punctual events, so it does not instantiate AktAct.",0.0,high,"The target 'have heard' does not describe a single instantaneous event without change of state, so it does not instantiate AktSemel.",0,high,"The target 'have heard' does not express a durative mental state, durative attribute, existence, static/persistent relation, or durative location as shown in the examples.",0,high,"The target 'have heard' does not match any of the positive examples, which involve counterfactual conditionals or unfulfilled wishes.",0,high,"The target gram 'have heard' does not contain any direct syntactic negation, negative subject, or negative object, so it does not instantiate the ClNegPol feature.",1,high,"The target 'have heard' exemplifies the DtDTAM feature because it is a phrasal construction indicating a past event with present relevance, aligning with the examples provided.",1.0,high,"The target 'have heard' is an entry in the subject's life history, similar to the example 'Have you ever tried sushi? (Entry in subject's life history -> 1)'.",0.0,high,"The target 'have heard' does not imply a resultant state persisting at the reference time, a change of possession, currently binding orders, being done/ready for the next step, or a change of location persisting at the reference time, as per the examples provided.",0.0,high,The target 'have heard' does not fit any of the positive examples provided.,0,low,"The target 'have heard' does not represent a passive bounded transition or a transition event as in the examples, so it does not instantiate TLAspPfv.",0,high,"The target 'have heard' does not express conditional/hypothetical, counterfactual, future/prediction, speculative, or optative meaning as shown in the examples.",1,high,"The target 'have heard' is an instance of the perfect aspect, similar to the examples provided, indicating TLTS.",0,high,The target 'have heard' does not exhibit passive morphology as shown in the positive examples.
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,0,high,"The target 'have heard' does not exhibit overt object, passive, or ditransitive properties as shown in the examples.",0.0,high,"The target 'have heard' does not instantiate any of the examples provided, as it is not an intransitive change of state, change of location without external argument, appearance/coming-into-being, or a copular 'be' clause.",0,high,"The target 'have heard' does not fit any of the positive examples, as it does not involve subject only, manner of motion, bodily process, or volitional agent without an object.",0,high,"The target 'have heard' does not fit any of the positive examples, as it does not involve a durative process leading to a defined goal, an 'in' adverbial, a gradual change of state, or directed motion toward a goal.",1.0,high,"The target 'have heard' instantiates the feature AktAch because it represents a punctual perceptual transition, as indicated by the example 'They have heard the news. (Punctual perceptual transition -> 1)'.",0,high,"The target 'have heard' does not describe a dynamic durative situation, 'for' adverbial, homogeneous situation, or iterative series of punctual events, so it does not instantiate AktAct.",0.0,high,"The target 'have heard' does not describe a single instantaneous event without change of state, so it does not instantiate AktSemel.",0,high,"The target 'have heard' does not express a durative mental state, durative attribute, existence, static/persistent relation, or durative location as described in the examples_positive.",0,high,"The target 'have heard' does not match any of the examples provided for ClCntfcl, which involve counterfactual conditionals or unfulfilled wishes.",0,high,"The target gram 'have heard' does not contain any direct syntactic negation, negative subject, or negative object as shown in the positive examples.",1,high,"The target 'have heard' instantiates the feature DtDTAM because it is an instance of perfect aspect, as shown in the examples.",1.0,high,"The target 'have heard' is an entry in the subject's life history, similar to the positive example 'Have you ever tried sushi? (Entry in subject's life history -> 1)'.",0.0,high,"The target 'have heard' does not imply a resultant state persisting at the reference time, a change of possession, currently binding orders, being done/ready for the next step, or a change of location persisting at the reference time.",0.0,low,"The provided examples do not match the target gram, and there is no activity, duration, iterative series, state, or 'since' in the full text.",0,high,"The target 'have heard' does not represent a passive bounded transition or a transition event as shown in the examples, but rather a state resulting from a past event, thus it does not instantiate TLAspPfv.",0,high,"The target 'have heard' does not express conditional/hypothetical, counterfactual, future/prediction, speculative, or optative meaning, so it does not instantiate TLMdIrr.",1,high,"The target ""have heard"" is an instance of the perfect aspect, as shown in the examples 'I had known him. (Past Perfect -> 1)', 'He will have arrived. (Future Perfect -> 1)', 'He would have gone. (Modal Perfect -> 1)'.",0,high,"The target 'have heard' does not exhibit passive morphology as shown in the positive examples, therefore it is not passive."
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1,high,"The target gram 'have been paid' is passive, so it instantiates ASTrns.",1.0,high,"The target 'have been paid' is a copular 'be' clause, similar to 'She has been queen for ten years', thus instantiating the ASUncc feature.",1,high,"The target 'have been paid' implies that the subject 'they' has received something, which aligns with the volitional agent receiving something without an internal argument/object, similar to the examples provided.",1,high,"The target 'have been paid' describes a durative process leading to a defined goal (being paid), which aligns with the example 'We have built the house' (Durative process elading to defined goal -> 1).",0.0,high,"The target 'have been paid' does not represent a punctual transition or instantaneous discovery; it describes a state of having received payment, not a specific point in time or a perceptual transition.",0,high,"The target 'have been paid' does not describe a dynamic durative situation, a 'for' adverbial, a homogeneous situation, or an iterative series of punctual events, so it does not instantiate AktAct.",0.0,high,"The target 'have been paid' does not describe a single instantaneous event without change of state, but rather a completed action, thus it does not instantiate AktSemel.",1,high,"The target 'have been paid' describes a completed state of being compensated, which can be considered a static/persistent relation similar to the example 'The box contains book' in the positive examples.",0,high,"The target 'have been paid' does not instantiate the feature ClCntfcl because it does not express a counterfactual conditional, unfulfilled wish, or protasis without 'if'.",0,high,"The target gram 'have been paid' does not contain any direct syntactic negation, negative subject, or negative object, so it does not instantiate the feature ClNegPol.",1,high,"The target 'have been paid' instantiates DtDTAM because it is an instance of the perfect aspect, similar to the examples provided.",1.0,high,"The target 'have been paid' instantiates the feature DtExp because it describes an entry in the subject's life history, similar to the example 'Have you ever tried sushi? (Entry in subject's life history -> 1)'.",1.0,high,"The target 'have been paid' implies a completed action with a result state persisting at the reference time, indicating the feature DtRes is present.",0.0,high,"The target 'have been paid' does not fit any of the positive examples, as it does not express activity with duration, iterative series over time, or a state with 'since'.",1,high,"The target 'have been paid' represents a passive bounded transition, similar to the example 'We have been discharged.', thus instantiating the feature TLAspPfv.",0,high,"The target 'have been paid' does not express conditional/hypothetical, counterfactual, future/prediction, speculative, or optative meaning, so it does not instantiate TLMdIrr.",1,high,"The target gram 'have been paid' is an instance of perfect aspect, as shown by the example 'John has been working a lot. (Progressive -> 1)'.",1,high,"The target 'have been paid' exhibits passive morphology, matching the examples in the positive examples CRI."
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The target 'have been paid' is passive, so it instantiates ASTrns.",0.0,high,"The target 'have been paid' is not an intransitive change of state, change of location without external argument, appearance/coming-into-being, or a copular 'be' clause, so it does not instantiate ASUncc.",0,high,"The target 'have been paid' does not fit any of the positive examples provided, as it is a passive construction with an external argument that is not a subject, manner of motion, bodily process, or volitional agent.",1,high,"The target 'have been paid' implies a durative process leading to a defined goal (payment received), which aligns with the positive example 'We have built the house' (Durative process elading to defined goal -> 1).",1.0,high,"The target 'have been paid' indicates a punctual transition to a state of being paid, similar to the examples in [examples_positive] where a state is reached instantaneously.",0,high,"The target 'have been paid' does not describe a dynamic durative situation, 'for' adverbial, homogeneous situation, or iterative series of punctual events, so it does not instantiate AktAct.",0.0,high,"The target 'have been paid' does not describe a single instantaneous event without change of state, but rather a completed action, so it does not instantiate AktSemel.",0,high,"The target 'have been paid' does not express a durative mental state, durative attribute, existence, static/persistent relation, or durative location, so it does not instantiate AktState.",0,high,The target 'have been paid' does not match any of the examples for counterfactuals.,0,high,"The target 'have been paid' does not contain direct syntactic negation, a negative subject, or a negative object, so it does not instantiate ClNegPol.",1,high,"The target 'have been paid' instantiates the feature DtDTAM because it is an example of a phrasal construction indicating a completed action in the past, similar to the examples provided.",1.0,high,"The target 'have been paid' is an instance of the perfect, similar to 'He had not sinned' in the examples_positive, indicating DtExp.",1.0,high,"The target 'have been paid' implies a completed action with a resultant state of being compensated, aligning with the DtRes feature.",0.0,high,"The target 'have been paid' does not fit any of the positive examples, as it does not express activity with duration, iterative series over time, or a state with 'since'.",1,high,"The target 'have been paid' describes a passive bounded transition, similar to the examples 'We have been discharged' and 'Many have been made sinners', thus instantiating the feature TLAspPfv.",0,high,"The target 'have been paid' does not express conditional/hypothetical, counterfactual, future/prediction, speculative, or optative meaning, so it does not instantiate TLMdIrr.",1,high,"The target gram 'have been paid' is an example of perfect aspect, similar to the examples provided.",1,high,"The target 'have been paid' exhibits passive morphology, aligning with the examples in the positive list."
