TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The verb phrase 'had been promised' involves an external argument (someone promising) and an internal argument (Mary), with the event directed from the promiser toward Mary, fulfilling the two-participant directed event requirement.",0,high,"The verb phrase 'had been promised' involves an external argument (the promiser) and a recipient (Mary), so it does not encode a one-participant event with only an internal argument.",0,high,"'had been promised' is a passive construction with an internal argument (Mary) and an implicit external argument (promiser), so it does not encode a one-participant event with only an external argument.",0,high,"'had been promised' describes a stative, completed state rather than a dynamic, durative event with an inherent process leading to a terminal point.",0,high,"'had been promised' describes a past state or condition rather than a punctual, near-instantaneous change-of-state event marking a boundary point of transition.",0,high,"'had been promised' describes a completed state or event rather than a dynamic, durative situation unfolding over time.",0,high,"The phrase 'had been promised' describes a state or condition resulting from a prior event rather than a single bounded, punctual occurrence without a resulting change of state.",0,high,'had been promised' describes a completed event/state prior to the current narrative and does not denote a situation holding over time without change.,0,high,"The clause describes a past event that actually occurred, not a contrary-to-fact situation.",0,high,"The phrase 'had been promised' indicates a past event that did occur, not negated or unrealized, so the feature ClNegPol is not instantiated.",0,high,"The clause with 'had been promised' does not contain an overt lexical, phrasal, or clausal adverbial explicitly anchoring the event to a specific past time interval.",1,high,The phrase 'had been promised' indicates that the event of promising occurred in the past as part of Mary’s life history without asserting a current resulting state.,1,high,"The phrase 'had been promised' indicates a completed action resulting in a new state (Mary being promised to Joseph) that holds at the reference time, thus encoding a transition from State A to State B.",0,high,"'had been promised' indicates a past completed state prior to another past event, not a continuous state holding up to the reference time.",1,high,"The phrase 'had been promised' presents the promise as a completed, bounded event without internal temporal development, matching the perfective aspect definition.",0.0,high,"The phrase 'had been promised' describes a past event presented as a realized fact, not as hypothetical or projected.",1,high,"'had been promised' encodes past perfect passive, which is a past perfect form distinct from the simple present perfect.",1,high,"The phrase 'had been promised' includes overt passive morphology ('been promised'), the subject 'His mother Mary' is the semantic patient, and the agent is omitted, matching the passive construction criteria."
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,"The verb 'had commanded' involves an agent (the angel of God) directing an action toward a patient (him), fitting the two-participant event with an external argument affecting an internal argument.",0,high,"The verb phrase 'had commanded' involves an external argument (the angel) who performs the action of commanding, so it does not encode a one-participant event with only an internal argument.",0,high,"The verb 'had commanded' licenses both an external argument (the angel) and an internal argument (him), so it does not encode a one-participant event with only an external argument.",0,high,"'had commanded' is a past perfect stative verb indicating a completed action without an inherent dynamic, durative process leading to a terminal point within the event itself.",0,high,"'had commanded' describes a past state or completed action without indicating a punctual, near-instantaneous change-of-state event or boundary crossing.",0,high,"'had commanded' refers to a completed action with a defined result state, not a dynamic, durative situation unfolding over time.",0,high,"The phrase 'had commanded' describes a past action that likely resulted in a change of state (issuing a command), and it is not a single bounded occurrence without a consequent result condition.",0,high,"'had commanded' refers to a completed action in the past, not a state holding over time without change.",0,high,"The clause describes a past event that actually occurred, not a contrary-to-fact situation.",0,high,"The phrase 'had commanded' indicates the angel's command was given and acted upon, so the event is presented as occurring, not negated.",0,high,"The clause contains no overt lexical, phrasal, or clausal adverbial explicitly anchoring the event to a specific past time interval.",1,high,"The phrase 'had commanded' presents the event as part of the subject’s life history, indicating the angel's command occurred before Joseph acted, without asserting a current resulting state.",0,high,"The phrase 'had commanded' is in the past perfect tense indicating a prior completed action, but it does not itself encode a change of state or that the resulting state holds at the reference time.",0,high,"The phrase 'had commanded' indicates a past completed action prior to another past event, not a continuous or habitual state extending up to the reference time.",1,high,"The phrase 'had commanded' presents the command as a completed, bounded event in the past, focusing on the single completed transition of issuing the command.",0.0,high,"The phrase 'had commanded' refers to a past completed action that is presented as a realized fact, not a hypothetical or projected situation.",1,high,"'had commanded' is a past perfect form, which overtly encodes a tense specification other than the simple present perfect.",1,high,"'had commanded' is a past perfect passive construction with the patient as subject and the agent omitted, marked by 'had' plus past participle 'commanded'."
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,The phrase 'has come near' describes a state or event of approaching without indicating a two-participant event with an external agent acting upon an internal patient; it lacks a directed action from an agent to a patient.,0,high,"The verb phrase 'has come near' involves an external argument (the kingdom of heaven) as the subject performing the action, thus it does not encode a one-participant event with only an internal argument.",0,high,"The phrase 'has come near' encodes a two-participant event with an implicit subject and a locative complement, thus licensing an internal argument and not fitting the one-participant external argument only criterion.",1,high,The phrase 'has come near' describes a dynamic event that unfolds over time and culminates in the kingdom of heaven reaching a defined terminal point of nearness.,1,high,"The phrase 'has come near' indicates a boundary crossing event where the kingdom of heaven reaches proximity, representing a punctual change-of-state rather than an ongoing process.",0,high,"'has come near' describes a completed change of state or arrival, not a dynamic, durative situation unfolding over time.",1,high,"The phrase 'has come near' describes a dynamic event that is punctual or near-instantaneous and does not imply a resulting change of state, fitting the definition of AktSemel.",0,high,"The phrase 'has come near' indicates a dynamic change of state or movement toward a point, not a situation holding over time without change.",0,high,"The clause 'the kingdom of heaven has come near' is presented as a current reality, not a contrary-to-fact or hypothetical situation.",0,high,"The phrase 'has come near' presents the event as having occurred, not as negated or absent.",0,high,"The clause contains no overt lexical, phrasal, or clausal adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The phrase 'has come near' presents the event as a current or recent occurrence, not as part of the subject's life history or an event that has happened at least once without asserting a current resulting state.",1,high,The phrase 'has come near' indicates a completed change of state (the kingdom of heaven moving from not near to near) with the resulting state currently holding at the reference time.,0,high,"The phrase 'has come near' indicates a completed action or state at the reference time, not a continuous state from a past starting point up to the reference time.",1,high,"The phrase 'has come near' presents the event as a completed, bounded whole, focusing on the arrival as a single completed event without internal temporal development.",0.0,high,"The phrase 'has come near' in the sentence asserts a realized fact about the kingdom of heaven, not a hypothetical or projected situation.",0,high,'has come near' is a canonical present perfect form (have/has + past participle) without additional tense or mood specification.,0,high,"The phrase 'has come near' is active in meaning with no patient as subject or agent expressed in a by-phrase, and it lacks overt morphological passive marking."
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,"The verb phrase 'have approved' involves an external argument (the speaker or subject implied by 'I') directing the approval toward an internal argument ('my Son'), indicating a two-participant event with a directed effect.",0,high,"The verb phrase 'have approved' involves an external argument (the subject 'I') who performs the approving action on the internal argument ('my Son'), so it does not encode a one-participant event with only an internal argument.",0,high,"The verb phrase 'have approved' licenses an internal argument 'whom I have approved,' indicating a two-participant event, not a one-participant event with only an external argument.",0,high,"The phrase 'have approved' describes a completed state or result rather than a dynamic, durative event unfolding over time with an inherent process phase.",0,high,"The phrase 'have approved' indicates a state resulting from a prior action rather than a punctual, near-instantaneous change-of-state event marking a boundary point of transition.",0,high,"'have approved' denotes a completed, stative judgment rather than a dynamic, durative situation unfolding over time.",1,high,"The phrase 'have approved' describes a single bounded event of approval, which is punctual and does not imply a resulting change of state, fitting the AktSemel feature.",1,high,"The phrase 'have approved' indicates a completed action resulting in a current state of approval, which holds over time without dynamic change or inherent progression.",0,high,"The clause 'whom I have approved' is presented as a factual statement within the narrative, not as a contrary-to-fact or hypothetical situation.",0,high,"The phrase 'have approved' presents the event as having occurred, indicating the state holds rather than being negated.",0,high,"The clause containing 'have approved' does not include an overt lexical, phrasal, or clausal adverbial explicitly anchoring the event to a specific past time interval.",0,high,The phrase 'whom I have approved' presents the approval as a current or completed state rather than simply indicating that the event occurred at least once in the subject's life history.,1,high,"The phrase 'have approved' indicates a completed action resulting in a current state of approval, showing a transition from not approved to approved that holds at the reference time.",0,high,The phrase 'have approved' indicates a present perfect action but does not explicitly express a continuous or habitual state from a past starting point up to the reference time.,1,high,"The phrase 'have approved' presents the approval as a completed, bounded event without internal temporal development, matching the perfective aspect definition.",0.0,high,"The phrase 'whom I have approved' is presented as a realized fact within the reported speech, not as a hypothetical or projected situation.",0,high,"'have approved' is the canonical present perfect form with 'have' + past participle, without any additional tense or mood specification.",1,high,"The phrase 'whom I have approved' shows the patient 'whom' as the grammatical object, with the agent 'I' expressed, and 'approved' is in the past participle form with 'have', indicating a passive meaning where the patient is the subject of the event."
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The verb phrase 'had been arrested' encodes a two-participant event with an external agent (the arresting authority) and an internal patient (John), where the event is directed from the agent toward and affects the patient.",0,high,"The verb phrase 'had been arrested' involves an external argument (the agent or causer of the arrest), so it does not encode a one-participant event with only an internal argument.",0,high,"'had been arrested' is a passive construction involving an internal argument (the one arrested), so it does not encode a one-participant event with only an external argument.",1,high,"The phrase 'had been arrested' describes a completed event with a defined terminal point (the arrest), indicating a dynamic event that culminates in a result state.",1,high,"'had been arrested' denotes the completion of the event of arrest, marking the boundary point of transition into the state of being arrested.",0,high,"'had been arrested' describes a completed, resultant state rather than a dynamic, durative situation unfolding over time.",1,high,The phrase 'had been arrested' describes a single bounded event (the arrest) that is punctual and does not imply a resulting change of state beyond the event itself.,0,high,"The phrase 'had been arrested' describes a completed event with a clear endpoint, not a state holding over time without change.",0,high,"The clause 'John had been arrested' describes a past event presented as factual, not contrary to fact.",0,high,"The phrase 'had been arrested' presents the event as having occurred, not as negated or absent from reality.",0,high,"The clause containing 'had been arrested' does not include any overt lexical, phrasal, or clausal adverbial explicitly anchoring the event to a specific past time interval.",1,high,"The phrase 'had been arrested' presents the event as part of John's life history, indicating it occurred at least once without asserting a current resulting state.",1,high,The phrase 'had been arrested' indicates a completed change of state (from not arrested to arrested) with the resulting state (arrested) holding at the reference time.,0,high,'had been arrested' indicates a completed past event rather than a continuous or habitual state up to the reference time.,1,high,"The phrase 'had been arrested' presents the arrest as a completed, bounded event without internal temporal development, focusing on the transition as a single completed event.",0.0,high,"The phrase 'had been arrested' is presented as a reported past event, indicating an actual occurrence rather than a hypothetical or non-actual situation.",1,high,"'had been arrested' encodes past perfect progressive passive, which is a tense/mood specification beyond simple present perfect.",1,high,"The phrase 'had been arrested' includes overt passive morphology ('been arrested'), the subject 'John' is the semantic patient, and the agent is omitted, matching the passive construction criteria."
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1,high,"The verb phrase 'have heard' involves an agent (the subject 'You') directing the event of hearing toward an internal argument (the information 'it was said'), fitting the two-participant, directed event structure required by ASTrns.",0,high,"'have heard' involves an external argument (the experiencer 'you') and an internal argument (the information heard), so it does not encode a one-participant event with only an internal argument.",0,high,"The verb phrase 'have heard' encodes a two-participant event with an external argument (the hearer) and an internal argument (the thing heard), so it does not instantiate a one-participant event with only an external argument.",0,high,"'have heard' is a perfect aspect stative verb indicating a completed perception state, not a dynamic, durative event with an inherent process leading to a terminal point.",0,high,"'have heard' describes a state or experience rather than a punctual, near-instantaneous change-of-state event; it does not represent crossing a definable threshold.",0,high,"'have heard' describes a completed perception event, not a dynamic, durative situation unfolding over time without an inherent endpoint.",0,high,"'have heard' denotes a state or experience rather than a punctual, bounded event without resulting change, thus it does not instantiate AktSemel.",0,high,"'have heard' describes a completed or dynamic event of perceiving information, not a state holding over time without change.",0,high,"The clause 'You have heard it was said' reports a past event without indicating it is contrary to fact; it presents information as heard, not as a counterfactual situation.",0,high,"The phrase 'You have heard' presents the event as something that has occurred (hearing), not as negated or absent; the negation applies later to 'commit adultery,' not to 'have heard.'",0,high,"The clause contains no overt lexical, phrasal, or clausal adverbial explicitly anchoring the event to a specific past time interval.",1,high,The phrase 'You have heard' indicates that the event of hearing has occurred at least once in the subject's life history without asserting a current resulting state.,0,high,'have heard' indicates a present perfect experience but does not encode a change of state with the resulting state holding at the reference time.,0,high,'have heard' here indicates a past event or experience rather than a continuous state or habitual series extending up to the reference time.,1,high,"The phrase 'have heard' presents the event as a completed whole without internal temporal development, indicating a bounded, perfective aspect.",1.0,high,"The phrase 'You have heard it was said' introduces a reported or projected statement, indicating the situation is not asserted as an actual fact but as something heard or conveyed hypothetically.",0,high,"The target 'have heard' is the canonical present perfect form with 'have' + past participle, and does not overtly encode any tense or mood other than simple present perfect.",0,high,The phrase 'have heard' is active with 'you' as the subject and no by-phrase indicating an agent; it lacks overt morphological passive marking.
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,"The verb phrase 'have heard' involves an external argument (the hearer) and an internal argument (the content heard), with the event directed from the hearer toward the information received.",0,high,"The verb phrase 'have heard' involves an external argument (the experiencer 'you') and an internal argument (the theme 'it'), thus it does not encode a one-participant event with only an internal argument.",0,high,"The verb phrase 'have heard' licenses an internal argument 'it', so it does not encode a one-participant event with only an external argument.",0,high,"'have heard' is a stative perfect construction indicating a completed state of having received information, not a dynamic, durative event with an inherent process leading to a terminal point.",0,high,"'have heard' describes a stative experience or possession of knowledge, not a punctual change-of-state event or boundary crossing.",0,high,"'have heard' refers to a completed perception event, not a dynamic, durative situation unfolding over time without an inherent endpoint.",0,high,"'have heard' is a perfect tense form indicating a past experience or state rather than a single bounded, punctual event without a resulting change of state.",0,high,"'have heard' describes a completed event of perceiving information, not a state holding over time without change.",0,high,"The clause 'You have heard it said' presents a statement of fact or common knowledge, not a contrary-to-fact situation; it does not describe an event understood not to have occurred.",0,high,"The phrase 'have heard' indicates that the event of hearing has occurred, so the situation is presented as realized, not negated.",0,high,"The clause containing 'have heard' does not include any overt lexical, phrasal, or clausal adverbial explicitly anchoring the event to a specific past time interval.",1,high,The phrase 'have heard' indicates the event has occurred at least once in the subject's life history without asserting a current resulting state.,0,high,"The phrase 'have heard' indicates a present perfect tense showing experience or knowledge up to now, but it does not encode a change of state with the resulting state currently holding; it simply reports prior hearing without implying a new state in effect.",0,high,The phrase 'have heard' here refers to a past event or knowledge rather than a continuous state or habitual series extending up to the reference time.,1,high,"The phrase 'have heard' presents the event as a completed whole without focusing on its internal temporal development, fitting the perfective aspect as a bounded event.",1.0,high,"The phrase 'You have heard it said' introduces a reported or projected statement rather than asserting a current fact, indicating a non-actual, hypothetical situation.",0,high,The target 'have heard' is the canonical present perfect form with no additional tense or mood specification beyond simple present perfect.,1,high,"The phrase 'have heard' is in the present perfect passive form with the patient 'it' as the subject and the agent omitted, matching the passive construction criteria."
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,0,high,The verb phrase 'have heard' involves perceiving or receiving information rather than a two-participant event with an agent acting upon a patient in a directed manner.,0,high,"The verb phrase 'have heard' involves an external argument (the subject 'You') who performs the action of hearing, so it does not encode a one-participant event with only an internal argument.",0,high,"The verb phrase 'have heard' encodes a two-participant event with an external argument (the hearer) and an internal argument (the thing heard), so it does not instantiate a one-participant event with only an external argument.",0,high,"'have heard' is a stative perfect construction indicating a completed state of having received information, not a dynamic, durative event with an inherent process leading to a terminal point.",0,high,'have heard' describes a stative or experiential state rather than a punctual change-of-state event; it does not represent a boundary crossing.,0,high,"'have heard' describes a completed perception event, not a dynamic, durative situation unfolding over time.",0,high,"'have heard' denotes a past experience or state rather than a punctual, bounded event without resulting change, thus it does not instantiate AktSemel.",0,high,"'have heard' describes a completed event of perceiving information, not a state holding over time without change.",0,high,"The clause 'You have heard it said' reports what is said or believed, not a situation contrary to fact; it does not describe an event understood not to have occurred.",0,high,"The phrase 'You have heard' indicates that the event of hearing has occurred, so the situation is presented as realized, not negated.",0,high,"The clause contains no overt lexical, phrasal, or clausal adverbial explicitly anchoring the event to a specific past time interval.",1,high,"The phrase 'You have heard' presents the event as part of the subject's life history, indicating that the hearing has occurred at least once without asserting a current resulting state.",0,high,"'have heard' indicates a present perfect state of having received information, but does not encode a change of state with the resulting state currently holding at the reference time.",0,high,The phrase 'have heard' in the sentence indicates a past completed action rather than a continuous or habitual state extending up to the reference time.,1,high,"The phrase 'have heard' presents the event as a completed whole without internal temporal development, indicating a bounded, perfective aspect.",1.0,high,"The phrase 'You have heard it said' introduces a reported or projected statement, indicating the situation is not asserted as an actual fact but as something heard or conveyed hypothetically.",0,high,'have heard' is the canonical present perfect form with no additional tense or mood specification beyond simple present perfect.,0,high,"'have heard' is an active perfect construction with 'you' as the subject and agent, not a passive voice with the patient as subject."
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1,high,"The phrase 'have been paid' encodes a two-participant event where an external agent (implied payer) directs payment toward an internal argument (the recipient), fulfilling the ASTrns feature.",0,high,"The verb phrase 'have been paid' involves a two-participant event with an external argument (the payer) and an internal argument (the payee), so it does not encode a one-participant event with only an internal argument.",0,high,"The phrase 'have been paid' is a passive construction with an internal argument (the recipient of payment) and does not encode a one-participant event with a sole external argument; thus, it does not instantiate ASUnrg.",1,high,"The phrase 'have been paid' describes a completed event with a defined terminal point (payment completed), indicating a dynamic event culminating in a result state.",0,high,"'have been paid' describes a completed state resulting from a prior event, not a punctual boundary-crossing event itself.",0,high,"'have been paid' describes a completed, resultative state rather than a dynamic, durative situation unfolding over time.",0,high,"The phrase 'have been paid' describes a completed state resulting from a prior action, not a punctual or near-instantaneous event without a resulting change of state.",0,high,"'have been paid' describes a completed state resulting from a prior action, not a situation holding over time without change.",1,high,"The phrase 'they have already been paid in full' implies a completed action that contrasts with the expected reward, indicating a contrary-to-fact situation about receiving true reward from men.",1,high,"The phrase 'have already been paid in full' is used ironically to indicate that the expected positive outcome (reward) is absent or not genuinely realized, thus construing the event as not holding in the intended moral sense.",0,high,The clause 'they have already been paid in full' contains the adverb 'already' which anchors the event to a specific past time interval.,1,high,The phrase 'have already been paid' indicates the event of being paid has occurred at least once in the subject's life history without asserting a current resulting state.,1,high,"The phrase 'have been paid' indicates a completed action with the resulting state of payment currently holding, showing a transition from unpaid to paid.",0,high,"The phrase 'have been paid' indicates a completed action with present relevance, not a continuous state or habitual series holding from a past starting point up to the reference time.",1,high,"The phrase 'have been paid' presents the payment as a completed, bounded event without internal temporal development, matching the perfective aspect as a single completed event.",0.0,high,"The phrase 'have been paid' is used to assert a realized fact about the hypocrites, not a hypothetical or projected situation.",1,high,"The phrase 'have been paid' includes the auxiliary 'have' plus the past participle 'been paid', which is the canonical present perfect, but the presence of 'already' and the context suggests a completed action; however, since the phrase is the canonical present perfect form, it does not overtly encode a tense or mood other than simple present perfect, so the feature TLTS is not instantiated.",1,high,"The phrase 'have been paid' includes overt passive morphology ('been paid'), the subject 'they' is the semantic patient, and the agent is omitted, matching the passive construction criteria."
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The phrase 'have been paid' involves an external argument (the payer) directing payment toward an internal argument (the recipients), fitting the two-participant event with directed effect.",1,high,"The verb phrase 'have been paid' encodes a one-participant event where the sole argument is the internal argument (theme/patient) receiving payment, and it does not license an external argument.",0,high,"The verb phrase 'have been paid' encodes a two-participant event with an internal argument (the amount paid), so it does not instantiate a one-participant event with only an external argument.",1,high,"'have been paid' describes a completed event with a defined result state (payment completed), fitting the AktAcc feature of a dynamic event culminating in a terminal point.",0,high,"'have been paid' describes a completed state resulting from a prior action, not a punctual or near-instantaneous boundary event itself.",0,high,"'have been paid' describes a completed state or result, not a dynamic, durative situation unfolding over time.",0,high,"The phrase 'have been paid' describes a completed state resulting from a prior action, not a single bounded punctual event without a resulting change of state.",0,high,"'have been paid' describes a completed event with an inherent endpoint, not a state holding over time without change.",0,high,"The clause 'they have been paid in full' is presented as a factual statement, not contrary to fact; it asserts that the payment has actually occurred.",0,high,"The phrase 'they have been paid in full' asserts that the payment has occurred, indicating the event is realized, not negated.",0,high,"The clause 'they have been paid in full' contains no overt lexical, phrasal, or clausal adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The phrase 'have been paid' presents a completed event with a resulting state ('in full'), not merely that the event occurred at least once without asserting a current state.",1,high,"The phrase 'have been paid' indicates a completed action with the resulting state of payment currently holding, thus encoding a transition from unpaid to paid.",0,high,'have been paid' indicates a completed action rather than a continuous state or habitual series from a past starting point up to the reference time.,1,high,"The phrase 'have been paid' presents the payment as a completed, bounded event without access to its internal temporal development, fitting the perfective aspect definition.",0.0,high,"The phrase 'have been paid' is used to assert a realized fact in the actual world, not a hypothetical or imagined situation.",1,high,"'have been paid' encodes a perfect passive progressive form, which is a specification beyond the simple present perfect.",1,high,"The phrase 'have been paid' includes overt morphological passive marking ('been paid'), the subject 'they' is the semantic patient, and the agent is omitted, fitting the passive construction criteria."
