"verse_id","language","text"
"10002007","CMN","现在你们要坚强 ， 要作勇敢的人 ， 因为你们的主扫罗已经死了 ； 犹大家已经膏立了我作他们的王了。”"
"10002007","ENG","» Be strong and courageous . Your master Saul is dead . Therefore the tribe of Judah has anointed me to be their king . «"
"10003008","CMN","押尼珥因伊施波设的话非常忿怒 ， 说 ： “我是犹大的狗头吗？今天我厚待你的父亲扫罗家、他的兄弟和他的朋友 ， 没有把你交在大卫的手中 ； 可是 ， 今天你竟为了这女人的事来找我的错 ！"
"10003008","ENG","Ishbosheth’s question made Abner very angry . » Am I a dog that belongs to Judea ? « He asked . » Until now I have been faithful to your father Saul’s family , to his relatives and friends . I did not hand you over to David . But now you charge me with a crime because of this woman ."
"10003019","CMN","押尼珥也把这话说给便雅悯人听 ， 然后又去希伯仑 ， 把以色列人和便雅悯全都同意的 一 切事说给大卫听。"
"10003019","ENG","Abner also spoke to the people of Benjamin . Then Abner went directly to David in Hebron . He told him everything Israel and the entire tribe of Benjamin had approved ."
"10004001","CMN","扫罗的儿子伊施波设听见押尼珥在希伯仑死了 ， 就怕得手都发软 ， 以色列众人也都惊惶失措。"
"10004001","ENG","Saul’s son Ishbosheth heard that Abner had died in Hebron . He lost his courage , and all Israel was alarmed ."
"10004008","CMN","把伊施波设的头带到希伯仑去见大卫 ， 对王说 ： “你的仇敌扫罗过去常常寻索你的命。看哪 ！ 这是他儿子伊施波设的头。今天耶和华在扫罗和他后裔的身上为我主我王报了仇了。”"
"10004008","ENG","They took the head of Ishbosheth to David at Hebron and said to the king , » Here is the head of Ishbosheth the son of Saul , your enemy , who sought your life . Jehovah has given my lord the king vengeance this day on Saul and his descendants . «"
"10004010","CMN","从前有人向我报信说 ： ‘看哪 ！ 扫罗死了。’他自以为是报好消息 ， 我却抓住他 ， 把他杀在洗革拉 ， 这就是我给他作报好消息的酬报。"
"10004010","ENG","» I once seized a man who told me that Saul had died . He thought he was bringing good news . I killed him in Ziklag to reward him for his news ."
"10005012","CMN","大卫就知道耶和华已经立他作以色列的王 ， 又因自己的子民以色列的缘故 ， 使他的国兴盛。"
"10005012","ENG","David knew that Jehovah made him king of Israel and that he had made him a powerful ruler for the good of his people ."
"10006012","CMN","有人告诉大卫王 ： “耶和华因为 神的约柜的缘故 ， 赐福给俄别．以东的家和 一 切属他的。”大卫就去 ， 欢欢喜喜把 神的约柜从俄别．以东的家中抬上大卫的城里去。"
"10006012","ENG","King David was told : » Jehovah has blessed Obed Edom’s home and everything he owns because of the Ark of God . « Then David joyfully went to get the Ark of God from Obed Edom’s house and bring it to the City of David ."
"10007019","CMN","主耶和华啊 ， 这在你眼中还看为小事 ， 你也说到你仆人的家未来的事。主耶和华啊 ， 这岂是人常遇到的事吗？"
"10007019","ENG","» Yet this was insignificant in your eyes , O Sovereign Lord Jehovah for you have spoken also of your servant’s house in the distant future . And this is the law for man , O Sovereign Lord Jehovah ."
"10007021","CMN","你因自己应许的缘故 ， 又按照自己的心意 ， 行了这大事 ， 为要使你仆人明白。"
"10007021","ENG","» For the sake of your Word and according to your will you have done this great thing . You have made it known to your servant !"
"10007022","CMN","主耶和华啊 ， 因此 ， 你是伟大的 ！ 按照我们耳朵所听见的 ， 没有像你的 ， 除了你以外 ， 再没有别的 神。"
"10007022","ENG","» For this reason you are great , O Sovereign Lord Jehovah . There is none like you . There is no God besides you according to all that we have heard with our ears ."
"10007024","CMN","你为自己坚立了你的子民以色列 ， 使他们永远作你的子民 ； 耶和华啊 ， 你也作了他们的 神。"
"10007024","ENG","» You chose Israel to be your people from generation to generation ! You have become their God ."
"10007027","CMN","万军之耶和华以色列的 神啊 ！ 因为你曾启示你的仆人说 ： ‘我要为你建立家室。’所以你的仆人才敢来向你作这样的祷告。"
"10007027","ENG","» Now therefore , may it please you to bless the house of your servant that it may continue a long time before you . You O Lord Jehovah have spoken . May the house of your servant be blessed from generation to generation ."
"10007028","CMN","主耶和华啊 ！ 你是 神 ； 你的话是真实可信的。你向你仆人应许了这美好的福分。"
"10007028","ENG","» Lord Jehovah , you are God . You have promised me some very good things , and you can be trusted to do what you promise ."
"10010006","CMN","亚扪人知道大卫憎恶他们 ， 就派人去招募伯．利合的亚兰人和琐巴的亚兰人 ， 步兵二万 ， 玛迦王的人 一 千 ， 陀伯人 一 万二千。"
"10010006","ENG","The Ammonites realized they had made themselves repulsive to David . They hired the Arameans from Beth Rehob and Zobah , with twenty thousand foot soldiers . From the army of the king of Maacah they hired one thousand men , and twelve thousand men of Tob ."
"10010015","CMN","亚兰人见自己被以色列人击败 ， 就再聚集起来。"
"10010015","ENG","The Syrians knew they had been defeated by the Israelites . They called all their troops together ."
"10010019","CMN","所有臣服于哈大底谢的王看见自己被以色列人打败 ， 就与以色列人议和 ， 臣服于他们。于是亚兰人害怕 ， 不敢再帮助亚扪人了。"
"10010019","ENG","As soon as the kings who were subject to Hadadezer realized that they had been defeated by the Israelites , they made peace with them and became their subjects . The Syrians were afraid to help the Ammonites any more ."
"10014013","CMN","妇人说 ： “你为什么想出这样的事来陷害 神的子民呢？王说了这话 ， 如果不让自己逃亡的人回来 ， 就是个有罪的人了。"
"10014013","ENG","The woman said : » Have you been hurting God’s people ? Your own son had to leave the country . When you judged in my favor , it was the same as admitting that you should have let him come back ."
"10014021","CMN","王对约押说 ： “看哪 ！ 这事我已经同意了。你去把那年轻人押沙龙带回来吧 ！ ”"
"10014021","ENG","Later on the king said to Joab : » I have decided to do what you want . Go and get the young man Absalom and bring him back here . «"
"10015024","CMN","看哪 ！ 撒督也来了 ， 所有抬 神约柜的利未人都与他在 一 起。他们把 神的约柜放下。亚比亚他上来 ， 直到从城里出来的众人都走过去了。"
"10015024","ENG","Zadok the priest was there . He had Levites there carrying the sacred Ark of God . They set it down and did not pick it up again until all the people left the city . The priest Abiathar was there too ."
"10016018","CMN","户筛回答押沙龙 ： “不 ！ 耶和华和这民 ， 以及以色列众人所拣选的 ， 我应该归属他 ， 与他在 一 起。"
"10016018","ENG","Hushai answered : » Jehovah and the people of Israel have chosen you to be king . I cannot leave . I must stay and serve the one they have chosen ."
"10018021","CMN","于是约押对 一 个古实人说 ： “你去把你所看见的告诉王吧 ！ ”那古实人叩拜了约押 ， 就跑去了。"
"10018021","ENG","Someone from Ethiopia was standing there . Joab told him : » Go tell the king what you have seen . « The man knelt down in front of Joab and then got up and started running ."
"10019010","CMN","我们所膏立统治我们的押沙龙 ， 已经在战场上死了。现在你们为什么不出声请王回来呢？”"
"10019010","ENG","» Absalom , whom we anointed to rule us , has died in battle . Why is no one talking about reinstating the king ? «"
"10019022","CMN","大卫说 ： “洗鲁雅的儿子们啊 ， 我与你们有什么关系呢？今天你们竟与我作对 ！ 今天在以色列中 ， 岂可有人被处死呢？难道我不知道今天我作以色列的王吗？”"
"10019022","ENG","David exclaimed : » Abishai , what will I do with you and your brother Joab ? Is it your job to tell me who has done wrong ? I have been made king of all Israel today . No one will be put to death ! «"
"10019030","CMN","米非波设对王说 ： “我主我王既然已平平安安回宫 ， 所有的 一 切就都任凭洗巴拿去好了。”"
"10019030","ENG","» Let him take it all , « Mephibosheth told the king . » It is enough for me that you have come home safely . «"
"10021012","CMN","大卫就去把扫罗的骸骨和他儿子约拿单的骸骨 ， 从基列．雅比人那里搬回来。原来非利士人从前在基利波山击杀扫罗那 一 天 ， 就把他们二人的尸体挂在伯．珊的广场上 ， 基列．雅比人却把他们偷了去。"
"10021012","ENG","David took the bones of Saul and his son Jonathan from the citizens of Jabesh Gilead . They had stolen them from the public square of Beth Shean , where the Philistines hung them the day they killed Saul at Gilboa ."
"10022005","CMN","死亡的波浪环绕我 ， 毁灭的急流淹没了我。"
"10022005","ENG","» The waves of death had surrounded me . The torrents of destruction had overwhelmed me ."
"10023003","CMN","以色列的 神说 ， 以色列的磐石告诉我 ： 那以公义统治人的 ， 那存敬畏 神的心施行统治的 ，"
"10023003","ENG","» The God of Israel has spoken . The protector of Israel said to me : ‘ The king who rules with justice , who rules in obedience to God ."
"10024015","CMN","于是耶和华降瘟疫在以色列地 ， 从早晨直到所定的时间 ； 从但到别是巴 ， 众民中死了七万人。"
"10024015","ENG","So Jehovah sent a plague among the Israelites from that morning until the time he had chosen . Of the people from Dan to Beersheba , seventy thousand died ."
"10024021","CMN","亚劳拿问 ： “我主我王为什么来到你仆人这里呢？”大卫回答 ： “是要向你买这打禾场 ， 好为耶和华筑 一 座祭坛 ， 使民间的瘟疫可以止住。”"
"10024021","ENG","and said : » My lord the king ! Why have you come to see me ? « David answered : » I came to buy your threshing place . I have to build Jehovah an altar here , so this disease will stop killing the people . «"
"11001011","CMN","拿单对所罗门的母亲拔示巴说 ： “哈及的儿子亚多尼雅作了王 ， 而我们的主大卫还不知道 ， 你难道没有听见吗？"
"11001011","ENG","Then Nathan asked Solomon's mother Bathsheba : » Have you heard that Adonijah , Haggith's son , has become king , and our master David does not even know about it ?"
"11001013","CMN","你进去见大卫王 ， 对他说 ： ‘我主我王 ， 你不是曾经向婢女起誓 ， 说 ： “你的儿子所罗门必接续我作王 ， 他要坐在我的王位上”吗？现在为什么亚多尼雅作了王呢？’"
"11001013","ENG","» ‘ Go now to King David and ask him : ‘ Your Majesty , did you solemnly promise me that my son Solomon would succeed you as king ? How is it that Adonijah has become king ? ’"
"11001018","CMN","可是 ， 现在亚多尼雅作了王了 ； 而我主我王 ， 你还不知道。"
"11001018","ENG","» Adonijah has already become king . You do not know anything about it ."
"11001035","CMN","然后你们要跟随他上来 ； 他要来坐在我的王位上 ； 他要接续我作王。我已经立了他作以色列和犹大的统治者。”"
"11001035","ENG","» Follow him back here when he comes to sit on my throne . He will succeed me as king . He is the one I have chosen to be the ruler over Israel and Judah . «"
"11001037","CMN","耶和华怎样与我主我王同在 ， 愿他也照样与所罗门同在 ， 使他的王位 ， 比我主大卫王的王位更伟大。”"
"11001037","ENG","» Jehovah has been with Your Majesty . May he also be with Solomon and make his reign even more prosperous than yours . «"
"11001039","CMN","撒督祭司从帐幕里拿出那盛膏油的角 ， 膏立所罗门 ； 然后有人吹角 ， 众民就说 ： “所罗门王万岁 ！ ”"
"11001039","ENG","Zadok took the container of olive oil that he had brought from the Tent of Jehovah’s presence , and anointed Solomon . They blew the trumpet , and all the people shouted : » Long live King Solomon ! «"
"11001047","CMN","而且王的臣仆也来为我们的主大卫王祝福说 ： ‘愿你的 神使所罗门的名声比你的更尊荣 ， 使他的王位比你的更伟大。’王就在床上屈身下拜。"
"11001047","ENG","» Even the royal officials have come to congratulate His Majesty King David , saying : May your God make Solomon's name more famous than yours and his reign greater than your reign . The king himself bowed down on his bed"
"11001051","CMN","有人告诉所罗门说 ： “亚多尼雅惧怕所罗门王。他现在抓紧祭坛的角说 ： ‘愿所罗门王今天向我起誓 ， 决不会用刀杀死他的仆人。’”"
"11001051","ENG","King Solomon was told that Adonijah was afraid of him and that he was holding on to the corners of the altar . He heard that he said : » First , I want King Solomon to swear to me that he will not have me put to death . «"
"11002024","CMN","现在 ， 我指着永活的耶和华──那位坚立了我 ， 使我坐在我父亲大卫的王位上 ， 又照他所应许 ， 为我建立家室的──起誓 ， 今天亚多尼雅必被处死 ！ ”"
"11002024","ENG","» Now by the living God Jehovah who has given me my throne from David my father . He made me one of a line of kings . He gave me his word . Adonijah will be put to death this day . «"
"11003008","CMN","仆人住在你拣选的子民中 ； 这些子民很多 ， 多得不能数算。"
"11003008","ENG","» I am among the people you have chosen to be your own . They are a people who are so many that they cannot be counted ."
"11004019","CMN","乌利的儿子基别在基列地 ， 就是从前亚摩利王西宏和巴珊王噩之地。这地只有 一 个官员管理。"
"11004019","ENG","Geber son of Uri : the region of Gilead , which had been ruled by King Sihon of the Amorites and King Og of Bashan . Besides these twelve , there was one governor over all the land ."
"11005005","CMN","所以我有意要为耶和华我的 神的名建造殿宇 ， 正如耶和华曾对我的父亲大卫说 ： ‘你的儿子 ， 就是我要使他接续你坐在王位上的 ， 要为我的名建造殿宇。’"
"11005005","ENG","» Jehovah promised my father David : ‘ Your son , whom I will make king after you , will build a Temple for me . I have decided to build that Temple for the worship of Jehovah my God . ’"
"11007014","CMN","户兰是拿弗他利支派中 一 个寡妇的儿子 ； 他父亲是推罗人 ， 是个铜匠。户兰满有智慧、聪明和知识 ， 能作各样铜工 ； 他来到所罗门王那里 ， 作王的 一 切工作。"
"11007014","ENG","Huram was knowledgeable and skilled in making things out of copper . He was the son of a widow from the tribe of Naphtali . His father had been from Tyre . He went to do all of King Solomon’s work ."
"11008012","CMN","那时 ， 所罗门说 ： “耶和华曾说 ， 他要住在密云中。"
