TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The clause is morphologically passive ('had been promised'), and the verb 'promise' licenses both an external argument (agent) and an internal argument (patient), even though the external argument is unexpressed here.",0,high,"'had been promised' is a passive construction of 'promise', which licenses an external argument (the promiser), so it does not meet the unaccusative criteria.",0,high,"'had been promised' introduces a passive construction with an internal argument (Mary) realized as subject, so it does not meet the criteria for ASUnrg.",0,high,'had been promised' describes a stative or resultant state rather than a durative process directed toward a goal or a gradual change-of-state culminating in a result.,1,high,"'had been promised' denotes a punctual transition into a new state (the promise being made), fitting the criteria of a near-instantaneous event occurring at a temporal boundary.",0,high,"'had been promised' is a stative passive construction indicating a completed state or event, not a dynamic, durative activity.",0,high,"'had been promised' describes a state or event with a resulting change (a promise made), not a single punctual dynamic occurrence without change of state.",1,high,"'had been promised' denotes a stable relational configuration (a promise existing over time) without dynamic change or volitional effort, fitting the AktState feature.",0,high,"'had been promised' occurs in a declarative past perfect statement describing a fulfilled event, not in a counterfactual conditional or expressing regret or unfulfilled wish.",0,high,"The auxiliary 'had been promised' is not negated, no negative quantifier or 'never' is present, and no 'neither...nor' construction occurs.",1,high,"The clause contains the phrasal past time adverb 'before they were married', which is a clausal past time anchor starting with the temporal conjunction 'before'.",0,high,"The phrase 'had been promised' is a past perfect passive indicating a completed state, not involving frequency adverbs, negation, perception/communication verbs, or bounded activities focused on experience.",1,high,"The verb 'had been promised' describes a change of social/legal status (promise of marriage), and the status is currently held as indicated by the context.",0,high,'had been promised' describes a past event without duration adverbials or indication of a non-terminating or habitual situation.,1,high,"The phrase 'had been promised' is a perfect passive form indicating a completed, bounded event with a construed endpoint, matching the condition of 'have been' + past participle asserting a bounded event.",0,high,"'had been promised' is a past perfect passive construction indicating a realized past event, not modal, conditional, hypothetical, or future.",1,high,"The auxiliary 'had' is morphologically past and is followed by 'been' plus a past participle, matching the condition for past perfect passive construction.",1,high,"The target gram 'had been promised' has the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the subject 'His mother Mary' is the semantic patient affected by the event."
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,The target verb 'had commanded' introduces an overt grammatical subject ('the angel of God') and an overt direct object ('him').,0,high,"'had commanded' licenses an external argument (the angel of God) who performs the action of commanding, so it is not unaccusative.",0,high,"'had commanded' licenses an internal argument ('him'), so it does not meet the criteria for ASUnrg.",0,high,"The event 'had commanded' is a stative or punctual act of issuing an order, not a durative process with a defined goal or endpoint, nor a gradual change-of-state or directed motion toward a goal.",0,high,'had commanded' denotes a state or ongoing authority rather than a punctual or near-instantaneous transition or event.,0,high,"'had commanded' denotes a completed, punctual act of issuing a command, not a dynamic, durative, or homogeneous ongoing activity.",0,high,'had commanded' describes a past action that is not a single punctual dynamic occurrence but rather a completed state or event with potential ongoing relevance.,0,high,"'had commanded' denotes a past event of issuing an order, which involves dynamic, volitional action and eventive unfolding, thus not instantiating AktState.",0,high,"The phrase 'had commanded' occurs in a past perfect clause describing a completed action, not in a counterfactual conditional, regret, or contrary-to-fact context.",0,high,"The auxiliary 'had' in 'had commanded' is not negated, there is no negative quantifier, no 'never' adverb, and no 'neither...nor' construction in the full text.",1,high,The clause contains the temporal conjunction 'when' indicating a clausal past time anchor.,0,high,"The clause does not contain explicit frequency adverbs, is not a negative Perfect, and the verb 'had commanded' denotes a completed action of ordering rather than perception, communication about experience, or a bounded activity focused on undergoing an experience.",0,high,"The verb 'had commanded' describes an act of ordering, not a change of state, possession, social status, or motion with a resulting state currently in effect.",0,high,"The clause with 'had commanded' does not contain duration adverbials, nor does it describe a non-terminating, habitual, or continuous situation.",1,high,"The clause 'the angel of God had commanded him to do' functions as a discrete step in a narrative sequence, presenting the command as a completed, bounded event prior to Joseph's action.",0,high,"'had commanded' is a past perfect indicative form indicating a realized past event, not modal, conditional, hypothetical, or future.",1,high,"The auxiliary 'had' is morphologically past, as in 'had commanded', satisfying the first set_to_1_if condition.",0,high,"The target 'had commanded' is auxiliary 'had' + past participle, but it lacks the auxiliary 'been' and there is no 'by'-phrase or indication that the subject is the patient; thus, it does not instantiate VcPass."
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,"The verb phrase 'has come near' does not introduce an overt grammatical subject and direct object, is not passive, and does not license two internal arguments.",1,high,"'has come near' denotes directed motion/change-of-location where the sole argument undergoes displacement and no external argument is licensed, matching the unaccusative criteria.",0,high,"The verb phrase 'has come near' includes an overt subject ('the kingdom of heaven') and denotes a change of state or location involving an internal argument (the subject itself), not an external agent performing an activity without an internal argument.",1,high,"The phrase 'has come near' involves directed motion toward an abstract goal (the kingdom of heaven approaching), fitting the criterion of directed motion toward a goal that defines completion.",1,high,"The phrase 'has come near' denotes a punctual transition into a new state (the kingdom of heaven reaching proximity), fitting the criteria of a near-instantaneous event occurring at a temporal boundary.",0,high,"'has come near' denotes a punctual change of state or achievement, not a dynamic, durative ongoing action or activity.",0,high,The phrase 'has come near' describes a state change or approach rather than a single punctual dynamic occurrence without resulting change.,1,high,"'has come near' denotes a stable relational configuration (proximity) without internal dynamic development or volitional effort, fitting the AktState feature.",0,high,"The phrase 'has come near' occurs in a declarative statement, not in a protasis or apodosis of a counterfactual conditional, nor does it express regret, unfulfilled wish, or a contrary-to-fact situation.",0,high,"The target gram 'has come near' is not negated with 'not' or 'n't', contains no negative quantifier, is not modified by 'never', and does not appear in a 'neither…nor' construction.",0,high,The clause does not contain any lexical or phrasal past time adverbs nor clausal past time anchors; the phrase 'has come near' is present perfect without explicit past time markers.,0,high,"The clause contains no explicit frequency adverbs, the verb is not negative Perfect, and the verb phrase 'has come near' denotes a state rather than a bounded activity or perception focused on occurrence.",1,high,The verb phrase 'has come near' is a motion verb where the mover (kingdom of heaven) has moved to a destination (near) and remains there at the reference time.,0,high,"The clause does not contain duration adverbials, does not denote a non-terminating situation, nor describe repeated or habitual events; 'has come near' indicates a completed or punctual event.",1,high,"The predicate 'has come near' is a transition event asserting a completed whole, presenting the situation as a single bounded occurrence with a construed endpoint.",0,high,"The phrase 'has come near' is a present perfect indicative statement of a realized event, with no modal auxiliary, conditional, hypothetical, or future marking.",0,high,"The gram 'has come near' is present perfect with no past auxiliary, future marking, modal auxiliary before 'have', or 'been' plus progressive participle.",0,high,The target 'has come near' does not have the form 'have been + past participle'; it is present perfect active with an intransitive verb and lacks a 'by'-phrase or a patient subject.
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,"The target verb 'have approved' introduces an overt grammatical subject ('I') and an overt direct object ('whom'), satisfying the condition for ASTrns.",0,high,"'have approved' is a transitive verb with an external argument (the subject who approves), so it does not meet any unaccusative conditions.",0,high,"The verb 'have approved' licenses an internal argument ('whom I have approved'), so it does not meet the criteria for ASUnrg.",0,high,'have approved' denotes a state or a completed judgment rather than a durative process toward a defined goal or a gradual change-of-state with a measurable duration.,1,high,"'have approved' denotes a punctual cognitive transition into recognition, fitting the criteria for AktAch.",0,high,"'have approved' denotes a completed, punctual event of approval, not a dynamic, durative, or ongoing activity.",0,high,"'have approved' denotes a state or result of approval, not a single punctual dynamic occurrence without change of state.",0,high,"'have approved' denotes a completed action/event of approval, implying dynamic change and volitional engagement, thus not instantiating AktState.",0,high,"The phrase 'have approved' occurs in a declarative statement affirming a fact, not in a counterfactual conditional, regret clause, or marked as contrary to fact.",0,high,"The target gram 'have approved' is not negated with 'not' or 'n't', contains no negative quantifier, is not modified by 'never', and does not appear in a 'neither…nor' construction.",1,high,"The clause contains the lexical past time adverb 'Then', which sets the feature DtDTAM to 1.",0,high,"The clause does not contain explicit frequency adverbs, is not a negative perfect, and the verb 'have approved' denotes a state rather than perception, communication, or a bounded activity focused on experience.",1,high,"The verb 'have approved' describes a change of social/legal status (approval) and the status is currently held, as indicated by the present perfect form and context.",0,high,"The clause 'whom I have approved' does not contain duration adverbials, nor does it denote a non-terminating, habitual, or continuous situation; it describes a completed action.",1,high,"The predicate 'have approved' is a transition event asserting a completed whole, presenting the situation as a single bounded occurrence with a construed endpoint.",0,high,"The phrase 'have approved' is in the present perfect tense indicating a realized action, with no modal auxiliary, conditional, hypothetical, or future context present.",0,high,"The target gram 'have approved' is present tense perfect without any past morphological auxiliary, future marking, modal auxiliary, or 'been' plus progressive participle.",0,high,"The target gram 'have approved' is not in the form 'have been + past participle' and lacks a 'by'-phrase; thus, it does not instantiate VcPass."
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The clause is morphologically passive ('had been arrested'), and the verb 'arrest' licenses both an external argument (agent) and an internal argument (patient), even though the agent is unexpressed.",1,high,"'had been arrested' denotes a change-of-state event where the sole argument is the internal argument (the person arrested) and no external argument is licensed, fitting the unaccusative pattern.",0,high,"The verb phrase 'had been arrested' includes an internal argument (John as the patient), so it does not meet the criteria for ASUnrg.",1,high,"The event 'had been arrested' involves a durative process directed toward a defined result state (being arrested), satisfying the first set_to_1_if condition.",1,high,"'had been arrested' denotes a punctual transition into a new state (being arrested), fitting the criteria for AktAch.",0,high,"'had been arrested' denotes a completed, punctual event (a state change) rather than a dynamic, durative ongoing action or activity.",0,high,"'had been arrested' describes a past event with a resulting change of state (being in custody), not a single punctual dynamic occurrence without change of state.",0,high,"'had been arrested' denotes a completed event with dynamic change (an arrest), not a mental state, static condition, or stable relational configuration.",0,high,"The phrase 'had been arrested' occurs in a declarative statement reporting a past event, not in a counterfactual conditional or expressing regret or unfulfilled wish.",0,high,"The target gram 'had been arrested' is not negated with 'not' or 'n't', contains no negative quantifier, is not modified by 'never', and does not appear in a 'neither...nor' construction.",0,high,The clause 'John had been arrested' contains no lexical or phrasal past time adverb or clausal past time anchor; no temporal adverbials are present to set DtDTAM to 1.,1,high,"The verb phrase 'had been arrested' denotes a bounded event that the subject underwent, focusing on the occurrence of the experience rather than a persisting state.",1,high,The verb phrase 'had been arrested' describes a change of state (being arrested) and the past perfect indicates that this state was achieved and held at the reference time.,0,high,"'had been arrested' is a past perfect event indicating a completed action, with no duration adverbials or indication of a non-terminating or habitual situation.",1,high,The gram 'had been arrested' is in the form 'have been' + past participle (passive) and asserts a bounded event rather than an ongoing process.,0,high,"'had been arrested' is a past perfect passive construction indicating a realized past event, not modal, conditional, hypothetical, or future.",1,high,"The auxiliary 'had' is morphologically past and is followed by 'been' plus a progressive participle 'arrested', satisfying two conditions for TLTS.",1,high,"The target gram 'had been arrested' has the form auxiliary 'had' + 'been' + past participle 'arrested' of a transitive verb; the subject 'John' is the patient affected by the event; although no explicit 'by'-phrase is present, two conditions suffice to set annotation to 1."
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1,high,"The target verb 'have heard' introduces an overt grammatical subject 'You' and an overt direct object 'it', satisfying the first set_to_1_if condition.",0,high,"'have heard' licenses an external argument (the subject 'you') and does not denote change-of-state, directed motion, existence, or a copular clause.",0,high,"The verb 'have heard' introduces an overt grammatical subject and licenses an internal argument 'it'; thus, it does not meet the criteria for ASUnrg.",0,high,"'have heard' is a stative perfect construction indicating possession of knowledge, not a durative process toward a defined goal or a change-of-state event.",1,high,"'have heard' denotes a punctual cognitive transition into awareness, fitting the criteria for AktAch.",0,high,"'have heard' denotes a punctual, completed perception event, not a durative, ongoing activity.",0,high,"'have heard' is not a single punctual dynamic occurrence but a stative or experiential perfect aspect, thus it does not meet the criterion for AktSemel.",1,high,'have heard' denotes a cognitive condition (perception of information) that holds over time without dynamic change or volitional effort.,0,high,"The phrase 'You have heard' occurs as a simple past perfect statement and does not appear in a counterfactual conditional, a clause expressing regret, or any context marked as contrary to fact.",0,high,"The auxiliary 'have' in 'have heard' is not negated, there is no negative quantifier, 'never', or 'neither...nor' construction modifying the target gram.",0,high,The clause containing 'have heard' does not include any lexical or phrasal past time adverbs nor clausal past time anchors.,1,high,"The verb 'have heard' denotes perception focusing on the occurrence of an experience at least once, fulfilling the condition for DtExp.",0,high,"The verb 'have heard' does not describe a change of state, possession, social/legal status, or motion with a resulting state currently in effect; it simply reports past perception.",0,high,"The clause 'You have heard it was said' does not contain duration adverbials, does not denote a non-terminating situation, nor describe a habitual or repeated event over a time span.",1,high,"The phrase 'have heard' is a present perfect form indicating a completed event with a construed endpoint, fitting the criterion of a bounded occurrence rather than an ongoing process.",0,high,"The target 'have heard' is a present perfect form indicating a realized past event, not a modal, conditional, hypothetical, or future construction.",0,high,"'have heard' does not include past auxiliary, future marking, modal auxiliary before 'have', or 'been' plus progressive participle.",0,high,"The target 'have heard' is auxiliary 'have' + past participle, but it lacks 'been' and there is no 'by'-phrase or indication that the subject is the patient; thus, it does not instantiate VcPass."
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,"The target verb 'have heard' introduces an overt grammatical subject 'You' and an overt direct object 'it', satisfying the first set_to_1_if condition.",0,high,"'have heard' licenses an external argument (the subject 'you') and denotes a perception event, not a change-of-state, motion, existence, or copular clause.",0,high,The verb 'have heard' licenses an internal argument 'it' and does not denote an activity without an internal argument.,0,high,"'have heard' is a stative/perfective verb indicating possession of knowledge, not a durative process toward a defined goal or result state.",1,high,"The phrase 'have heard' denotes a punctual cognitive transition into awareness, fitting the criteria for AktAch.",0,high,"'have heard' denotes a punctual perfective event of perceiving, not a dynamic, durative, or homogeneous ongoing activity.",0,high,'have heard' describes a state or experience rather than a single punctual dynamic occurrence without resulting change of state,1,high,'have heard' denotes a cognitive condition (perception) that holds over time without dynamic change or volitional effort.,0,high,"The phrase 'You have heard' occurs in a declarative statement, not in a counterfactual conditional, regret clause, or marked as contrary to fact.",0,high,"The auxiliary 'have' in 'have heard' is not negated, there is no negative quantifier, no 'never', and no 'neither...nor' construction in the clause.",0,high,The clause does not contain any lexical or phrasal past time adverbs or clausal past time anchors.,1,high,"The verb 'have heard' denotes a perception verb focusing on the occurrence of an experience at least once, satisfying the condition for DtExp.",0,high,"The verb 'have heard' does not describe a change of state, possession, social/legal status, or motion with a resulting state currently in effect.",0,high,"The clause 'You have heard it said' does not contain duration adverbials, nor does it denote a non-terminating or habitual situation extending through the entire time span.",1,high,The phrase 'have heard' is in the present perfect form ('have been' + past participle) and asserts a bounded event of hearing rather than an ongoing process.,0,high,"'have heard' is a present perfect indicative form indicating a realized past event, not modal, conditional, hypothetical, or future.",0,high,"'have heard' is present perfect without past auxiliary, future marking, modal auxiliary, or 'been' + progressive participle.",0,high,"The target gram 'have heard' is auxiliary 'have' + past participle, but it lacks 'been' and the full form 'have been heard'; the subject is 'you' (agent/experiencer), and there is no 'by'-phrase indicating an external argument."
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1,high,"The target verb 'have heard' introduces an overt grammatical subject 'You' and an overt direct object 'it', satisfying the first set_to_1_if condition.",0,high,"'have heard' licenses an external argument (the experiencer 'you') and does not denote change-of-state, directed motion, existence, or a copular clause.",0,high,"'have heard' licenses an internal argument 'it' and does not denote manner of motion or bodily action, so it does not meet any set_to_1_if conditions.",0,high,"'have heard' is a stative perfect construction indicating possession of knowledge, not a durative process toward a defined goal or result state.",1,high,"'have heard' denotes a punctual cognitive transition into awareness, fitting the criteria for AktAch.",0,high,"'have heard' denotes a punctual, completed event of perceiving information, not a dynamic, durative, or homogeneous ongoing action.",0,high,'have heard' denotes a state or experience rather than a single punctual dynamic occurrence without resulting change of state.,1,high,'have heard' denotes a cognitive condition (perception of having heard) that holds over time without dynamic change or volitional effort.,0,high,"The phrase 'You have heard' occurs in a declarative statement, not in a counterfactual conditional protasis or apodosis, nor does it express regret or an unfulfilled wish, nor is the situation marked as contrary to fact.",0,high,"The auxiliary 'have' in 'have heard' is not negated, there is no negative quantifier, no 'never', and no 'neither...nor' construction in the clause.",0,high,The clause does not contain any lexical or phrasal past time adverbs nor clausal past time anchors.,1,high,"The verb 'have heard' denotes a perception event focusing on the occurrence of an experience at least once, satisfying the condition for DtExp.",1,high,"The verb 'have heard' describes a change of possession of information, and the clause implies the status of having heard is currently held.",0,high,"The clause does not contain duration adverbials, nor does the predicate denote a non-terminating, habitual, or continuous situation.",0,high,"The clause 'You have heard it said' does not present the situation as a single bounded occurrence with a construed endpoint, nor does it contain a completion-measure adverbial, function as a discrete narrative step, or assert a transition event as a completed whole; it is a present perfect construction indicating a state resulting from past experience rather than a bounded event.",0,high,"'have heard' is a present perfect form indicating a realized past event, not modal, conditional, hypothetical, or future.",0,high,"'have heard' is present perfect without modal or past auxiliary or progressive participle, so none of the set_to_1_if conditions apply.",0,high,"The target 'have heard' is auxiliary 'have' + past participle but lacks 'been' and a 'by'-phrase; also, the subject 'you' is the agent, not the patient."
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1,high,"The clause is morphologically passive ('have been paid'), and the verb 'pay' licenses both an external argument (agent) and an internal argument (patient), satisfying the passive condition for ASTrns.",0,high,"'have been paid' is a passive construction with an external argument licensed (the agent implied), not a change-of-state or unaccusative verb without external argument.",0,high,"'have been paid' is a passive construction with no overt external argument and involves an internal argument (the payment), so it does not meet any set_to_1_if conditions.",1,high,"The phrase 'have been paid' involves a durative process directed toward a defined result state (payment completion), fitting the criteria for AktAcc.",0,high,"'have been paid' denotes a completed state or result of payment, not a punctual or near-instantaneous transition event; it implies a state rather than an instantaneous boundary event.",0,high,"'have been paid' denotes a completed state or result, not a dynamic, durative ongoing action or activity.",0,high,"'have been paid' describes a completed state or result, not a single punctual dynamic occurrence without change of state.",0,high,"'have been paid' denotes a completed event (payment) with dynamic unfolding, not a static mental state or stable configuration.",0,high,"The phrase 'have been paid' occurs in a declarative statement about a completed action, not in a counterfactual conditional, regret clause, or marked as contrary to fact.",0,high,"The target gram 'have been paid' is not negated with 'not' or 'n't', contains no negative quantifier, is not modified by 'never', nor appears in a 'neither...nor' construction.",1,high,"The clause contains the lexical past time adverb 'already', indicating a past time reference.",0,high,"The phrase 'have been paid' is a perfect passive indicating a completed state, not focusing on frequency, perception, or bounded activity related to repeated or distinct experiences.",1,high,The verb phrase 'have been paid' describes a change of possession and the phrase 'have already been paid in full' indicates that the resulting state of having been paid is currently held.,0,high,"The clause 'they have already been paid in full' does not contain duration adverbials, does not denote a non-terminating situation, nor describe a habitual or repeated event over a time span.",1,high,The phrase 'have already been paid in full' includes a completion-measure adverbial 'in full' that profiles the situation as bounded and completed.,0,high,"The gram 'have been paid' is in the present perfect tense indicating a realized past event, with no modal auxiliary, conditional, hypothetical, or future marking.",1,high,"The gram includes 'been' followed by a past participle 'paid', which matches the condition for 'been' followed by a progressive participle or perfect participle, satisfying the TLTS feature.",1,high,"The target 'have been paid' matches the auxiliary 'have' + 'been' + past participle form, the subject 'they' corresponds to the semantic patient, and the clause includes a 'by'-phrase ('praised by men') indicating the external argument."
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The clause is morphologically passive ('have been paid'), and the verb 'pay' licenses both an external argument (agent) and an internal argument (patient), satisfying the passive condition for ASTrns.",1,high,"'have been paid' denotes a change-of-state event where the sole argument is the internal argument (theme/patient) and no external argument is licensed, fitting the unaccusative criteria.",0,high,"'have been paid' is a passive construction with an internal argument (the amount paid), so it does not meet any set_to_1_if conditions.",0,high,"'have been paid' describes a completed state resulting from a prior action, not a durative process toward a goal or a gradual change-of-state with a measurable duration.",1,high,'have been paid' denotes a punctual transition into a new state (payment completed) and can be understood as occurring at a defined temporal boundary.,0,high,"'have been paid' denotes a completed state or result of payment, not a dynamic, durative, or ongoing activity.",0,high,"'have been paid' describes a completed state or result of payment, not a single punctual dynamic occurrence without resulting change of state.",1,high,"'have been paid' denotes a completed state of possession or receipt of payment, indicating a stable relational configuration without dynamic change or volitional effort.",0,high,"The phrase 'have been paid' occurs in a declarative statement, not in a counterfactual conditional or expressing regret, nor is there any explicit marking of a contrary-to-fact situation.",0,high,"The target gram 'have been paid' is not negated with 'not' or 'n't', contains no negative quantifier, is not modified by 'never', and is not in a 'neither…nor' construction.",0,high,The clause with 'have been paid' does not contain any lexical or phrasal past time adverbs nor clausal past time anchors.,0,high,"The clause does not contain explicit frequency adverbs, is not a negative Perfect, and the verb 'have been paid' does not denote perception, communication, or a bounded activity focused on undergoing an experience.",1,high,"The verb phrase 'have been paid' describes a change of possession that is currently held, as indicated by 'in full' implying the payment is complete and the resulting state of having been paid is in effect.",0,high,"The clause 'they have been paid in full' does not contain duration adverbials, nor does it describe a non-terminating, habitual, or continuous situation extending to the reference time.",1,high,The gram 'have been paid' is in the form 'have been' + past participle (passive) and asserts a bounded event rather than an ongoing process.,0,high,"'have been paid' is a perfect passive construction indicating a completed action, not modal, conditional, hypothetical, or future.",1,high,"The gram includes 'been' followed by a past participle 'paid', matching the condition for TLTS.",1,high,"The target 'have been paid' matches the auxiliary 'have' + 'been' + past participle form; the subject 'they' corresponds to the semantic patient who received payment; although no 'by'-phrase is present, only one condition is needed to set annotation to 1."
