"verse_id","language","text"
"10002007","ENG","» Be strong and courageous . Your master Saul is dead . Therefore the tribe of Judah has anointed me to be their king . «"
"10002007","JPN","今あなたがたは手を強くし、雄々しくあれ。あなたがたの主君サウルは死に、ユダの家がわたしに油を注いで、彼らの王としたからである」。"
"10003008","ENG","Ishbosheth’s question made Abner very angry . » Am I a dog that belongs to Judea ? « He asked . » Until now I have been faithful to your father Saul’s family , to his relatives and friends . I did not hand you over to David . But now you charge me with a crime because of this woman ."
"10003008","JPN","アブネルはイシボセテの言葉を聞き、非常に怒って言った、「わたしはユダの犬のかしらですか。わたしはきょう、あなたの父サウルの家と、その兄弟と、その友人とに忠誠をあらわして、あなたをダビデの手に渡すことをしなかったのに、あなたはきょう、女の事のあやまちを挙げてわたしを責められる。"
"10003019","ENG","Abner also spoke to the people of Benjamin . Then Abner went directly to David in Hebron . He told him everything Israel and the entire tribe of Benjamin had approved ."
"10003019","JPN","アブネルはまたベニヤミンにも語った。そしてアブネルは、イスラエルとベニヤミンの全家が良いと思うことをみな、ヘブロンでダビデに告げようとして出発した。"
"10004001","ENG","Saul’s son Ishbosheth heard that Abner had died in Hebron . He lost his courage , and all Israel was alarmed ."
"10004001","JPN","サウルの子イシボセテは、アブネルがヘブロンで死んだことを聞いて、その力を失い、イスラエルは皆あわてた。"
"10004008","ENG","They took the head of Ishbosheth to David at Hebron and said to the king , » Here is the head of Ishbosheth the son of Saul , your enemy , who sought your life . Jehovah has given my lord the king vengeance this day on Saul and his descendants . «"
"10004008","JPN","イシボセテの首をヘブロンにいるダビデのもとに携えて行って王に言った、「あなたの命を求めたあなたの敵サウルの子イシボセテの首です。主はきょう、わが君、王のためにサウルとそのすえとに報復されました」。"
"10004010","ENG","» I once seized a man who told me that Saul had died . He thought he was bringing good news . I killed him in Ziklag to reward him for his news ."
"10004010","JPN","わたしはかつて、人がわたしに告げて、『見よ、サウルは死んだ』と言って、みずから良いおとずれを伝える者と思っていた者を捕えてチクラグで殺し、そのおとずれに報いたのだ。"
"10005012","ENG","David knew that Jehovah made him king of Israel and that he had made him a powerful ruler for the good of his people ."
"10005012","JPN","そしてダビデは主が自分を堅く立ててイスラエルの王とされたこと、主がその民イスラエルのためにその王国を興されたことを悟った。"
"10006012","ENG","King David was told : » Jehovah has blessed Obed Edom’s home and everything he owns because of the Ark of God . « Then David joyfully went to get the Ark of God from Obed Edom’s house and bring it to the City of David ."
"10006012","JPN","しかしダビデ王は、「主が神の箱のゆえに、オベデエドムの家とそのすべての所有を祝福されている」と聞き、ダビデは行って、喜びをもって、神の箱をオベデエドムの家からダビデの町にかき上った。"
"10007019","ENG","» Yet this was insignificant in your eyes , O Sovereign Lord Jehovah for you have spoken also of your servant’s house in the distant future . And this is the law for man , O Sovereign Lord Jehovah ."
"10007019","JPN","主なる神よ、これはなおあなたの目には小さい事です。主なる神よ、あなたはまたしもべの家の、はるか後の事を語って、きたるべき代々のことを示されました。"
"10007021","ENG","» For the sake of your Word and according to your will you have done this great thing . You have made it known to your servant !"
"10007021","JPN","あなたの約束のゆえに、またあなたの心に従って、あなたはこのもろもろの大いなる事を行い、しもべにそれを知らせられました。"
"10007022","ENG","» For this reason you are great , O Sovereign Lord Jehovah . There is none like you . There is no God besides you according to all that we have heard with our ears ."
"10007022","JPN","主なる神よ、あなたは偉大です。それは、われわれがすべて耳に聞いたところによれば、あなたのような者はなく、またあなたのほかに神はないからです。"
"10007024","ENG","» You chose Israel to be your people from generation to generation ! You have become their God ."
"10007024","JPN","そしてあなたの民イスラエルを永遠にあなたの民として、自分のために、定められました。主よ、あなたは彼らの神となられたのです。"
"10007027","ENG","» Now therefore , may it please you to bless the house of your servant that it may continue a long time before you . You O Lord Jehovah have spoken . May the house of your servant be blessed from generation to generation ."
"10007027","JPN","万軍の主、イスラエルの神よ、あなたはしもべに示して、『おまえのために家を建てよう』と言われました。それゆえ、しもべはこの祈をあなたにささげる勇気を得たのです。"
"10007028","ENG","» Lord Jehovah , you are God . You have promised me some very good things , and you can be trusted to do what you promise ."
"10007028","JPN","主なる神よ、あなたは神にましまし、あなたの言葉は真実です。あなたはこの良き事をしもべに約束されました。"
"10010006","ENG","The Ammonites realized they had made themselves repulsive to David . They hired the Arameans from Beth Rehob and Zobah , with twenty thousand foot soldiers . From the army of the king of Maacah they hired one thousand men , and twelve thousand men of Tob ."
"10010006","JPN","アンモンの人々は自分たちがダビデに憎まれていることがわかったので、人をつかわして、ベテ・レホブのスリヤびととゾバのスリヤびととの歩兵二万人およびマアカの王とその一千人、トブの人一万二千人を雇い入れた。"
"10010015","ENG","The Syrians knew they had been defeated by the Israelites . They called all their troops together ."
"10010015","JPN","しかしスリヤびとは自分たちのイスラエルに打ち敗られたのを見て、共に集まった。"
"10010019","ENG","As soon as the kings who were subject to Hadadezer realized that they had been defeated by the Israelites , they made peace with them and became their subjects . The Syrians were afraid to help the Ammonites any more ."
