"verse_id","lang","text"
"10001010","ENG","» I went up to him and killed him . I knew that he would die anyway as soon as he fell . Then I took the crown from his head and the bracelet from his arm . Here , I have brought them to you . «"
"10001010","DEU","Da trat ich auf ihn zu und gab ihm den Todesstoss ; denn ich wusste , dass er seinen Fall nicht überleben werde . Dann nahm ich das Diadem auf seinem Haupte und die Spange an seinem Arm und bringe sie hierher zu meinem Herrn ."
"10001010","CMN","我就站到他身边去 ， 把他杀了 ， 因为我知道他 一 倒下 ， 就不能再活了。我摘下他头上的王冠 ， 取下他臂上的手镯 ， 带到这里来奉给我主。”"
"10001010","JPN","そこで、わたしはそのそばにいって彼を殺しました。彼がすでに倒れて、生きることのできないのを知ったからです。そしてわたしは彼の頭にあった冠と、腕につけていた腕輪とを取って、それをわが主のもとに携えてきたのです」。"
"10001012","ENG","They grieved and mourned and fasted until evening for Saul and Jonathan and for Israel , the people of Jehovah , because so many had been killed in battle ."
"10001012","DEU","und sie hielten die Totenklage und weinten und fasteten bis zum Abend um Saul , um seinen Sohn Jonathan und um das Volk des Herrn und um das Haus Israel , weil sie durchs Schwert gefallen waren ."
"10001012","CMN","他们为了扫罗、他的儿子约拿单、耶和华的子民和以色列家的缘故悲哀、哭泣、禁食直到晚上 ， 因为他们已经倒毙在刀下。"
"10001012","JPN","彼らはサウルのため、またその子ヨナタンのため、また主の民のため、またイスラエルの家のために悲しみ泣いて、夕暮まで食を断った。それは彼らがつるぎに倒れたからである。"
"10001016","ENG","David said to him : » Your blood is on your head . Your mouth has testified against you . For you admit that you killed Jehovah’s anointed . «"
"10001016","DEU","David aber sprach zu ihm : Dein Blut über dein Haupt ! Denn dein eigener Mund hat wider dich gezeugt , da du sprachst : Ich habe den Gesalbten des Herrn getötet ."
"10001016","CMN","大卫对他说 ： “你流人血的罪要归到自己的头上 ， 因为你亲口作证指控自己说 ： ‘我杀了耶和华的受膏者。’”"
"10001016","JPN","ダビデは彼に言った、「あなたの流した血の責めはあなたに帰する。あなたが自分の口から、『わたしは主の油を注がれた者を殺した』と言って、自身にむかって証拠を立てたからである」。"
"10001019","ENG","» Your beauty , O Israel , is slain on your high places ! How the mighty have fallen !"
"10001019","DEU","Wehe , du Zierde Israels , auf deinen Höhen erschlagen ! Wie sind die Helden gefallen !"
"10001019","CMN","“以色列啊 ！ 尊荣的人都在高处被杀 ， 勇士怎么都已仆倒 ！"
"10001019","JPN","「イスラエルよ、あなたの栄光は、あなたの高き所で殺された。ああ、勇士たちは、ついに倒れた。"
"10001025","ENG","» The brave soldiers have fallen . They were killed in battle . Jonathan lies dead in the hills ."
"10001025","DEU","Wie sind die Helden gefallen mitten im Streit ! Jonathan auf deinen Höhen erschlagen !"
