"verse_id","lang","text"
"10002007","ENG","» Be strong and courageous . Your master Saul is dead . Therefore the tribe of Judah has anointed me to be their king . «"
"10002007","DEU","So fasset nun Mut und zeigt euch als wackere Männer ; denn Saul , euer Herr , ist tot . Auch hat mich das Haus Juda zum König über sich gesalbt ."
"10002007","CMN","现在你们要坚强 ， 要作勇敢的人 ， 因为你们的主扫罗已经死了 ； 犹大家已经膏立了我作他们的王了。”"
"10002007","JPN","今あなたがたは手を強くし、雄々しくあれ。あなたがたの主君サウルは死に、ユダの家がわたしに油を注いで、彼らの王としたからである」。"
"10003008","ENG","Ishbosheth’s question made Abner very angry . » Am I a dog that belongs to Judea ? « He asked . » Until now I have been faithful to your father Saul’s family , to his relatives and friends . I did not hand you over to David . But now you charge me with a crime because of this woman ."
"10003008","DEU","Da wurde Abner sehr zornig über die Worte Isbaals und sprach : Bin ich denn jetzt ein judäischer Hundskopf , nachdem ich dem Hause deines Vaters Saul , seinen Brüdern und Freunden , Liebe erwiesen und dich nicht in die Hände Davids habe geraten lassen ? Und du machst mir heute Vorwürfe wegen eines Weibes ?"
"10003008","CMN","押尼珥因伊施波设的话非常忿怒 ， 说 ： “我是犹大的狗头吗？今天我厚待你的父亲扫罗家、他的兄弟和他的朋友 ， 没有把你交在大卫的手中 ； 可是 ， 今天你竟为了这女人的事来找我的错 ！"
"10003008","JPN","アブネルはイシボセテの言葉を聞き、非常に怒って言った、「わたしはユダの犬のかしらですか。わたしはきょう、あなたの父サウルの家と、その兄弟と、その友人とに忠誠をあらわして、あなたをダビデの手に渡すことをしなかったのに、あなたはきょう、女の事のあやまちを挙げてわたしを責められる。"
"10003019","ENG","Abner also spoke to the people of Benjamin . Then Abner went directly to David in Hebron . He told him everything Israel and the entire tribe of Benjamin had approved ."
"10003019","DEU","Ebenso redete Abner zu den Benjaminiten . Darnach ging Abner auch hin , um David in Hebron alles zu berichten , was Israel und das ganze Haus Benjamin beschlossen hatten ."
"10003019","CMN","押尼珥也把这话说给便雅悯人听 ， 然后又去希伯仑 ， 把以色列人和便雅悯全都同意的 一 切事说给大卫听。"
"10003019","JPN","アブネルはまたベニヤミンにも語った。そしてアブネルは、イスラエルとベニヤミンの全家が良いと思うことをみな、ヘブロンでダビデに告げようとして出発した。"
"10004001","ENG","Saul’s son Ishbosheth heard that Abner had died in Hebron . He lost his courage , and all Israel was alarmed ."
"10004001","DEU","ALS aber Isbaal , der Sohn Sauls , hörte , dass Abner in Hebron umgekommen war , entsank ihm der Mut , und ganz Israel erschrak ."
"10004001","CMN","扫罗的儿子伊施波设听见押尼珥在希伯仑死了 ， 就怕得手都发软 ， 以色列众人也都惊惶失措。"
"10004001","JPN","サウルの子イシボセテは、アブネルがヘブロンで死んだことを聞いて、その力を失い、イスラエルは皆あわてた。"
"10004008","ENG","They took the head of Ishbosheth to David at Hebron and said to the king , » Here is the head of Ishbosheth the son of Saul , your enemy , who sought your life . Jehovah has given my lord the king vengeance this day on Saul and his descendants . «"
"10004008","DEU","brachten den Kopf Isbaals zu David nach Hebron und sprachen zum König : Da hast du den Kopf Isbaals , des Sohnes Sauls , deines Feindes , der dir nach dem Leben stellte . Der Herr hat heute meinem Gebieter , dem König , Rache gewährt an Saul und seinem Geschlecht ."
"10004008","CMN","把伊施波设的头带到希伯仑去见大卫 ， 对王说 ： “你的仇敌扫罗过去常常寻索你的命。看哪 ！ 这是他儿子伊施波设的头。今天耶和华在扫罗和他后裔的身上为我主我王报了仇了。”"
"10004008","JPN","イシボセテの首をヘブロンにいるダビデのもとに携えて行って王に言った、「あなたの命を求めたあなたの敵サウルの子イシボセテの首です。主はきょう、わが君、王のためにサウルとそのすえとに報復されました」。"
"10004010","ENG","» I once seized a man who told me that Saul had died . He thought he was bringing good news . I killed him in Ziklag to reward him for his news ."
"10004010","DEU","den , der mir die Kunde brachte : "" Saul ist tot ! "" und der meinte , er sei ein Freudenbote , den griff ich und tötete ihn in Ziklag und gab ihm so den Botenlohn ."
"10004010","CMN","从前有人向我报信说 ： ‘看哪 ！ 扫罗死了。’他自以为是报好消息 ， 我却抓住他 ， 把他杀在洗革拉 ， 这就是我给他作报好消息的酬报。"
"10004010","JPN","わたしはかつて、人がわたしに告げて、『見よ、サウルは死んだ』と言って、みずから良いおとずれを伝える者と思っていた者を捕えてチクラグで殺し、そのおとずれに報いたのだ。"
"10005012","ENG","David knew that Jehovah made him king of Israel and that he had made him a powerful ruler for the good of his people ."
"10005012","DEU","Und David erkannte , dass der Herr ihn als König über Israel bestätigt und sein Königtum emporgebracht habe um seines Volkes Israel willen ."
"10005012","CMN","大卫就知道耶和华已经立他作以色列的王 ， 又因自己的子民以色列的缘故 ， 使他的国兴盛。"
"10005012","JPN","そしてダビデは主が自分を堅く立ててイスラエルの王とされたこと、主がその民イスラエルのためにその王国を興されたことを悟った。"
"10006012","ENG","King David was told : » Jehovah has blessed Obed Edom’s home and everything he owns because of the Ark of God . « Then David joyfully went to get the Ark of God from Obed Edom’s house and bring it to the City of David ."
"10006012","DEU","Als man nun dem König David meldete : "" Der Herr hat das Haus Obed-Edoms und alles , was ihm gehört , um der Lade Gottes willen gesegnet "" , da ging David hin und holte die Lade Gottes mit Freuden aus dem Hause Obed-Edoms in die Stadt Davids herauf ."
"10006012","CMN","有人告诉大卫王 ： “耶和华因为 神的约柜的缘故 ， 赐福给俄别．以东的家和 一 切属他的。”大卫就去 ， 欢欢喜喜把 神的约柜从俄别．以东的家中抬上大卫的城里去。"
"10006012","JPN","しかしダビデ王は、「主が神の箱のゆえに、オベデエドムの家とそのすべての所有を祝福されている」と聞き、ダビデは行って、喜びをもって、神の箱をオベデエドムの家からダビデの町にかき上った。"
"10007019","ENG","» Yet this was insignificant in your eyes , O Sovereign Lord Jehovah for you have spoken also of your servant’s house in the distant future . And this is the law for man , O Sovereign Lord Jehovah ."
"10007019","DEU","Und auch das war dir noch nicht genug , o Gott mein Herr ; du hast sogar dem Hause deines Knechtes auf ferne Zukunft hin Verheissungen gegeben und hast mich viele Geschlechter von Menschen schauen lassen , o Gott mein Herr !"
"10007019","CMN","主耶和华啊 ， 这在你眼中还看为小事 ， 你也说到你仆人的家未来的事。主耶和华啊 ， 这岂是人常遇到的事吗？"
"10007019","JPN","主なる神よ、これはなおあなたの目には小さい事です。主なる神よ、あなたはまたしもべの家の、はるか後の事を語って、きたるべき代々のことを示されました。"
"10007021","ENG","» For the sake of your Word and according to your will you have done this great thing . You have made it known to your servant !"
"10007021","DEU","Um deines Knechtes willen und nach deinem Herzen hast du gehandelt , indem du all dies Grosse deinem Knechte kund tatest ."
"10007021","CMN","你因自己应许的缘故 ， 又按照自己的心意 ， 行了这大事 ， 为要使你仆人明白。"
"10007021","JPN","あなたの約束のゆえに、またあなたの心に従って、あなたはこのもろもろの大いなる事を行い、しもべにそれを知らせられました。"
"10007022","ENG","» For this reason you are great , O Sovereign Lord Jehovah . There is none like you . There is no God besides you according to all that we have heard with our ears ."
"10007022","DEU","Darum bist du gross , o Gott mein Herr ; denn keiner ist dir gleich , und kein Gott ist ausser dir , nach allem , was wir mit unsern Ohren gehört haben ."
"10007022","CMN","主耶和华啊 ， 因此 ， 你是伟大的 ！ 按照我们耳朵所听见的 ， 没有像你的 ， 除了你以外 ， 再没有别的 神。"
"10007022","JPN","主なる神よ、あなたは偉大です。それは、われわれがすべて耳に聞いたところによれば、あなたのような者はなく、またあなたのほかに神はないからです。"
"10007024","ENG","» You chose Israel to be your people from generation to generation ! You have become their God ."
"10007024","DEU","Du aber hast dir dein Volk Israel auf ewig zum Volke bestimmt , und du , Herr , bist sein Gott geworden ."
"10007024","CMN","你为自己坚立了你的子民以色列 ， 使他们永远作你的子民 ； 耶和华啊 ， 你也作了他们的 神。"
"10007024","JPN","そしてあなたの民イスラエルを永遠にあなたの民として、自分のために、定められました。主よ、あなたは彼らの神となられたのです。"
"10007027","ENG","» Now therefore , may it please you to bless the house of your servant that it may continue a long time before you . You O Lord Jehovah have spoken . May the house of your servant be blessed from generation to generation ."
"10007027","DEU","Denn du , Herr der Heerscharen , Gott Israels , hast deinem Knecht geoffenbart : "" Ich will dir ein Haus bauen . "" Darum hat sich dein Knecht ein Herz gefasst , so zu dir zu beten ."
"10007027","CMN","万军之耶和华以色列的 神啊 ！ 因为你曾启示你的仆人说 ： ‘我要为你建立家室。’所以你的仆人才敢来向你作这样的祷告。"
"10007027","JPN","万軍の主、イスラエルの神よ、あなたはしもべに示して、『おまえのために家を建てよう』と言われました。それゆえ、しもべはこの祈をあなたにささげる勇気を得たのです。"
"10007028","ENG","» Lord Jehovah , you are God . You have promised me some very good things , and you can be trusted to do what you promise ."
"10007028","DEU","Und nun , o Gott mein Herr , du bist Gott , und deine Worte sind Wahrheit ; du hast deinem Knechte solches Glück verheissen -"
"10007028","CMN","主耶和华啊 ！ 你是 神 ； 你的话是真实可信的。你向你仆人应许了这美好的福分。"
"10007028","JPN","主なる神よ、あなたは神にましまし、あなたの言葉は真実です。あなたはこの良き事をしもべに約束されました。"
"10010006","ENG","The Ammonites realized they had made themselves repulsive to David . They hired the Arameans from Beth Rehob and Zobah , with twenty thousand foot soldiers . From the army of the king of Maacah they hired one thousand men , and twelve thousand men of Tob ."
"10010006","DEU","Als aber die Ammoniter sahen , dass sie David verhasst geworden waren , sandten sie hin und warben die Syrer von Beth-Rehob und die Syrer von Zoba an , 20000 Mann Fussvolk , und den König von Maacha mit tausend Mann und die Leute von Tob , zwölftausend Mann ."
"10010006","CMN","亚扪人知道大卫憎恶他们 ， 就派人去招募伯．利合的亚兰人和琐巴的亚兰人 ， 步兵二万 ， 玛迦王的人 一 千 ， 陀伯人 一 万二千。"
"10010006","JPN","アンモンの人々は自分たちがダビデに憎まれていることがわかったので、人をつかわして、ベテ・レホブのスリヤびととゾバのスリヤびととの歩兵二万人およびマアカの王とその一千人、トブの人一万二千人を雇い入れた。"
"10010015","ENG","The Syrians knew they had been defeated by the Israelites . They called all their troops together ."
"10010015","DEU","Als nun die Syrer sahen , dass sie von Israel geschlagen worden waren , sammelten sie sich wieder ."
"10010015","CMN","亚兰人见自己被以色列人击败 ， 就再聚集起来。"
"10010015","JPN","しかしスリヤびとは自分たちのイスラエルに打ち敗られたのを見て、共に集まった。"
"10010019","ENG","As soon as the kings who were subject to Hadadezer realized that they had been defeated by the Israelites , they made peace with them and became their subjects . The Syrians were afraid to help the Ammonites any more ."
"10010019","DEU","Als sich nun alle die Könige , die Hadad-Eser untertan waren , von Israel geschlagen sahen , machten sie Frieden mit Israel und unterwarfen sich . Und die Syrer fürchteten sich , den Ammonitern noch fernerhin zu helfen ."
"10010019","CMN","所有臣服于哈大底谢的王看见自己被以色列人打败 ， 就与以色列人议和 ， 臣服于他们。于是亚兰人害怕 ， 不敢再帮助亚扪人了。"
"10010019","JPN","ハダデゼルの家来であった王たちはみな、自分たちがイスラエルに打ち敗られたのを見て、イスラエルと和を講じ、これに仕えた。こうしてスリヤびとは恐れて再びアンモンの人々を助けることをしなかった。"
"10014013","ENG","The woman said : » Have you been hurting God’s people ? Your own son had to leave the country . When you judged in my favor , it was the same as admitting that you should have let him come back ."
"10014013","DEU","Die Frau sprach : Warum denn hast du solches wider das Volk Gottes im Sinn - indem der König so entschieden hat , ist er ja selbst gleichsam ein Schuldiger - , dass der König seinen Verstossenen nicht zurückkehren lässt ?"
"10014013","CMN","妇人说 ： “你为什么想出这样的事来陷害 神的子民呢？王说了这话 ， 如果不让自己逃亡的人回来 ， 就是个有罪的人了。"
"10014013","JPN","女は言った、「あなたは、それならばどうして、神の民に向かってこのような事を図られたのですか。王は今この事を言われたことによって自分を罪ある者とされています。それは王が追放された者を帰らせられないからです。"
"10014021","ENG","Later on the king said to Joab : » I have decided to do what you want . Go and get the young man Absalom and bring him back here . «"
"10014021","DEU","Da sprach der König zu Joab : Wohlan , ich erfülle diese Bitte . Geh hin und hole den Jüngling Absalom zurück ."
"10014021","CMN","王对约押说 ： “看哪 ！ 这事我已经同意了。你去把那年轻人押沙龙带回来吧 ！ ”"
"10014021","JPN","そこで王はヨアブに言った、「この事を許す。行って、若者アブサロムを連れ帰るがよい」。"
"10015024","ENG","Zadok the priest was there . He had Levites there carrying the sacred Ark of God . They set it down and did not pick it up again until all the people left the city . The priest Abiathar was there too ."
"10015024","DEU","Siehe , da waren auch Zadok und Abjathar mit allen Leviten ; die trugen die Bundeslade Gottes und stellten sie dort nieder , bis alles Volk aus der Stadt vollständig vorbeigezogen war ."
"10015024","CMN","看哪 ！ 撒督也来了 ， 所有抬 神约柜的利未人都与他在 一 起。他们把 神的约柜放下。亚比亚他上来 ， 直到从城里出来的众人都走过去了。"
"10015024","JPN","そしてアビヤタルも上ってきた。見よ、ザドクおよび彼と共にいるすべてのレビびともまた、神の契約の箱をかいてきた。彼らは神の箱をおろして、民がことごとく町を出てしまうのを待った。"
"10016018","ENG","Hushai answered : » Jehovah and the people of Israel have chosen you to be king . I cannot leave . I must stay and serve the one they have chosen ."
"10016018","DEU","Husai erwiderte Absalom : Nein ! sondern wen der Herr erwählt hat und dieses Volk und alle Männer Israels , zu dem gehöre ich und bei dem bleibe ich !"
"10016018","CMN","户筛回答押沙龙 ： “不 ！ 耶和华和这民 ， 以及以色列众人所拣选的 ， 我应该归属他 ， 与他在 一 起。"
"10016018","JPN","ホシャイはアブサロムに言った、「いいえ、主とこの民とイスラエルのすべての人々が選んだ者にわたしは属し、かつその人と一緒におります。"
"10018021","ENG","Someone from Ethiopia was standing there . Joab told him : » Go tell the king what you have seen . « The man knelt down in front of Joab and then got up and started running ."
"10018021","DEU","Dann sprach Joab zu dem Mohren : Geh und melde dem König , was du gesehen hast ! Der Mohr warf sich vor Joab nieder und lief hin ."
"10018021","CMN","于是约押对 一 个古实人说 ： “你去把你所看见的告诉王吧 ！ ”那古实人叩拜了约押 ， 就跑去了。"
"10018021","JPN","ヨアブはクシびとに言った、「行って、あなたの見た事を王に告げなさい」。クシびとはヨアブに礼をして走って行った。"
"10019010","ENG","» Absalom , whom we anointed to rule us , has died in battle . Why is no one talking about reinstating the king ? «"
"10019010","DEU","da zankten sich die Leute in allen Stämmen Israels und sprachen : Der König hat uns aus der Hand unsrer Feinde errettet , er hat uns aus der Hand der Philister befreit , und jetzt hat er vor Absalom aus dem Lande fliehen müssen ."
