TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1.0,high,"The passive clause 'Mary had been promised to Joseph' includes an external argument (agent, implied) and an internal argument (Mary, overt object), satisfying the passive condition for ASTrns.",0,high,"The verb 'had been promised' licenses an external argument (the promiser), and the clause contains an overt indirect object (Mary), so it is not unaccusative.",0,high,"The verb 'had been promised' licenses an internal argument (Joseph as recipient), so it does not instantiate ASUnrg.",0,high,"'had been promised' denotes a punctual state or event of promise without a durative process or inherent endpoint, thus not instantiating AktAcc.",0,high,'had been promised' describes a state or arrangement rather than a punctual or near-instantaneous transition into a new state.,0,high,"'had been promised' denotes a completed, bounded event with a defined result state (a promise made), not a dynamic durative activity.",0,high,"'had been promised' entails a resulting state of promise (a transition into a new state), thus it does not instantiate AktSemel.",0,high,"'had been promised' is a past perfect progressive form indicating a completed dynamic event (a promise made), thus involving bounded eventive change, not a static state.",0,high,The clause 'His mother Mary had been promised to Joseph in marriage' presents a factual past event without any indication that it is contrary to fact or counterfactual.,0,high,The target gram 'had been promised' is not negated; there is no negator directly negating this eventuality in the sentence.,0,high,"The clause containing 'had been promised' does not contain any overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The phrase 'had been promised' entails a change of social/legal status that remains in effect at the reference time, thus it does not represent a mere life-history event but a current resulting state.",1,high,The phrase 'had been promised' indicates a change of social/legal status (promise of marriage) that is currently held at the reference time.,0,high,The phrase 'had been promised' describes a discrete past event (a promise made) rather than a continuous or habitual state holding up to the reference time.,0,high,"The phrase 'had been promised' is a passive perfect form but denotes a stative situation without a construed boundary or transition event, and the clause does not present a bounded whole or completion.",0,high,"'had been promised' asserts a realized past event in the actual world with no modal, conditional, future, or hypothetical context.",1,high,"'had' is morphologically past auxiliary combined with 'been' and past participle 'promised', indicating past perfect passive, which meets the set_to_1_if condition.",1,high,"The phrase 'had been promised' is auxiliary 'had' + 'been' + past participle 'promised' of a transitive verb; the grammatical subject 'Mary' corresponds to the semantic patient, and the agent 'Joseph' is expressed in a by-phrase ('to Joseph'), satisfying passive construction criteria."
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1.0,high,"The verb 'had commanded' has an overt grammatical subject ('the angel of God') and an overt direct object ('him'), fulfilling the conditions for ASTrns.",0,high,"'had commanded' licenses an external argument (the angel of God as agent), so it does not meet unaccusative criteria.",0,high,"The verb 'had commanded' licenses an internal argument ('him'), so it does not instantiate ASUnrg.",0,high,'had commanded' denotes a punctual event of issuing an order without a durative process or inherent endpoint.,0,high,"'had commanded' denotes a durative or extended act of giving an order, not a punctual instantaneous transition or boundary crossing.",0,high,"'had commanded' denotes a completed, bounded event with a defined result state (issuing a command), not a dynamic durative activity.",0,high,"'had commanded' entails a resulting change of state in the addressee's obligation or status, thus not a punctual event without change of state.",0,high,"'had commanded' denotes a completed, bounded dynamic event (a past action of giving a command), not a static state.",0,high,"The clause presents a factual past event that actually occurred, with no indication of counterfactuality or regret.",0,high,The target gram 'had commanded' is not negated; no negator applies directly to it and the sentence affirms the event.,1,high,"The clause contains the clausal past time anchor 'When Joseph woke up', explicitly anchoring the event to a specific past time interval.",0,high,"The verb 'had commanded' entails a change of social/legal status (issuing a command) that remains relevant at the reference time, not just an event in life history.",0,high,'had commanded' is a past perfect verb indicating a past action without entailment that the commanded state currently holds; it does not indicate a resulting state persisting at the reference time.,0,high,'had commanded' describes a discrete past event (a command given) rather than a continuous or habitual state holding up to the reference time.,1,high,"'had commanded' presents a completed, bounded event (a discrete past action) that functions as a completed instruction, fitting the transition event criterion.",0,high,"The phrase 'had commanded' is used in a past perfect construction asserting a realized past event, not a hypothetical or projected situation.",1,high,"'had commanded' uses a morphologically past auxiliary 'had', indicating past perfect tense, which meets the set_to_1_if condition.",0,high,'had commanded' is active voice with the agent expressed as 'the angel of God' and no passive morphology present.
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0.0,high,The verb phrase 'has come near' does not introduce an overt internal argument (direct or indirect object) and does not encode a two-participant event with an external argument affecting an internal argument.,1,high,"'has come near' denotes directed motion/change of location where the sole argument undergoes displacement and no external argument is licensed, matching unaccusative criteria.",0,high,"The verb phrase 'has come near' denotes a change-of-location event with the subject as internal argument (theme), not an external agent, thus it does not instantiate ASUnrg.",0,high,"'has come near' denotes a punctual or near-instantaneous boundary transition without a durative process phase, matching the 'set_to_0_if' condition for punctual change-of-state.",1,high,"'has come near' denotes a punctual or near-instantaneous transition into a new state (the kingdom of heaven approaching), fitting the criteria for AktAch.",0,high,"The phrase 'has come near' denotes a bounded event with a specific result state (the kingdom of heaven arriving near), not a dynamic durative activity.",0,high,"The phrase 'has come near' entails a transition into a new resulting state (the kingdom of heaven approaching), thus it is not a single punctual event without change of state.",0,high,"'has come near' denotes a dynamic change of state or event boundary indicating approach, thus it involves internal eventive unfolding and is not a static state.",0,high,The clause 'the kingdom of heaven has come near' presents a factual statement without any indication of counterfactuality or contrary-to-fact conditions.,0,high,"The target gram 'has come near' is not negated; there is no negator or negative quantifier in the sentence, so the event is presented as occurring.",0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial anchoring the event to a specific past time interval.",0,high,"The phrase 'has come near' entails a change of location resulting in a current state (the kingdom of heaven is now near), which vetoes DtExp.",1,high,"The verb phrase 'has come near' is a motion verb indicating a change of location, and the phrase implies that the kingdom of heaven is now near, so the resulting state holds at the reference time.",0,high,The phrase 'has come near' describes a punctual event indicating a transition rather than a continuous or habitual state holding over time.,1,high,"The predicate 'has come near' denotes a transition event ('come near') asserted as a completed whole, presenting the situation as a bounded occurrence with a construed endpoint.",0,high,"The phrase 'has come near' asserts the situation as realized in the actual world with no modal, conditional, or hypothetical context.",0,high,"The gram uses present-tense 'has' followed by a past participle 'come' with no modal, future, or progressive marking, indicating simple present perfect.",0,high,"'has come near' is active intransitive with no passive morphology or by-phrase; 'come' is not a past participle passive but a main verb, and the subject is agentive."
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1.0,high,"The verb 'have approved' has an overt grammatical subject ('I') and an overt direct object ('whom'), indicating a two-participant event with an external agent affecting an internal patient.",0,high,"'have approved' licenses an external argument (the subject who approves), so it is not unaccusative.",0,high,"The verb 'have approved' licenses an internal argument ('my Son'), so it does not instantiate ASUnrg.",0,high,'have approved' denotes a punctual change-of-state (approval) without a durative process or inherent endpoint phase.,1,high,"'have approved' denotes a punctual cognitive transition into a new state of recognition or acceptance, fitting the criteria for AktAch.",0,high,"'have approved' denotes a bounded cognitive event with a defined result state (approval), not a dynamic durative activity.",0,high,"'have approved' entails a resulting change of state (approval granted), so it does not instantiate AktSemel.",0,high,"'have approved' denotes a bounded dynamic event involving a change-of-state (approval), thus not a static state.",0,high,"The clause presents the situation as having actually occurred, with no indication of counterfactuality or regret.",0,high,"The target gram 'have approved' is not negated; there is no negator directly negating it, and the sentence affirms approval.",0,high,'Then' here functions as a logical connector rather than a temporal adverb anchoring the event to a specific past time interval.,0,high,"The verb 'have approved' entails a change of social/legal status that remains in effect at the reference time, indicating a current state rather than a mere life-history event.",1,high,"The verb 'have approved' indicates a change of social/legal status (approval) that is currently held, as the voice states 'This is my Son whom I have approved,' implying the approval persists at the reference time.",0,high,The clause describes a discrete bounded event of approval rather than a continuous or habitual state holding over time.,1,high,"The predicate 'have approved' denotes a transition event (the act of approving) asserted as a completed whole, presenting the situation as a single bounded occurrence with a construed endpoint.",0,high,"The phrase 'I have approved' asserts a realized fact in the actual world without any modal, conditional, future, or hypothetical context.",0,high,"The gram 'have approved' is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking, indicating simple present perfect.",0,high,The phrase 'have approved' is active with the agent as the grammatical subject and no passive morphology or 'been' + past participle construction.
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1.0,high,"The clause is morphologically passive ('had been arrested'), and the lexical verb 'arrest' licenses both an external argument (agent) and an internal argument (patient), satisfying the set_to_1_if condition.",0,high,"The verb 'had been arrested' is passive and licenses an external argument (the agent who arrested), so it does not meet unaccusative criteria.",0,high,"'had been arrested' licenses an internal argument (the person arrested) and denotes a change-of-state event where the sole argument is a theme/patient, not an external argument.",0,high,'had been arrested' denotes a punctual or near-instantaneous change-of-state (arrest) without a durative process phase or inherent endpoint unfolding over time.,1,high,"'had been arrested' denotes a punctual change-of-state event marking the transition into the new state of being arrested, which is instantaneous and can be conceived as a boundary point.",0,high,"'had been arrested' denotes a completed, bounded event with a defined result state (the arrest), not a dynamic durative activity.",0,high,"'had been arrested' entails a resulting change of state (being in custody), so it does not instantiate AktSemel.",0,high,"'had been arrested' is morphologically progressive perfect passive indicating a bounded dynamic event (an arrest), thus not a static state.",0,high,The clause 'John had been arrested' is presented as a factual past event without any indication of counterfactuality or contrary-to-fact conditions.,0,high,"The target gram 'had been arrested' is not negated; there is no negator directly modifying it or negative quantifier in the clause, so the event is presented as having occurred.",0,high,"The clause 'John had been arrested' contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The verb 'had been arrested' entails a change of state (being in custody) that holds at the reference time, which vetoes DtExp.",1,high,"The verb phrase 'had been arrested' describes a change of legal status (being arrested) that holds at the reference time, as indicated by the subsequent action of Jesus withdrawing upon hearing this fact.",0,high,"'had been arrested' describes a discrete, bounded event (an arrest) rather than a continuous or habitual state holding over time.",1,high,"'had been arrested' is a passive perfect form asserting a completed bounded transition event (arrest), matching the set_to_1_if conditions.",0,high,"'had been arrested' is presented as a realized past event reported as fact, with no modal, conditional, or hypothetical context.",1,high,"'had been arrested' includes the morphologically past auxiliary 'had', indicating past perfect, which meets the set_to_1_if condition.",1,high,"'had been arrested' is auxiliary 'had' + 'been' + past participle 'arrested' of a transitive verb, the subject 'John' is the semantic patient, and the construction shows passive morphology."
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1.0,high,"The target verb 'have heard' introduces an overt grammatical subject 'You' and an overt direct object 'it', satisfying the condition for ASTrns.",0,high,"'have heard' licenses an external argument (the experiencer 'you') and takes a direct object ('it'), so it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument ('it'), so it does not meet the criteria for ASUnrg.",0,high,'have heard' denotes a punctual event of perceiving information without a durative process leading to a defined endpoint or result state.,1,high,"'have heard' denotes a punctual perceptual transition into awareness, matching the example 'They have heard the news.'",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is a single completed occurrence without durative unfolding.",0,high,'have heard' entails a state or experiential event rather than a single punctual dynamic occurrence without change of state.,0,high,"'have heard' denotes a bounded perceptual event marking the completion of awareness, which involves dynamic change and eventive unfolding, thus not instantiating AktState.",0,high,The clause 'You have heard it was said' presents a factual statement without any indication of counterfactuality or contrary-to-fact conditions.,0,high,"The target gram 'have heard' is not negated; the negation 'not' applies to 'commit adultery', not to 'have heard'.",0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",1,high,"The verb 'have heard' denotes perception focusing on the occurrence of an experience at least once, fitting the set_to_1_if condition for DtExp.",0,high,"'have heard' is a perception event without a resulting state that holds at the reference time, thus it does not instantiate DtRes.",0,high,"'have heard' describes a discrete event of hearing something, not a continuous or habitual state over a duration.",0,high,'have heard' here is a present perfect form indicating a stative or experiential situation without a construed boundary or transition; the clause does not present a bounded whole event or a completed transition.,0,high,"The phrase 'You have heard' asserts a realized fact in the actual world without modal, conditional, future, or hypothetical context.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking, indicating simple present perfect.",0,high,The target 'have heard' is active voice with the grammatical subject as the agent and no passive morphology or 'been' auxiliary present.
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1.0,high,"The target verb 'have heard' introduces an overt grammatical subject 'You' and an overt direct object 'it', satisfying the condition for ASTrns.",0,high,"'have heard' licenses an external argument (the subject 'you' is an agent/initiator) and the clause contains an overt direct object ('it'), so it does not meet unaccusative criteria.",0,high,"The verb 'have heard' licenses an internal argument 'it', so it does not instantiate ASUnrg.",0,high,'have heard' denotes a punctual or near-instantaneous change-of-state (perceiving or receiving information) without a durative process phase or inherent endpoint.,1,high,"'have heard' denotes a punctual perceptual transition into awareness, matching the example 'They have heard the news' and fitting the set_to_1_if criteria.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is a single completed occurrence without dynamic unfolding.",0,high,'have heard' entails a state of having perceived something and is not a single punctual dynamic occurrence without change of state.,0,high,"The phrase 'have heard' denotes a bounded perceptual event marking the completion of awareness, which involves dynamic change and eventive unfolding, thus not instantiating AktState.",0,high,The clause 'You have heard it said' presents a factual statement without any indication of counterfactuality or unfulfilled condition.,0,high,The target gram 'have heard' is not negated; there is no negator directly negating 'have heard' in the sentence.,0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial anchoring the event to a specific past time interval.",1,high,"The verb 'have heard' denotes perception focusing on the occurrence of an experience at least once, fitting the feature DtExp.",0,high,'have heard' is a perception verb indicating past experience without entailing a resulting state that holds at the reference time.,0,high,The phrase 'You have heard it said' describes a discrete event of hearing something rather than a continuous or habitual state holding over time.,0,high,"'have heard' is a perfect form of a stative verb indicating possession of knowledge, not a bounded transition or completed event, and no completion adverbials or narrative sequencing are present.",0,high,"'have heard' is used in a present perfect construction asserting a realized fact, not modal, conditional, or hypothetical.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking, matching simple present perfect.",0,high,The target 'have heard' is active voice with the grammatical subject as the agent and no passive morphology or 'been' auxiliary present.
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1.0,high,"The target verb 'have heard' introduces an overt grammatical subject ('You') and an overt direct object ('it'), satisfying the condition for ASTrns.",0,high,"'have heard' licenses an external argument (the experiencer 'you') and takes a direct object ('it'), so it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument ('it'), so it does not instantiate ASUnrg.",0,high,'have heard' denotes a punctual event of perceiving or receiving information without a durative process or inherent endpoint.,1,high,"'have heard' denotes a punctual perceptual transition into awareness, matching the criteria for AktAch.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness, a single completed occurrence without durative unfolding.",0,high,'have heard' entails a state or experience rather than a single punctual dynamic occurrence without change of state.,0,high,"'have heard' denotes a bounded perceptual event marking the completion of awareness, which involves dynamic change and eventive unfolding, thus not instantiating AktState.",0,high,The clause 'You have heard it said' presents a factual statement without any indication of counterfactuality or contrary-to-fact conditions.,0,high,The target gram 'have heard' is not negated; there is no negator directly negating 'have heard' in the sentence.,0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial anchoring the event to a specific past time interval.",1,high,"The verb 'have heard' denotes perception focusing on the occurrence of an experience at least once, fitting the set_to_1_if condition for DtExp.",0,high,'have heard' is a perception event without entailment that the resulting state (knowledge) currently holds at the reference time; it is a past experience rather than a change of state with persisting effect.,0,high,The clause describes a discrete event of hearing something rather than a continuous or habitual state holding over time.,0,high,"'have heard' here is a present perfect stative verb indicating a past experience without a bounded endpoint or transition, and the clause does not present a bounded whole or completion.",0,high,"'have heard' is used here as a present perfect asserting a realized fact (something the listener already knows), with no modal, conditional, future, or hypothetical context.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle, with no modal, future, or progressive marking.",0,high,The target 'have heard' is active voice with the grammatical subject as the agent and no passive morphology or 'been' auxiliary present.
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1.0,high,"The passive construction 'have been paid' licenses both an external agent (implied payer) and an internal argument (the recipient as patient), satisfying the conditions for ASTrns.",0,high,"'have been paid' is a passive construction with an external argument licensed (the agent who pays), so it does not meet unaccusative criteria.",0,high,"'have been paid' licenses an internal argument (the payment), so it does not instantiate ASUnrg.",0,high,'have been paid' denotes a punctual event of payment completion without a durative process or inherent endpoint phase.,0,high,"'have been paid' describes a completed state resulting from a prior process, not a punctual instantaneous transition at a temporal boundary.",0,high,"'have been paid' denotes a completed, bounded event with a defined result state, not a dynamic durative activity.",0,high,"'have been paid' entails a resulting change of state (the state of having been paid), so it does not instantiate AktSemel.",0,high,"'have been paid' denotes a completed, bounded event (payment received), involving dynamic change and event boundary, thus not a stative AktState.",0,high,The clause 'they have already been paid in full' presents a factual past event without any indication of being contrary to fact or counterfactual.,0,high,"The target gram 'have been paid' is not negated; the sentence states 'they have already been paid,' indicating the event has occurred.",0,high,"The clause containing 'have been paid' does not include any overt lexical, phrasal, or clausal past time adverbial anchoring the event to a specific past time interval.",0,high,"The phrase 'have been paid in full' entails a completed change of possession with the resulting state holding at the reference time, thus not instantiating DtExp.",1,high,The phrase 'have been paid' indicates a completed change of possession with the resulting state (having been paid) currently holding at the reference time.,0,high,"The phrase 'have been paid' describes a completed, bounded event (payment already received), not a continuous or habitual state extending to the reference time.",1,high,"The phrase 'have been paid' is passive and asserts a completed bounded event (payment completed), matching the set_to_1_if condition for a passive bounded transition.",0,high,"'have been paid' asserts a realized fact in the actual world (they have already been paid), with no modal, conditional, future, or hypothetical context.",0,high,"'have been paid' is formed with present-tense 'have' followed by 'been' and a past participle, with no progressive participle, matching simple present perfect passive, so TLTS is not instantiated.",1,high,"The phrase 'have been paid' is auxiliary 'have' + 'been' + past participle 'paid' of a transitive verb, the subject 'they' corresponds to the semantic patient, and the context implies a passive construction consistent with the CRIs."
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1.0,high,"The passive clause 'they have been paid in full' includes an external argument (they) and an internal argument (implied payment), satisfying the passive condition for ASTrns.",0,high,"'have been paid' is a passive construction with an external argument licensed (agent implied), so it does not meet unaccusative criteria.",0,high,"'have been paid' licenses an internal argument (the payment), so it does not instantiate ASUnrg.",0,high,'have been paid' denotes a punctual event of payment completion without a durative process or inherent endpoint phase.,1,high,"'have been paid' denotes a punctual, near-instantaneous transition into a new state of having received payment, matching the criteria for AktAch.",0,high,"'have been paid' denotes a completed, bounded event with a defined result state (payment completed), not a dynamic durative activity.",0,high,"'have been paid' entails a resulting change of state (the payment is completed), so it does not instantiate AktSemel.",0,high,"'have been paid' denotes a completed, bounded event (payment), involving dynamic change and event boundary, thus not a stative condition.",0,high,"The clause 'they have been paid in full' presents the situation as factual and actual, with no indication of counterfactuality or regret.",0,high,"The target gram 'have been paid' is not negated; the sentence states they 'have been paid in full,' indicating the event has occurred.",0,high,"The clause 'they have been paid in full' contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The phrase 'have been paid in full' entails a completed change of possession with the resulting state holding at the reference time, thus it does not represent a life-history event but a current state.",1,high,The phrase 'have been paid' indicates a completed change of possession with the resulting state (being paid) currently holding at the reference time.,0,high,"'have been paid' describes a completed, bounded event (payment received), not a continuous or habitual state over time.",1,high,"The phrase 'have been paid in full' is a passive construction asserting a completed, bounded event with a completion-measure adverbial 'in full', indicating the situation is presented as a bounded whole.",0,high,"The phrase 'have been paid' is asserted as a realized fact in the actual world, with no modal, conditional, future, or hypothetical context present.",0,high,"The gram 'have been paid' is formed with present-tense 'have' followed by 'been' and a past participle, but it does not include a progressive participle, modal, or future marking, thus it is a simple present perfect passive construction.",1,high,"'have been paid' is auxiliary 'have' + 'been' + past participle 'paid' of a transitive verb, the subject 'they' corresponds to the semantic patient, and the phrase implies a passive construction consistent with the CRIs."
