TokenID,t_o,FullText,Target,t_surf,DtExp,DtRes,DtUniv,DtDTAM,TLTS,TLAspPfv,TLMdIrr,ClNegPol,ClIntgv,ClCntfcl,VcPass,ASTrns,ASUnrg,ASUncc,AktState,AktAct,AktAcc,AktAch,AktSemel,metadata
40001018,1,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,had been promised,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,
40003002,1,"» Repent , for the kingdom of heaven has come near . «",has come near,has come near,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,
40005043,1,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,have heard,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
40006016,1,"» When you abstain from food , do not be like the hypocrites , with sad faces to be seen by men . They have received their reward .",have received,have received,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
40008010,1,"When Jesus heard it , he was amazed , and said to the crowd : » I tell you , I have not found such great faith in Israel .",have not found,have not found,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,
40009033,1,"When the demon was cast out , the dumb man spoke . The crowd marveled , saying : » We have never seen anything like this in Israel ! «",have never seen,have never seen,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,
40011012b,1,"» From the days of John the Baptist until now , the kingdom of heaven has been man’s goal , and men of violence have attempted to take it by force .",have attempted,have attempted,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Ambiguous: could be Exp/Pfv/Semel
40011021b,1,"» Woe to you , Chorazin ! Woe to you , Bethsaida ! If the mighty works had been done in Tyre and Sidon that were done in you , they would have repented long ago in sackcloth and ashes .",would have repented,would have repented,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,Underspecified Dt (irrealis)
40011027,1,"» All things have been delivered to me from my Father . Only the Father knows the Son , and only the Son knows the Father . The Son tells others about the Father so that they can know him too .",have been delievered,have been delivered,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,
40012018,1,» Look ! My servant whom I have chosen . I am well pleased with him . I will put my Spirit upon him and he will declare judgment to the nations .,have chosen,have chosen,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
40013051,1,» Have you understood all these things ? « They said to him : » Yes . «,have understood,Have you understood,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Ambiguous: understand as state of understanding vs moment of realization; context suggest second
40015032,1,"Jesus called his disciples and said : » I feel compassion for the people , because they have remained with me now three days and have nothing to eat . I do not want to send them away hungry , for they might faint on the way . «",have remained,have remained,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
40018012,1,"» What do you think ? A man has a hundred sheep , and one of them has gone wandering away . Will he leave the ninety-nine and go in search of the wandering one ?",has gone wandering,has gone wandering,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Note: wandering is interpreted as a gerund with go (away) as the target verb in the predicate
40018013b,1,"» When he finds it , I tell you he will be filled with more joy than he would have if he had stayed with the ninety-nine .",had stayed,had stayed,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,
40019012,1,"» For there are men who , from birth , were without sex . There are some who were made that way by men . There are others who have made themselves so for the kingdom of heaven . He who is able to accept this let him accept it . «",have made (themselves without sex),have made,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
