TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation,DtExp/DtRes,DtExp/DtUniv,DtRes/DtUniv,DtExp/DtRes/DtUniv,DtHP,DtHP_excused,ASTrns/ASUncc,ASTrns/ASUnrg,ASUncc/ASUnrg,ASTrns/ASUncc/ASUnrg,ASHP,AktState/AktAct,AktAcc/AktAch,AktMultiple,AktHP,TLAspPfv/DtUniv,TLAspPfv/AktState,TLAspPfv/AktAct
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,0,high,The target verb 'had been promised' does not introduce an overt internal argument.,0,high,"The clause is morphologically passive ('had been promised'), and the lexical verb 'promise' licenses an external argument (the promiser), so the annotation is set to 0.",0,high,The target verb 'had been promised' licenses an internal argument ('to Joseph in marriage').,0,high,The verb 'promise' does not denote a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase.,0.0,high,"The phrase 'had been promised' describes a state that unfolds over a measurable duration, thus satisfying the first 'set_to_0_if' condition.",0,high,"The situation 'had been promised' entails a specific, inherent endpoint or defined result state, as it implies a completed agreement or commitment.",0,high,"The target 'had been promised' does not entail a transition into a new resulting state, unfold over a measurable duration, or construe the event as a repeated series.",0,high,"The target gram 'had been promised' is morphologically marked as progressive, which entails dynamic unfolding and is incompatible with stative readings.",0,high,"The clause 'His mother Mary had been promised to Joseph in marriage' presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,There is no negation in the sentence that negates the eventuality expressed by the target gram 'had been promised'.,0,high,There is no temporal adverbial of any sort present in the text.,0,high,The verb 'had been promised' entails a change of social/legal status (being promised) that remains in effect at the reference time.,0.0,high,"The verb 'had been promised' does not entail a resulting state that holds at the reference time; it describes a past agreement, not a current state.",0.0,high,"The verb 'promised' entails a transition into a new state (being promised), and the focus is on that transition rather than on a situation holding over time.",0,high,"The target 'had been promised' has the form 'be' + -ing, which profiles the internal temporal development of the situation rather than presenting it as a bounded whole.",0.0,high,"The phrase 'had been promised' describes a past event that was expected to happen, but the context does not indicate a modal, conditional, future, or wish context, so the gram asserts the situation as realized in the actual world.",0,high,"The target gram 'had been promised' is formed with past-tense 'had' followed by 'been' and a past participle, which does not fit the condition of present-tense 'have' or 'has' followed by a past participle.",0,high,"The grammatical subject 'His mother Mary' corresponds to the semantic patient of the verb 'promised', but the subject is not the agent, so the condition 'The grammatical subject corresponds to the semantic agent (doer/initiator) of the target verb, and the grammatical object corresponds to the semantic patient' is met, so the annotation is 0.",N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,0,high,"The verb 'had commanded' introduces an internal argument 'him to do', but the internal argument is not an overt direct or indirect object.",0,high,The target verb 'had commanded' licenses an external argument ('the angel of God').,0,high,The target verb 'had commanded' licenses an internal argument ('him').,0,high,The verb 'command' does not denote a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase.,0.0,high,"The event 'had commanded' does not unfold over a measurable duration, so the AktAch feature is not present.",0,high,"The verb 'had commanded' entails a specific, inherent endpoint or defined result state, as it implies the completion of the act of commanding.",0,high,"The event 'had commanded' does not entail a transition into a new resulting state, unfold over a measurable duration, or construe the event as a repeated series.",0,high,"The verb 'commanded' denotes a dynamic activity involving internal development, thus the AktState feature is not instantiated.",0,high,"The clause 'the angel of God had commanded him to do' presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,"There is no negation in the sentence, so the target gram cannot be negatively polar.",0,high,There is no temporal adverbial of any sort present in the text.,0,high,"The verb 'commanded' does not entail a change of state or location, a change of possession or social/legal status, or a transition into a new physical location, and the clause does not contain a duration adverbial.",0.0,high,The verb 'had commanded' does not entail a resulting state that holds at the reference time.,0.0,high,"The verb 'commanded' entails a transition into a new state (the state of having been commanded), and the focus is on that transition rather than on a situation holding over time.",0,high,"The target 'had commanded' does not profile the internal temporal development of the situation, denote a stative situation without a construed boundary, contain duration adverbials, is not negated with 'not yet', and is not naturally construed as temporally overlapping with another situation.",0.0,high,"The gram 'had commanded' asserts a situation realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The target gram 'had commanded' is formed with past-tense 'had' followed by a past participle, not present-tense 'have' or 'has', so the condition is met to set the annotation to 0.",0,high,"The grammatical subject 'angel of God' corresponds to the semantic agent of the verb 'had commanded', so the sentence is not passive.",N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,The target verb 'has come near' does not introduce an overt internal argument.,0,high,"The target verb phrase 'has come near' does not license an external argument, nor does it have an overt direct or indirect grammatical object.",0,high,The verb 'has come near' denotes appearance or coming-into-being without projecting an external argument.,0,high,"The verb 'has come near' denotes a boundary transition without a durative process phase, so the AktAcc feature is not instantiated.",0.0,high,"The event 'has come near' unfolds over a measurable duration rather than occurring at a single temporal boundary, thus the AktAch feature is not present.",0,high,"The situation entails a specific, inherent endpoint or defined result state, as 'has come near' implies reaching a state of proximity.",0,high,"The event 'has come near' does not entail a transition into a new resulting state, unfold over a measurable duration, or construe the event as a repeated series.",0,high,"The verb 'has come near' denotes a change-of-state, marking the onset of a new condition, thus it is not stative.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,"There is no negation in the sentence, so the target gram is not negatively polar.",0,high,There is no temporal adverbial of any sort present in the text.,0,high,"The verb 'has come near' entails a transition into a new physical location, and the subject remains at that location at the reference time.",0.0,high,"The verb 'has come near' entails a motion verb, but the resulting state does not necessarily hold at the reference time, as the kingdom of heaven may not still be near.",0.0,high,"The verb 'has come near' entails a transition into a new state, and the focus is on that transition rather than on a situation holding over time.",0,high,"The target 'has come near' does not profile the internal temporal development of the situation, denote a stative situation without a construed boundary, contain duration adverbials, is not negated with 'not yet', and is not naturally construed as temporally overlapping with another situation.",0.0,high,"The gram 'has come near' asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'has come near' is formed with present-tense 'has' followed by a past participle 'come', with no additional modal, future, or progressive marking, so the condition to set the annotation to 0 is met.",0,high,"The grammatical subject 'the kingdom of heaven' corresponds to the semantic agent of the verb 'has come near', so the sentence is not passive.",N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,0,high,"The verb 'have approved' introduces an internal argument 'whom I love and whom I have approved', but the CRI states to set to 0 if the target verb does not introduce an overt internal argument.",0,high,The target verb 'have approved' licenses an external argument ('I') and has an overt direct object ('whom').,0,high,The target verb 'have approved' licenses an internal argument ('whom I love').,0,high,The verb 'have approved' does not denote a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase.,0.0,high,"The event 'have approved' does not unfold over a measurable duration, so the condition 'The event unfolds over a measurable duration rather than occurring at a single temporal boundary' is met, thus AktAch is 0.",0,high,"The verb 'have approved' denotes a bounded cognitive event marking the onset of awareness, which is treated as a single completed occurrence.",0,high,"The event 'have approved' does not entail a transition into a new resulting state, unfold over a measurable duration, or construe the event as a repeated series.",0,high,"The verb 'approve' denotes a bounded cognitive event marking the completion of a decision, indicating eventive change rather than a static condition, thus AktState is not instantiated.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,There is no negation in the sentence that negates the target gram 'have approved'.,0,high,The adverb 'Then' is a logical connector rather than a temporal one.,0,high,"The verb 'have approved' does not entail a change of state or location, a change of possession or social/legal status, or a transition into a new physical location, and the clause does not contain a duration adverbial.",0.0,high,The verb 'have approved' does not entail a resulting state that holds at the reference time.,0.0,high,"The verb 'have approved' entails a transition into a new state (approval), and the focus is on that transition rather than on a situation holding over time, thus the feature DtUniv is not instantiated.",0,high,"The target 'have approved' does not profile the internal temporal development of the situation, denote a stative situation without a construed boundary, contain duration adverbials, is not negated with 'not yet', and is not naturally construed as temporally overlapping with another situation.",0.0,high,"The gram 'have approved' asserts a situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The target gram 'have approved' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking, so the condition 'set_to_0_if' applies.",0,high,"The grammatical subject 'I' corresponds to the semantic agent of the verb 'have approved', so the sentence is not passive.",N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,0,high,The target verb 'had been arrested' does not introduce an overt internal argument.,0,high,"The clause 'John had been arrested' is morphologically passive, and the lexical verb 'arrest' licenses an external argument (the agent who arrested John), so the annotation is set to 0.",0,high,"The target verb 'had been arrested' licenses an internal argument ('John'), so the feature ASUnrg is not instantiated.",0,high,"The verb 'had been arrested' denotes a change-of-state without a durative process phase, so the AktAcc feature is not instantiated.",0.0,high,The event unfolds over a measurable duration rather than occurring at a single temporal boundary.,0,high,"The situation 'had been arrested' entails a specific, inherent endpoint or defined result state, thus the AktAct feature is not instantiated.",0,high,"The event 'had been arrested' entails a transition into a new resulting state, so the AktSemel feature is not instantiated.",0,high,"The gram 'had been arrested' is morphologically marked as progressive, indicating dynamic unfolding and incompatibility with stative readings.",0,high,"The clause 'John had been arrested' presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact, so the feature ClCntfcl is not instantiated.",0,high,There is no negation in the sentence that applies to the target gram 'had been arrested'.,0,high,There is no temporal adverbial of any sort present in the text.,0,high,"The verb 'had been arrested' entails a change of social/legal status that remains in effect at the reference time, so the annotation is 0.",0.0,high,"The verb 'had been arrested' entails a resulting state, but the full text does not provide information about the duration of the state.",0.0,high,"The verb 'arrested' entails a transition into a new state, and the focus is on that transition rather than on a situation holding over time.",0,high,"The target gram 'had been arrested' does not instantiate the feature TLAspPfv because the clause does not contain duration adverbials, is not negated with 'not yet', and is not naturally construed as temporally overlapping with another situation.",0.0,high,"The gram 'had been arrested' asserts a situation realized in the actual world, and no modal, conditional, future, or wish contexts apply.",0,high,"The target gram 'had been arrested' is not formed with present-tense 'have' or 'has', so the condition to set the annotation to 0 is met.",1,high,"The target 'had been arrested' is passive because the grammatical subject 'John' corresponds to the semantic patient of the verb 'arrested', not the agent.",N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,0,high,"The target verb 'have heard' introduces the clause 'it was said' as an internal argument, but the verb 'hear' is not an activity reading and does not function as a copula, but the CRI states to set to 0 if the target verb does not introduce an overt internal argument.",0,high,"The target verb 'have heard' licenses an external argument 'You', thus the annotation is set to 0.",0,high,The target verb 'have heard' licenses an internal argument ('it').,0,high,The verb 'have heard' does not denote a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase.,0.0,high,The event 'have heard' unfolds over a measurable duration rather than occurring at a single temporal boundary.,0,high,"The verb 'have heard' denotes a bounded perceptual or cognitive event marking the onset of awareness, which is treated as a single completed occurrence.",0,high,"The target 'have heard' does not entail a transition into a new resulting state, unfold over a measurable duration, or construe the event as a repeated series.",0,high,"The verb 'heard' denotes a bounded perceptual or cognitive event marking the onset or completion of awareness, encoding eventive change rather than a static condition, thus AktState is not instantiated.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,"The sentence contains a negator ('not'), but it negates 'commit adultery', not 'have heard'.",0,high,There is no temporal adverbial of any sort present in the text.,0,high,"The verb 'have heard' does not entail a change of state or location, a change of possession or social/legal status, or a transition into a new physical location.",0.0,high,The verb 'have heard' does not entail a resulting state that holds at the reference time.,0.0,high,"The verb 'have heard' describes a discrete event of hearing, not a situation holding continuously across time.",0,high,"The target 'have heard' does not profile the internal temporal development of the situation, nor does it contain duration adverbials or negation with 'not yet', and it is not naturally construed as temporally overlapping with another situation.",0.0,high,"The gram 'have heard' asserts a situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The target gram 'have heard' is formed with present-tense 'have' followed by a past participle 'heard', with no additional modal, future, or progressive marking, so the condition to set the annotation to 0 is met.",0,high,The grammatical subject 'You' corresponds to the semantic agent of the verb 'have heard'.,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,0,high,The verb 'have heard' does not introduce an overt internal argument; 'it' is an expletive.,0,high,"The target verb 'have heard' licenses an external argument 'You', so the annotation is set to 0.",0,high,The target verb 'have heard' licenses an internal argument ('it').,0,high,"The event 'have heard' can naturally be modified by a durative 'for X time' adverbial without implying completion of a defined goal, thus AktAcc is 0.",0.0,high,The event unfolds over a measurable duration rather than occurring at a single temporal boundary.,0,high,"The verb denotes a bounded perceptual or cognitive event marking the onset of awareness ('have heard'), which is treated as a single completed occurrence.",0,high,"The event 'have heard' does not entail a transition into a new resulting state, unfold over a measurable duration, or construe the event as a repeated series.",0,high,"The verb 'heard' denotes a bounded perceptual or cognitive event marking the onset or completion of awareness, encoding eventive change rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,"There is no negation in the sentence, so the target gram cannot be negatively polar.",0,high,There is no temporal adverbial of any sort present in the text.,0,high,"The verb 'have heard' does not entail a change of state or location, a change of possession or social/legal status, or a transition into a new physical location, and the clause does not contain a duration adverbial.",0.0,high,The verb 'have heard' does not entail a resulting state that holds at the reference time.,0.0,high,"The verb 'have heard' entails a transition into a new state of knowing, focusing on the transition rather than a situation holding over time.",0,high,"The target 'have heard' does not profile the internal temporal development of the situation, nor does it contain duration adverbials or negation with 'not yet', and it is not naturally construed as temporally overlapping with another situation.",0.0,high,"The gram 'have heard' asserts a situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The target gram 'have heard' is formed with present-tense 'have' followed by a past participle 'heard', with no additional modal, future, or progressive marking, so the condition to set the annotation to 0 is met.",0,high,The grammatical subject 'You' corresponds to the semantic agent of the verb 'have heard'.,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,0,high,"The target verb 'have heard' introduces an overt internal argument 'it said', but the phrase 'it said' is not a direct or indirect object of 'heard', so the condition 'The target verb does not introduce an overt internal argument (direct or indirect object)' is met.",0,high,"The target verb 'have heard' licenses an external argument 'You', so the annotation is set to 0.",0,high,The target verb 'have heard' licenses an internal argument ('it').,0,high,The verb 'have heard' does not denote a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase.,0.0,high,"The event 'have heard' unfolds over a measurable duration rather than occurring at a single temporal boundary, thus the AktAch feature is not instantiated.",0,high,"The verb 'have heard' denotes a bounded perceptual or cognitive event marking the onset of awareness, which is treated as a single completed occurrence.",0,high,"The event 'have heard' does not entail a transition into a new resulting state, unfold over a measurable duration, or construe the event as a repeated series.",0,high,"The verb 'heard' denotes a bounded perceptual or cognitive event marking the onset or completion of awareness, encoding eventive change rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,"There is no negation in the sentence, so the target gram cannot be negatively polarized.",0,high,There is no temporal adverbial of any sort present in the text.,0,high,"The verb 'have heard' does not entail a change of state or location, a change of possession or social/legal status, or a transition into a new physical location, and the clause does not contain a duration adverbial.",0.0,high,"The verb 'have heard' is a bare perception event, which does not entail a resulting state that holds at the reference time.",0.0,high,"The verb 'have heard' entails a transition into a new state of knowing, and the focus is on that transition rather than on a situation holding over time.",0,high,"The target 'have heard' does not profile the internal temporal development of the situation or present it as a bounded whole, and none of the other negative constraints apply.",0.0,high,"The gram 'have heard' asserts a situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The target gram 'have heard' is formed with present-tense 'have' followed by a past participle 'heard', with no additional modal, future, or progressive marking, so the condition to set the annotation to 0 is met.",0,high,"The grammatical subject 'You' corresponds to the semantic agent (hearer) of the target verb 'have heard', so the sentence is not passive.",N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,0,high,"The target verb 'have been paid' does not introduce an overt internal argument, as it is used in a passive construction without a syntactically realized affected patient.",0,high,"The clause is morphologically passive ('have been paid') and the lexical verb 'pay' licenses an external argument (the payer), so the annotation is set to 0.",0,high,"The target verb 'have been paid' licenses an internal argument ('they' is the recipient of the payment), so the feature ASUnrg is set to 0.",0,high,"The event 'have been paid' denotes a punctual change-of-state (receiving payment) without a durative process phase, thus the AktAcc feature is not instantiated.",0.0,high,"The target 'have been paid' can naturally occur as the complement of 'finish', indicating completion of a durative process, thus the AktAch feature is not present.",0,high,"The target 'have been paid' entails a specific, inherent endpoint or defined result state, namely the completion of payment.",0,high,"The target 'have been paid' does not entail a transition into a new resulting state, unfold over a measurable duration, or construe the event as a repeated series.",0,high,"The target gram 'have been paid' is morphologically marked as progressive, which entails dynamic unfolding and is incompatible with stative readings in this feature.",0,high,"The clause 'they have already been paid in full' presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The sentence contains no negator that applies to the target gram 'have been paid'.,0,high,There is no temporal adverbial of any sort present in the text.,0,high,"The verb 'have been paid' entails a change of possession that remains in effect at the reference time, so the feature DtExp is not instantiated.",0.0,high,"The clause contains a duration adverbial ('already'), indicating a continuing situation rather than a completed transition.",0.0,high,"The verb phrase 'have been paid' entails a transition into a new state (being paid), and the focus is on that transition rather than on a situation holding over time.",0,high,"The target gram 'have been paid' has the form 'be' + -ing, which profiles the internal temporal development of the situation rather than presenting it as a bounded whole.",0.0,high,"The gram 'have been paid' asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The target gram 'have been paid' includes the auxiliary verb 'been', which indicates progressive marking, thus the condition 'no additional modal, future, or progressive marking' is not met.",0,high,"The grammatical subject 'they' corresponds to the semantic agent of the verb 'paid', so VcPass is not instantiated.",N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,0,high,The target verb 'have been paid' does not introduce an overt internal argument.,0,high,"The clause is morphologically passive, and the lexical verb 'pay' licenses an external argument (the payer).",0,high,The target verb 'have been paid' licenses an internal argument ('in full').,0,high,"The verb phrase 'have been paid' denotes a punctual change-of-state resulting in a completed action, thus satisfying the first 'set_to_0_if' condition.",0.0,high,"The event unfolds over a measurable duration rather than occurring at a single temporal boundary, as the payment process likely took some time.",0,high,"The situation entails a specific, inherent endpoint or defined result state ('paid in full').",0,high,"The target 'have been paid' does not entail a transition into a new resulting state, unfold over a measurable duration, or construe the event as a repeated series.",0,high,The target gram 'have been paid' is morphologically marked as progressive ('have been') which entails dynamic unfolding and is incompatible with stative readings in this feature.,0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,"There is a negator ('not') in the first sentence, but it does not negate the target gram 'have been paid' in the third sentence.",0,high,There is no temporal adverbial present in the text.,0,high,"The verb 'have been paid' entails a change of possession that remains in effect at the reference time, so the annotation is 0.",0.0,high,"The verb 'have been paid' entails a resulting state, but the clause implies a completed transition rather than a resulting state holding at the reference time, so the DtRes feature is not instantiated.",0.0,high,"The verb 'have been paid' entails a transition into a new state (being paid), and the focus is on that transition rather than on a situation holding over time.",0,high,"The gram has the form 'be' + -ing, which profiles the internal temporal development of the situation rather than presenting it as a bounded whole.",0.0,high,"The gram 'have been paid' asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The target gram 'have been paid' is formed with present-tense 'have' followed by 'been' and a past participle 'paid', thus it is set to 0.",0,high,"The grammatical subject 'they' corresponds to the semantic recipient of the payment, not the agent, thus it is not active voice.",N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N
