TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation,DtExp/DtRes,DtExp/DtUniv,DtRes/DtUniv,DtExp/DtRes/DtUniv,DtHP,DtHP_excused,ASTrns/ASUncc,ASTrns/ASUnrg,ASUncc/ASUnrg,ASTrns/ASUncc/ASUnrg,ASHP,AktState/AktAct,AktAcc/AktAch,AktMultiple,AktHP,TLAspPfv/DtUniv,TLAspPfv/AktState,TLAspPfv/AktAct
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The passive verb 'had been promised' introduces an overt internal argument ('Mary' as the patient/theme being promised), satisfying the two-participant event structure with an affected internal argument.",0,high,"The clause is morphologically passive ('had been promised'), and the lexical verb 'promise' licenses an external argument (the agent performing the promising, whether suppressed or implied), violating the set_to_0_if condition.",0.0,high,"The verb 'promise' licenses an internal argument (Mary as the theme/patient being promised), and the sole argument (Mary) functions as an internal argument rather than an external agent, violating the ASUnrg requirement.",0,high,"The verb 'had been promised' denotes a punctual speech act or commitment event that establishes a state (betrothal), not a durative process with an inherent endpoint; the promising itself is a boundary transition into a committed state rather than an unfolding process culminating in completion.",0,high,"The past perfect passive 'had been promised' describes a state resulting from a prior action rather than a punctual transition itself; it represents the completion of a durative promissory process, not the boundary moment of state-change.",0,high,"The verb 'had been promised' denotes a bounded perceptual/cognitive event marking the onset of a commitment or agreement, which constitutes a single completed occurrence with a defined result state (Mary being in a promised state), not a dynamic durative activity.",0,high,"The event 'had been promised' entails a resulting state (Mary being in a state of betrothal/promise to Joseph) and does not constitute a single punctual occurrence without consequent result, thus it is not semelfactive.",0,high,"The gram 'had been promised' is morphologically marked as progressive aspect (past perfect progressive), which entails dynamic unfolding and is explicitly incompatible with stative readings per the set_to_0_if criteria.",0,high,"The clause presents a factual situation that actually occurred in the narrative world (Mary was promised to Joseph in marriage), using past perfect morphology to express temporal anteriority without any indication of counterfactuality.",0.0,high,"The target gram 'had been promised' expresses a realized state (Mary was promised to Joseph); no negator negates this eventuality, so ClNegPol is not instantiated.",,,,0,high,"The verb 'had been promised' entails a change of social/legal status (betrothal) that remains in effect at the reference time, as evidenced by the subsequent clause 'before they were married' which presupposes the ongoing validity of the promise.",0,high,The stative copular construction 'had been promised' describes Mary's state of being betrothed rather than encoding a transition to a resulting state; it reports a past condition without a persisting change of state at the reference time.,0,high,"The verb 'had been promised' describes a transition into a betrothal state (the act of being promised in marriage) rather than a continuous situation holding over time, making it a bounded event rather than a durative state.",1,high,"The passive construction 'had been promised' presents the transition of Mary being promised to Joseph as a bounded, completed event without profiling its internal temporal development, matching the positive example 'Many have been made sinners.'",0,high,"The gram 'had been promised' asserts a realized fact in the actual world (Mary's betrothal to Joseph as a historical event), not a projected, hypothetical, or non-actual situation.",1,high,"The gram 'had been promised' is a past perfect progressive form (past tense 'had' + past participle 'been' + past participle 'promised'), which encodes tense specification other than simple present perfect, thus instantiating TLTS.",1,high,"The construction 'had been promised' exhibits overt passive morphology (auxiliary 'had' + 'been' + past participle 'promised'), with the grammatical subject 'His mother Mary' functioning as the semantic patient (the one promised), and the agent omitted.",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,"The verb 'had commanded' introduces an overt internal argument 'him' (indirect object) and an implied direct object 'to do', representing a two-participant event where the angel directs the command toward Joseph.",0,high,"The verb 'commanded' licenses an external argument (the angel as agent/initiator) and introduces an overt direct object ('him to do'), violating both conditions in set_to_0_if.",0.0,high,"The verb 'commanded' licenses an internal argument ('him to do'), violating the requirement for zero internal arguments.",0,high,The verb 'commanded' denotes a punctual speech act that constitutes an instantaneous boundary transition (the moment an order is issued) without a durative process phase leading to a defined endpoint.,1,high,"The past perfect 'had commanded' denotes a punctual transition into a directive state (the angel issuing a command as a discrete speech act), which is a boundary event regardless of any preparatory context.",0,high,"The verb 'had commanded' denotes a bounded perceptual/cognitive event marking the onset of a directive (the angel's command), which constitutes a single completed occurrence with a defined result state, not a dynamic durative situation.",0,high,"The event 'had commanded' entails a resulting state (a command that Joseph must obey) and is not construed as a single punctual occurrence but rather as a prior action with consequent obligations, thus failing the semelfactive criteria.",0,high,"The verb 'had commanded' denotes a bounded dynamic event (a speech act with inherent completion) involving change-of-state and eventive progression, which violates the stative requirement of AktState.",0,high,"The clause uses past perfect morphology to express temporal anteriority within a narrative (the angel's command preceded Joseph's action), without any indication that the situation is contrary to fact; the command actually occurred.",0.0,high,"The negator 'did' in the sentence negates the matrix verb 'did what', not the target gram 'had commanded'; the negation applies to the action of following the command, not to the commanding itself.",,,,1,high,"The past perfect 'had commanded' presents the angel's command as a prior event in Joseph's life history without asserting that a resulting state (obedience) currently holds; the focus is on the occurrence of the command itself, not its ongoing effect.",1,high,The verb 'had commanded' encodes a transition from a state where no command existed to a state where a binding directive is in effect; Joseph's subsequent action ('he did what...he had commanded him to do') confirms the resulting state persists at the reference time.,0,high,"The verb 'had commanded' describes a discrete past event (the angel's command) that Joseph then executed, focusing on the transition/completion of that command rather than a continuous state or activity holding over time.",1,high,"The past perfect 'had commanded' presents the angel's command as a bounded, completed transition event prior to Joseph's action, without profiling its internal temporal development.",0,high,"The past perfect 'had commanded' asserts a realized fact in the actual world (the angel's prior command), not a projected, hypothetical, or non-actual situation.",1,high,"The gram 'had commanded' is a past perfect form (had + past participle), which encodes tense specification other than simple present perfect, satisfying the TLTS feature.",0,high,"The grammatical subject 'he' corresponds to the semantic agent (the one doing the commanding), and 'him' is the semantic patient; this is active voice, not passive voice, as there is no 'been' auxiliary and no passive morphology.",Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,"The verb 'has come near' is intransitive and does not introduce an overt internal argument (direct or indirect object); 'the kingdom of heaven' is the external argument (subject), not an internal argument affected by the verb.",1,high,"The verb 'come near' encodes a one-participant event (the kingdom of heaven) functioning as an internal argument with no external agent licensed, matching the intuition for ASUncc.",0.0,high,"The verb 'come near' denotes a change-of-location/change-of-state event where the sole argument 'kingdom of heaven' functions as an internal argument (theme) undergoing the change, not as an external argument (agent/initiator).",0,high,"The verb 'come near' denotes a punctual boundary transition into a proximal state without a durative process phase, similar to 'arrive', making it an achievement rather than an accomplishment.",1,high,"The event 'has come near' denotes a punctual transition into a new state (the kingdom of heaven transitioning from distant to proximate), representing a definable threshold crossing rather than an unfolding process.",0,high,"The situation entails a specific, inherent endpoint (the kingdom reaching proximity) and a defined result state (being near), making it a bounded achievement rather than a dynamic durative activity.",0,high,"The event 'has come near' entails a transition into a new resulting state (the kingdom of heaven moving from distant to proximate), which violates the semelfactive requirement of no resulting change of state.",0,high,"The verb 'has come near' denotes a change-of-state and bounded dynamic event (the kingdom transitioning from distant to near), involving internal progression toward a completion point, which violates the stative requirement of no dynamic change or inherent endpoint.",0,high,"The clause presents the situation as having actually occurred in the actual world (the kingdom of heaven has come near as a factual statement), without any indication that it is contrary to fact.",0.0,high,"The target gram 'has come near' is not negated; there is no negator in the sentence that applies to this eventuality, which is presented as a realized positive state.",,,,0,high,"The verb 'come near' entails a change of location/state (the kingdom transitioning to proximity), and that resulting state holds at the reference time, making this non-experiential.",1,high,"The verb 'has come near' encodes a change of state (the kingdom transitioning from distant to near) with the resulting state (proximity/nearness) holding at the reference time, entailing a persisting change relevant to the exhortation to repent.",0,high,"The verb 'has come near' describes a discrete bounded event (the kingdom of heaven arriving/approaching) rather than a continuous state or activity holding over time, matching the set_to_0_if criterion for punctual transitions.",1,high,"The predicate 'has come near' denotes a transition event (the kingdom of heaven approaching/arriving) construed as a bounded whole completed at reference time, presenting the transition itself as a single event without profiling internal temporal development.",0,high,"The phrase 'has come near' asserts the kingdom of heaven as a realized fact in the actual world, not as projected, hypothetical, or desired; it is presented as an accomplished state of affairs warranting the imperative 'Repent.'",0,high,"The gram 'has come near' is formed with present-tense 'has' followed by a past participle ('come'), with no additional modal, future, or progressive marking, matching the canonical present perfect form that sets the feature to 0.",0,high,"The construction 'has come near' is active voice with an intransitive verb; the grammatical subject 'the kingdom of heaven' is the semantic agent/experiencer, not the patient, and there is no passive morphology (no 'been' + past participle).",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,"The verb 'have approved' introduces an overt internal argument ('whom', referring to 'my Son'), making it a transitive construction with an affected patient.",0,high,"The verb 'have approved' licenses an external argument (the implicit first-person subject 'I') as an agent/initiator and introduces an overt direct object ('whom'), violating both conditions in set_to_0_if.",0.0,high,"The verb 'approved' licenses an internal argument (the relative pronoun 'whom' functioning as the direct object), violating the requirement for zero internal arguments.",0,high,"The verb 'approve' denotes a punctual mental act or decision that constitutes a boundary transition into a state of approval, lacking a durative process phase that unfolds toward completion.",1,high,"The event 'have approved' denotes a punctual transition into a new result state (the state of being approved) rather than an unfolding process, making it an achievement.",0,high,The situation entails a defined result state (approval as a completed mental/evaluative act) and lacks dynamic durative unfolding; it is a bounded cognitive event marking a completed occurrence rather than an activity.,0,high,The event 'have approved' entails a resulting state of approval (a change from non-approval to approval) and does not constitute a single punctual occurrence without consequent result.,0,high,"The verb 'have approved' denotes a bounded perceptual/cognitive event marking the completion of an approval action, which is a change-of-state involving dynamic progression rather than a static condition that holds uniformly over time.",0,high,"The clause presents 'have approved' as a factual statement made by a voice from heaven about an actual occurrence (approval of the Son), without any indication of counterfactuality or contrary-to-fact meaning.",0.0,high,"The target gram 'have approved' is presented as a realized positive event with no negator directly negating it; the sentence expresses that the subject does approve, not that approval does not occur.",,,,0,high,"The verb 'have approved' entails a change of social/legal status (the Son becoming approved by the Father), and this resulting state of approval holds at the reference time as part of the Father's current relationship to the Son.",1,high,"The verb 'have approved' encodes a change of state (from not-approved to approved) with the resulting state of approval persisting at the reference time, indicating a completed transition with current effect.",0,high,"The verb 'have approved' describes a discrete bounded event (an act of approval) rather than a continuous state or activity holding over time, matching the set_to_0_if criterion for punctual/transitional events.",1,high,"The gram 'have approved' presents approval as a bounded, completed transition event without profiling its internal temporal development, fitting the perfective aspect definition.",0,high,"The clause 'whom I have approved' is asserted as a realized fact within direct speech from a divine voice, presenting an actual state of affairs in the world of the text, not a projected or hypothetical situation.",0,high,"The gram 'have approved' is formed with present-tense 'have' followed by the past participle 'approved', with no additional modal, future, or progressive marking, matching the canonical present perfect form that sets the feature to 0.",0,high,"The grammatical subject 'I' is the semantic agent (doer) of the action, and the grammatical object 'whom' is the semantic patient; this is active voice, not passive voice, as there is no auxiliary 'been' + past participle morphology.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The passive construction 'had been arrested' introduces an overt internal argument (John as the patient/theme affected by the arrest action), satisfying the ASTrns feature requirement for a two-participant event with an affected internal argument.",0,high,"The clause is morphologically passive ('had been arrested'), and the lexical verb 'arrest' licenses an external argument (an agent who performed the arrest), which triggers the set_to_0_if condition regardless of whether that agent is overtly expressed.",0.0,high,"The verb 'arrested' licenses an internal argument (John functions as the theme/patient of the arrest action), and the sole argument functions as an internal argument rather than an external agent, matching the set_to_0_if criterion for change-of-state events.",0,high,"Arrest denotes a punctual boundary transition (the moment of apprehension) without a durative process phase, making it an achievement rather than an accomplishment.",1,high,"The event 'had been arrested' denotes a punctual transition into a new result state (from freedom to custody), representing a definable threshold crossing regardless of any preceding activity.",0,high,"The situation entails a specific, inherent endpoint (the completion of the arrest action) and a defined result state (being in arrested status), which disqualifies it from being an activity.",0,high,"The event 'had been arrested' entails a transition into a new resulting state (from free to imprisoned), which violates the semelfactive requirement of no resulting change of state.",0,high,"The gram 'had been arrested' is morphologically marked as progressive aspect (past perfect progressive) and denotes a bounded change-of-state event (arrest), both of which entail dynamic change incompatible with AktState.",0,high,"The clause presents John's arrest as an actual event that occurred in the narrative world, using past perfect to express temporal anteriority without any counterfactual marking or indication that the situation is contrary to fact.",,,,,,,0,high,"The verb entails a change of state (John entering custody) that remains in effect at the reference time, and this resulting state is narratively relevant for triggering Jesus's subsequent withdrawal to Galilee.",1,high,"The clause 'had been arrested' encodes a transition from a free state to an arrested state, with the resulting state (John being in custody) persisting at the reference time, which motivates Jesus's subsequent withdrawal.",0,high,"The clause describes a discrete bounded event (John's arrest) rather than a continuous situation holding over time, and the focus is on the transition into the state of being arrested.",1,high,"The passive form 'had been arrested' presents a bounded transition event (arrest) as a completed whole without profiling its internal temporal development, matching the perfective aspect feature.",0,high,"The clause 'John had been arrested' asserts a realized fact in the actual world as background information for Jesus's subsequent action, not a projected or hypothetical situation.",1,high,"The gram 'had been arrested' is a past perfect progressive form (past tense 'had' + past participle 'been' + past participle 'arrested'), which encodes tense specification other than simple present perfect, thus instantiating TLTS.",1,high,"The target 'had been arrested' exhibits overt passive morphology (auxiliary 'had' + 'been' + past participle 'arrested'), with the semantic patient (John) as grammatical subject and the semantic agent omitted.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1,high,"The verb 'have heard' introduces an overt internal argument ('it'), which is the direct object representing the affected patient of the hearing event.",0,high,"The verb 'heard' licenses an external argument (the subject 'You' as agent/experiencer) and introduces an overt direct object ('it'), violating both conditions for ASUncc.",0.0,high,"The verb 'heard' licenses an internal argument (the direct object 'it'), which violates the ASUnrg feature requirement of no internal arguments.",0,high,"The verb 'hear' denotes a punctual, instantaneous transition into awareness without a durative process phase; the moment of hearing is a boundary transition rather than an unfolding event with an inherent endpoint.",1,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness of the saying, matching the positive example 'They have heard the news' and satisfying the achievement criterion of instantaneous discovery regardless of any preceding listening activity.",0,high,"The verb 'heard' denotes a bounded perceptual event marking the onset of awareness of a specific utterance ('it was said'), which is treated as a single completed occurrence rather than a dynamic durative situation.",0,high,"The perfect aspect 'have heard' construes the event as a state resulting from a prior action (you have acquired knowledge through hearing), which entails a resulting change of state and does not qualify as a punctual, instantaneous occurrence without consequent result.",0,high,"The gram 'have heard' denotes a bounded perceptual event marking the onset of awareness, which encodes eventive change rather than a static condition, thus failing the AktState feature.",0,high,"The clause 'You have heard it was said' presents a situation as having actually occurred in the actual world (a factual past state), with no indication that it is contrary to fact.",0.0,high,"The negation 'not' in the sentence applies to 'commit adultery' (the embedded eventuality), not to the target gram 'have heard', which is presented as a positive, realized event.",,,,1,high,"The verb 'have heard' presents the event as part of the subject's life history (having encountered this teaching at some point), without asserting that a resulting state of hearing currently holds, and contains no duration adverbial indicating a continuing situation.",0,high,"The verb 'have heard' reports a past perceptual event without entailing a resulting state that persists at the reference time; hearing something does not create an enduring change of state comparable to breaking, receiving, or arriving.",0,high,The clause describes a discrete bounded event of hearing/receiving information rather than a continuous state or activity holding over time.,1,high,"The gram 'have heard' presents the auditory event as a bounded, completed whole without profiling its internal temporal development, matching the perfective aspect feature.",0,high,"The phrase 'You have heard it was said' asserts a realized fact in the actual world—that the addressee has actually heard something—without modal, conditional, future, or wish contexts that would project it as non-actual.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by the past participle 'heard' with no additional modal, future, or progressive marking, matching the canonical present perfect form that sets the feature to 0.",0,high,The construction 'have heard' is active voice with the grammatical subject 'You' as the semantic agent (doer) and the object 'it' as the semantic patient; there is no passive morphology (no 'been' + past participle sequence).,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,"The verb 'have heard' introduces an overt internal argument ('it said'), which is the direct object representing the affected patient of the hearing event.",0,high,"The verb 'heard' licenses an external argument (the subject 'you' as agent/experiencer) and takes a direct object ('it said'), violating both the external argument and overt object conditions.",0.0,high,"The verb 'heard' licenses an internal argument ('it said'), making it transitive and thus not a one-participant external-argument-only event.",0,high,"The verb 'heard' denotes a punctual perceptual event—a near-instantaneous transition into awareness—without a durative process phase leading to a defined endpoint, matching the set_to_0_if criterion for instantaneous change-of-state.",1,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness of the saying, matching the positive example 'They have heard the news' and satisfying the achievement criterion of instantaneous discovery regardless of any preparatory listening phase.",0,high,"The verb 'heard' denotes a bounded perceptual event marking the onset of awareness of the saying, which is treated as a single completed occurrence rather than a dynamic durative situation.",0,high,"The event 'have heard' entails a resulting state of knowledge/awareness and unfolds over a measurable duration (from the moment of hearing to the present), not a single punctual occurrence.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness (hearing/perceiving something), which encodes eventive change rather than a static condition, thus failing the AktState feature.",0,high,"The clause presents a situation as having actually occurred in the actual world ('You have heard it said'), without any indication that it is contrary to fact.",0.0,high,"The target gram 'have heard' is not negated; the negation in the sentence ('it said') does not negate the eventuality of hearing but rather describes what was said, making this a positive instantiation of the target gram.",,,,1,high,The verb 'have heard' presents the event as part of the subject's life history (entry into experiential record) without asserting that a resulting state currently holds; it answers whether the addressee has encountered this saying at least once.,0,high,The verb 'have heard' reports a past perception event without entailing a resulting state that persists at the reference time; hearing something does not create an enduring change of state like breaking or receiving does.,0,high,"The clause describes a discrete bounded event (hearing a saying) rather than a continuous situation holding over time, and the focus is on the punctual act of perceiving rather than duration.",1,high,"The gram 'have heard' presents the auditory event as a bounded, completed whole without profiling its internal temporal development, instantiating perfective aspect.",0,high,"The phrase 'You have heard it said' asserts a realized fact in the actual world—that the addressee has experienced hearing this saying—with no modal, conditional, future, or wish context applied.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by the past participle 'heard' with no additional modal, future, or progressive marking, matching the canonical present perfect form that sets the feature to 0.",0,high,"The construction 'have heard' is active voice where the grammatical subject 'You' is the semantic agent (doer) performing the action of hearing; passive voice requires the auxiliary sequence 'have' + 'been' + past participle, which is absent here.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1,high,"The verb 'have heard' introduces an overt internal argument ('it'), which is the direct object representing the affected patient of the hearing event.",0,high,"The verb 'heard' licenses an external argument (the subject 'you' as agent/experiencer) and introduces an overt direct object ('it'), violating both conditions in set_to_0_if.",0.0,high,"The verb 'heard' licenses an internal argument (the direct object 'it'), which violates the ASUnrg feature requirement that no internal argument be licensed.",0,high,"The verb 'hear' denotes a punctual, near-instantaneous perceptual transition into awareness without a durative process phase; the moment of hearing is construed as a boundary transition rather than an unfolding event with a measurable duration leading to completion.",1,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness of the saying, representing an instantaneous crossing of the threshold from not-knowing to knowing, matching the positive example 'They have heard the news.'",0,high,"The verb 'heard' denotes a bounded perceptual event marking the onset of awareness of a specific utterance ('it said'), which is treated as a single completed occurrence rather than a dynamic durative situation.",0,high,"The present perfect 'have heard' construes a state resulting from a prior event (the hearing), entailing a change from not-having-heard to having-heard, which violates the semelfactive requirement of no resulting change of state.",0,high,"The gram 'have heard' denotes a bounded perceptual event marking the onset of awareness (hearing/perceiving something), which encodes eventive change rather than a static condition, thus failing the AktState feature.",0,high,"The clause 'You have heard it said' presents a situation as having actually occurred in the actual world without any indication of counterfactuality, matching the set_to_0_if criterion for factual statements.",0.0,high,"The target gram 'have heard' is not negated; the negation in the sentence applies to the embedded clauses ('You should love your neighbor and hate your enemy'), not to the act of hearing itself.",,,,1,high,"The verb 'have heard' presents the event as part of the subject's life history (having encountered this saying at some point), without asserting that a resulting state currently holds, and contains no duration adverbial indicating a continuing situation.",0,high,The verb 'have heard' reports a past perceptual event without entailing a resulting state that persists at the reference time; hearing something does not create an enduring change of state like breaking or receiving does.,0,high,"The clause describes a discrete bounded event (hearing a specific saying) rather than a continuous situation holding over time, matching the set_to_0_if criterion for 'discrete bounded events.'",1,high,"The gram 'have heard' presents the auditory event as a bounded, completed whole without profiling its internal temporal development, instantiating perfective aspect.",0,high,"The phrase 'You have heard it said' asserts a realized fact in the actual world—that the addressee has actually heard this statement—with no modal, conditional, future, or wish context applying.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by the past participle 'heard' with no additional modal, future, or progressive marking, matching the canonical present perfect form that sets the feature to 0.",0,high,The construction 'have heard' is active voice with the grammatical subject 'You' as the semantic agent (doer) and 'it' as the grammatical object; there is no passive morphology (no 'been' + past participle sequence).,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1,high,"The passive construction 'have been paid' introduces an overt internal argument (the implied subject 'they' as the affected patient receiving payment), satisfying the requirement for an overt internal argument in a transitive event structure.",0,high,"The clause is morphologically passive with 'have been paid', and the lexical verb 'pay' licenses an external argument (the agent performing the payment, suppressed in passive voice), violating the set_to_0_if condition.",0.0,high,The verb 'paid' licenses an internal argument (the implicit object 'them/their reward') and denotes a change-of-state event where the sole overt argument 'they' functions as a theme/patient receiving payment rather than as an external agent.,0,high,The verb 'have been paid' denotes a punctual change-of-state (transition into a paid condition) without a durative process phase; it is a boundary transition rather than an event unfolding over measurable duration toward completion.,1,high,"The event 'have been paid in full' denotes a punctual transition into a new result state (receiving payment/reward), representing a definable threshold crossing rather than an unfolding process.",0,high,"The situation entails a specific, defined result state ('paid in full') with an inherent endpoint, and the phrase naturally accepts 'in X time' modification, indicating a bounded event rather than a dynamic durative activity.",0,high,"The event 'have been paid in full' entails a resulting change of state (transition from unpaid to paid condition), which disqualifies it from semelfactive status.",0,high,"The gram 'have been paid' is morphologically marked with progressive aspect ('have been'), which entails dynamic unfolding and is incompatible with stative readings per the set_to_0_if criteria.",0,high,"The clause presents a situation as having actually occurred in the actual world ('they have already been paid in full'), without any indication that it is contrary to fact.",0.0,high,The target gram 'have been paid' is not negated; the sentence affirms that they 'have already been paid in full' with no negator applying to this eventuality.,,,,0,high,"The verb 'have been paid' entails a change of state (receiving payment) where the resulting state of being paid holds at the reference time, satisfying the set_to_0_if condition.",1,high,"The clause 'they have already been paid in full' entails a change of state from unpaid to paid, with the resulting state (being paid) persisting at the reference time.",0,high,"The clause describes a completed transition into a new state (receiving payment) rather than a situation holding continuously over time, and the focus is on the resultant state of having been paid, not on duration.",1,high,"The passive construction 'have been paid' presents a bounded transition (the completion of payment) as a whole without profiling internal temporal development, matching the perfective aspect feature.",0,high,"The phrase 'they have already been paid in full' asserts a realized state of affairs in the actual world as a completed fact, with no modal, conditional, future, or wish context applying.",1,high,"The gram 'have been paid' contains progressive marking ('been' + past participle 'paid'), which constitutes additional marking beyond the simple present perfect form, thus instantiating TLTS.",1,high,"The construction 'have been paid' instantiates passive voice morphology with the semantic patient (the hypocrites) as grammatical subject, the auxiliary sequence 'have + been + past participle (paid)', and the semantic agent omitted.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The passive construction 'have been paid' introduces an overt internal argument (the implicit subject 'they' as the affected patient receiving payment), satisfying the two-participant event requirement with a clear agent-patient relationship directed toward an affected internal argument.",0,high,"The clause is morphologically passive ('have been paid'), and the lexical verb 'pay' licenses an external argument (the agent performing the payment), which triggers the set_to_0_if condition for passive clauses.",0.0,high,"The verb 'paid' licenses an internal argument (the subject 'they' functions as the theme/patient receiving payment), and the passive construction indicates a change-of-state event where the sole argument is not an external agent but rather an internal argument.",0,high,"The verb 'have been paid' denotes a punctual change-of-state (transition into a paid condition) without a durative process phase; it is a boundary transition comparable to 'arrive' or 'decide', not an event unfolding over measurable duration toward completion.",1,high,"The event 'have been paid in full' denotes a punctual transition into a new result state (receiving complete payment), representing a definable threshold crossing rather than an unfolding process.",0,high,"The situation entails a specific, defined result state (payment received in full), with an inherent endpoint, and the verb denotes a bounded perceptual/cognitive event marking completion of a transaction rather than a dynamic durative activity.",0,high,"The event 'have been paid in full' entails a resulting change of state (transition from unpaid to paid status), which disqualifies it from being semelfactive.",0,high,"The gram 'have been paid' is morphologically marked as progressive perfect aspect ('have been'), which entails dynamic unfolding and change-of-state (receiving payment), incompatible with stative readings per CRI set_to_0_if.",0,high,"The clause presents 'have been paid' as a factual statement about the hypocrites' actual reward in the actual world, without any indication of counterfactuality or contrary-to-fact meaning.",0.0,high,"The target gram 'have been paid' is not negated; the negation 'Do not pray' applies to a different clause and does not negate the eventuality of being paid, which is presented as occurring.",,,,0,high,"The verb 'have been paid' entails a change of possession/financial status that results in a current state of having received payment in full, which persists at the reference time.",0,high,The clause 'they have been paid in full' uses a stative copular construction (passive copula 'have been') that describes a resulting state rather than encoding a transition; it reports a completed payment without entailing a persisting change of state at the reference time.,0,high,"The clause describes a completed transition into a new state (receiving payment in full) rather than a situation holding continuously over time, matching the negative example 'I have eaten the rice (and now it is gone).'",1,high,"The gram 'have been paid' presents a passive bounded transition (receiving payment) as a completed event packaged as a whole, without profiling internal temporal development, matching the perfective aspect feature.",0,high,"The phrase 'they have been paid in full' is asserted as a realized fact in the actual world within the speaker's assurance, not as projected, hypothetical, or non-actual.",1,high,"The gram 'have been paid' contains progressive marking ('been' + past participle 'paid'), which constitutes additional marking beyond the simple present perfect form, thus instantiating TLTS.",1,high,"The construction 'have been paid' exhibits overt passive morphology (auxiliary 'have' + 'been' + past participle 'paid'), with the grammatical subject 'they' functioning as the semantic patient (receivers of payment) rather than the agent.",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
