TokenID,FullText,Target,run_id,provider,model_name,feature_name_x,annotation,confidence,explanation,feature_name_y
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,20260307T053945Z_9ccb658e,gemini,gemini-2.0-flash-001,AktSemel,0,high,"The event 'had been promised' entails a transition into a new resulting state of being engaged, thus it is not a single punctual dynamic occurrence without a change of state.",AktSemel
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,20260307T053945Z_9ccb658e,gemini,gemini-2.0-flash-001,AktSemel,0,high,"The event 'had commanded' entails a transition into a new resulting state of obedience, thus it is not a single punctual dynamic occurrence without a resulting change of state.",AktSemel
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,20260307T053945Z_9ccb658e,gemini,gemini-2.0-flash-001,AktSemel,0,high,"The event 'has come near' entails a transition into a new resulting state of nearness, thus it is not a single punctual dynamic occurrence without a change of state.",AktSemel
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,20260307T053945Z_9ccb658e,gemini,gemini-2.0-flash-001,AktSemel,0,high,"The event 'have approved' entails a transition into a new resulting state, thus it is not a single punctual dynamic occurrence.",AktSemel
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,20260307T053945Z_9ccb658e,gemini,gemini-2.0-flash-001,AktSemel,0,high,"The event 'had been arrested' entails a transition into a new resulting state (being under arrest), thus it is not a single punctual dynamic occurrence without a change of state.",AktSemel
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,20260307T053945Z_9ccb658e,gemini,gemini-2.0-flash-001,AktSemel,0,high,"The event 'have heard' unfolds over a measurable duration rather than occurring as a single punctual occurrence, thus it is not AktSemel.",AktSemel
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,20260307T053945Z_9ccb658e,gemini,gemini-2.0-flash-001,AktSemel,0,high,"The event unfolds over a measurable duration rather than occurring as a single punctual occurrence, as hearing typically takes time.",AktSemel
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,20260307T053945Z_9ccb658e,gemini,gemini-2.0-flash-001,AktSemel,0,high,"The event 'have heard' unfolds over a measurable duration rather than occurring as a single punctual occurrence, thus it is not AktSemel.",AktSemel
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,20260307T053945Z_9ccb658e,gemini,gemini-2.0-flash-001,AktSemel,0,high,"The event 'have been paid' entails a transition into a new resulting state of being paid, thus it is not a single punctual dynamic occurrence.",AktSemel
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,20260307T053945Z_9ccb658e,gemini,gemini-2.0-flash-001,AktSemel,0,high,"The event 'have been paid' entails a transition into a new resulting state of being paid, thus it is not a single punctual dynamic occurrence without a change of state.",AktSemel
40006016,"» When you abstain from food , do not be like the hypocrites , with sad faces to be seen by men . They have received their reward .",have received,20260307T053945Z_9ccb658e,gemini,gemini-2.0-flash-001,AktSemel,0,high,"The event 'have received' entails a transition into a new resulting state of having the reward, thus it is not a single punctual dynamic occurrence without a change of state.",AktSemel
40007028,"When Jesus had finished these words , the crowds were astonished at what he taught .",had finished,20260307T053945Z_9ccb658e,gemini,gemini-2.0-flash-001,AktSemel,0,high,"The event 'had finished' entails a transition into a new resulting state of completion, thus it is not a single punctual dynamic occurrence without a resulting change of state.",AktSemel
40008010,"When Jesus heard it , he was amazed , and said to the crowd : » I tell you , I have not found such great faith in Israel .",have not found,20260307T053945Z_9ccb658e,gemini,gemini-2.0-flash-001,AktSemel,0,high,The event 'have not found' unfolds over a measurable duration rather than occurring as a single punctual occurrence.,AktSemel
40008029,"They screamed at him , saying : » What have we to do with you , Son of God ? Have you come to torment us before the time ? «",have you come,20260307T053945Z_9ccb658e,gemini,gemini-2.0-flash-001,AktSemel,0,high,"The event 'come' entails a transition into a new resulting state (being at a new location), thus it is not a single punctual dynamic occurrence without a change of state.",AktSemel
