TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation,DtExp/DtRes,DtExp/DtUniv,DtRes/DtUniv,DtExp/DtRes/DtUniv,DtHP,DtHP_excused,ASTrns/ASUncc,ASTrns/ASUnrg,ASUncc/ASUnrg,ASTrns/ASUncc/ASUnrg,ASHP,AktState/AktAct,AktAcc/AktAch,AktMultiple,AktHP,TLAspPfv/DtUniv,TLAspPfv/AktState,TLAspPfv/AktAct
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The clause is morphologically passive ('had been promised'), and the lexical verb licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",0,high,"The clause is morphologically passive, and the lexical verb licenses an external argument (whether overtly expressed or suppressed).",0,high,The verb 'had been promised' licenses an internal argument ('to Joseph in marriage').,0,high,"The verb 'had been promised' does not involve a durative process directed toward a defined goal, endpoint, or result state, nor does it denote a gradual change-of-state that culminates in a defined result condition, or involve directed motion or action toward a spatial or abstract goal that defines completion; instead, it represents a state resulting from a prior action, lacking the durative process required for AktAcc.",0,high,"The event 'had been promised' unfolds over a measurable duration rather than occurring at a single temporal boundary, and does not denote a punctual or near-instantaneous transition into a new state.",0,high,"The situation 'had been promised' entails a specific, inherent endpoint or defined result state, thus it is not an activity.",0,high,"The event 'had been promised' entails a transition into a new resulting state of being promised, thus it is not AktSemel.",0,high,"The gram 'had been promised' is morphologically marked as progressive, which entails dynamic unfolding and is incompatible with stative readings.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'had been promised' is not negated in the sentence.,0,high,There is no temporal adverbial present in the clause 'His mother Mary had been promised to Joseph in marriage.',0,high,"The verb 'promised' entails a change of social/legal status that remains in effect at the reference time, thus the gram does not instantiate DtExp.",1,high,"The verb phrase 'had been promised' describes a change of social/legal status (promise of marriage), and that status is currently held at the reference time.",0,high,"The clause describes a state of being promised, which is a transition into a new state rather than a situation holding over time, thus the feature DtUniv is not instantiated.",0,high,"The gram has the form 'have been' + past participle (passive), but the clause does not assert a bounded event, rather a state leading up to the marriage.",0.0,high,"The gram 'had been promised' asserts a past event as realized, not hypothetical or future.",1,high,"The auxiliary 'had' is morphologically past, indicating past perfect, so the feature TLTS is present.",1,high,"The target 'had been promised' has the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the grammatical subject 'His mother Mary' corresponds to the semantic patient.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,The target verb 'had commanded' introduces an overt grammatical subject ('the angel of God') and an overt direct object ('him to do').,0,high,The verb 'had commanded' licenses an external argument ('the angel of God') and an internal argument ('him to do').,0,high,"The verb 'commanded' licenses an internal argument ('him to do'), thus it is not an unergative verb.",0,high,"The verb 'commanded' denotes a punctual event requiring preparation but without a process phase, thus lacking the durative process directed toward a defined goal, endpoint, or result state.",0,high,"The event 'had commanded' unfolds over a measurable duration rather than occurring at a single temporal boundary, and does not denote a punctual or near-instantaneous transition into a new state.",0,high,"The situation entails a specific, inherent endpoint or defined result state, as 'commanded' implies a completed action or instruction.",0,high,"The event 'had commanded' entails a transition into a new resulting state where Joseph does what he was commanded to do, thus it is not AktSemel.",0,high,"The verb 'had commanded' denotes a bounded event involving a change of state (from not commanded to commanded), which is incompatible with the AktState feature.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'had commanded' is not negated in the sentence.,1,high,"The clause 'When Joseph woke up, he did what the angel of God had commanded him to do' contains the clausal past time anchor 'When Joseph woke up', so the annotation is 1.",0,high,"The verb 'commanded' entails a change of social/legal status that remains in effect at the reference time, thus the feature DtExp is not instantiated.",0,high,"The verb 'commanded' describes a change of social/legal status, but the context does not indicate that the resulting state is currently held; rather, it describes a past action.",0,high,The clause describes a discrete event (commanding) rather than a situation holding continuously across a time span.,1,high,"The clause presents the situation as a single bounded occurrence with a construed endpoint, rather than as ongoing or habitual.",0.0,high,"The gram 'had commanded' asserts a situation as realized in the actual world, as it describes what the angel of God instructed Joseph to do, which Joseph then carried out.",1,high,"The auxiliary 'had' is morphologically past, indicating the past perfect tense.",0,high,"The grammatical subject 'angel of God' corresponds to the semantic agent (doer/initiator) of the target verb 'had commanded', and the grammatical object 'him' corresponds to the semantic patient, indicating an active voice construction.",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,The target verb 'has come near' does not introduce an overt internal argument (direct or indirect object).,0,high,"The verb 'has come near' implies directed motion, but it also implies an external argument (the kingdom of heaven is actively coming near), so it is not unaccusative.",0,high,The verb 'has come near' denotes a change-of-location event in which the sole argument functions as an internal argument (theme/patient) rather than an external argument.,0,high,"The verb 'has come near' denotes directed motion toward a spatial or abstract goal, but the event lacks a durative process phase leading toward completion, and it can be modified by a durative 'for X time' adverbial without implying completion of a defined goal.",0,high,"The event 'has come near' unfolds over a measurable duration rather than occurring at a single temporal boundary, thus it does not represent a punctual transition into a new state.",0,high,"The situation entails a specific, inherent endpoint or defined result state, as 'has come near' implies reaching a state of proximity.",0,high,"The event 'has come near' entails a transition into a new resulting state of proximity, thus it is not AktSemel.",0,high,"The verb phrase 'has come near' denotes a change-of-state or event boundary, indicating dynamic activity rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'has come near' is not negated.,0,high,There is no temporal adverbial in the clause 'the kingdom of heaven has come near'.,0,high,"The verb entails a change of state or location, and that resulting state holds at the reference time.",1,high,The verb 'has come near' is a motion verb where the mover has moved to a destination and remains there at the reference time.,0,high,"The verb entails a transition into a new state, and the focus is on that transition rather than on a situation holding over time.",1,high,"The predicate 'has come near' is construed as a transition event, where the transition itself is asserted as a completed whole.",0.0,high,"The gram 'has come near' asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'has come near' is formed with present-tense 'has' followed by a past participle, with no additional modal, future, or progressive marking, thus it is a simple present perfect.",0,high,"The target 'has come near' does not have the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the grammatical subject corresponds to the semantic agent, not the semantic patient.",N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,The target verb 'have approved' introduces an overt grammatical subject ('I') and an overt direct object ('whom').,0,high,The target verb 'have approved' licenses an external argument ('I') and a direct object ('whom').,0,high,"The verb 'have approved' licenses an internal argument ('whom I love and whom I have approved'), thus it is not an unergative verb.",0,high,The verb 'approve' denotes a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase.,0,high,"The event 'have approved' unfolds over a measurable duration rather than occurring at a single temporal boundary, as it implies a period of evaluation or consideration before approval.",0,high,"The situation entails a specific, inherent endpoint or defined result state, as 'approved' implies a completed action of giving approval.",0,high,"The event 'have approved' entails a transition into a new resulting state of being approved, thus it is not AktSemel.",0,high,"The verb 'have approved' denotes a bounded event marking the completion of an action, indicating a change of state rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have approved' is not negated.,1,high,The clause contains the lexical past time adverb 'Then'.,0,medium,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, thus the annotation is 0.",1,high,"The verb 'approve' describes a change of social/legal status, and that status is currently held.",0,high,"The clause describes a completed action of approval, rather than a state or activity holding continuously over time.",1,high,"The predicate 'have approved' is construed as a transition event, where the transition itself is asserted as a completed whole.",0.0,high,"The gram 'have approved' asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'have approved' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking, so the feature TLTS is not present.",0,high,"The grammatical subject 'I' corresponds to the semantic agent (the one doing the approving), not the patient; therefore, it is not passive.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The clause is morphologically passive, and the lexical verb licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",0,high,"The clause is morphologically passive, and the lexical verb licenses an external argument (whether overtly expressed or suppressed).",0,high,The verb 'had been arrested' denotes a change-of-state event in which the sole argument functions as an internal argument (theme/patient) rather than an external argument.,0,high,"The verb 'arrest' denotes a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase, so the AktAcc feature is not present.",1,high,The verb denotes a punctual or near-instantaneous transition into a new state ('had been arrested').,0,high,"The situation 'had been arrested' entails a specific, inherent endpoint or defined result state, thus it is not an activity.",0,high,"The event 'had been arrested' entails a transition into a new resulting state, thus it is not AktSemel.",0,high,"The gram 'had been arrested' is morphologically marked as progressive, entailing dynamic unfolding and is incompatible with stative readings.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'had been arrested' is not negated in the sentence.,0,high,The clause 'John had been arrested' does not contain any temporal adverbial.,0,high,"The verb 'arrest' entails a change of social/legal status that remains in effect at the reference time, so the annotation is 0.",1,high,"The verb 'arrested' describes a change of social/legal status, and that status is currently held.",0,high,The clause describes a discrete event (arrest) rather than a situation holding continuously across a time span.,1,high,"The gram has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process, as 'arrested' is a transition event.",0.0,high,"The gram 'had been arrested' asserts a past event as realized, not hypothetical or future.",1,high,"The auxiliary 'had' is morphologically past, indicating past perfect, so the feature TLTS is present.",1,high,"The target 'had been arrested' has the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the grammatical subject 'John' corresponds to the semantic patient.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,0,high,"The target verb 'have heard' does not introduce an overt internal argument (direct or indirect object), as 'it' is a dummy pronoun.",0,high,"The verb 'have heard' licenses an external argument ('You') and can take a direct object ('it'), indicating it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument ('it'), so it does not fit the criteria for ASUnrg.",0,high,"The verb 'hear' denotes a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase, so the AktAcc feature is not present.",1,high,The verb 'have heard' denotes a punctual perceptual or cognitive transition into awareness or recognition.,0,high,"The verb 'have heard' denotes a bounded perceptual or cognitive event marking the onset of awareness, which is treated as a single completed occurrence.",0,high,"The event 'have heard' unfolds over a measurable duration rather than occurring as a single punctual occurrence, thus it is not AktSemel.",0,high,"The verb phrase 'have heard' denotes a bounded perceptual or cognitive event marking the onset or completion of awareness, which encodes eventive change rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have heard' is not negated in the sentence.,0,high,There is no temporal adverbial present in the text.,1,high,"The verb 'hear' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates DtExp.",0,high,"The verb 'hear' does not entail a resulting state that holds at the reference time, as it is a perception event without a persisting change of state.",0,high,The clause describes a discrete event ('heard') rather than a situation holding continuously across a time span.,1,high,"The clause presents the situation as a single bounded occurrence with a construed endpoint, rather than as ongoing or habitual.",0.0,high,"The gram 'have heard' asserts a situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking, so the feature TLTS is not present.",0,high,"The grammatical subject 'You' corresponds to the semantic agent (the one doing the hearing), not the patient, and the grammatical object 'it' corresponds to the semantic patient, indicating an active voice construction.",N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,0,high,"The target verb 'have heard' does not introduce an overt internal argument (direct or indirect object), as 'it' is an expletive.",0,high,"The verb 'have heard' licenses an external argument ('You') and a direct object ('it said'), thus it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument ('it'), so it does not meet the criteria for ASUnrg.",0,high,The verb 'hear' denotes a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase.,1,high,The verb 'have heard' denotes a punctual perceptual or cognitive transition into awareness or recognition.,0,high,"The situation consists of a bounded perceptual event marking the onset of awareness, which is treated as a single completed occurrence.",0,high,"The event 'have heard' unfolds over a measurable duration rather than occurring as a single punctual occurrence, thus it is not AktSemel.",0,high,"The verb phrase 'have heard' denotes a bounded perceptual event marking the completion of awareness, indicating eventive change rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have heard' is not negated in the sentence.,0,high,There is no temporal adverbial present in the text.,1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",0,high,"The verb 'hear' does not entail a resulting state that holds at the reference time, as it is a perception event without a persisting change of state.",0,high,The clause describes a discrete event ('heard') rather than a situation holding continuously across a time span.,0,high,"The predicate 'hear' does not denote a transition event construed as a completed whole, and the clause does not present the situation as a single bounded occurrence.",0.0,high,"The gram asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking, thus it is not TLTS.",0,high,"The grammatical subject 'You' corresponds to the semantic agent of the verb 'hear', not the patient, indicating an active voice construction.",N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,0,high,"The target verb 'have heard' does not introduce an overt internal argument (direct or indirect object), as 'it said' is not a direct object of 'heard'.",0,high,"The target verb 'have heard' licenses an external argument ('You') and a direct object ('it'), thus it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument ('it'), so the feature ASUnrg is not instantiated.",0,high,"The verb 'hear' denotes a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase, thus the AktAcc feature is not instantiated.",1,high,The verb 'have heard' denotes a punctual perceptual or cognitive transition into awareness or recognition.,0,high,"The verb 'have heard' denotes a bounded perceptual or cognitive event marking the onset of awareness, which is classified as not AktAct.",0,high,"The event 'have heard' unfolds over a measurable duration rather than occurring as a single punctual occurrence, thus it is not AktSemel.",0,high,"The verb 'have heard' denotes a bounded perceptual or cognitive event marking the onset or completion of awareness, which encodes eventive change rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,"The target gram 'have heard' is not negated by 'not' or 'n't', nor does it contain a negative quantifier or 'never', and it does not appear in a 'neither…nor' construction.",0,high,There is no temporal adverbial present in the text.,1,high,"The verb 'have heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates DtExp.",0,high,The verb 'hear' does not entail a resulting state that holds at the reference time; it is a perception event.,0,high,The clause describes a discrete event ('heard') rather than a situation holding continuously across a time span.,0,medium,"The predicate 'hear' does not denote a transition event with a clear endpoint, and the clause does not contain any completion-measure adverbials or function as a discrete step in a narrative sequence, so it is not construed as a bounded whole.",0.0,high,"The gram 'have heard' asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking, thus it is a simple present perfect.",0,high,"The grammatical subject 'You' corresponds to the semantic agent of the verb 'heard', not the patient, indicating an active voice construction.",N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1,high,"The clause is morphologically passive, and the lexical verb licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",0,high,"The clause is morphologically passive, and the lexical verb licenses an external argument (whether overtly expressed or suppressed).",0,high,"The verb 'have been paid' licenses an internal argument ('paid'), thus it is not an unergative verb.",0,high,"The verb 'have been paid' denotes a punctual event requiring preparation but without a process phase, as indicated by the example 'He has paid the server', thus the feature AktAcc is not instantiated.",0,high,"The event 'have been paid' can naturally occur as the complement of 'finish', indicating completion of a durative process, thus it does not represent a punctual transition into a new state.",0,high,"The situation entails a specific, inherent endpoint or defined result state, as 'have been paid' implies a completed transaction.",0,high,"The event 'have been paid' entails a transition into a new resulting state of being compensated, thus it is not AktSemel.",0,high,"The gram 'have been paid' is morphologically marked as progressive, entailing dynamic unfolding and is incompatible with stative readings.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have been paid' is not negated in the sentence.,0,high,There is no temporal adverbial present in the text.,0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as the hypocrites have received their reward and that state remains in effect.",0,high,"The clause indicates that the payment has already been received in full, implying that the reward has been fully realized in the past, not that a resulting state is currently in effect.",0,high,"The clause describes a completed event of being paid, focusing on the result rather than a continuous state or activity over time.",0,high,"The gram has the form 'have been' + past participle (passive), but the clause does not assert a bounded event, as it implies a state of being paid rather than a completed transition.",0.0,high,"The gram asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'have been paid' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking, thus it is a simple present perfect.",1,high,"The gram has the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the grammatical subject corresponds to the semantic patient.",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The clause is morphologically passive, and the lexical verb licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",0,high,"The clause is morphologically passive, and the lexical verb licenses an external argument (whether overtly expressed or suppressed).",0,high,"The verb 'have been paid' licenses an internal argument (the payment), thus it is not an unergative verb.",0,high,The verb denotes a punctual event requiring preparation but without process phase.,0,high,"The event 'have been paid' unfolds over a measurable duration rather than occurring at a single temporal boundary, and can naturally occur as the complement of 'finish', indicating completion of a durative process.",0,high,"The situation entails a specific, inherent endpoint or defined result state, as indicated by 'in full', thus it is not an activity.",0,high,"The event 'have been paid' entails a transition into a new resulting state of being paid, thus it is not AktSemel.",0,high,"The gram 'have been paid' is morphologically marked as progressive, entailing dynamic unfolding and is incompatible with stative readings.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have been paid' is not negated.,0,high,There is no temporal adverbial of any sort present in the text.,0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as 'have been paid' implies that the payment has been received and the debt is settled.",1,high,"The verb phrase 'have been paid' describes a change of possession, and the context implies that the payment has been received and the debt is settled, indicating that the resulting state is currently in effect.",0,high,The clause describes a completed action with a focus on the result ('paid in full') rather than a continuous state or activity over time.,1,high,"The gram has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process, and the predicate is construed as a transition event.",0.0,high,"The gram 'have been paid' asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'have been paid' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking, thus it is a simple present perfect.",1,high,"The target 'have been paid' has the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the grammatical subject ('they') corresponds to the semantic patient (the entity affected by the event), not the agent, thus it is passive.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
