,Pred_,Pred_compound,"Pred_compound, guo, you","Pred_compound, le","Pred_compound, le, yi, yijing",Pred_guo,"Pred_guo, you",Pred_le,"Pred_le, yi, yijing","Pred_le, yi, zaoyi",Pred_nullmarked,Pred_suo_de,Pred_yi,"Pred_yi, yijing","Pred_yi, zaoyi",Pred_you,Pred_zaojiu
True_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_compound,2,1,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0
"True_compound, guo, you",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"True_compound, le",1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0
"True_compound, le, yi, yijing",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_guo,5,0,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0
"True_guo, you",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
True_le,9,0,0,0,0,0,0,10,1,0,7,1,1,0,0,1,0
"True_le, yi, yijing",5,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0
"True_le, yi, zaoyi",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_nullmarked,13,2,0,0,0,1,1,17,0,0,11,0,1,0,0,0,0
True_suo_de,7,1,0,0,0,0,0,7,0,0,4,1,0,0,0,0,0
True_yi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"True_yi, yijing",1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0
"True_yi, zaoyi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_you,2,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0
True_zaojiu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
