TokenID,FullText,Target,run_id,provider,model_name,feature_name_x,annotation,confidence,explanation,feature_name_y
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,20260227T180514Z_cabfa1dc,gemini,gemini-2.0-flash-001,DtExp,0,high,"The event 'Mary had been promised' sets the scene for the next plot point ('Mary realized that she was pregnant'), so it is classified as non-experiential (0) because the resulting state of the event is relevant for subsequent discourse.",DtExp
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,20260227T180514Z_cabfa1dc,gemini,gemini-2.0-flash-001,DtExp,0,high,"The event 'had commanded' sets the scene for the next action 'He took Mary to be his wife', so it is classified as non-experiential according to the narrative progression edge case.",DtExp
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,20260227T180514Z_cabfa1dc,gemini,gemini-2.0-flash-001,DtExp,0,high,"The event 'has come near' sets the scene for the subsequent discourse, indicating a non-experiential classification according to the narrative progression edge case.",DtExp
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,20260227T180514Z_cabfa1dc,gemini,gemini-2.0-flash-001,DtExp,1,high,"The target 'have approved' expresses a state of experience, indicating DtExp is instantiated.",DtExp
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,20260227T180514Z_cabfa1dc,gemini,gemini-2.0-flash-001,DtExp,0,high,"The event 'John had been arrested' sets the scene for the next plot point 'Jesus withdrew', so it is classified as non-experiential (0) because the resulting state of the event is relevant for subsequent discourse.",DtExp
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,20260227T180514Z_cabfa1dc,gemini,gemini-2.0-flash-001,DtExp,1,high,"The target 'have heard' expresses an experience of hearing something, thus instantiating the feature DtExp.",DtExp
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,20260227T180514Z_cabfa1dc,gemini,gemini-2.0-flash-001,DtExp,1,high,The target 'have heard' expresses an experience of hearing something.,DtExp
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,20260227T180514Z_cabfa1dc,gemini,gemini-2.0-flash-001,DtExp,1,high,"The target 'have heard' expresses an experience of hearing something said, thus instantiating the feature DtExp.",DtExp
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,20260227T180514Z_cabfa1dc,gemini,gemini-2.0-flash-001,DtExp,0,high,"The hypocrites 'have been paid' in full as a result of their actions, and this resulting state is relevant to the discourse, so it is classified as non-experiential (0) according to the 'Narrative Progression' edge case.",DtExp
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,20260227T180514Z_cabfa1dc,gemini,gemini-2.0-flash-001,DtExp,0,high,"The event 'they have been paid' sets the scene for the next point about hypocrites, so it is classified as non-experiential according to the narrative progression edge case.",DtExp
40006016,"» When you abstain from food , do not be like the hypocrites , with sad faces to be seen by men . They have received their reward .",have received,20260227T180514Z_cabfa1dc,gemini,gemini-2.0-flash-001,DtExp,0,high,"The event 'They have received their reward' sets the scene for the next point, classifying it as non-experiential (0) according to the Narrative Progression edge case.",DtExp
40007028,"When Jesus had finished these words , the crowds were astonished at what he taught .",had finished,20260227T180514Z_cabfa1dc,gemini,gemini-2.0-flash-001,DtExp,0,high,"The event 'Jesus had finished these words' sets the scene for the next plot point ('the crowds were astonished'), so it is classified as non-experiential (0).",DtExp
40008010,"When Jesus heard it , he was amazed , and said to the crowd : » I tell you , I have not found such great faith in Israel .",have not found,20260227T180514Z_cabfa1dc,gemini,gemini-2.0-flash-001,DtExp,1,high,The target 'have not found' expresses the speaker's experience of not finding great faith.,DtExp
40008029,"They screamed at him , saying : » What have we to do with you , Son of God ? Have you come to torment us before the time ? «",have you come,20260227T180514Z_cabfa1dc,gemini,gemini-2.0-flash-001,DtExp,1,high,The target 'have you come' expresses the experience of the subject.,DtExp
40009008,"But when the people saw it , they marveled , and glorified God who had given such authority to men .",had given,20260227T180514Z_cabfa1dc,gemini,gemini-2.0-flash-001,DtExp,0,high,"The event 'had given' sets the scene for the people's reaction, thus it is non-experiential (0) according to the narrative progression edge case.",DtExp
40009016,» Why patch an old garment with cloth that has not been shrunk ? The patch shrinks and pulls away from the old cloth leaving a big hole .,has not been shrunk,20260227T180514Z_cabfa1dc,gemini,gemini-2.0-flash-001,DtExp,0,high,"The state of the cloth not being shrunk is relevant for the subsequent discourse about the patch shrinking and pulling away, so it is classified as non-experiential (0) according to the 'Narrative Progression' edge case.",DtExp
40009022,"Jesus turned to see her and said : » Daughter , take courage ; your faith has made you well . « The woman was healed at that time .",has made you well,20260227T180514Z_cabfa1dc,gemini,gemini-2.0-flash-001,DtExp,0,high,"The event 'has made you well' sets the scene for the next plot point 'The woman was healed at that time', so it is classified as non-experiential (0) according to the Narrative Progression edge case.",DtExp
40009033,"When the demon was cast out , the dumb man spoke . The crowd marveled , saying : » We have never seen anything like this in Israel ! «",have never seen,20260227T180514Z_cabfa1dc,gemini,gemini-2.0-flash-001,DtExp,1,high,"The target 'have never seen' expresses an experience of the crowd, thus instantiating the feature DtExp.",DtExp
40010023,"» When they persecute you in this city , flee to the next . I tell you ; before you have gone through all the cities of Israel the Son of man will come .",have gone through,20260227T180514Z_cabfa1dc,gemini,gemini-2.0-flash-001,DtExp,0,high,"The event 'have gone through' sets the scene for the next plot point ('the Son of man will come'), so it is classified as non-experiential (0) because the resulting state of the event is relevant for subsequent discourse.",DtExp
40011012a,"» From the days of John the Baptist until now , the kingdom of heaven has been man’s goal , and men of violence have attempted to take it by force .",has been,20260227T180514Z_cabfa1dc,gemini,gemini-2.0-flash-001,DtExp,0,high,"The event 'the kingdom of heaven has been man’s goal' sets the scene for the next clause 'men of violence have attempted to take it by force', so it is classified as non-experiential (0) according to the narrative progression edge case.",DtExp
40011012b,"» From the days of John the Baptist until now , the kingdom of heaven has been man’s goal , and men of violence have attempted to take it by force .",have attempted,20260227T180514Z_cabfa1dc,gemini,gemini-2.0-flash-001,DtExp,0,high,"The event 'have attempted' sets the scene for the kingdom of heaven being taken by force, so it is classified as non-experiential (0) according to the Narrative Progression edge case.",DtExp
