TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation,DtExp/DtRes,DtExp/DtUniv,DtRes/DtUniv,DtExp/DtRes/DtUniv,DtHP,DtHP_excused,ASTrns/ASUncc,ASTrns/ASUnrg,ASUncc/ASUnrg,ASTrns/ASUncc/ASUnrg,ASHP,AktState/AktAct,AktAcc/AktAch,AktMultiple,AktHP,TLAspPfv/DtUniv,TLAspPfv/AktState,TLAspPfv/AktAct
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1.0,high,"The passive construction 'had been promised' licenses both an external argument (agent) and an internal argument (patient), with the internal argument 'His mother Mary' overtly present.",0,high,"'had been promised' licenses an external argument (the promiser), and the clause contains an overt indirect object (Mary), so it is not unaccusative.",0,high,"The verb 'had been promised' licenses an internal argument (Joseph as recipient), so it does not instantiate ASUnrg.",0,high,"'had been promised' denotes a punctual state or event without a durative process or inherent endpoint, thus not instantiating AktAcc.",0,high,"'had been promised' denotes a state or condition established by a prior act, not a punctual or near-instantaneous transition into a new state.",0,high,"'had been promised' denotes a completed, bounded state or event (a promise made), not a dynamic, durative activity unfolding over time.",0,high,'had been promised' entails a resulting state of promise and is not a single punctual dynamic occurrence without change of state.,0,high,"'had been promised' is morphologically progressive perfect passive indicating a completed event (promise given), which involves bounded eventive change, not a static state.",0,high,The clause 'His mother Mary had been promised to Joseph in marriage' presents a factual past event without any indication that it is contrary to fact or counterfactual.,0,high,The target gram 'had been promised' is not negated; there is no negator directly negating this event in the sentence.,0,high,"The clause containing 'had been promised' does not include any overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The phrase 'had been promised' entails a change of social/legal status (promise of marriage) that remains in effect at the reference time, thus it does not present the event as part of the subject’s life history but as a current or resulting state.",0,high,The phrase 'had been promised' is a past perfect passive construction indicating a past event without entailment that the promised status currently holds at the reference time; it reports a past interaction without a persisting resulting state.,0,high,'had been promised' describes a discrete past event (a promise made) rather than a continuous or habitual state holding up to the reference time.,0,high,"The phrase 'had been promised' is a passive perfect form but denotes a stative situation without a construed boundary or transition event, and the clause does not present a bounded whole or completion.",0.0,high,"'had been promised' asserts a realized past event without modal, conditional, or hypothetical context, indicating a factual state in the actual world.",1,high,"The auxiliary 'had' is morphologically past, indicating past perfect tense, which satisfies the set_to_1_if condition.",1,high,"'had been promised' is auxiliary 'had been' + past participle 'promised' of a transitive verb, the grammatical subject 'His mother Mary' is the semantic patient, and the agent is omitted, matching passive construction.",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1.0,high,"The verb 'had commanded' introduces an overt grammatical subject ('the angel of God') and an overt direct object ('him'), satisfying the condition for ASTrns.",0,high,'had commanded' licenses an external argument (the angel of God) who is the agent/initiator of the action.,0,high,"The verb 'had commanded' licenses an internal argument ('him'), so it does not instantiate ASUnrg.",0,high,'had commanded' denotes a punctual act of issuing an order without a durative process or inherent endpoint unfolding over time.,0,high,"'had commanded' denotes an act of issuing an order, which is not a punctual change-of-state event or a transition into a new state, but rather a durative or stative action without a defined temporal boundary.",0,high,"'had commanded' denotes a bounded, completed act of issuing a command, which entails a specific endpoint and does not describe a dynamic, durative activity.",0,high,"'had commanded' entails a resulting change of state in the addressee's knowledge or obligation, thus not a punctual event without change of state.",0,high,"'had commanded' denotes a completed, bounded dynamic event (an order given), not a static or durative state.",0,high,"The clause describes a factual past event that actually occurred, with no indication of counterfactuality or regret.",0,high,The target gram 'had commanded' is not negated; no negation or negative quantifier applies to it in the sentence.,1,high,"The clause contains the clausal past time anchor 'When Joseph woke up', explicitly anchoring the event to a specific past time interval.",0,high,"The verb 'had commanded' entails a change of social/legal status (issuing a command) that remains relevant at the reference time, not merely an event in life history.",0,high,The verb 'had commanded' reports a past directive without indicating that the command is currently in effect or that a resulting state persists.,0,high,"'had commanded' describes a discrete, completed event (a past command) rather than a continuous or habitual state holding up to the reference time.",1,high,"'had commanded' presents a completed, bounded event (a past command given) that functions as a discrete step in the narrative sequence.",0.0,high,"'had commanded' asserts a realized past event as a fact in the actual world, with no modal, conditional, future, or hypothetical context present.",1,high,"'had commanded' uses the morphologically past auxiliary 'had', indicating past perfect tense, which meets the set_to_1_if condition.",0,high,"'had commanded' is active voice with the agent as subject ('the angel of God'), no passive morphology or 'been' auxiliary present.",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0.0,high,The verb phrase 'has come near' does not introduce an overt internal argument (direct or indirect object) and functions intransitively without an affected patient.,1,high,'has come near' denotes directed motion/change of location where the sole argument undergoes displacement and no external argument is licensed.,0,high,"The verb phrase 'has come near' denotes a change-of-location event where the subject functions as an internal argument (theme/patient), not an external agent, and it licenses no external argument as agent.",0,high,The phrase 'has come near' denotes a punctual or near-instantaneous boundary transition without a durative process phase or inherent endpoint unfolding over time.,1,high,"'has come near' denotes a punctual or near-instantaneous transition into a new state (the kingdom of heaven reaching a proximate boundary), fitting the definition of an achievement.",0,high,"'has come near' denotes a bounded change of state or endpoint event (approaching a location), not a dynamic durative activity.",0,high,"'has come near' entails a resulting change of state (the kingdom of heaven arriving or approaching), so it is not a punctual event without change of state.",0,high,"'has come near' denotes a dynamic change-of-state event indicating approach, thus involving eventive unfolding and a bounded event, which vetoes AktState.",0,high,The clause 'the kingdom of heaven has come near' presents a factual statement without any indication of counterfactuality or contrary-to-fact conditions.,0,high,The target gram 'has come near' is not negated; there is no negator or negative quantifier affecting it in the sentence.,0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial anchoring the event to a specific past time interval.",0,high,"The phrase 'has come near' entails a change of location with the kingdom now near, indicating a resulting state relevant to the discourse, not a life-history experiential event.",1,high,"The verb phrase 'has come near' is a motion verb indicating a change of location, and the phrase 'the kingdom of heaven has come near' implies that the kingdom is now near and remains so at the reference time.",0,high,The phrase 'has come near' describes a punctual event indicating a transition rather than a continuous or habitual state holding over time.,1,high,"The predicate 'has come near' denotes a transition event (approaching) asserted as a completed whole, presenting the situation as a bounded occurrence with a construed endpoint.",0.0,high,"The phrase 'has come near' asserts a realized situation in the actual world with no modal, conditional, future, or hypothetical context.",0,high,"The gram uses present-tense 'has' followed by a past participle 'come' with no modal, future, or progressive marking, indicating simple present perfect.",0,high,The target 'has come near' is not a passive construction with 'have been' + past participle; 'come' is intransitive and there is no passive morphology or by-phrase indicating an agent.,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1.0,high,"The verb 'have approved' has an overt grammatical subject ('I') and an overt direct object ('whom'), indicating a two-participant event with an external agent affecting an internal patient.",0,high,"'have approved' licenses an external argument (the subject who approves), so it is not unaccusative.",0,high,"The verb 'have approved' licenses an internal argument ('my Son'), so it does not meet the criteria for ASUnrg.",0,high,'have approved' denotes a punctual cognitive event (an instantaneous judgment) without a durative process or inherent endpoint unfolding over time.,1,high,"'have approved' denotes a punctual transition into a new state of approval, fitting the definition of an achievement.",0,high,"'have approved' denotes a bounded cognitive event with a defined result state (approval), not a dynamic durative activity.",0,high,"'have approved' entails a resulting change of state (the approval status), so it is not a punctual event without change of state.",0,high,"'have approved' denotes a bounded dynamic event involving a change-of-state (approval as a completed action), thus not a static state.",0,high,The clause presents a factual statement without any indication of counterfactuality or contrary-to-fact conditions.,0,high,The target gram 'have approved' is not negated; there is no negator or negative quantifier affecting it in the sentence.,0,high,"'Then' here is a logical connector introducing speech, not a temporal adverb anchoring the event to a past time interval.",0,high,"The verb 'have approved' entails a change of social/legal status that remains in effect at the reference time, indicating a current state rather than a mere life-history event.",1,high,"The verb 'have approved' indicates a change of social/legal status (approval) that is currently held, as the voice states 'This is my Son... whom I have approved,' implying the approval persists at the reference time.",0,high,The clause describes a discrete event of approval rather than a continuous or habitual state holding over time.,1,high,"The predicate 'have approved' denotes a transition event (the act of approving) asserted as a completed whole, presenting the situation as a single bounded occurrence with a construed endpoint.",0.0,high,"The phrase 'I have approved' asserts a realized fact in the actual world without modal, conditional, future, or hypothetical context.",0,high,"The gram 'have approved' is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking, indicating simple present perfect.",0,high,The target 'have approved' is active voice with the agent as the subject and no passive morphology or 'been' auxiliary present.,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1.0,high,"The passive clause 'had been arrested' licenses both an external argument (agent) and an internal argument (patient), satisfying the set_to_1_if condition for passive constructions.",0,high,"'had been arrested' is a passive construction with an external argument licensed (agent/initiator), so it does not meet unaccusative criteria.",0,high,"The verb phrase 'had been arrested' licenses an internal argument (the person arrested) and denotes a change-of-state event where the sole argument is a theme/patient, not an external agent.",0,high,'had been arrested' denotes a punctual change-of-state (the event of arrest) without a durative process phase leading to a defined endpoint.,1,high,"'had been arrested' denotes a punctual change-of-state event marking the transition into the new state of being arrested, which is a definable boundary point rather than an unfolding process.",0,high,"'had been arrested' denotes a completed, bounded event with a defined result state (the arrest), not a dynamic durative activity.",0,high,"'had been arrested' entails a resulting change of state (being under arrest), so it does not instantiate AktSemel.",0,high,"'had been arrested' is morphologically marked as progressive perfect ('had been'), indicating a completed dynamic event (arrest), which involves bounded eventive unfolding and change of state.",0,high,"The clause 'John had been arrested' is presented as a factual past event that Jesus heard about, with no indication it is contrary to fact or a counterfactual condition.",0,high,The target gram 'had been arrested' is not negated; there is no negator directly modifying it or negative quantifier in the sentence.,0,high,"The clause 'John had been arrested' contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The phrase 'had been arrested' introduces a resulting state (being in custody) relevant for subsequent discourse, matching the edge case for narrative progression and thus is non-experiential.",1,high,The phrase 'had been arrested' indicates a change of state (from free to arrested) and the resulting state (being arrested) holds at the reference time in the narrative.,0,high,"'had been arrested' describes a discrete, bounded event (an arrest) rather than a continuous or habitual state holding over time.",1,high,"'had been arrested' is a passive perfect form asserting a completed bounded event (the arrest), which is a transition event, fitting the set_to_1_if conditions.",0.0,high,"'had been arrested' is presented as a realized past event reported as fact, not hypothetical or projected.",1,high,"The auxiliary 'had' is morphologically past, indicating past perfect tense, which satisfies the set_to_1_if condition.",1,high,"'had been arrested' is auxiliary 'had' + 'been' + past participle 'arrested' of a transitive verb; the subject 'John' is the semantic patient affected by the event; although no explicit by-phrase is present, the passive morphology and patient subject satisfy the criteria.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1.0,high,"The target verb 'have heard' introduces an overt grammatical subject 'You' and an overt direct object 'it', satisfying the condition for ASTrns.",0,high,"'have heard' licenses an external argument (the experiencer 'you') and takes a direct object ('it'), so it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument ('it'), so it does not instantiate ASUnrg.",0,high,"'have heard' denotes a punctual cognitive event of becoming aware, lacking a durative process phase leading to a defined endpoint.",1,high,"'have heard' denotes a punctual perceptual transition into awareness, matching the example 'They have heard the news.'",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is a single completed occurrence without dynamic unfolding.",0,high,"'have heard' entails a state or event with measurable duration or resulting state (knowledge acquisition), not a single punctual occurrence without change of state.",0,high,"'have heard' denotes a bounded perceptual event marking the completion of awareness, which is dynamic and eventive, thus not an AktState.",0,high,The clause 'You have heard it was said' presents a factual statement without any indication of counterfactuality or contrary-to-fact conditions.,0,high,"The auxiliary 'have' in 'have heard' is not negated; the negation 'not' applies to 'commit adultery', not to 'have heard'.",0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial anchoring the event to a specific past time interval.",1,high,"The phrase 'You have heard' denotes a perception verb focusing on the occurrence of an experience at least once, fitting the feature DtExp.",0,high,"The verb 'have heard' is a communication verb reporting a past interaction without indicating that the information is currently in effect or binding, thus no resulting state is entailed.",0,high,"The phrase 'You have heard' describes a discrete event of hearing something, not a continuous or habitual state holding over time.",0,high,'have heard' is a perfect form of a stative verb indicating a past experience without presenting the situation as a bounded whole or transition event.,0.0,high,"'have heard' asserts a realized fact in the actual world without modal, conditional, future, or hypothetical context.",0,high,"The gram 'have heard' uses present-tense 'have' followed by a past participle with no modal, future, or progressive marking, indicating simple present perfect.",0,high,"'have heard' is an active perfect construction without the auxiliary 'been' and does not show passive morphology; the subject 'You' is the agent, not the patient.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1.0,high,"The target verb 'have heard' introduces an overt grammatical subject 'You' and an overt direct object 'it', satisfying the condition for ASTrns.",0,high,"'have heard' licenses an external argument (the experiencer 'you') and takes a direct object ('it'), so it does not meet unaccusative criteria.",0,high,"The verb 'have heard' licenses an internal argument ('it'), so it does not instantiate ASUnrg.",0,high,"'have heard' denotes a punctual or near-instantaneous cognitive event of perceiving information, lacking a durative process phase leading to a defined endpoint.",1,high,"'have heard' denotes a punctual perceptual transition into awareness, matching the example 'They have heard the news.'",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is a single completed occurrence without dynamic unfolding.",0,high,'have heard' entails a state or experience that unfolds over time rather than a single punctual occurrence without change of state.,0,high,"The verb 'have heard' denotes a bounded perceptual event marking the completion of awareness, which involves dynamic change and eventive unfolding, thus not instantiating AktState.",0,high,The clause 'You have heard it said' presents a factual statement without any indication of counterfactuality or contrary-to-fact conditions.,0,high,The target gram 'have heard' is not negated; no negator or negative quantifier modifies it in the sentence.,0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial anchoring the event to a specific past time interval.",1,high,"The phrase 'have heard' is a Perfect verb of perception focusing on the occurrence of an experience at least once, fitting the set_to_1_if condition.",0,high,The verb 'have heard' reports a past perception without indicating a resulting state currently in effect.,0,high,"'have heard' describes a discrete event of hearing a saying, not a continuous or habitual state holding over time.",1,high,"The phrase 'have heard' is a perfect form indicating a completed event with a bounded endpoint, presenting the situation as a single bounded occurrence rather than ongoing or habitual.",0.0,high,"'have heard' is a present perfect asserting a realized fact in the actual world, with no modal, conditional, future, or hypothetical context.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle, with no modal, future, or progressive marking.",0,high,"'have heard' is auxiliary 'have' + past participle but lacks 'been' and the subject 'you' is the semantic agent, not the patient, so it is active voice, not passive.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1.0,high,"The target verb 'have heard' introduces an overt grammatical subject 'You' and an overt direct object 'it', satisfying the condition for ASTrns.",0,high,"'have heard' licenses an external argument (the experiencer 'you') and takes a direct object ('it'), so it does not meet unaccusative criteria.",0,high,"The verb 'have heard' licenses an internal argument 'it', so it does not meet the ASUnrg feature criteria.",0,high,'have heard' denotes a punctual cognitive event of coming into awareness without a durative process leading to a defined endpoint.,1,high,"'have heard' denotes a punctual perceptual transition into awareness, matching the achievement criteria.",0,high,"'have heard' denotes a bounded perceptual event marking the onset of awareness, which is a single completed occurrence without durative unfolding.",0,high,"'have heard' entails a resulting state of having knowledge or information, and is not a single punctual occurrence without change of state.",0,high,"'have heard' denotes a bounded perceptual event marking the completion of awareness, which involves dynamic change and eventive unfolding, thus not instantiating AktState.",0,high,"The clause 'You have heard it said' presents a factual statement about what the listener has heard, with no indication of counterfactuality or contrary-to-fact conditions.",0,high,The target gram 'have heard' is not negated; the sentence affirms 'You have heard it said' without any negation on the auxiliary or negative quantifiers.,0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial anchoring the event to a specific past time interval.",1,high,"The phrase 'You have heard' presents the event as part of the subject’s life history, indicating an experience that has occurred at least once without asserting a resulting state.",0,high,The verb 'have heard' reports a past perception event without indicating that the resulting state (knowledge or information) is currently in effect or binding.,0,high,"The phrase 'You have heard it said' describes a discrete event of hearing a statement, not a continuous or habitual situation holding over time.",0,high,"'have heard' is a present perfect form of a stative/perceptual verb without a completion-measure adverbial or transition event, and it does not present a bounded whole but rather an ongoing state of having heard.",0.0,high,"'You have heard' asserts a realized fact in the actual world without modal, conditional, future, or hypothetical context.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking, matching simple present perfect.",0,high,"'have heard' is auxiliary 'have' + past participle but lacks 'been' and does not show passive morphology; the subject 'you' is the agent, not the patient.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1.0,high,"The passive construction 'have been paid' licenses both an external agent (implied payer) and an internal argument (the recipient, expressed as the subject), fulfilling the criteria for ASTrns.",0,high,"'have been paid' is a passive construction with an external argument licensed (the agent who pays), so it does not meet unaccusative criteria.",0,high,"The verb phrase 'have been paid' licenses an internal argument (the recipient of payment), so it does not instantiate ASUnrg.",0,high,"'have been paid' denotes a punctual event of receiving payment, a boundary transition without a durative process or inherent endpoint unfolding over time.",0,high,"'have been paid' denotes a completed state resulting from a process, not a punctual boundary transition or instantaneous change of state.",0,high,"'have been paid' denotes a completed, bounded result state with a defined endpoint, not a dynamic durative activity.",0,high,"'have been paid' entails a resulting change of state (the payment having been completed), so it is not a punctual event without change of state.",0,high,"'have been paid' denotes a completed, bounded event (payment received), involving dynamic change and event boundary, thus not a stative condition.",0,high,The clause 'they have already been paid in full' presents a factual past event without any indication of being contrary to fact or counterfactual conditional.,0,high,The target gram 'have been paid' is not negated; the sentence states 'they have already been paid in full' affirmatively without any negation or negative quantifier.,1,high,The phrase 'have already been paid' contains the lexical past time adverb 'already' which explicitly anchors the event to a past time interval.,0,high,"The phrase 'have already been paid in full' indicates a completed change of possession with a resulting state holding at the reference time, thus not instantiating DtExp.",1,high,"The phrase 'have been paid' indicates a completed change of possession with the resulting state (being paid) currently holding, as emphasized by 'already' and 'in full'.",0,high,"The phrase 'have been paid' describes a completed, bounded event (a past payment) rather than a continuous or habitual state holding up to the reference time.",1,high,"The phrase 'have been paid' is passive perfect, presenting a completed bounded event (payment) rather than an ongoing process, matching the set_to_1_if condition for passive bounded transition.",0.0,high,"The phrase 'have been paid' asserts a realized fact in the actual world with no modal, conditional, future, or hypothetical context.",0,high,"The gram 'have been paid' is formed with present-tense 'have' plus 'been' plus past participle 'paid', with no progressive participle, modal, or future marking, thus it is simple present perfect.",1,high,"The target 'have been paid' matches the auxiliary 'have' + 'been' + past participle form, the subject 'they' corresponds to the semantic patient, and the context implies a passive event with an external agent (those who pay), satisfying the passive construction criteria.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1.0,high,"The passive clause 'have been paid' includes an external argument (agent) and an internal argument (patient), satisfying the passive condition for ASTrns.",0,high,"'have been paid' is a passive construction with an external argument licensed (the agent who pays), so it does not meet unaccusative criteria.",0,high,"The verb phrase 'have been paid' licenses an internal argument (the entity paying), indicating a passive construction with a change-of-state event, so it does not instantiate ASUnrg.",0,high,"'have been paid' denotes a punctual, completed transaction without a durative process phase or inherent endpoint unfolding over time, thus not instantiating AktAcc.",0,high,"'have been paid' denotes a completed state resulting from a process of payment, which unfolds over time and is not a punctual boundary transition.",0,high,"'have been paid' denotes a completed, bounded event with a defined result state (payment completed), not a dynamic durative activity.",0,high,"'have been paid' entails a resulting change of state (the state of having received payment), so it is not a punctual event without change of state.",0,high,"'have been paid' denotes a completed, bounded event (a change-of-state) rather than a static or durative state.",0,high,The clause 'they have been paid in full' presents a factual past event without any indication of being contrary to fact or counterfactual.,0,high,The target gram 'have been paid' is not negated; the sentence states they 'have been paid in full' affirmatively without any negation.,0,high,"The clause 'I assure you they have been paid in full' contains no lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The phrase 'have been paid in full' indicates a completed change of possession with a resulting state holding at the reference time, not a life-history experiential event.",1,high,The phrase 'have been paid in full' indicates a completed change of possession with the resulting state (payment) currently holding at the reference time.,0,high,"The phrase 'have been paid in full' describes a completed, bounded event (payment) rather than a continuous or habitual state holding over time.",1,high,"The phrase 'have been paid in full' presents a completed, bounded event with a completion-measure adverbial 'in full' and a passive construction asserting a bounded transition.",0.0,high,"The phrase 'have been paid' asserts a realized fact in the actual world with no modal, conditional, future, or hypothetical context.",0,high,"'have been paid' is present perfect passive formed with present-tense 'have' plus 'been' plus past participle, with no progressive or modal marking.",1,high,"The phrase 'have been paid' uses the auxiliary 'have' + 'been' + past participle 'paid', the subject 'they' corresponds to the semantic patient, and the context implies a passive event with an external agent omitted.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
