TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation,DtExp/DtRes,DtExp/DtUniv,DtRes/DtUniv,DtExp/DtRes/DtUniv,DtHP,DtHP_excused,ASTrns/ASUncc,ASTrns/ASUnrg,ASUncc/ASUnrg,ASTrns/ASUncc/ASUnrg,ASHP,AktState/AktAct,AktAcc/AktAch,AktMultiple,AktHP,TLAspPfv/DtUniv,TLAspPfv/AktState,TLAspPfv/AktAct
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The passive clause 'Mary had been promised to Joseph' includes an external argument (agent) implied or expressed in a 'by'-phrase and an internal argument (patient) overtly present, satisfying the passive condition for ASTrns.",0,high,"'had been promised' is a passive construction with an external argument implied, not a one-participant event without external argument.",0,high,"The verb phrase 'had been promised' is passive and licenses an internal argument (the promise), so it does not meet the criteria for ASUnrg.",0,high,"'had been promised' describes a completed state or event without a durative process leading to a defined endpoint; it is a punctual, stative event rather than an accomplishment.",1,high,"'had been promised' denotes a punctual transition into a new state (being promised), fitting the definition of an achievement as a boundary event.",0,high,"'had been promised' denotes a completed, bounded event with an inherent endpoint (the promise), not a dynamic, durative activity.",0,high,"'had been promised' describes a state or a resulting condition (a promise made), not a single punctual dynamic event without change of state.",1,high,'had been promised' denotes a stable relational configuration (a promise made and held over time) without dynamic change or eventive unfolding.,0,high,The phrase 'had been promised' describes a factual past event without any indication of counterfactuality or unfulfilled condition.,0.0,high,"The target gram 'had been promised' is not negated, contains no negative quantifier, is not modified by 'never', nor appears in a 'neither...nor' construction.",0,high,"The clause containing 'had been promised' does not contain any lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The phrase 'had been promised' introduces a past event relevant to the narrative and resulting state (Mary's betrothal), not an experiential life-history event with frequency or negation focus.",1,high,The phrase 'had been promised' indicates a change of social/legal status (promise of marriage) that is currently held at the reference time.,0,high,'had been promised' describes a past completed state or event without explicit duration or continuous holding up to the reference time.,1,high,The predicate 'had been promised' denotes a completed transition event (a promise made) presented as a bounded whole with a clear endpoint.,0,high,"The phrase 'had been promised' is used to assert a past realized fact about Mary being promised to Joseph, not a hypothetical, projected, or non-actual situation.",1,high,"The auxiliary 'had' is morphologically past, indicating past perfect tense, which satisfies the set_to_1_if condition.",1,high,"The phrase 'had been promised' matches the auxiliary 'have' + 'been' + past participle form, the subject 'His mother Mary' is the semantic patient, and the agent is implied or omitted, fulfilling the passive construction criteria.",N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,"The verb 'had commanded' introduces an overt subject ('the angel of God') and an overt direct object ('him'), satisfying the condition for ASTrns.",0,high,"'had commanded' is a transitive verb with an external argument (agent) who issues a command, so it does not meet the unaccusative criteria.",0,high,"The verb 'had commanded' licenses an internal argument (the clause 'him to do'), so it is not a one-participant event with only an external argument.",0,high,"'Had commanded' describes a completed, punctual act of issuing an order, lacking a durative process or inherent endpoint unfolding over time.",0,high,"'had commanded' denotes a past state of issuing an order, which is not a punctual or near-instantaneous transition event but rather a stative or durative action.",0,high,"'had commanded' denotes a completed, bounded event with a defined result state, not a dynamic durative activity.",0,high,"'had commanded' describes a past completed action that entails a resulting change of state (issuing a command), not a single punctual event without change of state.",0,high,"'had commanded' denotes a completed, bounded dynamic event (an act of commanding) rather than a static state or condition.",0,high,"The clause describes a factual past event that actually occurred, not a counterfactual or contrary-to-fact situation.",0.0,high,"The target gram 'had commanded' is not negated, contains no negative quantifier, is not modified by 'never', and is not part of a 'neither...nor' construction.",1,high,"The clause contains the clausal past time anchor 'When Joseph woke up', explicitly anchoring the event to a specific past time interval.",0,high,The clause reports a past event that sets the scene for subsequent actions without indicating repetition or experiential focus.,0,high,The verb 'had commanded' reports a past directive without indicating that the command is currently in effect or that a resulting state persists.,0,high,'had commanded' refers to a completed past action (a punctual event) without any duration or habitual aspect extending to the reference time.,1,high,"'had commanded' presents a completed, bounded event (a discrete instruction given prior to Joseph's action), fitting the feature's criteria for a bounded whole.",0,high,"'had commanded' is a past perfect form asserting a realized fact in the actual world, not a hypothetical or projected situation.",1,high,"'had commanded' is morphologically past perfect, fulfilling the condition for TLTS.",0,high,"'had commanded' is past perfect active without 'been' and the subject is the agent, not the patient, so it does not instantiate VcPass.",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,"The verb phrase 'has come near' is intransitive with no overt direct object, so it does not instantiate the ASTrns feature.",1,high,'has come near' denotes directed motion/change of location where the sole argument undergoes displacement and no external argument is licensed,0,high,"The verb phrase 'has come near' involves an internal argument (the subject approaching a location), so it does not instantiate a one-participant event with only an external argument and no internal argument.",0,high,'has come near' describes a punctual boundary transition (arrival near a point) without a durative process or inherent endpoint unfolding over time.,1,high,"'has come near' denotes a punctual or near-instantaneous transition into a new state (the kingdom of heaven approaching), fitting the definition of an achievement.",0,high,"'has come near' denotes a punctual change of state or position with an inherent endpoint, not a dynamic durative activity.",0,high,"'has come near' describes a change of state or resultant condition (the kingdom of heaven approaching), not a single punctual event without change of state.",0,high,"'has come near' denotes a dynamic change of state or event (arrival/approach), not a static or durative state.",0,high,"The clause 'the kingdom of heaven has come near' is a factual statement, not a counterfactual or contrary-to-fact condition.",0.0,high,The target gram 'has come near' is not negated; there is no negation word or negative quantifier present in the clause.,0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The phrase 'has come near' introduces a current state or situation (the kingdom of heaven being near), not an event in the subject's life history or repeated experience.",1,high,"The verb phrase 'has come near' is a motion verb indicating a change of location, and the phrase implies that the kingdom of heaven is currently near, so the resulting state holds at the reference time.",0,high,The phrase 'has come near' denotes a punctual event indicating a change of state rather than a continuous or habitual situation extending to the reference time.,1,high,"The predicate 'has come near' denotes a transition event (approaching) presented as a completed whole, thus instantiating TLAspPfv.",0,high,"The phrase 'has come near' is asserted as a realized fact in the actual world, not projected, hypothetical, or desired.",0,high,"The auxiliary 'has' is present tense and the construction is simple present perfect without any past, future, modal, or progressive marking.",0,high,'has come near' is not a passive construction; it lacks the auxiliary 'have been' + past participle form and the subject is not a semantic patient but the agent or experiencer.,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,"The verb 'have approved' has an overt grammatical subject ('I') and an overt direct object ('whom'), satisfying the two-participant event with external and internal arguments.",0,high,"'have approved' is a transitive verb with an external agent approving an internal theme, so it licenses an external argument and is not unaccusative.",0,high,"The verb 'have approved' licenses an internal argument (the relative clause 'whom I have approved'), so it is not a one-participant event with only an external argument.",0,high,"'have approved' denotes a punctual event of giving approval, lacking a durative process or inherent culmination over time.",1,high,"'have approved' denotes a punctual cognitive transition into a new state of recognition or acceptance, fitting the achievement criteria.",0,high,"'have approved' denotes a completed, bounded event with an inherent endpoint (approval), not a dynamic durative activity.",0,high,"'have approved' entails a resulting change of state (approval granted), so it is not a punctual semelfactive event.",0,high,"'have approved' denotes a completed, bounded event of approval, not a static or ongoing state.",0,high,"The clause 'whom I have approved' is a factual statement within a declarative sentence, not a counterfactual conditional, regret, or contrary-to-fact situation.",0.0,high,"The target gram 'have approved' is not negated, contains no negative quantifier, is not modified by 'never', and is not in a 'neither...nor' construction; the event is presented as occurring.",0,high,"'Then' here is a logical connector meaning 'therefore' or 'at that time' introducing the voice, but the clause containing 'have approved' does not contain an overt lexical, phrasal, or clausal past time adverb explicitly anchoring the event to a specific past time interval.",0,high,The phrase 'whom I have approved' presents a current state or status rather than indicating an event as part of the subject's life history or repeated experience.,1,high,"The verb 'have approved' indicates a change of social/legal status (approval) that is currently held, as the voice states 'whom I have approved' implying the approval persists at the reference time.",0,high,The clause 'whom I have approved' does not contain duration adverbials nor describe a continuous or habitual state; it denotes a completed approval event rather than a continuous or habitual situation.,1,high,The predicate 'have approved' denotes a transition event (approval as a completed act) and the clause presents it as a single bounded occurrence with a construed endpoint.,0,high,"The phrase 'I have approved' is asserted as a realized fact in the actual world, not projected, hypothetical, or desired.",0,high,"The target 'have approved' is a simple present perfect construction with no past, future, modal, or progressive marking.",0,high,"The target 'have approved' lacks the auxiliary 'been' and past participle form; the subject is the agent, not the patient, and no 'by'-phrase is present, so it is active voice, not passive.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The clause is morphologically passive ('had been arrested'), and the lexical verb 'arrest' licenses both an external argument (agent) and an internal argument (patient), satisfying the set_to_1_if condition.",0,high,"'had been arrested' is a passive construction with an external argument implied, so it does not meet the unaccusative criteria.",0,high,"The verb phrase 'had been arrested' is passive and involves an internal argument (the person arrested), so it does not instantiate a one-participant event with only an external argument.",0,high,"'had been arrested' describes a completed, punctual event (an achievement) without a durative process or inherent endpoint phase.",1,high,"'had been arrested' denotes a punctual change-of-state event marking the boundary of transition into the arrested state, fitting the achievement criteria.",0,high,"'had been arrested' denotes a completed, bounded event with an inherent endpoint (the arrest), not a dynamic durative activity.",0,high,"'had been arrested' entails a resulting change of state (being in custody), so it is not a semelfactive event.",0,high,"'had been arrested' denotes a completed, bounded event with dynamic change, not a static state holding over time.",0,high,"The phrase 'had been arrested' is used in a factual past context reporting an event that actually occurred, not in a counterfactual or contrary-to-fact conditional.",0.0,high,"The target gram 'had been arrested' is not negated; there is no negation on the auxiliary, no negative quantifier, no 'never', and no 'neither...nor' construction.",0,high,"The clause 'John had been arrested' contains no lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The event 'had been arrested' introduces a resulting state relevant for subsequent discourse, as it sets the scene for Jesus withdrawing, thus it is non-experiential.",1,high,"The verb phrase 'had been arrested' indicates a change of state (being arrested) and the resulting state (John being under arrest) holds at the reference time, as implied by the context that Jesus reacts to this fact.",0,high,"'had been arrested' denotes a completed, punctual event (arrest) without any duration adverbials or indication of continuous or habitual state up to the reference time.",1,high,"'had been arrested' is a passive construction asserting a completed, bounded event (the arrest), which is a transition event, fitting the criteria for TLAspPfv.",0,high,"'had been arrested' is a past perfect passive construction asserting a realized past event, not hypothetical or projected.",1,high,"The auxiliary 'had' is morphologically past, indicating past perfect tense, which satisfies the set_to_1_if condition.",1,high,"'had been arrested' matches the auxiliary 'have' + 'been' + past participle form, the subject 'John' is the semantic patient, and the construction is passive voice.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1,high,"The verb phrase 'have heard' includes an overt grammatical subject 'You' and an overt direct object 'it', satisfying the condition for ASTrns.",0,high,"'have heard' involves an external argument (the experiencer who hears), so it does not meet the unaccusative criteria.",0,high,"The verb 'have heard' licenses an internal argument 'it' (direct object), so it does not meet the criteria for ASUnrg.",0,high,"'have heard' denotes a punctual cognitive event of becoming aware, not a durative process with a defined endpoint or result state.",1,high,"'have heard' denotes a punctual perceptual transition into awareness, matching the example 'They have heard the news' and satisfying the criteria for AktAch.",0,high,"'have heard' denotes a bounded perceptual event with an inherent endpoint, not a dynamic durative activity.",0,high,"'have heard' is a perfect aspect verb indicating a completed experience or state, not a single punctual dynamic occurrence without change of state.",0,high,"'have heard' denotes a bounded perceptual event (hearing something), which is dynamic and eventive, not a static state.",0,high,"The phrase 'You have heard' is a simple present perfect statement indicating reported information, not a counterfactual or contrary-to-fact situation.",0.0,high,"The target gram 'have heard' is not negated; there is no negation on the auxiliary or negative quantifier in the clause, and no modifying adverb 'never' or 'neither...nor' construction.",0,high,"The clause containing 'have heard' does not contain any lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",1,high,"The phrase 'You have heard' uses a perception verb focusing on the occurrence of an experience at least once, fitting the experiential feature DtExp.",0,high,"The verb 'have heard' reports a past interaction without indicating that the information is currently in effect or binding, so it does not encode a persisting change of state.",0,high,"'have heard' here refers to a single past event of hearing a statement, not a continuous or habitual state extending to the reference time.",0,high,"'have heard' here is a present perfect stative indicating knowledge or experience, not a bounded transition or completed event.",0,high,"'have heard' is a present perfect asserting a realized fact, not projected or hypothetical.",0,high,"'have heard' is a simple present perfect construction with no past, future, modal, or progressive marking.",0,high,"The target 'have heard' lacks the auxiliary 'been' and is not followed by a past participle; the subject 'You' is the agent, not the patient, and no 'by'-phrase is present, so it is active voice, not passive.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,"The verb phrase 'have heard' includes an overt grammatical subject 'You' and an overt direct object 'it', satisfying the condition for ASTrns.",0,high,"'have heard' involves an external argument (agentive experiencer) and does not denote change of state, motion, existence, or copular predication.",0,high,"The verb 'have heard' licenses an internal argument 'it', so it is not a one-participant event with only an external argument.",0,high,"'have heard' here denotes a punctual cognitive event of becoming aware, not a durative process with a defined endpoint or gradual change.",1,high,"'have heard' denotes a punctual perceptual transition into awareness, matching the example 'They have heard the news.'",0,high,"'have heard' denotes a bounded perceptual event with an inherent endpoint, not a dynamic durative activity.",0,high,'have heard' is a perfect aspect verb indicating a state or experience rather than a single punctual dynamic event without change of state.,0,high,"'have heard' denotes a bounded perceptual event, not a durative mental state or static condition.",0,high,"The phrase 'You have heard' is a factual present perfect statement, not part of a counterfactual conditional or expressing regret or unfulfilled wish.",0.0,high,"The auxiliary 'have' in 'have heard' is not negated, and there is no negative quantifier or adverb modifying the target gram.",0,high,"The clause contains no lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a past time interval.",1,high,"The phrase 'You have heard' uses a Perfect form of a perception verb focusing on the occurrence of an experience at least once, fitting the set_to_1_if criteria for DtExp.",0,high,The verb 'have heard' reports a past interaction without indicating that the information is currently in effect or that a resulting state persists.,0,high,"'have heard' here refers to a single instance of hearing a saying, not a continuous, habitual, or durative state extending to the reference time.",0,high,"'have heard' here is a present perfect stative indicating knowledge or experience, not a bounded transition or completed event.",0,high,"'have heard' is used in a declarative statement asserting a realized fact, not a hypothetical or projected situation.",0,high,"The auxiliary 'have' is in simple present perfect form without past, future, modal, or progressive marking.",0,high,"'have heard' is auxiliary 'have' + past participle but lacks 'been' and the subject 'you' is the agent, not the patient, so it is active voice, not passive.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1,high,"The target verb 'have heard' introduces an overt grammatical subject 'You' and an overt direct object 'it', satisfying the condition for ASTrns.",0,high,"'have heard' involves an external argument (agent) performing the action of hearing, so it does not meet the unaccusative criteria.",0,high,"The verb 'have heard' licenses an internal argument 'it', so it does not meet the criteria for ASUnrg.",0,high,"'have heard' here denotes a punctual cognitive event of coming into awareness, not a durative process with a defined endpoint.",1,high,"'have heard' denotes a punctual perceptual transition into awareness, matching the achievement criteria.",0,high,"'have heard' denotes a bounded perceptual event with an inherent endpoint (hearing a specific statement), not a dynamic durative activity.",0,high,"'have heard' is a perfective stative or experiential verb phrase implying a resultant state of having knowledge, not a single punctual dynamic event without change of state.",0,high,"'have heard' here denotes a bounded perceptual event (hearing something said), which is dynamic and eventive, not a static state.",0,high,"The phrase 'You have heard' is a factual statement in the present perfect tense, not part of a counterfactual conditional, regret, or contrary-to-fact context.",0.0,high,"The target gram 'have heard' is not negated, contains no negative quantifier, is not modified by 'never', and is not part of a 'neither...nor' construction.",0,high,"The clause containing 'have heard' does not contain any lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",1,high,The phrase 'You have heard' uses a Perfect form focusing on the occurrence of an experience in the subject's life history without asserting a resulting state.,0,high,The verb 'have heard' reports a past interaction without indicating that the information is currently in effect or that a resulting state persists.,0,high,"The phrase 'You have heard' indicates a punctual event of hearing something, not a continuous or habitual state extending to the reference time.",0,high,"'have heard' here is a present perfect stative verb indicating knowledge or experience, not a bounded transition or completed event.",0,high,"'have heard' is used here as a perfect tense asserting a realized fact, not expressing modality, conditionality, or irrealis meaning.",0,high,"'have heard' is a simple present perfect construction without any past, future, modal, or progressive marking.",0,high,"'have heard' is auxiliary 'have' + past participle but lacks 'been' and does not show passive morphology; the subject 'you' is agent, not patient.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1,high,"The clause is morphologically passive ('have been paid'), and the lexical verb licenses both an external argument (agent) and an internal argument (patient), satisfying the set_to_1_if condition.",0,high,"'have been paid' is a passive construction with an external argument licensed, so it does not meet the unaccusative criteria.",0,high,"'have been paid' is a passive construction with an internal argument (the payment), so it does not instantiate ASUnrg.",0,high,"'have been paid' describes a punctual, completed state without a durative process or inherent goal-directed unfolding event.",1,high,"'have been paid' denotes a punctual, completed transaction representing a boundary transition into a new state of having received payment.",0,high,"'have been paid' denotes a completed, bounded event with an inherent endpoint (payment completed), not a dynamic durative activity.",0,high,"'have been paid' entails a resulting change of state (the state of having been paid), so it is not a punctual semelfactive event.",0,high,"'have been paid' describes a completed, bounded event (a past payment), not a static or durative state.",0,high,"The phrase 'have been paid' occurs in a factual statement about the hypocrites' current state, not in a counterfactual or contrary-to-fact context.",0.0,high,The target gram 'have been paid' is not negated; it is stated affirmatively without any negation markers or negative quantifiers.,0,high,"The clause 'they have already been paid in full' contains no lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,The phrase 'have already been paid in full' indicates a completed result state rather than an experiential event in the subject's life history.,1,high,The phrase 'have been paid' indicates a completed change of possession and the resulting state (being paid) currently holds at the reference time.,0,high,"'have been paid' describes a completed, punctual event (a past payment) rather than a continuous or habitual state extending to the reference time.",1,high,"The phrase 'have been paid' is a passive construction asserting a completed, bounded event (payment) rather than an ongoing process, matching the set_to_1_if condition for a passive bounded transition.",0,high,"The phrase 'have been paid' is asserted as a realized fact in the actual world, not projected, hypothetical, or desired.",1,high,"The gram includes 'been' followed by a past participle 'paid', indicating a perfect progressive or perfect passive construction, which counts as tense/mood specification beyond simple present perfect.",1,high,"The phrase 'have been paid' uses the auxiliary 'have' + 'been' + past participle 'paid', the subject 'they' corresponds to the semantic patient, and the agent is implied or omitted, fulfilling the passive construction criteria.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The clause is morphologically passive ('have been paid'), and the lexical verb licenses both an external argument (agent) and an internal argument (patient), satisfying the set_to_1_if condition.",0,high,"'have been paid' is a passive construction with an external agent implied, so it does not meet the unaccusative criteria.",0,high,"'have been paid' is a passive construction with an internal argument (the payment), so it does not instantiate ASUnrg.",0,high,"'have been paid' describes a punctual, completed transaction without a durative process leading to a defined endpoint; it is a boundary event, not an accomplishment.",1,high,"'have been paid' denotes a punctual transition into a new state (payment completed), fitting the achievement criteria.",0,high,"'have been paid' denotes a completed, bounded event with a defined result state (payment completed), not a dynamic durative activity.",0,high,"'have been paid' entails a resulting change of state (the payment being completed), so it is not a punctual event without change of state.",1,high,"'have been paid' denotes a state of having received payment, a stable relational configuration without dynamic change or eventive unfolding.",0,high,"The phrase 'have been paid' is used in a factual statement indicating a completed action, not in a counterfactual or contrary-to-fact context.",0.0,high,"The target gram 'have been paid' is not negated; there is no negation on the auxiliary, no negative quantifier, no 'never', and no 'neither...nor' construction.",0,high,"The clause 'they have been paid in full' contains no lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The phrase 'have been paid' is a Perfect passive indicating a completed action with a resulting state (being paid in full), not an experiential event about life history or frequency.",1,high,The phrase 'have been paid in full' indicates a completed change of possession with the resulting state (being fully paid) currently holding at the reference time.,0,high,"'have been paid' denotes a completed, punctual event with a resulting state, not a continuous or habitual situation extending to the reference time.",1,high,"The phrase 'have been paid in full' is a passive construction asserting a completed, bounded event with a completion-measure adverbial 'in full', indicating the situation is presented as a single bounded occurrence.",0,high,"'have been paid' is asserted as a realized fact in the actual world, not projected or hypothetical.",0,high,'have been paid' is a simple present perfect passive construction without progressive aspect or modal/future/past tense marking.,1,high,"The phrase 'have been paid' matches the auxiliary 'have' + 'been' + past participle form, the subject 'they' corresponds to the semantic patient, and the construction shows overt passive morphology.",N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N
