TokenID,Lang,Target,Text,ENGGram
40001018,ENG,had been promised,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .","past, participle"
40001018,DEU,,"MIT der Geburt Jesu Christi aber verhielt es sich so : Als seine Mutter Maria mit Joseph verlobt war , fand es sich , ehe sie zusammengekommen waren , dass sie vom heiligen Geiste schwanger war .",
40001018,CMN,,耶稣基督的降生是这样的 ： 耶稣的母亲马利亚许配了约瑟 ， 他们还没有成亲 ， 马利亚就从圣灵怀了孕。,
40001018,JPN,,イエス・キリストの誕生の次第はこうであった。母マリヤはヨセフと婚約していたが、まだ一緒にならない前に、聖霊によって身重になった。,
40001024,ENG,had commanded,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .","participle, past"
40001024,DEU,,"Als aber Joseph vom Schlaf erwacht war , tat er , wie ihm der Engel des Herrn befohlen hatte , und nahm sein Weib zu sich .",
40001024,CMN,,约瑟睡醒了 ， 就照着主的使者所吩咐的 ， 把妻子迎娶过来 ；,
40001024,JPN,,ヨセフは眠りからさめた後に、主の使が命じたとおりに、マリヤを妻に迎えた。,
40003002,ENG,has come near,"» Repent , for the kingdom of heaven has come near . «","past, participle"
40003002,DEU,,Tut Busse ! denn das Reich der Himmel ist genaht .,
40003002,CMN,,说 ： “天国近了 ， 你们应当悔改。”,
40003002,JPN,,「悔い改めよ、天国は近づいた」。,
40003017,ENG,have approved,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,"present, participle"
40003017,DEU,,"Und siehe , eine Stimme aus den Himmeln sprach : "" Dies ist mein geliebter Sohn , an dem ich Wohlgefallen gefunden habe . """,
40003017,CMN,,又有声音从天上来 ， 说 ： “这是我的爱子 ， 我所喜悦的。”,
40003017,JPN,,また天から声があって言った、「これはわたしの愛する子、わたしの心にかなう者である」。,
40004012,ENG,had been arrested,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,"past, participle"
40004012,DEU,,"ALS er aber hörte , dass Johannes gefangengesetzt worden war , zog er nach Galiläa zurück .",
40004012,CMN,,耶稣听见约翰被捕 ， 就往加利利去。,
40004012,JPN,,さて、イエスはヨハネが捕えられたと聞いて、ガリラヤへ退かれた。,
