TokenID,FullText,Target,run_id,provider,model_name,feature_name_x,annotation,confidence,explanation,feature_name_y
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,20260307T084303Z_1ddf23ca,gemini,gemini-2.0-flash-001,DtRes,0,high,"The target gram is a stative copula ('had been promised'), which describes a state rather than the change into that state, so it does not encode a transition.",DtRes
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,20260307T084303Z_1ddf23ca,gemini,gemini-2.0-flash-001,DtRes,0,high,The verb 'commanded' does not entail that the command is currently in effect; it merely reports a past interaction.,DtRes
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,20260307T084303Z_1ddf23ca,gemini,gemini-2.0-flash-001,DtRes,1,high,"The verb 'has come near' is a motion verb where the mover has moved to a destination and remains there at the reference time, indicating a resulting state that is currently in effect.",DtRes
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,20260307T084303Z_1ddf23ca,gemini,gemini-2.0-flash-001,DtRes,0,high,The verb 'approve' does not entail a resulting state that holds at the reference time; it describes a past action without a persisting change of state.,DtRes
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,20260307T084303Z_1ddf23ca,gemini,gemini-2.0-flash-001,DtRes,0,high,"The target 'had been arrested' describes a state resulting from a prior change, but the copular construction itself does not encode a transition; it describes a state rather than the change into that state.",DtRes
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,20260307T084303Z_1ddf23ca,gemini,gemini-2.0-flash-001,DtRes,0,high,The verb 'hear' does not entail a resulting state that holds at the reference time; it is a perception event.,DtRes
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,20260307T084303Z_1ddf23ca,gemini,gemini-2.0-flash-001,DtRes,0,high,The verb 'hear' does not entail a resulting state that holds at the reference time; it merely reports a past interaction without a persisting state.,DtRes
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,20260307T084303Z_1ddf23ca,gemini,gemini-2.0-flash-001,DtRes,0,high,The verb 'hear' does not entail a resulting state that holds at the reference time; it is a perception event without a persisting change of state.,DtRes
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,20260307T084303Z_1ddf23ca,gemini,gemini-2.0-flash-001,DtRes,0,high,"The clause indicates that the reward has been received in the past, but it does not entail that the state of being rewarded is currently in effect; it's a past interaction without a current binding state.",DtRes
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,20260307T084303Z_1ddf23ca,gemini,gemini-2.0-flash-001,DtRes,0,high,"The clause indicates that the hypocrites received their reward in the past, but it does not entail that any resulting state is currently in effect; it's a past interaction without a current binding state.",DtRes
40006016,"» When you abstain from food , do not be like the hypocrites , with sad faces to be seen by men . They have received their reward .",have received,20260307T084303Z_1ddf23ca,gemini,gemini-2.0-flash-001,DtRes,0,high,"The reward was received in the past, but there is no indication that the reward is currently held or in effect, so it does not entail a resulting state that holds at the reference time.",DtRes
40007028,"When Jesus had finished these words , the crowds were astonished at what he taught .",had finished,20260307T084303Z_1ddf23ca,gemini,gemini-2.0-flash-001,DtRes,1,high,"The verb 'finished' describes a change of state, and the context implies that Jesus was done/ready for the next step, indicating that the resulting state is currently in effect.",DtRes
