TokenID,FullText,Target,run_id,provider,model_name,feature_name_x,annotation,confidence,explanation,feature_name_y
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,20260307T090518Z_93e63d90,gemini,gemini-2.0-flash-001,DtUniv,0,high,"The clause describes a state of being promised, which is a discrete event rather than a continuous situation holding across a time span.",DtUniv
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,20260307T090518Z_93e63d90,gemini,gemini-2.0-flash-001,DtUniv,0,high,The clause describes a discrete event (commanding) rather than a situation holding continuously across a time span.,DtUniv
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,20260307T090518Z_93e63d90,gemini,gemini-2.0-flash-001,DtUniv,0,high,"The verb 'has come near' entails a transition into a new state, and the focus is on that transition rather than on a situation holding over time.",DtUniv
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,20260307T090518Z_93e63d90,gemini,gemini-2.0-flash-001,DtUniv,0,high,"The clause describes a completed action of approval, focusing on the result rather than a continuous state or activity.",DtUniv
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,20260307T090518Z_93e63d90,gemini,gemini-2.0-flash-001,DtUniv,0,high,The clause describes a discrete event (arrest) rather than a situation holding continuously across a time span.,DtUniv
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,20260307T090518Z_93e63d90,gemini,gemini-2.0-flash-001,DtUniv,0,high,"The clause describes a discrete event ('heard') rather than a situation holding continuously across a time span, so DtUniv is not instantiated.",DtUniv
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,20260307T090518Z_93e63d90,gemini,gemini-2.0-flash-001,DtUniv,0,high,The clause describes a discrete event ('heard') rather than a situation holding continuously across a time span.,DtUniv
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,20260307T090518Z_93e63d90,gemini,gemini-2.0-flash-001,DtUniv,0,high,The clause describes a discrete event ('heard') rather than a situation holding continuously across a time span.,DtUniv
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,20260307T090518Z_93e63d90,gemini,gemini-2.0-flash-001,DtUniv,0,high,"The clause describes a completed action of being paid, focusing on the result rather than a continuous state or activity.",DtUniv
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,20260307T090518Z_93e63d90,gemini,gemini-2.0-flash-001,DtUniv,0,high,The clause describes a completed action with a focus on the result (being paid in full) rather than a continuous state or activity over time.,DtUniv
