TokenID,FullText,Target,run_id,provider,model_name,feature_name_x,annotation,confidence,explanation,feature_name_y
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,1,high,"The target 'had been promised' instantiates the feature TLAspPfv because it is a passive bounded transition, similar to the example 'We have been discharged. (Passive bounded transition -> 1)'.",TLAspPfv
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,0,low,"The target 'had commanded' does not represent a passive bounded transition or a transition event as shown in the examples, so it does not instantiate the feature TLAspPfv.",TLAspPfv
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,1,high,"The target 'has come near' describes a transition event, similar to 'He has died', thus instantiating the feature TLAspPfv.",TLAspPfv
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,1,high,"The target 'have approved' indicates a transition event, aligning with the positive examples provided, specifically 'He has died. (Transition event -> 1)'.",TLAspPfv
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,1,high,"The target 'had been arrested' instantiates the feature TLAspPfv because it represents a passive transition event, similar to the example 'Many have been made sinners. (Passive transition -> 1)'.",TLAspPfv
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,0,low,"The target 'have heard' does not represent a passive bounded transition or a transition event as in the examples, so it does not instantiate TLAspPfv.",TLAspPfv
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,0,low,"The target 'have heard' does not represent a passive bounded transition or a transition event as in the examples, so it does not instantiate TLAspPfv.",TLAspPfv
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,0,high,"The target 'have heard' does not represent a passive bounded transition or a transition event as shown in the examples, but rather a state resulting from a past event, thus it does not instantiate TLAspPfv.",TLAspPfv
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,1,high,"The target 'have been paid' represents a passive bounded transition, similar to the example 'We have been discharged.', thus instantiating the feature TLAspPfv.",TLAspPfv
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,1,high,"The target 'have been paid' describes a passive bounded transition, similar to the examples 'We have been discharged' and 'Many have been made sinners', thus instantiating the feature TLAspPfv.",TLAspPfv
40006016,"» When you abstain from food , do not be like the hypocrites , with sad faces to be seen by men . They have received their reward .",have received,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,1,high,"The target 'have received' indicates a transition event, aligning with the positive examples provided for TLAspPfv.",TLAspPfv
40007028,"When Jesus had finished these words , the crowds were astonished at what he taught .",had finished,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,1,high,"The target 'had finished' indicates a completed action, aligning with the examples of transition events like 'He has died' where the event has reached its conclusion.",TLAspPfv
40008010,"When Jesus heard it , he was amazed , and said to the crowd : » I tell you , I have not found such great faith in Israel .",have not found,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,0,high,"The target 'have not found' does not represent a passive bounded transition, transition event, or passive transition as shown in the examples, therefore it does not instantiate the feature TLAspPfv.",TLAspPfv
40008029,"They screamed at him , saying : » What have we to do with you , Son of God ? Have you come to torment us before the time ? «",have you come,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,1,high,"The target 'have you come' instantiates the feature TLAspPfv because it represents a transition event, similar to the example 'He has died. (Transition event -> 1)'.",TLAspPfv
40009008,"But when the people saw it , they marveled , and glorified God who had given such authority to men .",had given,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,0,low,"The target 'had given' does not obviously instantiate a passive bounded transition or a transition event as in the examples, so I cannot confidently assign the feature TLAspPfv.",TLAspPfv
40009016,» Why patch an old garment with cloth that has not been shrunk ? The patch shrinks and pulls away from the old cloth leaving a big hole .,has not been shrunk,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,1,high,"The target 'has not been shrunk' describes a passive transition event, aligning with the positive examples provided.",TLAspPfv
40009022,"Jesus turned to see her and said : » Daughter , take courage ; your faith has made you well . « The woman was healed at that time .",has made you well,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,1,high,"The target 'has made you well' describes a transition event, similar to 'He has died', thus instantiating the feature TLAspPfv.",TLAspPfv
40009033,"When the demon was cast out , the dumb man spoke . The crowd marveled , saying : » We have never seen anything like this in Israel ! «",have never seen,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,0,high,"The target 'have never seen' does not represent a passive bounded transition or a transition event, as required by the examples; it expresses a state of not having seen something.",TLAspPfv
40010023,"» When they persecute you in this city , flee to the next . I tell you ; before you have gone through all the cities of Israel the Son of man will come .",have gone through,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,1,high,"The target 'have gone through' describes a transition event, similar to 'He has died' in the examples_positive.",TLAspPfv
40011012a,"» From the days of John the Baptist until now , the kingdom of heaven has been man’s goal , and men of violence have attempted to take it by force .",has been,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,1,high,"The target 'has been' in 'the kingdom of heaven has been man’s goal' indicates a transition event, similar to 'He has died', thus instantiating the feature TLAspPfv.",TLAspPfv
40011012b,"» From the days of John the Baptist until now , the kingdom of heaven has been man’s goal , and men of violence have attempted to take it by force .",have attempted,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,0,low,"The target 'have attempted' does not clearly instantiate a transition event or passive bounded transition as in the examples, so I cannot confidently annotate it as TLAspPfv.",TLAspPfv
40011021a,"» Woe to you , Chorazin ! Woe to you , Bethsaida ! If the mighty works had been done in Tyre and Sidon that were done in you , they would have repented long ago in sackcloth and ashes .",had been done,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,1,high,"The target 'had been done' is a passive bounded transition, matching the example 'Many have been made sinners. (Passive transition -> 1)'.",TLAspPfv
40011021b,"» Woe to you , Chorazin ! Woe to you , Bethsaida ! If the mighty works had been done in Tyre and Sidon that were done in you , they would have repented long ago in sackcloth and ashes .",would have repented,20260227T221915Z_d7387d10,gemini,gemini-2.0-flash-001,TLAspPfv,0,high,"The target 'would have repented' does not represent a passive bounded transition or a transition event, so it does not instantiate TLAspPfv.",TLAspPfv
