TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation,DtExp/DtRes,DtExp/DtUniv,DtRes/DtUniv,DtExp/DtRes/DtUniv,DtHP,DtHP_excused,ASTrns/ASUncc,ASTrns/ASUnrg,ASUncc/ASUnrg,ASTrns/ASUncc/ASUnrg,ASHP,AktState/AktAct,AktAcc/AktAch,AktMultiple,AktHP,TLAspPfv/DtUniv,TLAspPfv/AktState,TLAspPfv/AktAct
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The clause is morphologically passive ('had been promised'), and the lexical verb licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",0,high,"The clause is morphologically passive, and the lexical verb licenses an external argument (whether overtly expressed or suppressed).",0,high,The verb 'had been promised' licenses an internal argument ('to Joseph in marriage').,0,high,"The verb 'promise' denotes a near-instantaneous change-of-state or boundary transition without a durative process phase, so it is not an accomplishment.",0.0,high,"The event 'had been promised' unfolds over a measurable duration rather than occurring at a single temporal boundary, indicating a process rather than a punctual achievement.",0,high,"The situation entails a specific, inherent endpoint or defined result state, as 'promised' implies a future event that will either occur or not, thus not an activity.",0,high,"The event 'had been promised' entails a transition into a new resulting state of being engaged, thus it is not a single punctual occurrence without a change of state.",0.0,high,"The gram 'had been promised' is morphologically marked as progressive, which entails dynamic unfolding and is incompatible with stative readings.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,"The target gram 'had been promised' is not negated by 'not' or 'n't', nor does it contain a negative quantifier or 'never', and it is not in a 'neither...nor' construction.",0,high,There is no temporal adverbial present in the clause.,0,high,"The verb 'promised' entails a change of social/legal status that remains in effect at the reference time, so the annotation is 0.",0,high,"The target gram is a stative copula ('had been promised'), which describes a state rather than the change into that state, so it does not encode a transition.",0,high,"The clause describes a state of being promised, which is a discrete event rather than a continuous situation holding across a time span.",0,high,"The gram 'had been promised' does not assert a bounded event, but rather a state resulting from a prior event, and does not contain completion-measure adverbials.",0,high,"The gram 'had been promised' asserts a past state of affairs as realized in the actual world, not hypothetical or future.",1,high,"The auxiliary 'had' is morphologically past, indicating a past perfect construction, so the feature TLTS is present.",1,high,"The target 'had been promised' has the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the grammatical subject 'His mother Mary' corresponds to the semantic patient.",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,The target verb 'had commanded' introduces an overt grammatical subject ('the angel of God') and an overt direct object ('him').,0,high,The target verb 'had commanded' licenses an external argument ('the angel of God') and an internal argument ('him to do').,0,high,The verb 'commanded' licenses an internal argument ('him to do').,0,high,"The verb 'command' denotes a punctual event requiring preparation but without a process phase, thus lacking a durative process directed toward a defined goal, endpoint, or result state.",0.0,high,"The event 'had commanded' does not denote a punctual or near-instantaneous transition into a new state, nor does it represent a boundary point of transition itself; rather, it describes an instruction given over a period of time.",0,high,"The situation 'had commanded' entails a specific, inherent endpoint or defined result state, as it implies a completed instruction or order.",0,high,"The event 'had commanded' unfolds over a measurable duration rather than occurring as a single punctual occurrence, thus it is not AktSemel.",0.0,high,"The verb 'had commanded' denotes a bounded event involving a change of state (from not commanded to commanded), which is incompatible with the AktState feature.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'had commanded' is not negated in the sentence.,1,high,"The clause 'When Joseph woke up, he did what the angel of God had commanded him to do' contains a clausal past time anchor 'When Joseph woke up', so the annotation is 1.",0,high,"The verb 'commanded' entails a change of social/legal status that remains in effect at the reference time, so the feature DtExp is not instantiated.",0,high,The verb 'commanded' does not entail that the command is currently in effect; it merely reports a past interaction.,0,high,The clause describes a discrete event (commanding) rather than a situation holding continuously across a time span.,1,high,"The predicate 'commanded' is construed as a transition event, where the transition itself is asserted as a completed whole.",0,high,"The gram 'had commanded' asserts a realized action in the past, not a hypothetical or unrealized situation.",1,high,"The auxiliary 'had' is morphologically past, indicating past perfect tense, so the feature TLTS is present.",0,high,"The grammatical subject 'angel of God' corresponds to the semantic agent (doer/initiator) of the target verb 'had commanded', and the grammatical object 'him' corresponds to the semantic patient, indicating an active voice construction.",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,The target verb 'has come near' does not introduce an overt internal argument (direct or indirect object).,1,high,The verb 'has come near' denotes directed motion or change-of-location where the sole argument undergoes displacement and no external argument is licensed.,0,high,The verb 'has come near' denotes a change-of-location event in which the sole argument functions as an internal argument (theme/patient) rather than an external argument.,0,high,"The verb 'has come near' denotes a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase, thus it is not an accomplishment.",0.0,high,"The event 'has come near' unfolds over a measurable duration rather than occurring at a single temporal boundary, thus not representing a punctual transition into a new state.",0,high,"The situation entails a specific, inherent endpoint or defined result state, as 'has come near' implies reaching a state of proximity.",0,high,"The event 'has come near' unfolds over a measurable duration rather than occurring as a single punctual occurrence, thus it is not AktSemel.",0.0,high,"The phrase 'has come near' denotes a change-of-state or event boundary, indicating dynamic change rather than a static condition, thus it is not AktState.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'has come near' is not negated.,0,high,There is no temporal adverbial present in the text.,0,high,"The verb entails a change of location, and the subject remains at that location at the reference time.",1,high,"The verb 'has come near' is a motion verb where the mover has moved to a destination and remains there at the reference time, indicating a resulting state that is currently in effect.",0,high,"The verb 'has come near' entails a transition into a new state, and the focus is on that transition rather than on a situation holding over time.",1,high,"The predicate 'has come near' is construed as a transition event, where the transition itself is asserted as a completed whole.",0,high,"The gram asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'has come near' is formed with present-tense 'has' followed by a past participle, with no additional modal, future, or progressive marking, so the feature TLTS is not present.",0,high,"The grammatical subject 'kingdom of heaven' corresponds to the semantic agent of the verb 'come', not the patient, and there is no 'been' + past participle construction.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,The target verb 'have approved' introduces an overt grammatical subject ('I') and an overt direct object ('whom').,0,high,The target verb 'have approved' licenses an external argument ('I') and a direct object ('whom').,0,high,The verb 'have approved' licenses an internal argument ('whom I love').,0,high,The verb 'approve' denotes a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase.,0.0,medium,"The event 'have approved' unfolds over a measurable duration rather than occurring at a single temporal boundary, as approval typically involves a process of consideration and evaluation.",0,high,"The situation entails a specific, inherent endpoint or defined result state, as 'approved' implies a completed action of giving approval.",0,high,"The event 'have approved' entails a transition into a new resulting state of being approved, thus it is not a single punctual dynamic occurrence without a resulting change of state.",0.0,high,"The verb 'have approved' denotes a bounded perceptual or cognitive event marking the completion of awareness, which encodes eventive change rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have approved' is not negated.,1,high,The clause contains the lexical past time adverb 'Then' which means 'at that time'.,0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, so the gram is not experiential.",0,high,The verb 'approve' does not entail a resulting state that holds at the reference time; it describes a past action without a persisting change of state.,0,high,"The clause describes a completed action of approval, focusing on the result rather than a continuous state or activity.",1,high,"The predicate 'have approved' is construed as a transition event, where the transition itself is asserted as a completed whole.",0,high,"The gram asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'have approved' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking, so the feature TLTS is not present.",0,high,"The grammatical subject 'I' corresponds to the semantic agent (doer/initiator) of the target verb 'have approved', and the grammatical object 'whom' corresponds to the semantic patient, indicating an active voice construction.",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The clause is morphologically passive, and the lexical verb licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",0,high,"The clause is morphologically passive, and the lexical verb licenses an external argument (whether overtly expressed or suppressed).",0,high,"The verb 'had been arrested' describes a change-of-state event where the sole argument 'John' functions as an internal argument (patient), not an external argument.",0,high,"The verb 'arrest' denotes a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase, so the feature AktAcc is not instantiated.",1.0,high,The verb denotes a punctual or near-instantaneous transition into a new state (being arrested).,0,high,"The situation entails a specific, inherent endpoint or defined result state ('arrested').",0,high,"The event 'had been arrested' entails a transition into a new resulting state of being under arrest, thus it is not AktSemel.",0.0,high,"The gram 'had been arrested' is morphologically marked as progressive, entailing dynamic unfolding and is incompatible with stative readings.",0,high,"The clause 'John had been arrested' presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'had been arrested' is not negated in the sentence.,0,high,The clause 'John had been arrested' does not contain any temporal adverbial.,0,high,"The event 'had been arrested' sets the scene for the next plot point ('Jesus withdrew'), and the resulting state of the event is relevant for subsequent discourse, so it is classified as non-experiential (0).",0,high,"The target 'had been arrested' describes a state resulting from a prior change, but the copular construction itself does not encode a transition; it describes a state rather than the change into that state.",0,high,The clause describes a discrete event (arrest) rather than a situation holding continuously across a time span.,1,high,"The gram has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process.",0,high,"The gram 'had been arrested' asserts a realized situation in the actual world, not a hypothetical or future one.",1,high,"The auxiliary 'had' is morphologically past, indicating past perfect, so the feature TLTS is present.",1,high,"The gram has the form auxiliary 'have' + 'been' + past participle of a transitive verb ('had been arrested'), and the grammatical subject ('John') corresponds to the semantic patient (the entity affected by the event).",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,0,high,"The target verb 'have heard' does not introduce an overt internal argument (direct or indirect object), as 'it' is the subject of the subordinate clause 'it was said'.",0,high,"The verb 'have heard' licenses an external argument ('You') and a direct object ('it'), so it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument ('it'), so it does not meet the criteria for ASUnrg.",0,high,"The verb 'hear' in this context denotes a punctual or near-instantaneous transition into awareness, lacking a durative process phase, thus it is not an accomplishment.",1.0,high,The verb 'have heard' denotes a punctual perceptual or cognitive transition into awareness or recognition.,0,high,"The verb 'have heard' denotes a bounded perceptual or cognitive event marking the onset of awareness, which is treated as a single completed occurrence, thus it is not an activity.",0,high,"The event 'have heard' unfolds over a measurable duration rather than occurring as a single punctual occurrence, thus it is not AktSemel.",0.0,high,"The verb 'have heard' denotes a bounded perceptual or cognitive event marking the onset or completion of awareness, which encodes eventive change rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have heard' is not negated in the sentence.,0,high,There is no temporal adverbial present in the text.,1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",0,high,The verb 'hear' does not entail a resulting state that holds at the reference time; it is a perception event.,0,high,"The clause describes a discrete event ('heard') rather than a situation holding continuously across a time span, so DtUniv is not instantiated.",0,high,"The predicate 'hear' does not denote a transition event construed as a completed whole, and the clause does not contain a completion-measure adverbial or function as a discrete step in a narrative sequence.",0,high,"The gram asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking, so the feature TLTS is not present.",0,high,"The grammatical subject 'You' corresponds to the semantic agent of the verb 'hear', and the grammatical object 'it' corresponds to the semantic patient, indicating an active voice construction.",N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,The target verb 'have heard' introduces an overt grammatical subject ('You') and an overt direct object ('it').,0,high,"The target verb 'have heard' licenses an external argument ('You') and an internal argument ('it'), thus it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument ('it'), so it does not satisfy the condition for ASUnrg.",0,high,"The verb 'hear' in this context denotes a punctual or near-instantaneous transition into awareness without a durative process phase, thus it is not an accomplishment.",1.0,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness, as in 'hear the news', which is an achievement.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is treated as a single completed occurrence.",0,high,"The event 'have heard' unfolds over a measurable duration rather than occurring as a single punctual occurrence, thus it is not AktSemel.",0.0,high,"The verb 'have heard' denotes a bounded perceptual event marking the completion of awareness, which encodes eventive change rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have heard' is not negated.,0,high,There is no temporal adverbial of any sort present in the text.,1,high,"The verb 'hear' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates DtExp.",0,high,The verb 'hear' does not entail a resulting state that holds at the reference time; it merely reports a past interaction without a persisting state.,0,high,The clause describes a discrete event ('heard') rather than a situation holding continuously across a time span.,0,high,"The predicate 'hear' denotes a stative situation without a construed boundary, and the clause does not introduce a transition into or out of that state, thus the feature TLAspPfv is not instantiated.",0,high,"The gram asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking, so the feature TLTS is not present.",0,high,"The grammatical subject 'You' corresponds to the semantic agent (doer/initiator) of the target verb 'have heard', and the grammatical object 'it' corresponds to the semantic patient, indicating an active voice construction.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,0,high,"The target verb 'have heard' does not introduce an overt internal argument (direct or indirect object), as 'it' is an expletive.",0,high,"The target verb 'have heard' licenses an external argument ('You'), indicating it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument ('it'), so it does not meet the criteria for ASUnrg.",0,high,"The verb 'hear' in this context denotes a punctual or near-instantaneous transition into awareness without a durative process phase, thus it is not an accomplishment.",1.0,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness, fitting the criteria for AktAch.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is not an activity.",0,high,"The event 'have heard' does not represent a single punctual dynamic occurrence without a resulting change of state, but rather implies a state of having knowledge, thus it is not AktSemel.",0.0,high,"The verb 'have heard' denotes a bounded perceptual event marking the completion of awareness, which encodes eventive change rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have heard' is not negated in the sentence.,0,high,There is no temporal adverbial of any sort present in the text.,1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",0,high,The verb 'hear' does not entail a resulting state that holds at the reference time; it is a perception event without a persisting change of state.,0,high,The clause describes a discrete event ('heard') rather than a situation holding continuously across a time span.,1,high,"The predicate 'hear' is construed as a transition event, where the transition itself is asserted as a completed whole.",0,high,"The gram 'have heard' asserts a situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking, so the feature TLTS is not present.",0,high,"The grammatical subject 'You' corresponds to the semantic agent (doer/initiator) of the target verb 'have heard', and the grammatical object 'it' corresponds to the semantic patient, indicating an active voice construction.",N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,0,high,"The verb 'have been paid' does not introduce an overt internal argument, as 'in full' is an adverbial phrase, not a direct object.",0,high,"The clause is morphologically passive, and the lexical verb licenses an external argument (whether overtly expressed or suppressed).",0,high,"The verb 'have been paid' licenses an internal argument ('paid'), so it does not fit the criteria for ASUnrg.",0,high,"The verb 'have been paid' denotes a punctual event requiring preparation but without a process phase, thus lacking a durative process phase leading to a defined result condition.",0.0,high,"The event 'have been paid' unfolds over a measurable duration rather than occurring at a single temporal boundary, as it implies a process of receiving payment over time, thus not representing a punctual transition into a new state.",0,high,"The situation entails a specific, inherent endpoint or defined result state, as 'have been paid' implies completion of the payment.",0,high,"The event 'have been paid' entails a transition into a new resulting state of being paid, thus it is not a semelfactive event.",0.0,high,"The gram 'have been paid' is morphologically marked as progressive, entailing dynamic unfolding and is incompatible with stative readings.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have been paid' is not negated in the sentence.,0,high,There is no temporal adverbial present in the text.,0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as the subject has received their reward and the state of having been paid holds.",0,high,"The clause indicates that the reward has been received in the past, but it does not entail that the state of being rewarded is currently in effect; it's a past interaction without a current binding state.",0,high,"The clause describes a completed action of being paid, focusing on the result rather than a continuous state or activity.",1,high,"The gram has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process, and the predicate is construed as a transition event.",0,high,"The gram asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",1,high,"The gram 'have been paid' includes 'been' followed by a passive participle, indicating a progressive perfect construction, which is tense shifted.",1,high,"The gram has the form auxiliary 'have' + 'been' + past participle of a transitive verb ('have been paid'), and the grammatical subject ('they') corresponds to the semantic patient (the entity affected by the event), not the agent.",N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The clause is morphologically passive, and the lexical verb licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",0,high,"The clause is morphologically passive, and the lexical verb licenses an external argument (whether overtly expressed or suppressed).",0,high,The verb 'have been paid' licenses an internal argument ('in full').,0,high,"The verb 'have been paid' denotes a punctual event requiring preparation but without a process phase, thus lacking a durative process phase and inherent endpoint or result state.",0.0,high,"The event 'have been paid' can naturally occur as the complement of 'finish', indicating completion of a durative process, thus it is not an achievement.",0,high,"The situation entails a specific, inherent endpoint or defined result state ('paid in full').",0,high,"The event 'have been paid' entails a transition into a new resulting state of being paid, thus it is not AktSemel.",0.0,high,"The gram 'have been paid' is morphologically marked as progressive, entailing dynamic unfolding and is incompatible with stative readings.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have been paid' is not negated.,0,high,"The clause 'they have been paid in full' does not contain a lexical, phrasal, or clausal adverbial that explicitly anchors the event to a specific past time interval.",0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,0,high,"The clause indicates that the hypocrites received their reward in the past, but it does not entail that any resulting state is currently in effect; it's a past interaction without a current binding state.",0,high,The clause describes a completed action with a focus on the result (being paid in full) rather than a continuous state or activity over time.,1,high,"The gram has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process.",0,high,"The gram asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",1,high,"The gram 'have been paid' includes 'been' followed by a passive participle, indicating a progressive perfect construction, which is tense shifted.",1,high,"The gram has the form auxiliary 'have' + 'been' + past participle of a transitive verb ('paid'), and the grammatical subject ('they') corresponds to the semantic patient (the entity affected by the event), not the agent.",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N
