TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The clause is morphologically passive ('had been promised'), and the lexical verb 'promise' licenses both an external argument (agent: implied Joseph or someone who made the promise) and an internal argument (patient: Mary, the overt grammatical subject in passive voice), satisfying the passive condition in set_to_1_if.",0,high,"The clause is morphologically passive ('had been promised'), and the lexical verb 'promise' licenses an external argument (the agent who promised Mary to Joseph), which triggers the set_to_0_if condition for passive clauses with licensed external arguments.",0,high,"The verb 'had been promised' licenses an internal argument (Mary functions as the theme/patient receiving the promise), not an external argument, thus failing the ASUnrg criterion.",0,high,The verb 'promise' denotes a punctual speech act that establishes a commitment at a single moment; the past perfect 'had been promised' marks a boundary transition into a betrothal state without a durative process phase leading to completion.,0,high,The passive construction 'had been promised' denotes a state resulting from a prior act of promising rather than a punctual transition itself; it describes an ongoing betrothal arrangement rather than the instantaneous moment of transition into a new state.,0,high,"The verb 'had been promised' denotes a bounded, completed state resulting from a single speech act of betrothal, not a dynamic durative situation requiring sustained engagement.",0,high,"The event 'had been promised' entails a resulting state change (Mary transitioning into a state of being betrothed/promised to Joseph), which disqualifies it from semelfactive status.",0,high,"The gram 'had been promised' is morphologically marked as progressive perfect aspect (had been + -ed participle in passive voice), which entails dynamic unfolding and eventive change incompatible with stative readings.",0,high,"The clause 'Mary had been promised to Joseph in marriage' uses past perfect to express temporal anteriority within a narrative (the betrothal occurred before the pregnancy), not to indicate a counterfactual situation; the event actually occurred in the narrative world.",,,,,,,0,high,"The verb 'had been promised' entails a change of social/legal status (betrothal) that remains in effect at the reference time, as evidenced by the subsequent clause 'before they were married' which presupposes the ongoing validity of the promise.",0,high,"The construction 'had been promised' is a stative copula (passive copula + past participle functioning as adjective) describing Mary's state of being betrothed, not encoding a transition from one state to another; the edge case rule specifies that copular constructions describe states rather than changes into states.",0,high,"The clause describes a discrete bounded event (the promise of Mary to Joseph in marriage) rather than a situation holding continuously over time, and the verb 'promise' entails a transition into a new state of commitment.",1,high,"The gram 'had been promised' is a passive form asserting a bounded transition event (the act of promising Mary to Joseph as a completed whole), matching the set_to_1_if criterion for passive bounded transitions.",0,high,"The gram 'had been promised' is a past perfect passive construction asserting a realized state of affairs in the actual world (Mary was betrothed to Joseph as a historical fact), with no modal, conditional, future, or wish context present.",1,high,"The gram 'had been promised' contains the morphologically past auxiliary 'had' combined with 'been' followed by a past participle, satisfying two criteria for TLTS=1: past tense marking and progressive/passive perfect structure.",1,high,"The target 'had been promised' instantiates VcPass: it has the form auxiliary 'have' + 'been' + past participle of transitive verb 'promised', the grammatical subject 'Mary' is the semantic patient (the one promised), and the agent is omitted."
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,"The verb 'had commanded' introduces an overt grammatical subject ('the angel of God') and an overt internal argument (the infinitival complement 'him to do'), licensing both an external argument (agent) and an internal argument (patient/theme), satisfying the transitive criterion.",0,high,"The verb 'commanded' licenses an external argument (the angel as agent/initiator) and introduces an internal argument (him as the object of the command), satisfying the set_to_0_if criterion of licensing an external argument.",0,high,"The verb 'had commanded' licenses an internal argument ('him to do'), satisfying the set_to_0_if condition that the target verb licenses or realizes an internal argument.",0,high,"The verb 'command' denotes a punctual speech act that establishes a directive at a single moment without a durative process phase leading to a result state; it is an achievement, not an accomplishment.",1,high,"The verb 'had commanded' denotes a punctual transition into a directive state (the angel issuing a command at a specific moment), which is a cognitive/communicative achievement that crosses a definable threshold from non-commanded to commanded.",0,high,"The verb 'had commanded' denotes a bounded, completed speech act with an inherent endpoint (the issuance of a command), not a dynamic durative situation requiring sustained engagement.",0,high,"The event 'had commanded' entails a resulting state (a command given that Joseph must follow), which violates the semelfactive requirement of no resulting change of state.",0,high,"The verb 'commanded' denotes a dynamic event involving volitional action and change-of-state (issuing an order), which involves eventive unfolding rather than a static condition holding over time.",0,high,"The clause 'had commanded' expresses temporal anteriority within a narrative (the angel's command preceded Joseph's action), not a counterfactual situation; the event actually occurred in the story.",,,,,,,0,high,"The past perfect 'had commanded' establishes a prior directive that Joseph follows ('he did what the angel of God had commanded him to do'), making the resulting state of the command (its binding force on Joseph's subsequent action) relevant to the narrative progression, not merely an experiential entry in Joseph's life history.",1,high,"The verb 'had commanded' describes a change of social/legal directive status where the angel's command is currently binding and in effect at the reference time, as evidenced by Joseph's compliance ('he did what the angel of God had commanded him to do').",0,high,"The past perfect 'had commanded' describes a discrete bounded event (the angel's command) that occurred before the reference time, not a situation holding continuously across a time span.",1,high,"The past perfect 'had commanded' presents a completed transition event (the act of commanding) as a bounded whole prior to the main narrative action, construing it as a single accomplished occurrence rather than an ongoing or habitual situation.",0,high,"The gram 'had commanded' is past perfect marking a realized event in the actual world (the angel's prior command), not a projected, hypothetical, or non-actual situation.",1,high,"The auxiliary 'had' is morphologically past, forming a past perfect construction ('had commanded'), which instantiates TLTS according to the first set_to_1_if criterion.",0,high,The target 'had commanded' lacks the passive morphology 'have + been + past participle'; it is a simple past perfect active form where the grammatical subject 'angel of God' is the semantic agent performing the commanding action.
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,"The verb 'has come near' does not introduce an overt internal argument (direct or indirect object); 'the kingdom of heaven' is the grammatical subject, not an affected patient object.",1,high,"The verb 'come near' denotes directed motion/change-of-location where the sole argument (the kingdom of heaven) undergoes displacement as an internal argument, and no external argument is licensed.",0,high,The verb 'come near' denotes a change-of-location/change-of-state event where the sole argument 'kingdom of heaven' functions as an internal argument (theme) undergoing movement toward proximity rather than as an external argument (agent) initiating an action.,0,high,The verb 'come near' denotes a punctual boundary transition into a proximal state without a durative process phase; it marks the instantaneous moment of arrival at nearness rather than a gradual approach with measurable duration.,1,high,"The verb 'has come near' denotes a punctual transition into a new state (the kingdom of heaven reaching proximity), can be modified by specific time-point adverbials ('has come near at that moment'), and represents a definable threshold crossing rather than an unfolding durative process.",0,high,"The verb 'has come near' denotes a bounded change of state with an inherent endpoint (transition from distant to near), not a dynamic durative activity; it cannot be naturally modified by 'for X time' without semantic oddity, and it marks a single completed occurrence rather than an ongoing homogeneous situation.",0,high,"The event 'has come near' entails a transition into a resulting state (the kingdom of heaven being in a near position), which violates the semelfactive requirement of no resulting change of state.",0,high,"The verb 'has come near' denotes a change-of-state and dynamic progression (the kingdom moving from distant to near), involving an event boundary and internal eventive unfolding rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world ('the kingdom of heaven has come near') without any counterfactual marking, conditional structure, or indication that it is contrary to fact.",,,,,,,0,high,"The verb 'has come near' entails a change of state/location where the kingdom of heaven is now proximate, and this resulting state holds at the reference time, making it non-experiential rather than a life history event.",1,high,"The motion verb 'come near' describes a change of location/state where the kingdom of heaven has moved to a proximate position and remains near at the reference time, satisfying the resultative condition that the resulting state holds currently.",0,high,"The predicate 'has come near' denotes a transition into a new state (the kingdom moving from distant to near) rather than a situation holding continuously across a time span, and there is no duration adverbial indicating continuous extension to the reference time.",1,high,"The predicate 'come near' is a transition event (movement into proximity) construed as a completed whole in present perfect aspect, presenting the situation as a single bounded occurrence with a construed endpoint.",0,high,"The gram 'has come near' is a present perfect that asserts a realized fact in the actual world (the kingdom of heaven has arrived), with no modal, conditional, future, or wish context present.",0,high,"The gram 'has come near' is formed with present-tense 'has' followed by a past participle 'come' with no modal, future, or progressive marking, matching the canonical present perfect form.",0,high,"The target 'has come near' lacks the passive morphology 'have + been + past participle'; 'come' is an intransitive verb with 'has' as a perfect auxiliary, not a passive construction, and the subject 'kingdom of heaven' is the semantic agent/experiencer, not the patient."
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,"The verb 'have approved' introduces an overt grammatical subject (I) and an overt direct object (whom, referring to 'my Son'), satisfying the first condition for ASTrns.",0,high,"The verb 'approved' licenses an external argument (the implicit first-person subject 'I') and takes a direct object ('whom'), satisfying the set_to_0_if criteria for verbs that license external arguments and contain overt grammatical objects.",0,high,"The verb 'have approved' licenses an internal argument (the relative pronoun 'whom' functioning as the direct object), thus failing the requirement for ASUnrg which demands no internal argument be licensed or realized.",0,high,"The verb 'approve' denotes a punctual mental act or judgment that constitutes a boundary transition into a state of approval, lacking a durative process phase leading to a defined endpoint.",1,high,"The verb 'have approved' denotes a punctual transition into a new state of approval (crossing the threshold from non-approval to approval), which is a definable boundary point that can occur at a specific moment and does not permit interruption as an ongoing process.",0,high,"The verb 'have approved' denotes a completed mental/evaluative act with a defined result state (approval granted), lacks dynamic unfolding, and cannot naturally take 'for X time' adverbials without implying iterative approval events, making it a bounded accomplishment rather than an activity.",0,high,"The event 'have approved' entails a resulting change of state (transition from non-approval to approval) and does not constitute a single punctual occurrence without consequent result, thus failing the semelfactive criteria.",0,high,"The verb 'have approved' denotes a change-of-state event (the onset of approval) marking a bounded cognitive/evaluative act with an internal endpoint, not a static condition that holds uniformly over time.",0,high,"The clause presents the situation as actually occurring in the actual world (a voice from heaven stating an approval that has taken place), with no indication of counterfactual meaning, conditional structure, or unfulfilled wish.",,,,,,,0,high,"The verb 'have approved' entails a change of social/legal status (conferring approval/endorsement) that remains in effect at the reference time, indicating a resulting state rather than a life experience.",1,high,"The verb 'have approved' describes a change of social/legal status (approval granted to the Son) that is currently held at the reference time, as indicated by the present-tense context and the divine declaration that this approval is in effect.",0,high,"The clause describes a discrete state or completed action of approval rather than a situation holding continuously over a time span, with no duration adverbials or 'since' markers indicating continuous extension to the reference time.",1,high,"The gram 'have approved' is a present perfect form asserting a completed transition event (approval as a bounded occurrence) with a construed endpoint, fitting the perfective aspect profile.",0,high,"The gram 'have approved' is a present perfect asserting a realized state of affairs in the actual world (a voice from heaven declares an accomplished fact), with no modal, conditional, future, or wish context present.",0,high,"The gram 'have approved' is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking, matching the canonical present perfect form.",0,high,The form 'have approved' is active voice with the grammatical subject 'I' as the semantic agent (the one doing the approving) and the object 'whom' as the semantic patient; it lacks the passive morphology 'have been + past participle' required for VcPass.
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The clause is morphologically passive ('had been arrested'), and the lexical verb 'arrest' licenses both an external argument (agent, unexpressed) and an internal argument (patient, 'John'), satisfying the passive condition in set_to_1_if.",0,high,"The clause is morphologically passive ('had been arrested'), and the lexical verb 'arrest' licenses an external argument (an agent who performs the arresting), which triggers the set_to_0_if condition for passive clauses with licensed external arguments.",0,high,"The verb 'arrested' licenses an internal argument (John functions as the theme/patient undergoing the change-of-state of being arrested), and John is the sole argument functioning as an internal argument rather than an external agent.",0,high,"The verb 'arrest' denotes a punctual boundary transition (the moment of apprehension) without a durative process phase leading to completion, fitting the achievement category rather than accomplishment.",1,high,"The verb 'arrested' denotes a punctual transition into a new state (from free to detained) that occurs at a definable temporal boundary, satisfying the core criterion for AktAch despite the past perfect auxiliary construction.",0,high,"The verb 'arrest' denotes a bounded event with an inherent endpoint (the state of being arrested), not a dynamic durative activity; it cannot be naturally modified by 'for X time' without implying completion, and it lacks the homogeneous property required for activities.",0,high,"The event 'arrested' entails a transition into a new resulting state (from free to detained/imprisoned), which violates the semelfactive requirement of no resulting change of state.",0,high,"The past perfect progressive 'had been arrested' denotes a change-of-state event (arrest) with a clear boundary and dynamic unfolding, which violates the stative requirement of lacking internal eventive development.",0,high,"The clause presents a situation that actually occurred in the actual world (John was arrested), using past perfect morphology to express temporal anteriority within a narrative, without any counterfactual marking or indication that the event did not occur.",,,,,,,0,high,"The resulting state of John's arrest is relevant for the subsequent narrative action (Jesus withdrawing to Galilee), making this a narrative progression event rather than an experiential claim about John's life history.",0,high,"The passive construction 'had been arrested' is a stative copula describing a state rather than encoding a transition; it reports that John was in an arrested state at a past reference time, not that a resulting state of arrest persists at the current reference time.",0,high,"The clause describes a discrete bounded event (John's arrest) rather than a situation holding continuously across a time span, and the focus is on the transition into the arrested state, not on a state persisting to the reference time.",1,high,"The gram 'had been arrested' is a passive form presenting a bounded transition event (arrest) as a completed whole, functioning as a discrete narrative step that motivates Jesus's subsequent withdrawal.",0,high,"The gram 'had been arrested' is a past perfect form asserting a realized event in the actual world (John's arrest as a completed fact), with no modal auxiliary, conditional, counterfactual, or hypothetical construction present.",1,high,"The gram 'had been arrested' contains the past-tense auxiliary 'had' combined with 'been' followed by a past participle, matching both the past perfect and progressive perfect criteria for TLTS instantiation.",1,high,"The target 'had been arrested' instantiates the form auxiliary 'have' + 'been' + past participle of a transitive verb, with the grammatical subject 'John' functioning as the semantic patient (the entity arrested), satisfying the core criteria for VcPass."
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1,high,"The verb 'have heard' introduces an overt internal argument ('it'), satisfying the requirement for a direct object in a transitive construction.",0,high,"The verb 'heard' licenses an external argument (the subject 'You' as the agent/experiencer of the hearing event) and takes an internal argument ('it'), making it a transitive verb that does not meet the unaccusative criteria.",0,high,"The verb 'heard' licenses an internal argument (the direct object 'it'), which is a clause reporting what was said, so it does not instantiate ASUnrg.",0,high,"The verb 'hear' denotes a punctual, near-instantaneous perceptual transition into awareness without a durative process phase; the perfect aspect marks completion of this boundary transition rather than a measured duration toward a defined endpoint.",1,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness (hearing/receiving information), which is a near-instantaneous crossing of the threshold from not-knowing to knowing, matching the achievement criterion for cognitive-perceptual transitions.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness of a specific utterance, which is a single completed occurrence rather than a dynamic durative situation.",0,high,"The event 'have heard' entails a resulting state of knowledge/awareness and does not constitute a single punctual occurrence, as hearing involves a process of perception that results in a change of cognitive state.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness (hearing/receiving information), which encodes eventive change rather than a static condition, triggering the set_to_0_if criterion for bounded cognitive events.",0,high,"The clause 'You have heard it was said' presents a situation as having actually occurred in the actual world (you did hear something), with no indication of counterfactuality, unfulfilled wishes, or conditional reasoning.",,,,,,,1,high,"The verb 'have heard' denotes perception where the focus is on the occurrence of an experience (having encountered the saying) at least once in the subject's life history, rather than on a resulting state.",0,high,The verb 'hear' is a perception event that does not entail a resulting state persisting at the reference time; the clause reports a past perceptual experience without indicating that a changed state currently holds.,0,high,"The clause describes a discrete bounded event (hearing a saying) rather than a situation holding continuously across a time span, and lacks duration adverbials indicating extension to the reference time.",1,high,"The gram 'have heard' presents the act of hearing as a single bounded occurrence with a construed endpoint, construing the transition into the state of having received auditory information as a completed whole.",0,high,"The gram 'have heard' asserts a realized fact in the actual world—the addressee has actually heard the saying—and contains no modal auxiliary, conditional construction, or hypothetical marking that would project the situation as non-actual.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by the past participle 'heard', with no modal, future, or progressive marking, matching the canonical present perfect form.",0,high,"The target 'have heard' lacks the required passive morphology (auxiliary 'have' + 'been' + past participle); 'heard' functions as a past participle in active voice with 'you' as the semantic agent (the one who heard), not the semantic patient."
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,"The verb 'have heard' introduces an overt grammatical subject ('You') and an overt direct object ('it'), satisfying the first condition for ASTrns=1.",0,high,"The verb 'heard' licenses an external argument (the subject 'you' as the agent/experiencer) and takes a direct object ('it said'), thus failing the unaccusative criteria.",0,high,"The verb 'heard' licenses an internal argument ('it said'), which is a direct object, thus failing the requirement for ASUnrg that no internal argument be licensed or realized.",0,high,"The verb 'heard' denotes a punctual perceptual transition into awareness without a durative process phase; the event is construed as a single instantaneous moment of coming to hear, not a measurable duration leading to completion.",1,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness of the saying, meeting the criterion for achievement as a single transition into recognition rather than a durative process.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness (hearing/learning that something was said), which is a single completed occurrence rather than a dynamic durative situation with sustained engagement.",0,high,"The event 'have heard' entails a resulting state of knowledge/awareness and does not construe as a single punctual occurrence, but rather as a durative experiential state.",0,high,"The gram 'have heard' denotes a bounded perceptual event marking the onset of awareness (hearing/perceiving the saying), which is an eventive change rather than a static condition, triggering the set_to_0_if criterion for bounded perceptual events.",0,high,"The clause 'You have heard it said' presents a situation as having actually occurred in the actual world (a past experience of hearing something), with no indication of counterfactuality, unfulfilled wishes, or conditional structure.",,,,,,,1,high,"The verb 'have heard' denotes perception where the focus is on the occurrence of the experience (having encountered this saying) at least once in the subject's life history, rather than on a resulting state.",0,high,The verb 'hear' is a perception event that does not entail a resulting state persisting at the reference time; the clause reports a past perceptual experience without indicating that a changed state currently holds.,0,high,"The clause describes a discrete bounded event (hearing a saying) rather than a situation holding continuously across a time span, with no duration adverbials indicating extension to the reference time.",1,high,"The gram 'have heard' presents the auditory event as a single bounded occurrence with a construed endpoint, construing the act of hearing as a completed transition rather than an ongoing or habitual situation.",0,high,"The gram 'have heard' is a present perfect that asserts a realized state of affairs in the actual world (you have experienced hearing this saying), with no modal auxiliary, conditional, counterfactual, or future marking present.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by past participle 'heard' with no modal, future, or progressive marking, matching the canonical present perfect form.",0,high,"The form 'have heard' is active voice with the grammatical subject 'You' as the semantic agent (the one who heard), not a passive construction with 'have been' + past participle."
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1,high,"The verb 'have heard' introduces an overt grammatical subject ('You') and an overt direct object ('it'), satisfying the first condition for ASTrns.",0,high,"The verb 'heard' licenses an external argument (the subject 'you' as the agent/experiencer) and takes a direct object ('it'), so it does not meet the criteria for unaccusative verbs.",0,high,"The verb 'heard' licenses an internal argument (the direct object 'it'), which is a clause introduced by 'said', so it does not instantiate ASUnrg.",0,high,"The verb 'hear' denotes a punctual, near-instantaneous perceptual transition into awareness without a durative process phase; the perfect aspect marks a completed state of having entered into awareness, not a gradual culmination toward a defined endpoint.",1,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness of the saying, meeting the criterion for achievement as a single transition into recognition rather than a durative process.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness (hearing/receiving information), which is a single completed occurrence rather than a dynamic durative situation with sustained engagement.",0,high,"The present perfect 'have heard' construes a state resulting from a prior event (the hearing), not a single punctual occurrence without change of state, as it entails a resulting state of knowledge.",0,high,"The gram 'have heard' denotes a bounded perceptual event marking the onset of awareness (hearing/receiving information), which encodes eventive change rather than a static condition, triggering the set_to_0_if criterion for bounded perceptual events.",0,high,"The clause 'You have heard it said' presents a situation as having actually occurred in the actual world without any counterfactual marking, conditional structure, or indication that the event did not happen.",,,,,,,1,high,"The verb 'have heard' denotes perception/communication focusing on the occurrence of an experience (hearing a saying) at least once in the subject's life history, rather than on a resulting state, matching the set_to_1_if criterion for perception verbs.",0,high,The verb 'hear' is a perception event that does not entail a resulting state persisting at the reference time; the clause reports a past perceptual experience without indicating that a changed state currently holds.,0,high,"The clause describes a discrete bounded event (hearing a saying) rather than a situation holding continuously across a time span, and lacks duration adverbials indicating extension to the reference time.",1,high,"The gram 'have heard' presents the auditory event as a single bounded occurrence with a construed endpoint, construing the act of hearing as a completed transition rather than an ongoing or habitual situation.",0,high,"The gram 'have heard' asserts a realized fact in the actual world—the addressee has actually heard the saying—and contains no modal auxiliary, conditional construction, or hypothetical marking that would present it as non-actual.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by past participle 'heard' with no modal, future, or progressive marking, matching the canonical present perfect form.",0,high,"The form 'have heard' is active voice with the grammatical subject 'You' as the semantic agent (the one doing the hearing), not a passive construction with 'have been' + past participle."
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1,high,"The clause is morphologically passive ('have been paid'), and the lexical verb 'pay' licenses both an external argument (agent: 'men' implied from context) and an internal argument (patient: 'they'), satisfying the passive condition in set_to_1_if.",0,high,"The clause is morphologically passive with 'have been paid', and the lexical verb 'pay' licenses an external argument (the agent performing the payment, suppressed in passive voice), thus failing the unaccusative criteria.",0,high,"The verb 'have been paid' licenses an internal argument (the implicit theme 'they' functioning as patient/theme receiving payment), and the sole overt argument functions as an internal argument in the passive construction rather than as an external agent.",0,high,"The verb 'have been paid' denotes a punctual transition into a state of completion (receiving payment) without a durative process phase; it is an achievement marking the boundary moment when payment is received, not an accomplishment involving gradual directed action toward a goal.",1,high,"The verb 'have been paid' denotes a punctual transition into a new state (receiving payment/reward) that occurs at a definable temporal boundary, lacks measurable internal duration, and cannot be interrupted as an ongoing process.",0,high,"The phrase 'have been paid in full' denotes a bounded, completed event with an inherent endpoint (full payment received), not a dynamic durative situation, and naturally fits 'in X time' rather than 'for X time' modification.",0,high,"The event 'have been paid in full' entails a resulting change of state (transition from unpaid to paid status), which disqualifies it from semelfactive classification.",0,high,"The present perfect passive 'have been paid' denotes a change-of-state event (receiving payment/reward) with an internal boundary marking completion, which is incompatible with stative aspect.",0,high,"The clause 'they have already been paid in full' presents a situation as actually occurring in the actual world (the hypocrites have received their reward), not as contrary to fact, and contains no counterfactual marking.",,,,,,,0,high,"The verb 'have been paid' entails a change of state (receiving payment) where the resulting state of being paid holds at the reference time, satisfying the set_to_0_if condition.",1,high,"The verb 'have been paid' describes a change of possession/status (receiving payment) where the resulting state of being paid holds at the reference time, as indicated by the context 'they have already been paid in full.'",0,high,"The clause 'they have already been paid in full' describes a completed transition into a new state (receiving payment) rather than a situation holding continuously from a past point to the reference time, and lacks duration adverbials indicating continuous extension.",1,high,"The clause 'they have already been paid in full' presents a bounded passive transition event (payment as a completed whole) with the adverbial 'already' emphasizing the bounded completion, matching the set_to_1_if criteria for passive bounded transitions and completion-measure construals.",0,high,"The gram 'have been paid' asserts a realized state of affairs in the actual world (they have already received their reward), with no modal, conditional, future, or wish context present.",1,high,"The gram 'have been paid' includes 'been' followed by a past participle in a progressive perfect construction, which matches the set_to_1_if criterion for progressive marking.",1,high,"The target 'have been paid' instantiates VcPass: it has the form auxiliary 'have' + 'been' + past participle of transitive verb 'paid', the grammatical subject 'they' corresponds to the semantic patient (those receiving payment), and the agent is omitted, satisfying the passive voice criteria."
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The clause is morphologically passive ('have been paid') and the lexical verb 'pay' licenses both an external argument (agent—those who paid them) and an internal argument (patient—'they', the hypocrites receiving payment), satisfying the passive condition in set_to_1_if.",0,high,"The clause is morphologically passive (have been paid), and the lexical verb 'pay' licenses an external argument (the agent performing the payment), which triggers the set_to_0_if condition for passive clauses with licensed external arguments.",0,high,"The verb 'have been paid' is passive voice where the subject 'they' functions as an internal argument (theme/patient) receiving the action rather than as an external argument (agent/initiator), and the verb licenses an implicit agent, thus failing the ASUnrg criteria.",0,high,"The verb 'have been paid' denotes a punctual transition into a state of completion (receiving payment) without a durative process phase; it is an achievement marking the boundary moment when payment is received, not an accomplishment involving gradual change toward a goal.",1,high,"The verb 'have been paid' denotes a punctual transition into a new state (receiving full payment), can be modified by specific time-point adverbials ('they have been paid at that moment'), and represents a definable threshold crossing rather than an unfolding process.",0,high,"The phrase 'have been paid in full' denotes a bounded, completed state with an inherent endpoint (full payment received), not a dynamic durative activity; it cannot be naturally modified by 'for X time' without changing meaning, and it lacks the homogeneous property required for activities.",0,high,"The event 'have been paid in full' entails a resulting change of state (transition from unpaid to paid status), which disqualifies it from semelfactive classification.",0,high,"The gram 'have been paid' is morphologically marked as progressive perfect aspect ('have been + past participle'), which entails dynamic eventive unfolding and change-of-state (receiving payment), incompatible with stative readings.",0,high,"The clause 'they have been paid in full' presents a situation as actually occurring in the actual world (the hypocrites have received their reward), with no indication of counterfactuality, unfulfilled wishes, or conditional structure.",,,,,,,0,high,"The verb 'have been paid in full' entails a change of possession/financial status that results in a state of being paid, which holds at the reference time, triggering the set_to_0_if condition.",1,high,"The verb 'have been paid' describes a change of possession/status (receiving payment) where the resulting state (being paid in full) currently holds at the reference time, as indicated by the present assurance 'I assure you they have been paid in full.'",0,high,"The clause describes a completed transition into a state of being paid in full, focusing on the resultant state rather than a situation holding continuously across a time span, and lacks duration adverbials indicating extension to reference time.",1,high,"The gram 'have been paid' is a passive form asserting a bounded transition event (payment completion) construed as a single completed whole, matching the set_to_1_if criterion for passive bounded transitions.",0,high,"The gram 'have been paid' is in a declarative assertion ('I assure you they have been paid in full') that presents a realized state of affairs in the actual world, with no modal, conditional, future, or wish context.",1,high,"The gram 'have been paid' includes 'been' followed by a past participle in a progressive perfect construction, matching the set_to_1_if criterion for progressive marking.",1,high,"The target 'have been paid' instantiates the passive voice: it has the form auxiliary 'have' + 'been' + past participle 'paid' of a transitive verb, the grammatical subject 'they' corresponds to the semantic patient (the entity receiving payment), and the construction contains overt passive morphology."
