TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation,DtExp/DtRes,DtExp/DtUniv,DtRes/DtUniv,DtExp/DtRes/DtUniv,DtHP,DtHP_excused,ASTrns/ASUncc,ASTrns/ASUnrg,ASUncc/ASUnrg,ASTrns/ASUncc/ASUnrg,ASHP,AktState/AktAct,AktAcc/AktAch,AktMultiple,AktHP,TLAspPfv/DtUniv,TLAspPfv/AktState,TLAspPfv/AktAct
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The passive construction 'had been promised' involves an external argument (agent) and an internal argument (patient) expressed as 'Mary', fulfilling the criteria for ASTrns.",0,high,"'had been promised' licenses an external argument (the promiser), and the clause contains an overt indirect object, so it is not unaccusative.",0,high,"The verb 'had been promised' licenses an internal argument (Joseph) as the recipient of the promise, so the subject is not the sole external argument without an internal argument.",0,high,"'Had been promised' denotes a past state or event of promise, which is punctual and does not involve a durative process leading to a defined endpoint or result state.",0,high,'had been promised' describes a state resulting from a prior event and does not denote a punctual or near-instantaneous transition at a temporal boundary.,0,high,"'had been promised' denotes a completed, bounded event with a specific result state (the promise), not a dynamic durative activity.",0,high,'had been promised' entails a resulting state of promise and is not a single punctual dynamic occurrence without change of state.,1,high,'had been promised' denotes a stable relational configuration (a promise existing over time) without dynamic change or eventive unfolding.,0,high,The clause 'His mother Mary had been promised to Joseph in marriage' presents a factual past event without any indication that it is contrary to fact or counterfactual.,0,high,The phrase 'had been promised' is not negated; there is no negator or negative quantifier negating the event of being promised.,0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The phrase 'had been promised' indicates a past state or social/legal status that holds at the reference time, not an experiential event in the subject's life history.",1,high,The phrase 'had been promised' indicates a change of social/legal status (promise of marriage) that Mary currently holds at the reference time.,0,high,'had been promised' describes a discrete past event (a promise made) rather than a continuous or habitual situation holding up to the reference time.,1,high,"The phrase 'had been promised' is a passive perfect form asserting a completed, bounded event of promise, presenting the situation as a single bounded occurrence with a construed endpoint.",0,high,"The phrase 'had been promised' asserts a realized past event in the actual world without modal, conditional, future, or hypothetical context.",1,high,"The auxiliary 'had' is morphologically past, indicating past perfect tense, which satisfies the condition for TLTS = 1.",1,high,"The phrase 'had been promised' uses the auxiliary 'had been' plus past participle 'promised', the grammatical subject 'His mother Mary' is the semantic patient, and the agent is omitted, fulfilling passive construction criteria.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,"The verb 'had commanded' introduces an overt subject ('the angel of God') and an overt internal argument ('him'), fulfilling the transitive two-participant event requirement.",0,high,"'had commanded' licenses an external argument (the angel of God as agent), so it is not unaccusative.",0,high,"The verb 'had commanded' licenses an internal argument ('him'), so it does not meet the ASUnrg feature criteria.",0,high,"'Had commanded' denotes a punctual act of issuing an order, lacking a durative process or inherent endpoint.",0,high,'had commanded' denotes a durative or ongoing state of giving an order rather than a punctual boundary transition event.,0,high,"'had commanded' denotes a completed, bounded event with a specific result state (issuing a command), not a dynamic durative activity.",0,high,"'had commanded' entails a completed action that results in a new state of obligation or instruction, not a punctual semelfactive event.",0,high,"'had commanded' denotes a past action involving dynamic change and eventive unfolding, not a static or durative state.",0,high,"The clause describes a past event that actually occurred, with no indication of counterfactuality or unfulfilled condition.",0,high,The target gram 'had commanded' is not negated; the sentence affirms that Joseph did what the angel had commanded.,1,high,"The clause contains the clausal past time anchor 'When Joseph woke up', explicitly anchoring the event to a specific past time interval.",1,high,"The past perfect 'had commanded' presents the event as part of the subject’s life history, indicating that the command occurred before Joseph acted, without asserting a resulting state.",1,high,"The verb 'had commanded' indicates that Joseph received an order which he then acted upon, implying the directive is currently in effect at the reference time.",0,high,'had commanded' refers to a discrete past event (the angel's command) rather than a continuous or habitual situation holding up to the reference time.,0,high,'had commanded' is a past perfect form indicating a prior state or action without presenting the situation as a bounded whole or transition event; it does not profile a completed bounded event but rather a prior command.,0,high,"The phrase 'had commanded' asserts a realized past event in the actual world without modal, conditional, or hypothetical context.",1,high,"'had commanded' uses the morphologically past auxiliary 'had', indicating past perfect tense.",0,high,"'had commanded' is active voice with 'he' as the agent and 'him' as the patient, no passive morphology or by-phrase present.",Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,The verb phrase 'has come near' does not introduce an overt internal argument (direct or indirect object) and functions as an intransitive motion verb without a patient affected by the agent.,1,high,'has come near' denotes a change of location where the sole argument undergoes displacement and no external argument is licensed,0,high,"The verb phrase 'has come near' denotes a change-of-location event where the subject functions as an internal argument (theme/patient), not an external agent, and thus licenses no external argument as agent.",1,high,"The phrase 'has come near' involves directed motion toward a spatial goal that defines completion, fulfilling the criteria for AktAcc.",1,high,"'has come near' denotes a punctual transition into a new state (the kingdom of heaven reaching near), fitting the criteria of an instantaneous boundary event.",0,high,"'has come near' denotes a punctual, bounded event indicating a change of state or approach, not a dynamic durative activity.",0,high,"'has come near' describes a change of state or transition into a new condition (the kingdom approaching), not a punctual event without resulting change.",0,high,"'has come near' denotes a dynamic change of location or state, indicating eventive unfolding rather than a static condition.",0,high,The clause presents the situation as having actually occurred ('the kingdom of heaven has come near') without any indication that it is contrary to fact.,0,high,"The target gram 'has come near' is not negated; there is no negator or negative quantifier in the sentence, so the event is presented as occurring.",0,high,"The clause contains no lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The verb phrase 'has come near' entails a change of state or location with the resulting state holding at the reference time, not an experiential event in the subject's life history.",1,high,"The phrase 'has come near' is a motion verb indicating that the kingdom of heaven has moved to a location near the reference point and remains there, thus encoding a resulting state currently in effect.",0,high,The phrase 'has come near' describes a discrete bounded event (a transition into a new state) rather than a continuous or habitual situation holding over time.,1,high,"The predicate 'has come near' denotes a transition event ('come near') asserted as a completed whole, presenting the situation as a bounded occurrence with a construed endpoint.",0,high,The phrase 'has come near' asserts a realized fact in the actual world without modal auxiliaries or conditional/hypothetical context.,0,high,"'has come near' is formed with present-tense 'has' followed by a past participle with no modal, future, or progressive marking.",0,high,"The target 'has come near' does not contain the auxiliary 'have been' + past participle construction; 'come' here is intransitive and the subject is the agent, so it is not passive voice.",N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,"The verb 'have approved' introduces an overt subject ('I') and an overt direct object ('whom'), indicating a two-participant event directed from the subject to the object.",0,high,"'have approved' licenses an external argument (the subject 'I') who is the agent approving someone else, so it is not unaccusative.",0,high,"The verb 'have approved' licenses an internal argument (the object 'whom'), so it does not meet the ASUnrg feature criteria.",0,high,'have approved' denotes a punctual cognitive achievement (a single transition into approval) without a durative process or inherent endpoint unfolding over time.,1,high,"'have approved' denotes a punctual transition into a new state of approval, representing a boundary point rather than a durative process.",0,high,"The verb phrase 'have approved' denotes a bounded, completed cognitive event with a defined result state (approval), not a dynamic durative activity.",0,high,"'have approved' entails a resulting change of state (approval granted), thus not a punctual event without change of state.",1,high,'have approved' denotes a stable relational configuration indicating a mental state of approval that holds over time without dynamic change.,0,high,The clause presents a factual statement without any indication of counterfactuality or unfulfilled condition.,0,high,"The target gram 'have approved' is not negated; there is no negator or negative quantifier in the clause, so the event is presented as occurring.",0,high,"'Then' in this context is a logical connector ('a voice from heaven said then'), not a temporal adverb anchoring the event to a past time interval.",0,high,"The verb 'have approved' entails a change of social/legal status that remains in effect at the reference time, not just an experiential event.",1,high,"The verb 'have approved' indicates a change of social/legal status (approval) that is currently held, as the clause states 'whom I have approved' implying the approval remains in effect.",0,high,"The clause describes a discrete event of approval rather than a continuous or habitual state holding over time, and there are no duration adverbials or indications of continuous situation.",1,high,"The predicate 'have approved' denotes a completed evaluative transition, presenting the situation as a single bounded occurrence with a construed endpoint.",0,high,The phrase 'I have approved' asserts a realized fact in the actual world without modal auxiliaries or conditional/hypothetical context.,0,high,"The gram uses present-tense 'have' followed by a past participle with no modal, future, or progressive marking.",0,high,The target 'have approved' is active voice with the subject as the agent and no passive morphology or 'been' auxiliary present.,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The passive clause 'had been arrested' includes an external agent (implied) and an overt internal argument (John), satisfying the passive criterion for ASTrns.",0,high,"'had been arrested' is a passive construction of 'arrest', which licenses an external argument (the arresting agent), so it is not unaccusative.",0,high,"The verb phrase 'had been arrested' licenses an internal argument (the person arrested) and the subject functions as a patient/theme, not an external agent.",0,high,"'had been arrested' denotes a punctual, near-instantaneous change-of-state (the event of arrest) without a durative process phase leading to a defined endpoint.",1,high,'had been arrested' denotes a punctual change-of-state event marking the boundary of transition into the state of being arrested.,0,high,"'had been arrested' denotes a completed, bounded event with a specific endpoint (the arrest), not a dynamic durative activity.",0,high,"'had been arrested' entails a resulting change of state (being in custody), so it is not a punctual semelfactive event.",1,high,"'had been arrested' describes a resultant state of being under arrest, a static condition holding over time without dynamic unfolding.",0,high,"The clause 'John had been arrested' presents a past event as having actually occurred, with no indication it is contrary to fact or part of a counterfactual conditional.",0,high,"The target gram 'had been arrested' is not negated; there is no negator or negative quantifier in the clause, so the event is presented as having occurred.",0,high,"The clause 'Jesus heard that John had been arrested' contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The event 'had been arrested' entails a change of state relevant for subsequent discourse, setting the scene for Jesus' withdrawal, so it is non-experiential.",1,high,The verb phrase 'had been arrested' indicates a change of state (being arrested) and the past perfect implies that the resulting state (being under arrest) held at the reference time.,0,high,"'had been arrested' describes a discrete, bounded event (an arrest) rather than a continuous or habitual situation holding up to the reference time.",1,high,"'had been arrested' is a perfect passive form asserting a completed, bounded event (the arrest) rather than an ongoing process.",0,high,"The phrase 'had been arrested' is used in a reported past context asserting a realized event, not hypothetical or projected.",1,high,"'had' is morphologically past auxiliary indicating past perfect, so TLTS feature is present.",1,high,"'had been arrested' is auxiliary 'had' + 'been' + past participle 'arrested', the subject 'John' is the semantic patient, and the construction shows passive morphology.",N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1,high,"The target verb 'have heard' introduces an overt grammatical subject 'You' and an overt direct object 'it', indicating a two-participant event directed from the subject to the object.",0,high,"'have heard' licenses an external argument (the experiencer 'you') and involves an agentive or experiencer role, not a one-participant internal argument event.",0,high,"The verb 'have heard' licenses an internal argument ('it'), so it does not meet the ASUnrg feature criteria.",0,high,"'have heard' denotes a punctual cognitive event of becoming aware or informed, lacking a durative process phase leading to a defined endpoint.",1,high,"'have heard' denotes a punctual perceptual transition into awareness, fitting the criteria for AktAch.",0,high,"'have heard' denotes a bounded cognitive event marking the onset of awareness, a single completed occurrence without durative unfolding.",0,high,"'have heard' denotes a state or experience rather than a single punctual dynamic event without change of state, thus it does not meet the semelfactive criteria.",0,high,"'have heard' denotes a bounded perceptual event marking the completion of awareness, thus involving dynamic change and eventive unfolding.",0,high,The clause 'You have heard it was said' presents a factual statement without any indication of counterfactuality or contrary-to-fact conditions.,0,high,"The target gram 'have heard' is not negated; the negation 'not' applies to 'commit adultery', not to 'have heard'.",0,high,"The clause contains no lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",1,high,"The verb 'have heard' denotes perception focusing on the occurrence of an experience at least once, fitting the experiential feature DtExp.",0,high,The verb 'have heard' reports a past perception event without indicating that the information is currently in effect or that a resulting state holds at the reference time.,0,high,"The clause 'You have heard it was said' describes a discrete event of hearing, not a continuous or habitual situation holding over a time span.",0,high,"The predicate 'have heard' denotes a stative situation without a construed boundary, and the clause does not present the situation as a bounded whole or a completed transition.",0,high,"The phrase 'You have heard' asserts a realized fact about past hearing, with no modal, conditional, future, or hypothetical context.",0,high,"The gram uses present-tense 'have' followed by a past participle 'heard' with no modal, future, or progressive marking.",0,high,"The target 'have heard' is auxiliary 'have' + past participle 'heard' but lacks the auxiliary 'been' and does not show passive morphology; the subject 'You' is the agent who performs the hearing, not the patient, so it is active voice.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,"The verb phrase 'have heard' introduces an overt subject 'You' and an overt direct object 'it', indicating a two-participant event where the subject affects the object.",0,high,"'have heard' licenses an external argument (the experiencer 'you') and takes a direct object ('it'), so it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument 'it', so it does not meet the ASUnrg feature criteria.",0,high,"'have heard' denotes a punctual cognitive event of perceiving or becoming aware, lacking a durative process phase leading to a defined endpoint.",1,high,"'have heard' denotes a punctual perceptual transition into awareness, fitting the criteria for AktAch.",0,high,"'have heard' denotes a bounded cognitive event marking awareness, treated as a single completed occurrence, not a dynamic durative activity.",0,high,'have heard' entails a state resulting from the event of hearing and is not a single punctual occurrence without change of state.,0,high,"'have heard' denotes a bounded perceptual event marking the completion of awareness, thus involving dynamic change and eventive unfolding.",0,high,The clause 'You have heard it said' presents a factual statement without any indication of counterfactuality or contrary-to-fact conditions.,0,high,"The target gram 'have heard' is not negated; the sentence affirms that 'you have heard' something, so the eventuality is realized.",0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial anchoring the event to a specific past time interval.",1,high,"The phrase 'have heard' is a Perfect verb of perception focusing on the occurrence of the experience at least once, indicating it as part of the subject's life history.",0,high,The verb 'have heard' reports a past perception event without indicating that the information is currently in effect or that a resulting state holds at the reference time.,0,high,"'have heard' refers to a discrete event of hearing a saying, not a continuous or habitual state holding over a time span.",0,high,'have heard' is a present perfect stative verb indicating a past experience without presenting the situation as a bounded whole or a completed transition event.,0,high,"The phrase 'You have heard' asserts a realized fact in the actual world without modal, conditional, future, or hypothetical context.",0,high,"The gram uses present-tense 'have' followed by a past participle with no modal, future, or progressive marking.",0,high,"'have heard' is present perfect active voice with 'you' as agent subject, no passive morphology or 'been' auxiliary present.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1,high,"The verb phrase 'have heard' includes an overt subject 'You' and an overt direct object 'it', indicating a two-participant event with an external agent affecting an internal patient.",0,high,"'have heard' licenses an external argument (the experiencer 'you') and takes a direct object ('it'), so it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument 'it', so it does not meet the ASUnrg feature criteria.",0,high,"'have heard' denotes a punctual cognitive event of perceiving or becoming aware, lacking a durative process leading to a defined endpoint or result state.",1,high,"'have heard' denotes a punctual perceptual transition into awareness, fitting the criteria for AktAch.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is a single completed occurrence without durative unfolding.",0,high,'have heard' denotes a state or experiential perfect rather than a single punctual dynamic event without change of state.,0,high,"'have heard' denotes a bounded perceptual event marking the completion of awareness, involving dynamic change rather than a static condition.",0,high,The clause 'You have heard it said' presents a factual statement without any indication of a counterfactual or contrary-to-fact condition.,0,high,"The target gram 'have heard' is not negated; there is no negator such as 'not', negative quantifier, or 'never' modifying it in the sentence.",0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",1,high,The phrase 'You have heard' denotes a perception verb focusing on the occurrence of an experience at least once in the subject's life history.,1,high,The verb 'have heard' indicates a change of possession of information that is currently held at the reference time.,0,high,"The clause describes a discrete event of hearing something, not a continuous or habitual situation holding over time.",0,high,"The phrase 'have heard' is present perfect indicating a stative situation of having knowledge, without a bounded endpoint or transition event, and no completion adverbials are present.",0,high,"The phrase 'You have heard' asserts a realized fact in the actual world without modal, conditional, or future marking.",0,high,"'have heard' is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking.",0,high,"'have heard' is present perfect active voice with 'you' as agent subject, no 'been' auxiliary or passive morphology present.",Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1,high,"The passive construction 'have been paid' licenses both an external agent (implied payer) and an internal patient (the subject who has been paid), satisfying the two-participant event requirement.",0,high,"'have been paid' is a passive construction where the verb licenses an external argument (the payer), so it is not unaccusative.",0,high,"The verb phrase 'have been paid' licenses an internal argument (the recipient of payment), so the subject is not an external argument without an internal argument.",0,high,"'have been paid' denotes a completed, punctual state resulting from a prior action, lacking a durative process phase or inherent endpoint within the event itself.",1,high,"'have been paid' denotes a punctual transition into a new state of having received payment, fitting the achievement criteria.",0,high,"'have been paid' denotes a completed, bounded event with a defined result state, not a dynamic durative activity.",0,high,"'have been paid' entails a resulting state of having received payment, not a single punctual event without change of state.",1,high,"'have been paid' denotes a completed state of having received payment, a stable condition without dynamic change or event unfolding.",0,high,The clause 'they have already been paid in full' presents a factual statement about the actual world without any indication of a counterfactual or contrary-to-fact situation.,0,high,"The target gram 'have been paid' is not negated; the sentence states 'they have already been paid,' indicating the event has occurred.",1,high,"The clause contains the phrasal past time adverbial 'already', which explicitly anchors the event to a specific past time interval.",0,high,"The phrase 'have already been paid in full' indicates a completed change of state with a resulting state holding at the reference time, not an experiential event in the subject's life history.",1,high,"The phrase 'have been paid' indicates a completed change of possession with the resulting state (being paid) currently holding, as emphasized by 'already' and 'in full'.",0,high,"The phrase 'have been paid' refers to a completed, bounded event rather than a continuous or habitual situation extending to the reference time.",1,high,"The phrase 'have been paid' is a perfect passive form asserting a completed, bounded event, indicating the hypocrites received their reward as a discrete, finished occurrence.",0,high,"'have been paid' asserts a realized fact about the hypocrites' situation in the actual world, with no modal, conditional, or future context present.",0,high,"'have been paid' is present perfect passive with present-tense 'have' and past participle, no modal, future, or progressive marking.",1,high,"The phrase 'have been paid' uses the auxiliary 'have' + 'been' + past participle 'paid', the subject 'they' corresponds to the semantic patient, and the agent is omitted, fulfilling the passive construction criteria.",N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The passive construction 'have been paid' includes an external agent (implied payer) and an internal argument (the recipient 'them'), satisfying the two-participant event with an affected internal argument.",0,high,"'have been paid' is a passive construction where the verb licenses an external argument (the payer), so it is not unaccusative.",0,high,"The verb phrase 'have been paid' licenses an internal argument (the implied payer and payment), so it does not instantiate ASUnrg.",0,high,"'have been paid' denotes a completed, punctual state resulting from a prior action, lacking a durative process phase leading to a defined endpoint within the event itself.",1,high,"'have been paid' denotes a punctual transition into a new state of having received payment, fitting the criteria of an instantaneous boundary event.",0,high,"'have been paid' denotes a completed, bounded event with a defined result state (payment completed), not a dynamic durative activity.",0,high,"'have been paid' entails a resulting change of state (being paid in full), so it is not a punctual semelfactive event.",1,high,"'have been paid' denotes a completed state of possession or receipt of payment, a static condition without dynamic unfolding or event progression.",0,high,"The clause 'they have been paid in full' presents a situation as having actually occurred, with no indication it is contrary to fact or counterfactual.",0,high,"The target gram 'have been paid' is not negated; the sentence states they have been paid in full, indicating the event occurred.",0,high,"The clause 'I assure you they have been paid in full' contains no lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The phrase 'have been paid in full' entails a completed change of possession with the resulting state holding at the reference time, not an experiential event in the subject's life history.",1,high,The phrase 'have been paid in full' indicates a completed change of possession with the resulting state (payment received) currently holding at the reference time.,0,high,"'have been paid' describes a completed, bounded event (payment) rather than a continuous or habitual situation holding over time.",1,high,"The phrase 'have been paid in full' is a passive perfect construction asserting a completed, bounded event with a completion-measure adverbial 'in full', indicating the situation is presented as a single bounded occurrence.",0,high,"The phrase 'have been paid' asserts a realized fact in the actual world without modal, conditional, future, or hypothetical context.",1,high,"The gram includes 'have been' followed by a past participle 'paid', indicating a perfect progressive or passive construction beyond simple present perfect.",1,high,"The phrase 'have been paid' matches the auxiliary 'have' + 'been' + past participle form, the subject 'they' corresponds to the semantic patient, and the construction shows overt passive morphology, fulfilling the criteria for VcPass.",N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N
