TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The passive construction 'had been promised' licenses both an external argument (agent, possibly unexpressed) and an internal argument (patient, 'Mary'), satisfying the criteria for ASTrns.",0,high,"The verb 'had been promised' licenses an external argument (the promiser), and the clause contains an overt indirect object 'to Joseph', indicating an external argument is present.",0,high,"The verb phrase 'had been promised' licenses an internal argument (Joseph), indicating a passive construction with an internal argument, not an external agent-only event.",0,high,'had been promised' denotes a past state or a punctual event of promise without a durative process leading to a defined endpoint or result state.,0,high,'had been promised' describes a past state or event without a punctual boundary transition; it is a stative or resultant state rather than a near-instantaneous change of state.,0,high,"'had been promised' denotes a completed, bounded event with a defined result state (the promise), not a durative, ongoing activity.",0,high,'had been promised' entails a resulting state of promise and is not a single punctual dynamic occurrence without change of state.,1,high,'had been promised' denotes a stable relational configuration (a promise made and held over time) without dynamic change or eventive unfolding.,0,high,The clause states a factual past event without any indication that it is contrary to fact or counterfactual.,0,high,"The target gram 'had been promised' is not negated; there is no negator such as 'not', 'never', or a negative quantifier negating the promise event.",0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",1,high,"The phrase 'had been promised' presents the event as part of Mary's life history, indicating that the promise occurred at least once without asserting a resulting state holding at the reference time.",1,high,The phrase 'had been promised' indicates a change of social/legal status (promise of marriage) that Mary currently holds at the reference time.,0,high,The phrase 'had been promised' describes a discrete past event (a promise made) rather than a continuous or habitual situation holding up to the reference time.,0.0,high,"The phrase 'had been promised' is a past perfect passive form indicating a completed state prior to another event, without presenting the situation as a bounded whole or a transition event.",0,high,"The phrase 'had been promised' asserts a realized past event in the actual world without modal, conditional, or hypothetical context.",1,high,"'had' is morphologically past and combined with 'been' plus a past participle 'promised', indicating past perfect passive, thus instantiating TLTS.",1,high,"The phrase 'had been promised' uses the auxiliary 'had been' plus a past participle, the subject 'His mother Mary' is the semantic patient, and the agent is implied or omitted, matching passive construction criteria."
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,"The verb 'had commanded' introduces an overt subject ('the angel of God') and an overt internal argument ('him'), indicating a two-participant event directed from the external argument to the internal argument.",0,high,'had commanded' licenses an external argument (the angel) who is the agent issuing the command.,0,high,"The verb 'had commanded' licenses an internal argument ('him'), so it does not instantiate ASUnrg.",0,high,"'Had commanded' denotes a punctual act of issuing an order, lacking a durative process phase or inherent endpoint unfolding over time.",0,high,"'had commanded' denotes a past state of issuing an order, which is not a punctual change-of-state event but rather a stative or durative action.",0,high,"'had commanded' denotes a completed, bounded event with a defined result state (issuing a command), not a durative ongoing activity.",0,high,"'had commanded' describes a past completed action that entails a resulting state of having given an order, not a single punctual event without change of state.",0,high,"'had commanded' denotes a past dynamic event of issuing an order, involving change and event boundary, not a static state.",0,high,"The clause describes a factual past event that actually occurred, with no indication of counterfactuality or regret.",0,high,The target gram 'had commanded' is not negated and no negative quantifier or negation adverb modifies it in the sentence.,1,high,"The clause contains the clausal past time anchor 'When Joseph woke up', explicitly anchoring the event to a specific past time interval.",1,high,"The past perfect 'had commanded' presents the event as part of the subject’s life history, indicating that the command occurred at least once before Joseph acted, without asserting a resulting state.",0,high,The verb 'had commanded' reports a past directive without indicating that the commanded state or information is currently in effect; it merely reports a past interaction.,0,high,"The clause describes a discrete, bounded event of having commanded, not a continuous or habitual situation holding up to the reference time.",1.0,high,"The phrase 'had commanded' presents a completed, bounded event in the past that functions as a discrete step in the narrative sequence, indicating a single completed action prior to Joseph's waking up.",0,high,"The phrase 'had commanded' is used in a past perfect construction asserting a realized past event, not a hypothetical or projected situation.",1,high,"'had commanded' uses the morphologically past auxiliary 'had', indicating past perfect tense, thus instantiating the TLTS feature.",0,high,"'had commanded' is active past perfect with the agent as subject ('the angel of God'), no passive morphology or by-phrase present."
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,The verb phrase 'has come near' does not introduce an overt internal argument (direct or indirect object) and functions as an intransitive motion verb without a patient affected by the agent.,1,high,'has come near' denotes a change-of-location event where the sole argument undergoes displacement and no external argument is licensed.,0,high,"The verb phrase 'has come near' denotes a change-of-location event with the subject functioning as an internal argument (theme), not an external agent, and licenses no external argument.",0,high,'has come near' denotes a punctual boundary transition without a durative process phase or inherent endpoint unfolding over time.,1,high,"'has come near' denotes a punctual transition into a new state (the kingdom of heaven reaching proximity), fitting the definition of an achievement.",0,high,"'has come near' denotes a bounded change of state or endpoint (the kingdom of heaven reaching a proximity), not a durative, ongoing activity.",0,high,"'has come near' entails a change of state or resulting condition (the kingdom of heaven approaching), thus not a punctual semelfactive event.",0,high,"'has come near' denotes a dynamic change of state or event boundary indicating approach, thus it involves internal eventive unfolding and is not a static state.",0,high,The clause presents the situation as having actually occurred ('the kingdom of heaven has come near') without any indication that it is contrary to fact or counterfactual.,0,high,The target gram 'has come near' is not negated; there is no negator or negative quantifier affecting it in the sentence.,0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial anchoring the event to a specific past time interval.",0,high,"The phrase 'has come near' entails a change of location with the resulting state holding at the reference time, indicating the kingdom is currently near rather than an experiential event in the subject's life history.",1,high,"The phrase 'has come near' is a motion verb indicating a change of location, and the kingdom of heaven is currently near at the reference time, thus encoding a resulting state.",0,high,The phrase 'has come near' describes a punctual event indicating a transition rather than a continuous or habitual state holding over time.,1.0,high,"The predicate 'has come near' denotes a transition event ('come near') asserted as a completed whole, presenting the situation as a bounded occurrence with a construed endpoint.",0,high,"The phrase 'has come near' asserts a realized state of affairs in the actual world without modal, conditional, or future marking.",0,high,"The gram 'has come near' uses present-tense 'has' followed by a past participle with no modal, future, or progressive marking, indicating simple present perfect.",0,high,The verb phrase 'has come near' is active intransitive with the subject as agent and no passive morphology or by-phrase present.
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,"The verb 'have approved' introduces an overt subject ('I') and an overt internal argument ('whom'), indicating a two-participant event directed from the subject toward the object.",0,high,"'have approved' licenses an external argument (the subject 'I') as an agent who approves, so it is not unaccusative.",0,high,"The verb 'have approved' licenses an internal argument ('whom'), so it does not instantiate ASUnrg.",0,high,'have approved' denotes a punctual achievement event indicating a completed judgment without a durative process or inherent endpoint unfolding over time.,1,high,"'have approved' denotes a punctual transition into a new state of approval, fitting the definition of an achievement as a boundary event.",0,high,"'have approved' denotes a completed cognitive/perceptual event with a defined result state (approval), not a dynamic durative activity.",0,high,"'have approved' entails a resulting change of state (the subject is now approved), so it is not a punctual semelfactive event.",0,high,"'have approved' denotes a completed dynamic event of approval, involving change of state rather than a static condition.",0,high,The clause states a factual event ('I have approved') without any indication that it is contrary to fact or counterfactual.,0,high,The target gram 'have approved' is not negated; there is no negator or negative quantifier affecting it in the sentence.,0,high,"'Then' in this clause functions as a logical connector rather than a temporal anchor, so the clause does not contain an overt past time adverbial.",1,high,"The verb 'have approved' denotes a bounded activity indicating the subject's life history experience of approval, without asserting a resulting state.",1,high,"The verb 'have approved' indicates a change of social/legal status (approval) that currently holds, as the voice states 'whom I have approved' implying the approval is in effect at the reference time.",0,high,The clause describes a discrete event of approval rather than a continuous or habitual state holding over time.,1.0,high,"The predicate 'have approved' denotes a completed transition event (approval) presented as a bounded whole, with no indication of ongoing or habitual aspect.",0,high,"The phrase 'I have approved' is asserted as a realized fact in the actual world, with no modal, conditional, future, or hypothetical context present.",0,high,"'have approved' is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking.",0,high,"The construction 'have approved' is active with the subject 'I' as the agent approving, no auxiliary 'been' or past participle indicating passive voice."
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The passive clause 'had been arrested' licenses both an external agent (implied) and an internal patient (John as the overt subject), satisfying the two-participant event requirement.",0,high,"'had been arrested' is a passive construction licensing an external argument (agent), so it is not unaccusative.",0,high,"'had been arrested' is a passive construction denoting a change-of-state event where the subject is a patient/theme, not an external argument.",0,high,'had been arrested' denotes a punctual boundary transition (the moment of arrest) without an inherent durative process phase leading to a defined endpoint.,1,high,'had been arrested' denotes a punctual change-of-state event marking the boundary of transition into the state of being arrested.,0,high,"'had been arrested' denotes a completed, bounded event with a defined result state (the arrest), not a durative ongoing activity.",0,high,"'had been arrested' entails a resulting change of state (being under arrest), so it is not a punctual semelfactive event.",0,high,"'had been arrested' denotes a bounded past event with dynamic change (arrest), not a static state.",0,high,The clause 'John had been arrested' is presented as a factual past event without any indication that it is contrary to fact or part of a counterfactual conditional.,0,high,The target gram 'had been arrested' is not negated; there is no negator or negative quantifier directly negating this event in the sentence.,0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The phrase 'had been arrested' introduces a resulting state relevant for subsequent discourse, indicating a change of state that holds at the reference time.",1,high,The phrase 'had been arrested' indicates a change of state (from free to arrested) and the resulting state (being arrested) holds at the reference time in the past context.,0,high,'had been arrested' describes a discrete bounded event (an arrest) rather than a continuous or habitual situation holding over a time span.,1.0,high,"'had been arrested' is a perfect passive form asserting a completed, bounded event (the arrest) rather than an ongoing process.",0,high,"The phrase 'had been arrested' is presented as a reported past event asserted as realized, not hypothetical or projected.",1,high,"'had' is morphologically past and the construction 'had been arrested' includes past perfect tense, satisfying the criteria for TLTS.",1,high,"'had been arrested' is auxiliary 'had' + 'been' + past participle 'arrested', the subject 'John' is the semantic patient, and the construction is a passive voice."
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1,high,"The verb phrase 'have heard' includes an overt subject 'You' and an overt direct object 'it', indicating a two-participant event with an external agent affecting an internal patient.",0,high,"'have heard' licenses an external argument (the experiencer 'you') and the clause contains an overt direct object 'it', so it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument 'it', so it does not instantiate ASUnrg.",0,high,"'have heard' denotes a punctual cognitive event of becoming aware of information, lacking a durative process phase or inherent endpoint.",1,high,"'have heard' denotes a punctual cognitive transition into awareness at a definable temporal boundary, fitting the achievement criteria.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is a single completed occurrence without durative unfolding.",0,high,'have heard' entails a durative or experiential event rather than a single punctual occurrence without change of state.,0,high,"'have heard' denotes a bounded perceptual event marking the completion of awareness, thus involving dynamic change and eventive unfolding.",0,high,The clause 'You have heard it was said' presents a factual statement without any indication of a counterfactual or contrary-to-fact condition.,0,high,"The auxiliary 'have' in 'have heard' is not negated, and there is no negative quantifier or negation modifying 'have heard'; the negation 'not' applies to 'commit adultery', not to 'have heard'.",0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",1,high,"The verb 'have heard' denotes a perception event focusing on the occurrence of an experience at least once, fitting the experiential feature DtExp.",0,high,The verb 'have heard' reports a past perception event without indicating that the information is currently in effect or that a resulting state holds at the reference time.,0,high,"The clause describes a discrete event of hearing something, not a continuous or habitual situation holding over time.",0.0,high,The phrase 'have heard' is a present perfect stative verb indicating a past experience without presenting the event as a bounded whole or transition; no completion adverbials or narrative steps are present.,0,high,"The phrase 'You have heard' asserts a realized fact in the actual world without modal, conditional, or future context.",0,high,"'have heard' is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking.",0,high,"'have heard' is an active perfect construction with 'have' + past participle, the subject 'You' is the agent who performed the hearing, not the patient, and there is no 'been' auxiliary or by-phrase indicating passive voice."
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,"The verb phrase 'have heard' introduces an overt subject 'You' and an overt direct object 'it', indicating a two-participant event with an external agent affecting an internal patient.",0,high,"'have heard' licenses an external argument (the experiencer 'you') and takes an overt object 'it', so it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument 'it', so it does not meet the ASUnrg feature criteria.",0,high,"'have heard' denotes a punctual cognitive event of perceiving or becoming aware, lacking a durative process phase leading to a defined endpoint.",1,high,"'have heard' denotes a punctual cognitive transition into awareness, fitting the criteria for an achievement.",0,high,"'have heard' denotes a bounded perceptual event marking the onset of awareness, which is a single completed occurrence without durative unfolding.",0,high,"'have heard' here is a perfective stative or experiential perfect, not a punctual single bounded occurrence without change of state.",0,high,"'have heard' denotes a bounded perceptual event marking the completion of awareness, thus involving dynamic change and eventive unfolding.",0,high,The clause 'You have heard it said' presents a factual statement without any indication of counterfactuality or contrary-to-fact conditions.,0,high,The target gram 'have heard' is not negated and no negative quantifier or adverb negates it; the sentence affirms that 'you have heard' something.,0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial anchoring the event to a specific past time interval.",1,high,The phrase 'You have heard' uses the present perfect to indicate an experience in the subject's life history without asserting a current resulting state.,0,high,The phrase 'have heard' reports a past perception without indicating that the information is currently in effect or that a resulting state holds at the reference time.,0,high,"'have heard' describes a discrete event of hearing something, not a continuous or habitual situation holding over a time span.",0.0,high,'have heard' here is a present perfect stative usage indicating knowledge or experience without presenting a bounded event or transition.,0,high,"'You have heard' asserts a realized fact in the actual world without modal, conditional, or future context.",0,high,"'have heard' is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking, indicating simple present perfect.",0,high,"'have heard' is auxiliary 'have' + past participle but lacks 'been' and the subject 'you' is the agent, not the patient, so it is active voice, not passive."
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1,high,"The target verb 'have heard' introduces an overt grammatical subject 'You' and an overt direct object 'it', indicating a two-participant event with an external agent affecting an internal patient.",0,high,"'have heard' licenses an external argument (the subject 'you' as experiencer/agent) and takes an overt direct object 'it', so it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument 'it', so it does not meet the criteria for ASUnrg.",0,high,'have heard' denotes a punctual cognitive event marking the moment of perception or awareness without a durative process leading to a defined endpoint.,1,high,'have heard' denotes a punctual cognitive transition into awareness at a definable temporal boundary.,0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is a single completed occurrence without durative unfolding.",0,high,'have heard' denotes a stative or experiential event that unfolds over time and does not represent a single punctual occurrence without change of state.,0,high,"'have heard' denotes a bounded perceptual event marking the completion of awareness, which involves dynamic change and eventive unfolding, thus not instantiating AktState.",0,high,The clause 'You have heard it said' presents a factual statement without any indication of counterfactuality or contrary-to-fact conditions.,0,high,"The target gram 'have heard' is not negated; there is no negator such as 'not', 'never', or a negative quantifier negating 'have heard' in the sentence.",0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",1,high,"The phrase 'You have heard' uses a perception verb focusing on the occurrence of an experience at least once, fitting the life-history experiential reading without asserting a resulting state.",0,high,The verb 'have heard' reports a past perception event without indicating a resulting state currently in effect.,0,high,The clause describes a discrete event of hearing something rather than a continuous or habitual situation holding over time.,1.0,high,"'have heard' presents a single completed event of hearing, a transition asserted as a bounded whole without internal temporal development.",0,high,"'You have heard' asserts a realized fact in the actual world without modal, conditional, or future marking.",0,high,"'have heard' is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking.",0,high,"The construction 'have heard' is active with 'you' as the agent subject, no 'been' or past participle indicating passive voice."
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1,high,"The passive construction 'have been paid' includes an external argument (agent) and an internal argument (patient) expressed or implied, satisfying the criteria for ASTrns.",0,high,"'have been paid' is a passive construction where the verb licenses an external argument (the payer), so it does not meet the unaccusative criteria.",0,high,"'have been paid' licenses an internal argument (the recipient of payment), so it does not instantiate ASUnrg.",0,high,"'have been paid' denotes a punctual, completed state without a durative process or inherent endpoint unfolding over time.",1,high,"'have been paid' denotes a punctual transition into a new state of having received payment, fitting the achievement criteria.",0,high,"'have been paid' denotes a completed, bounded event with a defined result state, not a dynamic durative activity.",0,high,"'have been paid' entails a resulting change of state (the state of having been paid), so it is not a punctual semelfactive event.",1,high,'have been paid' denotes a completed state of possession or receipt that holds over time without dynamic change or eventive unfolding.,0,high,The clause 'they have already been paid in full' presents a factual past event without any indication of being contrary to fact or counterfactual.,0,high,"The phrase 'have been paid' is not negated; the sentence states that they have already been paid, indicating the event has occurred.",0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The phrase 'have been paid in full' indicates a completed change of state with a resulting condition holding at the reference time, not a life-history experiential event.",1,high,The phrase 'have been paid' indicates a completed change of possession with the resulting state (being paid) currently holding at the reference time.,0,high,"The phrase 'have been paid' describes a completed, bounded event (payment already received), not a continuous or habitual situation holding up to the reference time.",1.0,high,"The phrase 'have been paid' is a perfect passive form asserting a completed, bounded event with a construed endpoint, indicating the payment is a finished whole rather than an ongoing process.",0,high,"The phrase 'have been paid' is asserted as a realized fact in the actual world, indicated by 'they have already been paid in full,' with no modal, conditional, or hypothetical context.",0,high,"'have been paid' is formed with present-tense 'have' followed by 'been' and a past participle, with no progressive or modal marking.",1,high,"The phrase 'have been paid' uses the auxiliary 'have' + 'been' + past participle 'paid', the subject 'they' corresponds to the semantic patient, and the context implies a passive construction with the agent omitted."
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The passive construction 'have been paid' includes an external argument (agent, possibly unexpressed) and an overt internal argument ('in full' indicating the extent of payment), satisfying the criteria for ASTrns.",0,high,"'have been paid' is a passive construction where the verb licenses an external argument (agent), thus not unaccusative.",0,high,"'have been paid' licenses an internal argument (the recipient of payment) and denotes a change-of-state event, so the sole argument is not an external agent.",0,high,"'have been paid' denotes a punctual, completed transaction without a durative process or inherent endpoint unfolding over time.",0,high,"'have been paid' denotes a completed state resulting from a prior process, not a punctual boundary transition event.",0,high,"'have been paid' denotes a completed, bounded event with a defined result state (payment in full), not a durative unfolding activity.",0,high,"'have been paid' entails a resulting change of state (the payment is completed), so it is not a punctual semelfactive event.",1,high,"'have been paid' denotes a completed state of possession or receipt of payment without dynamic unfolding or active effort, indicating a static condition.",0,high,The clause 'they have been paid in full' presents a factual statement without any indication of counterfactuality or contrary-to-fact conditions.,1,high,"The phrase 'have been paid' is negated by the preceding 'Do not pray like the hypocrites!' and the context implies the hypocrites have not been paid in the intended sense, indicating the event/state is construed as not holding.",0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The phrase 'have been paid in full' indicates a completed change of state (payment completed) with a resulting state holding at the reference time, not a life-history experiential event.",1,high,The phrase 'have been paid in full' indicates a completed change of possession with the resulting state (being paid) currently holding at the reference time.,0,high,"The phrase 'have been paid' describes a completed, bounded event (payment) rather than a continuous or habitual situation holding over time.",1.0,high,"The phrase 'have been paid in full' presents a completed, bounded event with a construed endpoint, indicating the payment is finished rather than ongoing.",0,high,"The phrase 'they have been paid in full' asserts a realized fact in the actual world without modal, conditional, or future context.",0,high,"'have been paid' is formed with present-tense 'have' followed by 'been' and a past participle, with no progressive or modal marking, thus it is simple present perfect.",1,high,"The phrase 'have been paid' uses the auxiliary 'have' + 'been' + past participle 'paid', the subject 'they' corresponds to the semantic patient, and the construction shows overt passive morphology."
