TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation,DtExp/DtRes,DtExp/DtUniv,DtRes/DtUniv,DtExp/DtRes/DtUniv,DtHP,DtHP_excused,ASTrns/ASUncc,ASTrns/ASUnrg,ASUncc/ASUnrg,ASTrns/ASUncc/ASUnrg,ASHP,AktState/AktAct,AktAcc/AktAch,AktMultiple,AktHP,TLAspPfv/DtUniv,TLAspPfv/AktState,TLAspPfv/AktAct
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,0,high,The verb entails a change of social/legal status that remains in effect at the reference time.,0,high,The verb entails a change of social/legal status that remains in effect at the reference time.,0,high,The verb entails a change of social/legal status that remains in effect at the reference time.,0,high,"The verb 'promised' entails a change of social/legal status that remains in effect at the reference time, so the AktAcc feature is not instantiated.",0,high,The verb 'had been promised' entails a change of social/legal status that remains in effect at the reference time.,0,high,"The verb 'promised' entails a change of social/legal status that remains in effect at the reference time, so the AktAct feature is not instantiated.",0,high,The verb entails a change of social/legal status that remains in effect at the reference time.,0,high,The verb entails a change of social/legal status that remains in effect at the reference time.,0.0,high,The verb entails a change of social/legal status that remains in effect at the reference time.,0,high,The verb entails a change of social/legal status that remains in effect at the reference time.,0,high,There is no temporal adverbial present in the clause.,0,high,"The verb 'promised' entails a change of social/legal status that remains in effect at the reference time, so the annotation is 0.",0,high,The verb 'promised' entails a change of social/legal status that remains in effect at the reference time.,0,high,The verb entails a change of social/legal status that remains in effect at the reference time.,0,high,"The verb entails a change of social/legal status (promised) that remains in effect at the reference time, so the feature is not present.",0,high,"The verb 'promised' entails a change of social/legal status that remains in effect at the reference time, so the annotation is 0.",0,high,The verb 'promised' entails a change of social/legal status that remains in effect at the reference time.,0,high,The verb entails a change of social/legal status that remains in effect at the reference time.,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,0,high,"The verb 'commanded' entails a change of social/legal status that remains in effect at the reference time, so the feature ASTrns is not instantiated.",0,high,"The verb 'commanded' entails a change of social/legal status that remains in effect at the reference time, so the feature ASUncc is not instantiated.",0,high,"The verb 'commanded' entails a change of social/legal status that remains in effect at the reference time, thus the feature ASUnrg is not instantiated.",0,high,"The verb 'commanded' entails a change of social/legal status that remains in effect at the reference time, thus the AktAcc feature is not present.",0,medium,"The verb 'commanded' does not denote perception/communication or a bounded activity, and there are no frequency adverbs or negative perfect; the event sets the scene for the next plot point, so it is classified as non-experiential (0).",0,high,"The verb 'commanded' entails a change of social/legal status that remains in effect at the reference time, thus the AktAct feature is not present.",0,high,"The verb 'commanded' entails a change of social/legal status that remains in effect at the reference time, thus the feature AktSemel is not instantiated.",0,high,"The verb 'commanded' entails a change of social/legal status that remains in effect at the reference time, so the AktState feature is not present.",0.0,high,"The verb 'commanded' entails a change of social/legal status that remains in effect at the reference time, thus the feature ClCntfcl is not instantiated.",0,high,"The verb 'commanded' entails a change of social/legal status that remains in effect at the reference time, so the feature is 0.",1,high,"The clause 'When Joseph woke up, he did what the angel of God had commanded him to do' contains a clausal past time anchor 'When Joseph woke up', so the annotation is 1.",0,high,"The verb 'commanded' entails a change of social/legal status that remains in effect at the reference time, so the feature DtExp is not instantiated.",0,high,"The verb 'commanded' entails a change of social/legal status that remains in effect at the reference time, thus the feature DtRes is not instantiated.",0,high,"The verb 'commanded' entails a change of social/legal status that remains in effect at the reference time, thus DtUniv is 0.",0,medium,"The verb 'commanded' entails a change of social/legal status that remains in effect at the reference time, thus the feature TLAspPfv is not instantiated.",0,high,"The verb 'commanded' entails a change of social/legal status that remains in effect at the reference time, thus it is not TLMdIrr.",0,medium,"The verb 'commanded' entails a change of social/legal status (obedience) that remains in effect at the reference time, thus it is not a simple life experience.",0,high,"The verb 'commanded' entails a change of social/legal status that remains in effect at the reference time, so the feature VcPass is not instantiated.",N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,"The verb entails a transition into a new physical location, and the subject remains at that location at the reference time.",0,high,"The verb entails a transition into a new physical location, and the subject remains at that location at the reference time.",0,high,"The verb 'has come near' entails a transition into a new physical location (nearness), and the subject remains at that location at the reference time, thus the feature ASUnrg is not instantiated.",0,high,"The verb entails a transition into a new physical location, and the subject remains at that location at the reference time.",0,high,"The verb entails a transition into a new physical location, and the subject remains at that location at the reference time.",0,high,"The verb entails a transition into a new physical location, and the subject remains at that location at the reference time.",0,high,"The verb entails a transition into a new physical location, and the subject remains at that location at the reference time.",0,high,"The verb entails a transition into a new physical location, and the subject remains at that location at the reference time.",0.0,high,"The verb entails a transition into a new physical location, and the subject remains at that location at the reference time.",0,high,"The verb entails a transition into a new physical location, and the subject remains at that location at the reference time.",0,high,There is no temporal adverbial of any sort present in the text.,0,high,"The verb entails a change of location, and the subject remains at that location at the reference time.",0,high,"The verb entails a transition into a new physical location, and the subject remains at that location at the reference time.",0,high,"The verb entails a transition into a new physical location, and the subject remains at that location at the reference time.",0,high,"The verb entails a transition into a new physical location, and the subject remains at that location at the reference time.",0,high,"The verb entails a transition into a new physical location, and the subject remains at that location at the reference time.",0,high,"The verb 'has come near' entails a transition into a new physical location (nearness), and the subject remains at that location at the reference time, thus it is not TLTS.",0,high,"The verb entails a transition into a new physical location, and the subject remains at that location at the reference time.",N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, so the annotation is 0.",0,high,"The verb 'approved' entails a change of social/legal status that remains in effect at the reference time, so the feature ASUncc is not instantiated.",0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, thus the annotation is 0.",0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, so the annotation is 0.",0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, so the AktAch feature is not instantiated.",0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, thus the AktAct feature is not present.",0,medium,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, so the gram is not AktSemel.",0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, so the AktState feature is not present.",0.0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, thus the gram is not ClCntfcl.",0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, so the feature is 0.",1,high,The clause contains the lexical past time adverb 'Then' which means 'at that time'.,0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, so the gram is not experiential.",0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, thus DtRes is not instantiated.",0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, so the annotation is 0.",0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, thus the feature TLAspPfv is not instantiated.",0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, so the feature TLMdIrr is not instantiated.",0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, so the annotation is 0.",0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, so the feature VcPass is not instantiated.",N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,0,high,"The event 'had been arrested' sets the scene for the next plot point ('Jesus withdrew'), and the resulting state of the event (John being in custody) is relevant for subsequent discourse, thus it is classified as non-experiential (0).",0,high,"The event 'had been arrested' sets the scene for the next plot point ('Jesus withdrew'), and the resulting state of the event (John being in custody) is relevant for subsequent discourse, so it is classified as non-experiential (0).",0,high,"The event 'had been arrested' sets the scene for the next plot point ('Jesus withdrew'), and the resulting state of the event (John being in custody) is relevant for subsequent discourse, so it is classified as non-experiential (0).",0,high,"The event 'had been arrested' sets the scene for the next plot point ('Jesus withdrew'), and the resulting state of the event is relevant for subsequent discourse, so it is classified as non-experiential (0).",0,high,"The event 'had been arrested' sets the scene for the next plot point ('Jesus withdrew'), and the resulting state of the event is relevant for subsequent discourse, so it is classified as non-experiential (0).",0,high,"The verb 'arrested' entails a change of state or location, and the resulting state holds at the reference time, thus it is not AktAct.",0,high,"The event 'had been arrested' sets the scene for the next plot point ('Jesus withdrew'), and the resulting state of the event (John being in custody) is relevant for subsequent discourse, so it is classified as non-experiential (0).",0,high,"The event 'had been arrested' sets the scene for the next plot point ('Jesus withdrew'), and the resulting state of the event (John being in custody) is relevant for subsequent discourse, so it is classified as non-experiential (0).",0.0,high,"The event 'had been arrested' sets the scene for the next plot point ('Jesus withdrew'), and the resulting state of the event is relevant for subsequent discourse, so it is classified as non-experiential (0).",0,high,"The event 'had been arrested' sets the scene for the next plot point ('Jesus withdrew'), and the resulting state of the event is relevant for subsequent discourse, so it is classified as non-experiential (0).",0,high,The clause 'John had been arrested' does not contain any temporal adverbial.,0,high,"The event 'had been arrested' sets the scene for the next plot point ('Jesus withdrew'), and the resulting state of the event is relevant for subsequent discourse, so it is classified as non-experiential (0).",0,high,"The event 'had been arrested' sets the scene for the next plot point ('Jesus withdrew'), and the resulting state of the event (John being in custody) is relevant for subsequent discourse, thus it is classified as non-experiential (0).",0,high,"The event 'had been arrested' sets the scene for the next plot point ('Jesus withdrew'), and the resulting state of the event is relevant for subsequent discourse, so it is classified as non-experiential (0).",0,high,"The event 'had been arrested' sets the scene for the next plot point ('Jesus withdrew'), and the resulting state of the event is relevant for subsequent discourse, so it is classified as non-experiential (0).",0,high,"The event 'had been arrested' sets the scene for the next plot point ('Jesus withdrew'), and the resulting state of the event (John being in custody) is relevant for subsequent discourse, so it is classified as non-experiential (0).",0,high,"The event 'had been arrested' introduces a result state (being in custody) that is relevant for the subsequent discourse, indicating narrative progression and thus non-experiential usage.",0,high,"The event 'had been arrested' sets the scene for the next plot point ('Jesus withdrew'), and the resulting state of the event (John being in custody) is relevant for subsequent discourse, so it is classified as non-experiential (0).",N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1,high,"The verb 'have heard' denotes perception or communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",0,high,"The verb 'heard' denotes perception, but the context indicates a change of social/legal status that remains in effect at the reference time, thus it is not an entry in the subject's life history.",1,high,"The verb 'heard' denotes perception or communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1,high,"The verb 'have heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1,high,"The verb 'have heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1,high,"The verb 'hear' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates AktState.",1.0,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",0,high,There is no temporal adverbial in the clause.,1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1,high,"The verb 'have heard' denotes perception or communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1,high,"The verb 'have heard' denotes perception or communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates the feature TLAspPfv.",1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1,high,"The verb 'heard' denotes perception or communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",Y,Y,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,Y,Y,Y
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",0,high,"The verb 'heard' denotes perception, but the context 'You have heard it said' implies a resulting state of knowledge or understanding that is relevant for subsequent discourse, thus it does not focus solely on the occurrence of an experience at least once.",1,high,"The verb 'heard' denotes perception or communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates AktAcc.",1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates AktAch.",1,high,"The verb 'hear' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1,high,"The verb 'have heard' denotes perception or communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1,high,"The verb 'hear' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state.",1.0,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates ClCntfcl.",1,high,"The verb 'have heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates ClNegPol.",0,high,There is no temporal adverbial of any sort present in the text.,1,high,"The verb 'hear' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates DtExp.",1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates DtUniv.",1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates the feature TLAspPfv.",1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",Y,Y,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,Y,Y,Y
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1,high,"The verb 'have heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",0,high,"The verb 'have heard' entails a change of state or location, and that resulting state holds at the reference time, thus the annotation is 0.",1,high,"The verb 'heard' denotes perception or communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates AktAcc.",1,high,"The verb 'have heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1,high,"The verb 'hear' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates AktAct.",1,high,"The verb 'have heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1,high,"The verb 'hear' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1.0,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates ClCntfcl.",1,high,"The verb 'have heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates the feature ClNegPol.",0,high,There is no temporal adverbial of any sort present in the text.,1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates DtExp.",1,high,"The verb 'hear' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates DtRes.",1,high,"The verb 'have heard' denotes perception or communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, thus instantiating DtUniv.",1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates the feature TLAspPfv.",0,high,"The verb 'have heard' entails a change of state or location, and that resulting state holds at the reference time, so the annotation is 0.",1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",1,high,"The verb 'heard' denotes perception or communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates VcPass.",Y,Y,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,Y,Y,Y
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as they are now 'paid in full'.",0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as 'have been paid' implies they are no longer owed the money.",0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as they are now considered to have received their reward.",0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as 'have been paid' implies they are currently in possession of the payment.",0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,0.0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as 'paid' implies a completed transaction and the benefit received is still in effect.",0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,0,high,There is no temporal adverbial present in the text.,0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as the subject has received their reward and the state of having been paid holds.",0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as 'have been paid' implies they are no longer owed the money.",0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as they are now considered 'paid in full'.",0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as 'have been paid' implies they are currently in a state of having received payment.",0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as 'have been paid' implies they are currently in a state of having received payment.",0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,0.0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, so the annotation is 0.",0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as 'have been paid' implies they are currently in possession of the payment.",0,high,"The clause 'they have been paid in full' does not contain a lexical, phrasal, or clausal adverbial that explicitly anchors the event to a specific past time interval.",0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as 'have been paid' implies they are currently in a state of having received payment.",0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as 'have been paid' implies they are currently in possession of the payment.",0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N
