TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation,DtExp/DtRes,DtExp/DtUniv,DtRes/DtUniv,DtExp/DtRes/DtUniv,DtHP,DtHP_excused,ASTrns/ASUncc,ASTrns/ASUnrg,ASUncc/ASUnrg,ASTrns/ASUncc/ASUnrg,ASHP,AktState/AktAct,AktAcc/AktAch,AktMultiple,AktHP,TLAspPfv/DtUniv,TLAspPfv/AktState,TLAspPfv/AktAct
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,0,high,"The verb 'had been promised' does not describe an event directed from an external argument toward and affecting an internal argument; rather, it describes a state of being promised, which does not fit the ASTrns feature.",1.0,high,"The passive construction 'had been promised' encodes a one-participant event ('Mary') functioning as an internal argument (the one being promised), and the verb does not license an external argument.",0,high,"The verb 'promised' in 'had been promised' takes two arguments: the person making the promise and the thing promised, thus it is not a one-participant event.",0,high,"The target 'had been promised' does not describe a dynamic, durative event culminating in a defined terminal point or result state, but rather a state of being promised.",0.0,high,"The phrase 'had been promised' describes a state of being promised, not a punctual change-of-state event.",0,high,"The target 'had been promised' describes a state of being under a promise, not a dynamic activity unfolding over time.",0,high,"The target 'had been promised' describes a state of being promised, not a punctual event, and implies a duration, thus not AktSemel.",1,high,"The state of Mary being promised to Joseph in marriage held over a period of time before they were married, without inherent dynamic change or progression, fitting the definition of AktState.",0.0,high,"The clause 'Mary had been promised to Joseph in marriage' describes a past event that actually occurred, not a situation contrary to fact.",0,high,The gram 'had been promised' does not present the event of being promised as not occurring; it indicates that Mary was indeed promised to Joseph.,0,high,"The clause 'His mother Mary had been promised to Joseph in marriage' does not contain an overt lexical, phrasal, or clausal adverbial that explicitly anchors the event to a specific past time interval.",1.0,high,"The target gram 'had been promised' presents the event of Mary being promised to Joseph as part of her life history, indicating that the event occurred at least once.",1.0,high,"The phrase 'had been promised' indicates a change of state where Mary transitioned from being unpromised to being promised to Joseph, and this state holds at the reference time.",1,high,The phrase 'had been promised' indicates a state that began in the past and continued up to a reference time.,1,high,"The phrase 'had been promised' presents the promise as a completed event in the past, viewed as a bounded whole.",1.0,high,"The phrase 'had been promised' indicates a state of affairs that was projected or intended but not necessarily realized at the time of the utterance, fitting the TLMdIrr feature.",1,high,"The target gram 'had been promised' is a past perfect passive construction, which overtly encodes a tense other than the simple present perfect.",1,high,"The target 'had been promised' exhibits the passive voice because the semantic patient 'His mother Mary' functions as the grammatical subject, and the agent is not explicitly mentioned.",Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,The verb 'commanded' involves an agent ('angel of God') directing an action towards a patient ('him').,0.0,high,"The verb 'had commanded' takes an external argument ('the angel of God') and an internal argument ('him to do'), so it does not encode a one-participant event with only an internal argument.",0,high,"The verb 'commanded' takes an internal argument ('him to do'), so it does not fit the ASUnrg feature which requires no internal argument.",1,high,The verb phrase 'had commanded' describes a dynamic event with a defined terminal point (the command being given) and an inherent process phase leading to its completion.,0.0,high,"The phrase 'had commanded' describes a state of having given a command, not a punctual change-of-state event.",0,high,"The action 'had commanded' is not a dynamic, durative situation unfolding over time, but rather a completed instruction, thus not AktAct.",1,high,"The event 'had commanded' is a single, bounded occurrence that does not entail a resulting change of state, fitting the definition of AktSemel.",0,high,"The phrase 'had commanded' describes a completed action, not a state holding over time.",0.0,high,"The clause 'had commanded him to do' describes an action that actually occurred, not a situation contrary to fact.",0,high,"The target gram 'had commanded' does not present the event as not occurring; rather, it indicates that a command was given.",0,high,"There is no overt lexical, phrasal, or clausal adverbial that explicitly anchors the event to a specific past time interval.",1.0,high,"The target gram 'had commanded' presents the event as part of Joseph's life history, indicating that the angel of God commanded him at least once.",0.0,high,The target gram 'had commanded' does not indicate a resultant state holding at the reference time; it describes a past action.,1,high,The phrase 'had commanded' indicates an action that started in the past and continues to have relevance up to the reference time.,1,high,"The phrase 'had commanded' presents the commanding as a completed action in the past, viewed as a whole.",0.0,high,"The text describes an action that was actually performed, not a hypothetical or desired situation.",1,high,"The target 'had commanded' is a past perfect form, which is distinct from the present perfect.",0,high,"The target 'had commanded' does not have a semantic patient functioning as the grammatical subject, nor does it have a 'by' phrase indicating the agent; therefore, it is not passive.",N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,"The verb 'has come near' does not encode a two-participant event with an agent acting upon a patient; it describes a state change or arrival, not a directed action.",1.0,high,"The verb phrase ""has come near"" describes a one-participant event (the kingdom of heaven) where the participant functions as an internal argument and no external argument is licensed.",1,high,"The verb phrase ""has come near"" describes a one-participant event where 'the kingdom of heaven' is the sole participant and functions as the external argument.",1,high,The phrase 'has come near' describes a dynamic event that unfolds over time and culminates in a defined result state of being near.,1.0,high,"The phrase 'has come near' indicates a change of state, specifically the kingdom of heaven approaching, which can be conceived as a punctual event.",0,high,"The phrase 'has come near' describes a state change or completed event, not a dynamic, durative situation unfolding over time.",1,high,The phrase 'has come near' describes a punctual event (the kingdom's approach) without implying a resulting change of state.,0,high,"The phrase 'has come near' describes a change of state, indicating an event rather than a state that holds over time.",0.0,high,"The clause 'the kingdom of heaven has come near' describes a situation that is presented as factual, not contrary to fact.",0,high,The gram 'has come near' does not present the event as not occurring; it asserts that the kingdom of heaven is approaching.,0,high,The clause 'the kingdom of heaven has come near' does not contain an overt adverbial that explicitly anchors the event to a specific past time interval.,1.0,high,"The gram 'has come near' presents the event as having occurred at least once, fitting the DtExp feature.",1.0,high,The phrase 'has come near' indicates a change of state (from far to near) and the resulting state (being near) holds at the reference time.,1,high,"The phrase ""has come near"" indicates a state that started in the past and continues to the present, aligning with the DtUniv feature.",1,high,"The phrase 'has come near' presents the event of approaching as a completed whole, focusing on the result of the transition rather than its internal development.",0.0,high,"The phrase 'has come near' is presented as a realized fact, not hypothetical or imagined.",0,high,"The target gram 'has come near' is in the present perfect tense, so it does not instantiate TLTS.",0,high,"The target 'has come near' does not have a semantic patient functioning as the grammatical subject, nor does it have an agent expressed in a by-phrase or omitted, and it lacks overt morphological marking of the passive voice.",Y,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,Y,N,Y,N,N
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,"The verb 'have approved' involves an external argument ('I') and an internal argument ('whom'), with the event directed from the external argument toward and affecting the internal argument.",0.0,high,The verb 'have approved' takes an external argument ('I') and does not encode a one-participant event with an internal argument.,0,high,"The verb 'have approved' takes an object 'whom I love and whom I have approved', so it is not an unergative verb.",0,high,"The verb 'have approved' does not describe a dynamic, durative event that unfolds over time and necessarily culminates in a defined terminal point or result state, as it describes a state of being approved.",1.0,high,"The phrase 'have approved' indicates a completed action of approval, representing a punctual change of state where the approval threshold has been crossed.",0,high,"The action 'have approved' is not a dynamic, durative situation unfolding over time, but rather a completed action with a result state, thus not AktAct.",0,high,"The act of approving implies a change of state, as something is moved from a state of unapproved to approved.",0,high,"The act of approving is a punctual event, not a state that holds over time.",0.0,high,The clause 'whom I have approved' does not describe a situation contrary to fact; it describes a state that is presented as factual.,0,high,The gram 'have approved' does not present the event as not occurring; it indicates that approval has been given.,0,high,"The clause 'whom I have approved' does not contain an overt lexical, phrasal, or clausal adverbial that explicitly anchors the event to a specific past time interval.",1.0,high,"The target gram 'have approved' presents the event as part of the subject's life history, indicating that the approval has occurred at least once.",1.0,high,The phrase 'have approved' indicates a change of state where approval has been granted and the resulting state of being approved is currently in effect.,0,low,"The gram 'have approved' does not necessarily express a state, activity, or habitual series holding continuously from a past starting point up to the reference time, as it could be a completed action in the past with present relevance.",1,high,"The phrase 'have approved' presents the action of approval as a completed event, a bounded whole, without focusing on its internal development.",0.0,high,"The phrase 'have approved' refers to a past action that has been completed, indicating a realized fact rather than a hypothetical or non-actual situation.",0,high,"The target 'have approved' is in the present perfect tense, which does not instantiate the TLTS feature.",0,high,"The target 'have approved' does not have the semantic patient as the grammatical subject, nor does it have a by-phrase or overt morphological marking of the passive voice.",Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The verb 'arrested' describes an event directed from an external agent (unspecified) towards an internal argument ('John'), affecting him by placing him under arrest.",1.0,high,"The verb 'arrested' encodes a one-participant event ('John') functioning as an internal argument (patient), and the verb does not license an external argument in this passive construction.",0,high,The verb 'arrested' does not encode a one-participant event with the sole argument functioning as the external argument; it involves an agent and a patient.,1,high,The phrase 'had been arrested' describes a dynamic event with a defined terminal point (being arrested) and an inherent process leading to that state.,1.0,high,The phrase 'had been arrested' describes a punctual event representing the boundary point of transition into a state of being arrested.,0,high,"The state of being arrested is not a dynamic, durative situation that unfolds over time without an inherent endpoint or result state, nor does it require sustained dynamic engagement to continue.",1,high,The event 'had been arrested' is construed as a punctual event without a resulting change of state mentioned in the text.,1,high,"John's state of being arrested holds over time without dynamic change or inherent progression, fitting the definition of AktState.",0.0,high,"The clause 'John had been arrested' describes a past event that actually occurred, not a situation contrary to fact.",0,high,"The gram 'had been arrested' describes an event that occurred, not one that did not occur, so it does not instantiate ClNegPol.",0,high,"The clause 'John had been arrested' does not contain an overt lexical, phrasal, or clausal adverbial that explicitly anchors the event to a specific past time interval.",1.0,high,"The target gram 'had been arrested' presents the event of John's arrest as a past event in his life history, without asserting a current state resulting from the arrest.",1.0,high,The phrase 'had been arrested' indicates a change of state (from free to arrested) that occurred before the reference time and the resulting state (arrested) holds at the reference time.,1,high,The phrase 'had been arrested' indicates a state (being arrested) that started in the past and continues up to a reference time (when Jesus heard about it).,1,high,"The phrase 'had been arrested' presents the arrest as a completed event in the past, without focusing on its internal duration or stages.",0.0,high,"The text states that Jesus heard that John had been arrested, indicating that John's arrest is presented as a realized fact, not a hypothetical or imagined situation.",1,high,"The target gram 'had been arrested' is a past perfect form, which is distinct from the present perfect.",1,high,"The target 'had been arrested' shows the semantic patient 'John' functioning as the grammatical subject, and includes morphological marking of the passive voice 'been arrested'.",Y,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,Y,N,Y,Y,N
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,0,high,The verb 'have heard' does not encode a two-participant event directed from an external argument toward and affecting an internal argument; it describes a state of having received information.,0.0,high,The verb 'have heard' does not encode a one-participant event with an internal argument; it involves an experiencer ('You') and a theme ('it').,0,high,"The verb 'have heard' takes an internal argument ('it'), so it does not encode a one-participant event with only an external argument.",0,low,"The phrase 'have heard' does not describe a dynamic, durative event with a defined terminal point or result state; it describes a state of having received information.",0.0,high,"The phrase 'have heard' describes a state of having received information, not a punctual change-of-state event.",0,high,"The phrase 'have heard' describes a state of having received information, not a dynamic activity unfolding over time.",1,high,"The phrase 'have heard' describes a single, bounded occurrence of hearing something, without implying a resulting change of state.",0,high,"The phrase 'have heard' implies a completed action of hearing, not a state holding over time.",0.0,high,The clause 'You have heard it was said' does not describe a situation contrary to fact; it states that the listener has heard a saying.,0,high,The gram 'have heard' does not present the event as not occurring; it indicates that the subject has received information.,0,high,"There is no overt lexical, phrasal, or clausal adverbial that explicitly anchors the event to a specific past time interval.",1.0,high,"The target gram 'have heard' presents the event of hearing as part of the subject's life history, indicating that the subject has heard it at least once.",0.0,low,The phrase 'have heard' does not necessarily indicate a change of state where the resulting state holds at the reference time; it simply indicates that the listener has received information at some point in the past.,1,high,The gram 'have heard' expresses a state that holds continuously from a past starting point up to the reference time.,1,high,"The phrase 'have heard' presents the act of hearing as a completed event, a bounded whole, without focusing on its internal duration or development.",0.0,high,"The phrase 'have heard' refers to a past event that is presented as a realized fact, not a hypothetical or imagined situation.",0,high,"The target 'have heard' is in the present perfect tense, so it does not instantiate TLTS.",0,high,"The target 'have heard' does not have the semantic patient functioning as the grammatical subject, nor does it have a by-phrase indicating the agent; it is in the active voice.",N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,0,high,The verb 'have heard' does not encode a two-participant event directed from an external argument toward and affecting an internal argument; it indicates the reception of information.,0.0,high,The verb 'have heard' takes an external argument 'You' and does not encode a one-participant event with an internal argument.,0,high,"The verb 'have heard' takes an internal argument ('it'), so it does not encode a one-participant event with only an external argument.",0,high,"The phrase 'have heard' does not describe a dynamic, durative event with an inherent process phase leading to a defined terminal point or result state; it simply indicates the reception of information.",0.0,high,"The phrase 'have heard' describes a state of having knowledge, not a punctual change-of-state event.",0,high,"The phrase 'have heard' describes a state of having received information, not a dynamic activity unfolding over time.",1,high,"The phrase 'have heard' describes a punctual event of hearing something, without implying a resulting change of state.",1,high,"The state of 'having heard' something can hold over time without inherent change or progression, fitting the definition of AktState.",0.0,high,The clause 'You have heard it said' does not describe a situation contrary to fact; it presents a statement as something that has been said.,0,high,The gram 'have heard' does not present the event as not occurring; it indicates that the listener has experienced the event of hearing something.,0,high,"There is no overt lexical, phrasal, or clausal adverbial that explicitly anchors the event to a specific past time interval.",1.0,high,"The target gram 'have heard' presents the event of hearing as part of the subject's life history, indicating that the subject has heard it said at least once.",0.0,low,The target gram 'have heard' does not necessarily indicate a change of state where the resulting state holds at the reference time; it simply indicates that the listener has been informed of something.,1,high,"The phrase 'have heard' indicates an action that started in the past and continues to have relevance or effect up to the present moment, aligning with the DtUniv feature.",1,high,"The phrase 'have heard' presents the act of hearing as a completed event, a bounded whole, without focusing on its internal duration or development.",0.0,high,"The phrase 'have heard' is presented as a statement of something that has been said, not a hypothetical or unrealized situation.",0,high,"The target 'have heard' is the canonical present perfect, so it does not instantiate TLTS.",0,high,"The target 'have heard' does not have the semantic patient as the grammatical subject, nor does it have a 'by' phrase or overt morphological marking of the passive voice.",N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,0,high,The verb 'have heard' does not encode a two-participant event directed from an external argument toward and affecting an internal argument; it describes the state of having received auditory information.,0.0,high,The verb 'have heard' takes an external argument ('You') and does not encode a one-participant event with an internal argument.,0,high,"The verb 'have heard' requires an internal argument (what was heard), thus it does not encode a one-participant event with only an external argument.",0,high,"The phrase 'have heard' does not describe a dynamic, durative event with a defined terminal point or result state, as it simply indicates the state of having received information.",1.0,high,"The phrase 'have heard' represents a completed action of hearing, marking a transition to a state of having knowledge of something said.",0,high,"The phrase 'have heard' describes a state resulting from a past event, not a dynamic activity unfolding over time.",1,high,"The phrase 'have heard' describes a single, bounded occurrence of hearing something, without implying a resulting change of state.",1,high,"The phrase 'have heard' describes a state of having received information, which can hold over time without inherent change or progression, fitting the AktState definition.",0.0,high,The clause 'You have heard it said' does not describe a situation contrary to fact; it describes something that has been said.,0,high,The gram 'have heard' does not present the event as not occurring; it indicates that the listener has previously been exposed to the statement.,0,high,"There is no overt lexical, phrasal, or clausal adverbial that explicitly anchors the event to a specific past time interval.",1.0,high,"The target gram 'have heard' presents the event of hearing as part of the subject's life history, indicating that the subject has heard it at least once.",0.0,low,The target gram 'have heard' does not necessarily indicate a change of state where the resulting state holds at the reference time; it simply indicates that the subject has received auditory information at some point in the past.,1,high,The gram 'have heard' expresses a state that holds continuously from a past starting point up to the reference time.,1,high,"The phrase 'have heard' presents the act of hearing as a completed event, a bounded whole, without focusing on its internal duration or development.",0.0,high,"The phrase 'have heard' refers to a statement that was actually said, not a hypothetical or imagined situation.",0,high,"The target 'have heard' is in the present perfect form, so it does not instantiate TLTS.",0,high,"The target 'have heard' does not have the semantic patient as the grammatical subject, nor does it have a by-phrase or overt morphological marking of the passive voice.",N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,0,high,"The verb 'have been paid' describes a state of being compensated, not an action directed from an agent to a patient.",1.0,high,"The verb 'have been paid' describes a one-participant event where 'they' (hypocrites) function as the internal argument (patient), and the verb does not license an external argument.",0,high,The verb 'have been paid' does not encode a one-participant event with the sole argument functioning as the external argument; it is a passive construction with an implied agent and a patient.,1,high,"The target 'have been paid' describes a completed action with a defined terminal point (payment received), fitting the AktAcc feature.",1.0,high,"The phrase 'have been paid' represents a completed action of receiving payment, marking a clear boundary and transition to a state of being compensated.",0,high,"The target 'have been paid' describes a completed state, not a dynamic activity unfolding over time.",1,high,The target 'have been paid' describes a completed action with no resulting change of state implied in the context.,1,high,"The state of 'having been paid' is a state that holds over time and does not involve dynamic change or inherent progression, thus instantiating AktState.",0.0,high,"The clause describes a situation that is presented as fact, not contrary to fact.",0,high,The gram 'have been paid' does not present the event as not occurring; it indicates that the hypocrites have received their reward.,0,high,"The clause 'they have already been paid in full' does not contain an overt lexical, phrasal, or clausal adverbial that explicitly anchors the event to a specific past time interval.",1.0,high,"The target gram 'have been paid' presents the event of being paid as having occurred at least once in the past, as part of the hypocrites' life history, without asserting a resulting state.",1.0,high,"The phrase ""have been paid"" indicates a completed action resulting in a state of being paid, which aligns with the DtRes feature indicating a change of state and the resulting state holding at the reference time.",0,low,"The gram 'have been paid' does not express a continuous state, activity, or habitual series from a past starting point up to the reference time; it expresses a completed action.",1,high,"The phrase 'have already been paid in full' presents the situation as a completed whole, focusing on the completed transition of payment.",1.0,high,"The phrase 'have already been paid in full' refers to a hypothetical reward received by hypocrites, not an actual payment in the real world.",1,high,"The target gram 'have been paid' is in the passive perfect form, which is not the simple present perfect, thus instantiating the TLTS feature.",1,high,"The semantic patient ('they') functions as the grammatical subject, the agent is omitted, and the construction 'have been paid' includes morphological marking of the passive voice.",Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,0,high,"The verb 'have been paid' describes a state of being compensated, not an action directed from an agent to a patient.",1.0,high,"The verb phrase ""have been paid"" describes a one-participant event where 'they' (the hypocrites) are the internal argument (patient) and there is no external argument licensed by the verb.",0,high,The verb 'have been paid' does not encode a one-participant event with the sole argument functioning as the external argument; it is a passive construction implying an internal argument.,0,high,"The target 'have been paid' does not describe a dynamic, durative event culminating in a result state; it describes a completed state of being paid, not the process of payment itself.",1.0,high,"The phrase 'have been paid' indicates a completed action of payment, representing a punctual change of state where the debt is settled.",0,high,"The target 'have been paid' describes a completed state, not a dynamic, durative situation unfolding over time.",0,high,"The target 'have been paid' describes a completed action with a resultant state of being paid, thus not AktSemel.",1,high,"The state of being paid persists over time and does not involve dynamic change or inherent progression, fitting the definition of AktState.",0.0,high,"The clause 'they have been paid in full' describes a situation that is presented as factual, not contrary to fact.",0,high,"The gram 'have been paid' describes an event that has occurred, not one that has not occurred, so it does not instantiate ClNegPol.",0,high,"The clause 'they have been paid in full' does not contain an overt lexical, phrasal, or clausal adverbial that explicitly anchors the event to a specific past time interval.",1.0,high,"The target gram 'have been paid' presents the event of being paid as having occurred at least once in the subject's life history, without asserting a resulting state.",1.0,high,"The phrase ""have been paid"" indicates a completed action (payment) that has resulted in a new state (being paid) that holds at the reference time.",1,high,The target gram 'have been paid' expresses a state that holds continuously from a past starting point up to the reference time.,1,high,"The target 'have been paid' presents the situation as a completed event, targeting the transition itself as a single completed event.",0.0,high,"The sentence 'I assure you they have been paid in full' asserts a realized fact, not a hypothetical or imagined situation.",1,high,"The target gram 'have been paid' is in the perfect progressive passive form, which is not the simple present perfect, so it instantiates TLTS.",1,high,"The target 'have been paid' exhibits the semantic patient ('they') functioning as the grammatical subject, the agent is omitted, and the construction includes morphological marking of the passive voice ('been paid').",Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N
