TokenID,FullText,Target,run_id,provider,model_name,feature_name_x,annotation,confidence,explanation,feature_name_y
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,20260307T061303Z_a776666c,gemini,gemini-2.0-flash-001,ASTrns,1,high,"The clause is morphologically passive ('had been promised'), and the lexical verb licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",ASTrns
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,20260307T061303Z_a776666c,gemini,gemini-2.0-flash-001,ASTrns,1,high,The target verb 'had commanded' introduces an overt grammatical subject ('the angel of God') and an overt direct object ('him').,ASTrns
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,20260307T061303Z_a776666c,gemini,gemini-2.0-flash-001,ASTrns,0,high,The target verb 'has come near' does not introduce an overt internal argument (direct or indirect object).,ASTrns
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,20260307T061303Z_a776666c,gemini,gemini-2.0-flash-001,ASTrns,1,high,The target verb 'have approved' introduces an overt grammatical subject ('I') and an overt direct object ('whom').,ASTrns
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,20260307T061303Z_a776666c,gemini,gemini-2.0-flash-001,ASTrns,1,high,"The clause is morphologically passive, and the lexical verb licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",ASTrns
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,20260307T061303Z_a776666c,gemini,gemini-2.0-flash-001,ASTrns,0,high,"The target verb 'have heard' does not introduce an overt internal argument (direct or indirect object), as 'it' is the subject of the subordinate clause 'it was said'.",ASTrns
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,20260307T061303Z_a776666c,gemini,gemini-2.0-flash-001,ASTrns,1,high,The target verb 'have heard' introduces an overt grammatical subject ('You') and an overt direct object ('it').,ASTrns
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,20260307T061303Z_a776666c,gemini,gemini-2.0-flash-001,ASTrns,0,high,"The target verb 'have heard' does not introduce an overt internal argument (direct or indirect object), as 'it' is an expletive.",ASTrns
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,20260307T061303Z_a776666c,gemini,gemini-2.0-flash-001,ASTrns,0,high,"The verb 'have been paid' does not introduce an overt internal argument, as 'in full' is an adverbial phrase, not a direct object.",ASTrns
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,20260307T061303Z_a776666c,gemini,gemini-2.0-flash-001,ASTrns,1,high,"The clause is morphologically passive, and the lexical verb licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",ASTrns
