TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The clause is morphologically passive ('had been promised'), and the lexical verb licenses both an external argument (agent) and an internal argument (patient).",0,high,"The verb 'had been promised' is passive and licenses an external argument, so it is not unaccusative.",0,high,"The verb 'had been promised' licenses an internal argument ('to Joseph in marriage'), so it does not fit the criteria for ASUnrg.",0.0,high,"The event 'had been promised' does not involve a durative process directed toward a defined goal, endpoint, or result state, nor can it be modified by an 'in X time' adverbial, nor does it denote a gradual change-of-state, nor does it involve directed motion or action toward a spatial or abstract goal.",0.0,high,"The verb 'had been promised' does not denote a punctual or near-instantaneous transition into a new state, nor does it represent a punctual perceptual or cognitive transition into awareness or recognition; it describes a state of being promised, not the act of promising itself.",0,high,"The verb 'had been promised' does not denote a dynamic, durative situation involving ongoing action or natural activity, but rather a state of being promised, which does not fit the criteria for AktAct.",0,high,"The event 'had been promised' does not represent a single punctual dynamic occurrence without a resulting change of state; rather, it implies a state of being promised, which is not a punctual event.",1,high,"The verb phrase 'had been promised' denotes a state of being under a promise, which is a stable relational configuration that holds over time.",0,high,"The target gram does not occur in a counterfactual conditional, express regret, or indicate an unfulfilled past wish; it simply describes a past event.",0,high,The target gram 'had been promised' does not contain any explicit negation.,0,high,"The clause 'His mother Mary had been promised to Joseph in marriage' does not contain a lexical, phrasal, or clausal adverbial that explicitly anchors the event to a specific past time interval.",0,high,"The gram 'had been promised' introduces a state of affairs relevant for subsequent discourse (Mary's pregnancy), thus it does not focus on the experience of being promised as a life history entry.",1,high,"The verb 'promised' describes a change of social/legal status, and that status is currently held.",0.0,medium,"The clause does not contain duration adverbials, denote a non-terminating situation, describe a repeated series of events, or use 'since' to indicate a continuous situation from a starting point to the reference time; it describes a state leading up to a point in time.",1,high,"The gram 'had been promised' has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process.",0,high,"The gram 'had been promised' describes a past event asserted as a realized fact, not a hypothetical or projected situation.",1,high,"The auxiliary 'had' is morphologically past, indicating that the gram instantiates TLTS.",1,high,"The gram 'had been promised' has the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the grammatical subject 'His mother Mary' corresponds to the semantic patient."
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,The target verb 'had commanded' introduces an overt grammatical subject ('the angel of God') and an overt direct object ('him').,0,high,"The verb 'commanded' licenses an external argument ('he') and does not denote a change-of-state, directed motion, existence, appearance, or occurrence without an external argument, nor is it a copular 'be' clause.",1,high,The target verb 'had commanded' introduces an overt grammatical subject 'angel of God' and does not license or realise an internal argument.,1.0,high,"The event involves a durative process directed toward a defined goal, endpoint, or result state (e.g., 'build a house', 'write a letter', 'paint a picture').",0.0,high,"The verb 'commanded' does not denote a punctual or near-instantaneous transition into a new state, nor does it represent a punctual perceptual or cognitive transition into awareness or recognition; it describes an instruction given, not a change of state.",0,high,"The verb 'had commanded' does not denote a dynamic, durative situation involving ongoing action or natural activity, but rather a completed action with a defined result state, thus not fitting the criteria for AktAct.",0,high,"The event 'had commanded' does not fit the definition of a single punctual dynamic occurrence without a resulting change of state; it implies a more complex action with potential consequences, thus not AktSemel.",0,high,"The verb 'had commanded' describes a completed action, not a state that holds over time without dynamic change.",0,high,"The target gram does not occur in a counterfactual conditional, express regret, or indicate an unfulfilled wish; it describes a past action that was completed.",0,high,The target gram 'had commanded' does not contain any explicit negation.,1,high,"The clause 'When Joseph woke up, he did what the angel of God had commanded him to do' contains a clausal past time anchor 'When Joseph woke up' starting with the temporal conjunction 'when'.",0,high,"The event 'had commanded' sets the scene for the next action, 'He took Mary to be his wife', and the resulting state of the command is relevant for subsequent discourse, thus it is classified as non-experiential.",0,medium,"The clause reports a past interaction without a persisting state, as it only states that Joseph did what he was commanded to do, without indicating that the command is currently in effect.",0.0,medium,"The clause does not contain duration adverbials, nor does it describe a non-terminating situation or a repeated series of events that characterizes the entire time span; it describes a single action in the past.",1,high,"The clause presents the situation as a single bounded occurrence with a construed endpoint, rather than as ongoing or habitual.",0,high,"The gram 'had commanded' describes a completed action in the past, asserted as a realized fact, not a hypothetical or unrealized situation.",1,high,"The auxiliary 'had' is morphologically past, indicating a past perfect construction, so the feature TLTS is present.",0,high,"The target 'had commanded' is in the active voice, not the passive voice, as it does not have the form 'have' + 'been' + past participle."
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,"The verb 'has come near' does not have an overt grammatical subject and an overt direct object, is not in passive voice, and does not license two internal arguments.",1,high,The verb 'has come near' denotes directed motion or change-of-location where the sole argument undergoes displacement and no external argument is licensed.,0,high,"The verb 'has come near' does not denote an activity performed by an agent without an internal argument; it describes a state of coming into being or appearance, which is not ASUnrg.",1.0,high,The event involves directed motion toward a spatial or abstract goal that defines completion ('come near').,1.0,high,"The verb phrase 'has come near' denotes a punctual or near-instantaneous transition into a new state, indicating that the kingdom of heaven is now close, thus satisfying the condition for AktAch.",0,high,"The phrase 'has come near' implies a defined result state of nearing, thus not fitting the criteria for an activity.",0,high,"The event 'has come near' implies a change of state (the kingdom is now near), thus it is not a semelfactive event.",0,high,"The verb phrase 'has come near' describes a change of state, indicating a dynamic event rather than a static situation, thus not instantiating the AktState feature.",0,high,"The target gram 'has come near' does not occur in a counterfactual conditional, express regret, or is explicitly marked as contrary to fact; it is presented as a current event.",0,high,The target gram 'has come near' does not contain any explicit negation.,0,high,"The clause does not contain a lexical, phrasal, or clausal adverbial that explicitly anchors the event to a specific past time interval.",0,high,"The phrase 'has come near' introduces a current state of affairs, indicating that the kingdom of heaven is now close, rather than focusing on the experience of nearing at least once in the subject's history.",1,high,The verb 'has come near' is a motion verb where the mover (the kingdom of heaven) has moved to a destination (near) and remains there at the reference time.,0.0,high,"The clause does not contain duration adverbials, the predicate does not denote a non-terminating situation, the clause does not describe a repeated or habitual series of events, and 'since' is not present, so the conditions for DtUniv do not apply.",1,high,"The predicate 'has come near' is construed as a transition event, where the transition itself is asserted as a completed whole.",0,high,"The gram 'has come near' asserts a realized state of affairs in the actual world, not a projected or hypothetical one.",0,high,"The target gram 'has come near' is a simple present perfect construction, which does not meet any of the conditions to set the TLTS feature to 1.",0,high,"The target 'has come near' does not have the form 'have' + 'been' + past participle of a transitive verb, and the subject is not the semantic patient; it is an active construction."
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,The target verb 'have approved' introduces an overt grammatical subject ('I') and an overt direct object ('whom').,0,high,"The verb 'have approved' licenses an external argument ('I'), so it is not unaccusative.",1,high,The target verb 'have approved' introduces an overt grammatical subject ('I') and the subject functions as an external argument (agent/initiator) engaged in an activity that does not involve an internal argument.,0.0,high,"The event 'have approved' does not involve a durative process directed toward a defined goal, endpoint, or result state, nor can it be naturally modified by an 'in X time' adverbial, nor does it denote a gradual change-of-state, nor does it involve directed motion or action toward a spatial or abstract goal that defines completion.",1.0,high,"The verb 'have approved' denotes a punctual transition into a new state of acceptance or validation, fitting the criteria for AktAch.",0,high,"The verb 'have approved' does not denote a dynamic, durative situation involving ongoing action or natural activity, but rather a completed action with a defined result state, thus not fitting the criteria for AktAct.",0,high,"The event 'have approved' does not represent a single punctual dynamic occurrence without a resulting change of state; it implies a state of being approved, thus entailing a change of state.",0,high,"The verb 'have approved' implies a completed action, not a state that holds over time, thus it does not fit the AktState feature.",0,high,"The target gram 'have approved' does not occur in a counterfactual conditional, express regret, or indicate an unfulfilled past wish; it is presented as a statement of fact.",0,high,The target gram 'have approved' does not contain any explicit negation.,0,high,"The clause does not contain a lexical, phrasal, or clausal adverbial that explicitly anchors the event to a specific past time interval.",1,high,"The verb 'have approved' focuses on the occurrence of an experience at least once, rather than on a resulting state or transfer, fitting the criteria for DtExp.",1,high,"The verb 'approve' describes a change of social/legal status, and that status is currently held.",0.0,high,"The clause does not contain duration adverbials, the predicate does not denote a non-terminating situation, the clause does not describe a repeated or habitual series of events, and 'since' is not present; therefore, the target gram does not instantiate the feature DtUniv.",1,high,"The gram 'have approved' is a passive transition event, where the transition itself is asserted as a completed whole.",0,high,"The gram 'have approved' is presented as a realized fact in the actual world, not hypothetical or projected.",0,high,"The target 'have approved' is a simple present perfect construction, so the feature TLTS is not present.",0,high,"The target 'have approved' is in the active voice, not the passive voice, as it does not include 'been' and a past participle."
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The clause is morphologically passive, and the lexical verb licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",0,high,"The verb 'had been arrested' is passive and licenses an external argument, so it is not unaccusative.",0,high,"The verb 'arrested' is transitive and requires an internal argument, so it does not fit the criteria for ASUnrg.",0.0,high,"The event 'had been arrested' is a punctual boundary transition, not a durative process directed toward a defined goal, endpoint, or result state.",1.0,high,The verb denotes a punctual or near-instantaneous transition into a new state (being arrested).,0,high,"The target 'had been arrested' does not denote a dynamic, durative situation involving ongoing action or natural activity, but rather a completed event with a defined result state.",0,high,"The event 'had been arrested' entails a change of state, thus it is not a punctual event without a resulting change of state.",0,high,"The target 'had been arrested' describes a bounded event, not a state that holds over time without dynamic change.",0,high,"The target gram 'had been arrested' describes a factual past event, not a counterfactual situation.",0,high,The target gram 'had been arrested' does not contain any explicit negation.,0,high,"The clause 'John had been arrested' does not contain a lexical, phrasal, or clausal past time adverb.",0,high,"The event 'John had been arrested' sets the scene for the next plot point ('Jesus withdrew'), and the resulting state of the event is relevant for subsequent discourse, so it is classified as non-experiential (0) according to the edge case.",1,high,"The verb describes a change of social/legal status ('arrested'), and that status is currently held at the time Jesus heard about it.",0.0,high,"The clause does not contain duration adverbials, denote a non-terminating situation, describe a repeated series of events, or use 'since' to indicate a continuous situation from a starting point to the reference time; it describes a single event.",1,high,"The gram 'had been arrested' has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process.",0,high,"The gram 'had been arrested' is presented as a realized fact, not hypothetical or projected.",1,high,"The auxiliary 'had' is morphologically past, indicating a past perfect construction, which satisfies the condition to set the annotation to 1.",1,high,"The gram 'had been arrested' has the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the grammatical subject 'John' corresponds to the semantic patient."
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1,high,The target verb 'have heard' introduces an overt grammatical subject ('You') and an overt direct object ('it').,0,high,"The verb 'have heard' licenses an external argument ('You'), so it is not unaccusative.",1,high,The target verb 'have heard' introduces an overt grammatical subject ('You') and the subject functions as an external argument engaged in an activity that does not involve an internal argument.,0.0,medium,"The verb 'hear' can have both instantaneous and durative readings, but in this context, it is construed as a single punctual transition into awareness or understanding, thus it is classified as achievement (0).",1.0,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness, as in 'They have heard the news', thus satisfying the condition for AktAch.",0,high,"The situation 'have heard' is a bounded perceptual event, not a dynamic, durative situation that unfolds over time without an inherent endpoint or result state.",0,high,"The event 'have heard' does not represent a single punctual dynamic occurrence without a resulting change of state, but rather a state of having knowledge, thus it is not AktSemel.",0,medium,"The verb 'have heard' denotes a bounded perceptual event, not a state that holds over time, thus it does not instantiate AktState.",0,high,"The target gram 'have heard' does not occur in a counterfactual conditional, express regret, or is explicitly marked as contrary to fact in the surrounding discourse.",0,high,"The target gram 'have heard' is not negated by 'not' or 'n't', does not contain a negative quantifier, is not modified by 'never', and does not appear in a 'neither...nor' construction.",0,high,"The clause 'You have heard it was said' does not contain a lexical, phrasal, or clausal adverbial that explicitly anchors the event to a specific past time interval.",1,high,"The verb 'have heard' denotes perception or communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",0,high,"The verb 'heard' is a communication verb, and the clause does not entail that the information is currently in effect, but merely reports a past interaction.",0.0,medium,"The clause does not contain duration adverbials, denote a non-terminating situation, describe a repeated series of events, or use 'since', so it does not meet the criteria for DtUniv.",0,high,"The gram 'have heard' does not present the situation as a single bounded occurrence with a construed endpoint, nor does it contain a completion-measure adverbial, function as a discrete step in a narrative sequence, or have the form 'have been' + past participle (passive) asserting a bounded event.",0,high,"The target gram 'have heard' asserts a realized state of affairs in the actual world, not a projected, hypothetical, or uncertain one.",0,high,"The target gram 'have heard' is a simple present perfect construction, so it does not instantiate TLTS.",0,high,"The target 'have heard' is in the active voice, not the passive voice, as it does not include 'been' followed by a past participle."
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,"The target verb 'have heard' introduces an overt grammatical subject 'You' and an overt direct object 'it', thus satisfying the first condition in 'set_to_1_if'.",0,high,"The verb 'have heard' licenses an external argument ('You'), so it is not unaccusative.",1,high,The target verb 'have heard' introduces an overt grammatical subject 'You' and the subject functions as an external argument engaged in an activity that does not involve an internal argument.,0.0,high,"The verb 'hear' in 'have heard' describes a punctual transition into awareness or understanding, rather than a durative process leading to a defined endpoint, so it does not instantiate AktAcc.",1.0,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness, as in 'They have heard the news', so the feature AktAch is present.",0,high,"The situation 'have heard it said' is a bounded perceptual event, not a dynamic, durative situation that unfolds over time without an inherent endpoint or result state.",0,high,"The event 'have heard' does not represent a single punctual dynamic occurrence without a resulting change of state, but rather a state of having knowledge, thus it is not AktSemel.",0,high,"The verb 'have heard' denotes a bounded perceptual event, not a state that holds over time, thus it does not instantiate AktState.",0,high,"The target gram 'have heard' does not occur in a counterfactual conditional, express regret, or is otherwise marked as contrary to fact.",0,high,The target gram 'have heard' is not negated.,0,high,"The clause does not contain a lexical, phrasal, or clausal adverbial that explicitly anchors the event to a specific past time interval.",1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, thus instantiating DtExp.",0,high,"The verb 'have heard' is a communication verb, and the clause does not entail that the information is currently in effect, but merely reports a past interaction.",0.0,medium,"The clause does not contain duration adverbials, denote a non-terminating situation, describe a repeated series of events, or use 'since', so the feature DtUniv is not instantiated.",1,high,"The gram 'have heard' presents the situation as a single bounded occurrence with a construed endpoint, rather than as ongoing or habitual, and the predicate 'hear' can be construed as a transition event.",0,high,"The gram 'have heard' asserts a realized state of affairs in the actual world, not a hypothetical or projected one.",0,high,"The target 'have heard' is a simple present perfect construction, so the feature TLTS is not present.",0,high,"The target 'have heard' is in the active voice, not the passive voice, as it does not include 'been' and a past participle."
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1,high,The target verb 'have heard' introduces an overt grammatical subject ('You') and an overt direct object ('it').,0,high,"The verb 'have heard' licenses an external argument ('You'), so it is not unaccusative.",1,high,"The target verb 'have heard' introduces an overt grammatical subject ('You') but does not license or realise an internal argument, and the subject functions as an external argument engaged in an activity that does not involve an internal argument.",0.0,high,"The event 'have heard' does not involve a durative process directed toward a defined goal, endpoint, or result state, nor can it be naturally modified by an 'in X time' adverbial, indicating completion of a bounded event whose duration is measured; it is more akin to a punctual transition into awareness or understanding.",1.0,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness, as in 'They have heard the news', which is a positive example.",0,high,"The situation 'have heard' is a bounded perceptual event, not a dynamic, durative situation that unfolds over time without an inherent endpoint or result state.",0,high,"The event 'have heard' is not construed as a single punctual dynamic occurrence that does not entail a resulting change of state, but rather as a state of having knowledge, thus it is not AktSemel.",0,high,"The verb 'have heard' denotes a bounded perceptual event, not a state that holds over time.",0,high,"The target gram 'have heard' does not occur in a counterfactual conditional, express regret, or indicate an unfulfilled past wish; it is presented as a statement of something that has been said.",0,high,"The target gram 'have heard' is not negated by 'not' or 'n't', does not contain a negative quantifier, is not modified by 'never', and does not appear in a 'neither...nor' construction.",0,high,"The clause 'You have heard it said' does not contain a lexical, phrasal, or clausal adverbial that explicitly anchors the event to a specific past time interval.",1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",0,high,"The verb 'have heard' is a communication verb, and the clause merely reports a past interaction without a persisting state, so it is not resultative.",0.0,medium,"The clause does not contain duration adverbials, denote a non-terminating situation, describe a repeated series of events, or contain 'since', so the feature DtUniv is not instantiated.",0,high,"The predicate 'have heard' is stative/unbounded, not a bounded transition or completed event.",0,high,"The gram 'have heard' is presented as a realized fact, not hypothetical or projected.",0,high,"The target 'have heard' is a simple present perfect construction, so it does not instantiate TLTS.",0,high,"The target 'have heard' is in the active voice, not the passive voice, as it does not include 'been' and the subject 'You' is the agent, not the patient."
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1,high,"The clause is morphologically passive, and the lexical verb licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",0,high,"The verb 'have been paid' is passive and licenses an implicit external argument, so it is not unaccusative.",1,high,"The target verb 'have been paid' introduces an overt grammatical subject ('they') but does not license or realise an internal argument (direct or indirect object), and the subject functions as an external argument engaged in an activity that does not involve an internal argument.",0.0,high,"The event 'have been paid' is a punctual event requiring preparation but without a process phase, similar to the negative example 'He has paid the server', and does not involve a durative process directed toward a defined goal or endpoint.",1.0,high,"The verb phrase 'have been paid' denotes a punctual or near-instantaneous transition into a new state of being compensated, fitting the definition of an achievement verb.",0,high,"The target 'have been paid' implies a completed action with a defined result state, not a dynamic, durative situation unfolding over time.",0,high,"The event 'have been paid' does not represent a single punctual dynamic occurrence without a resulting change of state, but rather a completed state of being paid, thus it is not AktSemel.",0,high,"The verb phrase 'have been paid' describes a completed event, not a state that holds over time, and thus does not instantiate AktState.",0,high,"The target gram does not occur in a counterfactual conditional, express regret, or indicate an unfulfilled past wish; it describes a factual past event.",0,high,"The target gram 'have been paid' is not negated by 'not', a negative quantifier, 'never', or 'neither...nor'.",0,high,"The clause 'they have already been paid in full' does not contain a lexical, phrasal, or clausal past time adverb.",0,high,"The gram 'have been paid' introduces a result state where the hypocrites are already rewarded, not focusing on the experience of being paid as a life history entry.",0,high,"The phrase 'have been paid' describes a completed action in the past, but the context does not indicate that the resulting state (e.g., satisfaction or obligation fulfilled) is currently in effect; it simply states they received their reward in full, thus not instantiating DtRes.",0.0,high,"The target describes a completed action, not a continuous state or habitual series extending to the reference time, so it does not instantiate DtUniv.",1,high,"The gram 'have been paid' has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process, so the feature TLAspPfv is present.",0,high,"The gram 'have been paid' is presented as a realized fact, not hypothetical or projected.",1,high,"The gram 'have been paid' includes 'been' followed by a passive participle, which is a type of progressive participle, thus instantiating TLTS.",1,high,"The gram has the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the grammatical subject corresponds to the semantic patient."
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The clause is morphologically passive, and the lexical verb licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",0,high,"The verb 'have been paid' is passive and licenses an external argument, so it is not unaccusative.",1,high,"The target verb 'have been paid' introduces an overt grammatical subject ('they') but does not license or realise an internal argument (direct or indirect object), and the subject functions as an external argument receiving payment.",0.0,high,"The event 'have been paid' is a punctual event requiring preparation but without a process phase, similar to the negative example 'He has paid the server.', so it does not instantiate AktAcc.",1.0,high,"The verb phrase 'have been paid' denotes a punctual transition into a new state of being compensated, and the full text implies a completed action with a defined endpoint.",0,high,"The target 'have been paid' implies a completed action with a defined result state, not a dynamic, durative situation unfolding over time.",0,high,"The target 'have been paid' does not represent a single punctual dynamic occurrence without a resulting change of state, but rather a completed action with a result, thus it is not AktSemel.",0,high,"The verb phrase 'have been paid' describes a completed action, not a state that holds over time, thus it does not instantiate AktState.",0,high,"The target gram does not occur in a counterfactual conditional, express regret, or indicate an unfulfilled past wish; it describes a past event that is presented as factual.",0,high,The target gram 'have been paid' does not contain any explicit negation.,0,high,"The clause does not contain a lexical, phrasal, or clausal adverbial that explicitly anchors the event to a specific past time interval.",0,high,"The gram 'have been paid' introduces a result state where the hypocrites are fully compensated, rather than focusing on the experience of being paid as a life history entry.",1,high,"The verb describes a change of possession (payment), and that status is currently held (they have been paid in full).",1.0,high,"The clause describes a state ('paid in full') that has held continuously from a past starting point up to the reference time, implying a completed and ongoing state of being paid, thus instantiating DtUniv.",1,high,"The gram 'have been paid' has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process, so the feature TLAspPfv is present.",0,high,"The gram 'have been paid' asserts a realized state of affairs in the actual world, not a projected or hypothetical one.",1,high,"The gram 'have been paid' includes 'been' followed by a passive participle 'paid', which is a form of progressive perfect, thus instantiating TLTS.",1,high,"The gram 'have been paid' has the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the grammatical subject corresponds to the semantic patient."
