TokenID,FullText,Target,run_id,provider,model_name,feature_name_x,annotation,confidence,explanation,feature_name_y
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,0,high,"The verb 'had been promised' entails a change of social/legal status that remains in effect at the reference time, thus the AktAch feature is not instantiated.",AktAch
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,0,high,"The verb 'commanded' entails a change of social/legal status that remains in effect at the reference time, thus the AktAch feature is not instantiated.",AktAch
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,0,high,"The verb 'has come near' entails a transition into a new physical location (nearness), and the subject remains at that location at the reference time, thus the annotation is 0.",AktAch
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, thus the AktAch feature is not instantiated.",AktAch
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,0,high,"The verb 'had been arrested' entails a change of state (being in custody), and the resulting state is relevant for subsequent discourse (Jesus withdrew), so it is classified as non-experiential (0) according to the narrative progression edge case.",AktAch
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,1,high,"The verb 'have heard' denotes perception or communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",AktAch
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,1,high,"The verb 'have heard' denotes perception or communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",AktAch
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,1,high,"The verb 'have heard' denotes perception or communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",AktAch
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as 'have been paid' implies they are now in possession of the payment.",AktAch
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as 'have been paid' implies a completed transaction and a new financial status.",AktAch
40006016,"» When you abstain from food , do not be like the hypocrites , with sad faces to be seen by men . They have received their reward .",have received,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,0,high,"The verb 'have received' entails a change of possession or social/legal status that remains in effect at the reference time, thus the AktAch feature is 0.",AktAch
40007028,"When Jesus had finished these words , the crowds were astonished at what he taught .",had finished,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,0,high,"The verb 'had finished' entails a change of state, and the resulting state holds at the reference time, thus it is not AktAch (experiential).",AktAch
40008010,"When Jesus heard it , he was amazed , and said to the crowd : » I tell you , I have not found such great faith in Israel .",have not found,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,1,high,"The gram is a negative Perfect ('have not found'), which functions as a claim about the absence of the event in the subject's history.",AktAch
40008029,"They screamed at him , saying : » What have we to do with you , Son of God ? Have you come to torment us before the time ? «",have you come,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,0,high,"The verb 'come' entails a transition into a new physical location, and the subject remains at that location at the reference time, thus the AktAch feature is not instantiated.",AktAch
40009008,"But when the people saw it , they marveled , and glorified God who had given such authority to men .",had given,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,0,high,"The verb 'had given' entails a change of possession or social/legal status that remains in effect at the reference time, so the annotation is 0.",AktAch
40009016,» Why patch an old garment with cloth that has not been shrunk ? The patch shrinks and pulls away from the old cloth leaving a big hole .,has not been shrunk,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,0,high,"The verb entails a change of state (shrunk) that holds at the reference time, so the AktAch feature is not instantiated.",AktAch
40009022,"Jesus turned to see her and said : » Daughter , take courage ; your faith has made you well . « The woman was healed at that time .",has made you well,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,0,high,"The verb entails a change of state (from sick to well), and that resulting state holds at the reference time.",AktAch
40009033,"When the demon was cast out , the dumb man spoke . The crowd marveled , saying : » We have never seen anything like this in Israel ! «",have never seen,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,1,high,"The gram is a negative Perfect ('have never seen'), which functions as a claim about the absence of the event in the subject's history.",AktAch
40010023,"» When they persecute you in this city , flee to the next . I tell you ; before you have gone through all the cities of Israel the Son of man will come .",have gone through,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,0,high,"The verb 'go through' entails a transition into a new physical location, and the subject remains at that location at the reference time.",AktAch
40011012a,"» From the days of John the Baptist until now , the kingdom of heaven has been man’s goal , and men of violence have attempted to take it by force .",has been,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,0,high,"The verb entails a change of state or location, and that resulting state holds at the reference time.",AktAch
40011012b,"» From the days of John the Baptist until now , the kingdom of heaven has been man’s goal , and men of violence have attempted to take it by force .",have attempted,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,1,high,"The verb 'have attempted' denotes a bounded activity or process where the focus is on having undergone the experience, not on a persisting result.",AktAch
40011021a,"» Woe to you , Chorazin ! Woe to you , Bethsaida ! If the mighty works had been done in Tyre and Sidon that were done in you , they would have repented long ago in sackcloth and ashes .",had been done,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,0,high,"The verb entails a change of state, and that resulting state holds at the reference time.",AktAch
40011021b,"» Woe to you , Chorazin ! Woe to you , Bethsaida ! If the mighty works had been done in Tyre and Sidon that were done in you , they would have repented long ago in sackcloth and ashes .",would have repented,20260225T235243Z_c7273c49,gemini,gemini-2.0-flash-001,AktAch,0,high,"The verb 'repented' entails a change of state, and the conditional 'would have repented' does not focus on a life experience but rather on a hypothetical change of state that did not occur.",AktAch
