TokenID,FullText,Target,run_id,provider,model_name,feature_name_x,annotation,confidence,explanation,feature_name_y
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,20260307T103150Z_93cc243e,gemini,gemini-2.0-flash-001,VcPass,1,high,"The target 'had been promised' has the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the grammatical subject 'His mother Mary' corresponds to the semantic patient.",VcPass
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,20260307T103150Z_93cc243e,gemini,gemini-2.0-flash-001,VcPass,0,high,"The grammatical subject 'angel of God' corresponds to the semantic agent (doer/initiator) of the target verb 'had commanded', and the grammatical object 'him' corresponds to the semantic patient, indicating an active voice construction.",VcPass
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,20260307T103150Z_93cc243e,gemini,gemini-2.0-flash-001,VcPass,0,high,"The grammatical subject 'kingdom of heaven' corresponds to the semantic agent of the verb 'come', not the patient, and there is no 'been' + past participle construction.",VcPass
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,20260307T103150Z_93cc243e,gemini,gemini-2.0-flash-001,VcPass,0,high,"The grammatical subject 'I' corresponds to the semantic agent (doer/initiator) of the target verb 'have approved', and the grammatical object 'whom' corresponds to the semantic patient, indicating an active voice construction.",VcPass
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,20260307T103150Z_93cc243e,gemini,gemini-2.0-flash-001,VcPass,1,high,"The gram has the form auxiliary 'have' + 'been' + past participle of a transitive verb ('had been arrested'), and the grammatical subject ('John') corresponds to the semantic patient (the entity affected by the event).",VcPass
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,20260307T103150Z_93cc243e,gemini,gemini-2.0-flash-001,VcPass,0,high,"The grammatical subject 'You' corresponds to the semantic agent of the verb 'hear', and the grammatical object 'it' corresponds to the semantic patient, indicating an active voice construction.",VcPass
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,20260307T103150Z_93cc243e,gemini,gemini-2.0-flash-001,VcPass,0,high,"The grammatical subject 'You' corresponds to the semantic agent (doer/initiator) of the target verb 'have heard', and the grammatical object 'it' corresponds to the semantic patient, indicating an active voice construction.",VcPass
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,20260307T103150Z_93cc243e,gemini,gemini-2.0-flash-001,VcPass,0,high,"The grammatical subject 'You' corresponds to the semantic agent (doer/initiator) of the target verb 'have heard', and the grammatical object 'it' corresponds to the semantic patient, indicating an active voice construction.",VcPass
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,20260307T103150Z_93cc243e,gemini,gemini-2.0-flash-001,VcPass,1,high,"The gram has the form auxiliary 'have' + 'been' + past participle of a transitive verb ('have been paid'), and the grammatical subject ('they') corresponds to the semantic patient (the entity affected by the event), not the agent.",VcPass
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,20260307T103150Z_93cc243e,gemini,gemini-2.0-flash-001,VcPass,1,high,"The gram has the form auxiliary 'have' + 'been' + past participle of a transitive verb ('paid'), and the grammatical subject ('they') corresponds to the semantic patient (the entity affected by the event), not the agent.",VcPass
40006016,"» When you abstain from food , do not be like the hypocrites , with sad faces to be seen by men . They have received their reward .",have received,20260307T103150Z_93cc243e,gemini,gemini-2.0-flash-001,VcPass,0,high,"The grammatical subject 'They' corresponds to the semantic agent (doer/initiator) of the target verb, and the grammatical object 'their reward' corresponds to the semantic patient, indicating an active voice construction.",VcPass
40007028,"When Jesus had finished these words , the crowds were astonished at what he taught .",had finished,20260307T103150Z_93cc243e,gemini,gemini-2.0-flash-001,VcPass,0,high,"The grammatical subject 'Jesus' corresponds to the semantic agent (doer/initiator) of the target verb 'had finished', and the grammatical object 'these words' corresponds to the semantic patient, indicating an active voice construction.",VcPass
40008010,"When Jesus heard it , he was amazed , and said to the crowd : » I tell you , I have not found such great faith in Israel .",have not found,20260307T103150Z_93cc243e,gemini,gemini-2.0-flash-001,VcPass,0,high,"The grammatical subject 'I' corresponds to the semantic agent of the verb 'find', not the patient, indicating an active voice construction.",VcPass
40008029,"They screamed at him , saying : » What have we to do with you , Son of God ? Have you come to torment us before the time ? «",have you come,20260307T103150Z_93cc243e,gemini,gemini-2.0-flash-001,VcPass,0,high,"The grammatical subject 'you' corresponds to the semantic agent of the verb 'come', not the patient, and there is no 'been' auxiliary, so it is not passive.",VcPass
40009008,"But when the people saw it , they marveled , and glorified God who had given such authority to men .",had given,20260307T103150Z_93cc243e,gemini,gemini-2.0-flash-001,VcPass,0,high,"The grammatical subject 'God' corresponds to the semantic agent (doer/initiator) of the target verb 'had given', and the grammatical object 'such authority' corresponds to the semantic patient, indicating an active voice construction.",VcPass
40009016,» Why patch an old garment with cloth that has not been shrunk ? The patch shrinks and pulls away from the old cloth leaving a big hole .,has not been shrunk,20260307T103150Z_93cc243e,gemini,gemini-2.0-flash-001,VcPass,1,high,"The gram has the form auxiliary 'have' + 'been' + past participle of a transitive verb ('has not been shrunk'), and the grammatical subject ('cloth') corresponds to the semantic patient (the entity affected by the event).",VcPass
40009022,"Jesus turned to see her and said : » Daughter , take courage ; your faith has made you well . « The woman was healed at that time .",has made you well,20260307T103150Z_93cc243e,gemini,gemini-2.0-flash-001,VcPass,0,high,"The grammatical subject 'your faith' corresponds to the semantic agent (doer/initiator) of the target verb, and the grammatical object 'you' corresponds to the semantic patient, indicating an active voice construction.",VcPass
40009033,"When the demon was cast out , the dumb man spoke . The crowd marveled , saying : » We have never seen anything like this in Israel ! «",have never seen,20260307T103150Z_93cc243e,gemini,gemini-2.0-flash-001,VcPass,0,high,"The grammatical subject 'We' corresponds to the semantic agent of the verb 'see', not the patient, indicating an active voice construction.",VcPass
40010023,"» When they persecute you in this city , flee to the next . I tell you ; before you have gone through all the cities of Israel the Son of man will come .",have gone through,20260307T103150Z_93cc243e,gemini,gemini-2.0-flash-001,VcPass,0,high,"The target 'have gone through' is in the active voice, not the passive voice, because it does not have the form 'have been + past participle' and the subject is the agent.",VcPass
