TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1.0,high,"The target 'had been promised' is a passive construction where the lexical verb 'promise' licenses both an external argument (agent: implied 'someone/people') and an internal argument (patient: overt 'Mary'), satisfying the passive condition in set_to_1_if.",0,high,"The clause is morphologically passive ('had been promised'), and the lexical verb 'promise' licenses an external argument (an implicit agent who made the promise), which triggers the set_to_0_if condition for passive clauses.",0,high,"The target verb 'had been promised' licenses an internal argument (Mary as the theme/patient of the promise), and the passive construction indicates the sole argument functions as an internal argument rather than an external argument.",0,high,"The passive construction 'had been promised' denotes a punctual speech act of promising that culminates in a single boundary transition (the promise is made), lacking an encoded durative process phase leading to a defined result state.",0,high,"The passive construction 'had been promised' encodes a durative state resulting from a prior act of promising rather than a punctual transition itself; the event unfolds over time as an ongoing commitment or betrothal state, not a boundary-crossing moment.",0,high,"The verb 'had been promised' denotes a bounded perceptual/cognitive event marking the completion of a promise agreement, which entails a defined result state (the state of being promised), triggering the set_to_0_if condition for bounded events with defined outcomes.",0,high,"The target 'had been promised' denotes a bounded perceptual/cognitive event marking the completion of a promise (change-of-state from unpromised to promised), which is a dynamic eventive boundary rather than a static condition holding over time.",0,high,"The clause 'Mary had been promised to Joseph in marriage' uses past perfect morphology to express temporal anteriority within a narrative (the betrothal occurred before the pregnancy), presenting a factual situation that actually occurred, not a counterfactual condition.",0.0,high,"The target gram 'had been promised' is not negated; it describes a realized state (Mary was promised to Joseph), and no negator applies to this verb.",0,high,"The verb 'had been promised' entails a change of social/legal status (betrothal) that remains in effect at the reference time, triggering the set_to_0_if condition for changes of status that persist.",0,high,This is a stative copula construction ('had been promised') describing a state rather than encoding a transition; it reports a past condition without indicating that a resulting state persists at the reference time.,0,high,"The verb 'had been promised' denotes a transition into a betrothal state rather than a continuous situation holding over time, and the focus is on the completion of the promise event itself, not on duration.",1,high,"The gram 'had been promised' is a passive form asserting a bounded transition event (the act of promising/betrothal) as a completed whole, matching the set_to_1_if condition for passive bounded transitions.",0,high,"The gram 'had been promised' asserts a realized fact in the actual world (Mary was betrothed to Joseph as a historical event), with no modal auxiliary, conditional, counterfactual, or hypothetical context present.",1.0,high,"The auxiliary 'had' is morphologically past, making this a past perfect form (pluperfect), which instantiates TLTS as a tense-shifted perfect construction distinct from the simple present perfect.",1,high,"The target 'had been promised' instantiates passive voice morphology (auxiliary 'had' + 'been' + past participle 'promised' of transitive verb), with the grammatical subject 'His mother Mary' corresponding to the semantic patient (the entity promised in marriage), satisfying the set_to_1_if conditions."
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1.0,high,"The target verb 'had commanded' introduces an overt grammatical subject ('the angel of God') and an overt direct object ('him'), satisfying the first 'set_to_1_if' condition.",0,high,"The verb 'commanded' licenses an external argument (the angel as agent/initiator) and introduces an internal argument (him as the object of the command), satisfying the 'set_to_0_if' condition that the verb licenses an external argument.",0,high,"The target verb 'had commanded' licenses an internal argument (the infinitival complement 'him to do'), which triggers the set_to_0_if condition that the verb introduces an internal argument.",0,high,"The verb 'command' denotes a punctual speech act that establishes an instruction at a single moment, lacking a durative process phase that trends toward a defined goal encoded in the predicate's meaning.",1,high,"The verb 'had commanded' denotes a punctual transition into a directive state (the angel issuing a command at a specific moment), which is a cognitive/communicative act that occurs at a definable temporal boundary and does not permit interruption or durative unfolding.",0,high,"The verb 'had commanded' denotes a bounded perceptual/cognitive event with a defined result state (the issuance of a command as a completed occurrence), which triggers the set_to_0_if condition for bounded events with defined outcomes.",0,high,"The verb 'had commanded' denotes a bounded dynamic event (a speech act with internal development and completion) that marks a prior action with a defined endpoint, not a durative state that holds over time without change.",0,high,"The clause 'had commanded' uses past perfect morphology to express temporal anteriority within a narrative (the angel's command preceded Joseph's action), not to indicate a counterfactual situation; the event actually occurred in the narrative world.",0.0,high,"The target gram 'had commanded' is not negated; the negation 'did' in the sentence applies to the matrix clause structure, not to the embedded past perfect verb itself, and the eventuality of commanding is presented as realized, not absent.",0,high,"The verb 'had commanded' entails a change in the subject's obligations or directives that persists at the reference time (Joseph follows the command), making it a result state rather than a life-history entry.",1,high,"The verb 'had commanded' describes a directive (change of social/legal status or binding instruction) that remains in effect at the reference time, as evidenced by Joseph's subsequent action of obeying the command ('he did what the angel of God had commanded him to do').",0,high,"The clause describes a discrete bounded event (the angel's command) that Joseph executed, focusing on the transition/result rather than a continuous situation holding up to the reference time.",1,high,"The past perfect 'had commanded' presents the angel's command as a bounded, completed event that precedes and motivates Joseph's action, construing the command itself as a discrete occurrence rather than an ongoing state.",0,high,"The gram 'had commanded' is a past perfect form asserting a realized fact in the actual world (the angel had previously given a command that Joseph then followed), with no modal, conditional, future, or hypothetical context present.",1.0,high,"The auxiliary 'had' is morphologically past, making this a past perfect form rather than a simple present perfect, which satisfies the first 'set_to_1_if' condition.",0,high,"The grammatical subject 'the angel of God' is the semantic agent (doer) who commanded, and 'him' is the semantic patient; this is active voice, not passive, lacking the required passive morphology (be/been + past participle or get/got + past participle)."
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0.0,high,"The verb 'has come near' is intransitive and does not introduce an overt internal argument (direct or indirect object), satisfying the set_to_0_if condition that the target verb does not introduce an overt internal argument.",1,high,"The verb 'come near' denotes directed motion/change-of-location (the kingdom undergoes displacement toward proximity) with the sole argument functioning as an internal argument (theme), and no external argument is licensed.",0,high,The verb 'come near' denotes a change-of-location/change-of-state event where the sole argument (kingdom of heaven) functions as an internal argument (theme) undergoing a change in proximity rather than as an external argument initiating an action.,0,high,"The verb 'come near' denotes a punctual or near-instantaneous boundary transition (entering a state of proximity) without an encoded durative process phase leading to a defined result state, matching the set_to_0_if criterion for punctual change-of-state events.",1,high,"The verb 'has come near' denotes a punctual transition into a new state (the kingdom of heaven reaching proximity/arrival), naturally modifiable by time-point adverbials, and represents a boundary crossing rather than an unfolding process.",0,high,"The verb 'come near' denotes a bounded perceptual/cognitive event marking the onset of a state (the kingdom of heaven becoming proximate), which entails a defined result state and lacks dynamic durative unfolding, triggering the set_to_0_if condition.",0,high,"The verb 'has come near' denotes a change-of-state and dynamic event marking the onset of proximity (the kingdom transitioning from distant to near), which involves eventive unfolding and an internal boundary, triggering the set_to_0_if condition for change-of-state verbs.",0,high,"The clause presents the situation as having actually occurred in the actual world ('the kingdom of heaven has come near') without any indication that it is contrary to fact, and it is not part of a counterfactual conditional structure.",0.0,high,"The target gram 'has come near' is not negated; the sentence is a positive assertion that the kingdom of heaven has come near, with no negator ('not', 'n't', 'never', or negative quantifier) modifying it.",0,high,"The verb 'come near' entails a change of location/state (the kingdom transitioning to proximity), and that resulting state holds at the reference time, matching the set_to_0_if condition for verbs entailing change of state that persists.",1,high,"The motion verb 'come near' describes a change of location/state where the kingdom of heaven has moved to a position of proximity and remains near at the reference time, satisfying the condition that the resulting state persists.",0,high,"The verb 'has come near' denotes a transition into a new state (the kingdom moving from distant to near) rather than a continuous situation holding over time, triggering the set_to_0_if condition on state transitions.",1,high,"The predicate 'come near' is a transition event (change of state/spatial relation) construed as a completed whole, presenting the kingdom of heaven's approach as a single bounded occurrence with a construed endpoint rather than as an ongoing process.",0,high,"The gram 'has come near' is asserted as a realized fact in the actual world (present perfect indicating a completed action with present relevance), with no modal, conditional, future, or hypothetical markers present.",0.0,high,"The gram 'has come near' is formed with present-tense 'has' followed by a past participle ('come'), with no modal, future, or progressive marking, matching the set_to_0_if condition for simple present perfect.",0,high,"The construction 'has come near' is active voice with an intransitive verb; the subject 'kingdom of heaven' is the semantic agent/experiencer, not the patient, and there is no passive morphology (no 'been' + past participle)."
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1.0,high,"The target verb 'have approved' introduces an overt grammatical subject ('I') and an overt direct object ('whom'), satisfying the first 'set_to_1_if' condition.",0,high,"The verb 'have approved' licenses an external argument (the implicit first-person subject 'I') that functions as an agent/initiator performing the action of approval toward the object 'whom', triggering the set_to_0_if condition for licensing an external argument.",0,high,"The target verb 'have approved' licenses an internal argument (direct object 'whom'), which is realized as the head of a relative clause with a gap functioning as the object of the verb, triggering the set_to_0_if condition.",0,high,The verb 'approve' denotes a punctual mental act or judgment without a durative process phase encoded in its meaning; it is a near-instantaneous change-of-state (transition into a state of approval) rather than an event that unfolds over time toward a defined goal.,1,high,"The verb 'have approved' denotes a punctual transition into a new state of endorsement/acceptance that occurs at a definable temporal boundary, naturally modifiable by time-point adverbials (e.g., 'have approved at that moment'), and does not permit interruption as an ongoing process phase.",0,high,"The verb 'have approved' denotes a bounded perceptual/cognitive event marking the onset of approval as a completed occurrence, which entails a defined result state (the state of having approved), triggering the set_to_0_if condition for bounded cognitive events and defined result states.",0,high,"The verb 'have approved' denotes a bounded perceptual/cognitive event marking the completion of an evaluative judgment (approval), which is a change-of-state event rather than a static condition that holds without dynamic development.",0,high,"The clause 'whom I have approved' presents a situation that has actually occurred in the actual world (a voice from heaven stating an approval), without any indication of counterfactuality, so it does not instantiate ClCntfcl.",0.0,high,"The target gram 'have approved' is not negated; it appears in a positive declarative statement with no negator ('not', 'n't', negative quantifier, or 'never') modifying it.",1,high,"The verb 'have approved' is a perception/communication verb (divine approval) focusing on the occurrence of the experience within the subject's (God's) life history rather than on a resulting state, matching the intuition and the third 'set_to_1_if' condition.",1,high,"The verb 'have approved' describes a change of social/legal status (approval/endorsement) that is currently held at the reference time, as indicated by the present-tense context and the divine declaration that the approval is in effect.",0,high,"The clause describes a discrete bounded event (approval) that represents a transition into a new state rather than a continuous situation holding over time, with no duration adverbial or habitual framing to indicate extension to the reference time.",1,high,"The verb 'have approved' denotes a bounded evaluative/cognitive event (approval) construed as a completed occurrence rather than an ongoing state, matching the set_to_1_if criterion for bounded perceptual/cognitive/evaluative events.",0,high,"The gram 'have approved' is asserted as a realized fact within direct speech from a divine voice, presenting the approval as an actual state in the world, not as projected, hypothetical, or uncertain.",0.0,high,"The gram 'have approved' is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking, matching the simple present perfect form that sets to 0.",0,high,"The grammatical subject 'I' is the semantic agent (the one doing the approving), and the grammatical object 'whom' is the semantic patient; this is active voice, not passive voice, as there is no auxiliary 'be/been' or 'get/got' introducing a past participle."
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1.0,high,"The target 'had been arrested' is morphologically passive and the lexical verb 'arrest' licenses both an external argument (agent) and an internal argument (patient/John), satisfying the passive condition in set_to_1_if.",0,high,"The clause is morphologically passive ('had been arrested'), and the lexical verb 'arrest' licenses an external argument (an agent who performs the arresting), which triggers the set_to_0_if condition regardless of whether the agent is overtly expressed.",0,high,"The verb 'arrest' introduces an internal argument (John functions as the theme/patient of the arrest action), which triggers the set_to_0_if condition that vetoes ASUnrg.",0,high,"The verb 'arrest' denotes a punctual boundary transition (the moment of apprehension) without an encoded durative process phase leading to a defined result state; the past perfect passive construction describes the completed state of this punctual event, not an accomplishment with inherent process and culmination.",1,high,"The verb 'arrested' denotes a punctual transition into a new state (from free to detained) that occurs at a definable temporal boundary, satisfying the criterion for achievement; the pluperfect aspect does not change the punctual nature of the underlying event.",0,high,"The verb 'arrest' entails a defined result state (the state of being arrested/in custody), which is a bounded perceptual event marking the onset of a change in status, triggering the 'set_to_0_if' condition for defined result states.",0,high,"The target verb 'had been arrested' denotes a change-of-state event (transition from free to detained) involving a bounded dynamic event with an internal eventive unfolding, which triggers the set_to_0_if condition.",0,high,"The clause 'had been arrested' presents a factual past event (John's arrest actually occurred) within a narrative sequence, using past perfect for temporal anteriority, with no indication of counterfactuality.",0.0,high,"The target gram 'had been arrested' is not negated; the sentence reports that John was arrested as a fact, and the negation does not apply to this eventuality.",0,high,"The verb 'arrest' entails a change of state/legal status (being in custody), and this resulting state holds at the reference time, triggering the set_to_0_if condition.",1,high,"The verb 'arrest' describes a change of legal/social status, and the past perfect 'had been arrested' indicates that John was in the arrested state at the reference time (when Jesus heard the news), satisfying the set_to_1_if condition for change of status currently held.",0,high,"The clause describes a discrete bounded event (John's arrest) that occurred at a specific past point, not a continuous situation holding up to the reference time; the focus is on the transition into the state of being arrested rather than duration.",1,high,"The passive form 'had been arrested' presents a bounded transition event (arrest) as a completed whole, matching the CRI condition for passive bounded transitions and transition events construed as completed occurrences.",0,high,"The gram 'had been arrested' asserts John's arrest as a realized fact in the actual world (past perfect tense indicating a completed event), with no modal, conditional, future, or hypothetical context present.",1.0,high,"The auxiliary is morphologically past ('had') combined with 'been' followed by a past participle ('arrested'), which instantiates past perfect passive marking, satisfying the first 'set_to_1_if' condition for past tense specification.",1,high,"The target 'had been arrested' instantiates the passive voice: it has the form auxiliary 'have' + 'been' + past participle of a transitive verb, the grammatical subject 'John' corresponds to the semantic patient (the one arrested), and there is overt passive morphology."
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1.0,high,"The target verb 'have heard' introduces an overt grammatical subject ('You') and an overt direct object noun phrase ('it'), satisfying the first 'set_to_1_if' condition.",0,high,"The verb 'heard' licenses an external argument (the subject 'You' as the experiencer/agent of the hearing event) and takes a direct object ('it'), satisfying the set_to_0_if conditions.",0,high,"The target verb 'have heard' licenses an internal argument (direct object) realized as the relative clause 'it was said', which contains a gap functioning as the object of 'heard', triggering the set_to_0_if condition.",0,high,"The verb 'hear' denotes a punctual or near-instantaneous perceptual transition into awareness without an encoded durative process phase leading to a defined goal or result state, matching the set_to_0_if criterion for cognitive/perceptual verbs construed as instantaneous transitions.",1,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness (hearing/receiving information), which matches the set_to_1_if criterion for punctual perceptual or cognitive transitions into awareness, and is exemplified directly in the positive examples.",0,high,"The target 'have heard' denotes a bounded perceptual event marking the onset of awareness of a specific utterance, which is a single completed occurrence rather than a dynamic durative activity.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness (hearing/receiving information), which encodes eventive change rather than a static condition, triggering the set_to_0_if rule for bounded perceptual events.",0,high,"The clause 'You have heard it was said' presents a situation as having actually occurred in the actual world (a factual past event), with no indication that it is contrary to fact, matching the set_to_0_if condition for factual past statements.",0.0,high,"The negation 'not' in the sentence applies to 'commit adultery' (embedded clause), not to the target gram 'have heard', which remains positive.",1,high,"The verb 'have heard' denotes perception where the focus is on the occurrence of an experience (hearing something said) at least once in the subject's life history, rather than on a resulting state.",0,high,The verb 'hear' is a bare perception event that does not entail a resulting state persisting at the reference time; it merely reports a past perceptual experience without a change of state.,0,high,"The clause describes a discrete bounded event of hearing/receiving information (a punctual perceptual act) rather than a continuous situation holding over time, and the focus is on the completed action of having heard rather than duration.",1,high,"The predicate 'hear' is a bounded perceptual event construed as a completed occurrence ('have heard it was said'), not as an ongoing state, satisfying the set_to_1_if condition for perceptual events asserted as completed occurrences.",0,high,"The gram 'have heard' asserts a realized fact in the actual world (you have heard something that was said), with no modal auxiliary, conditional, counterfactual, or future marking present.",0.0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle 'heard', with no modal, future, or progressive marking, matching the set_to_0_if condition for simple present perfect.",0,high,"The form 'have heard' is active voice (auxiliary 'have' + past participle of transitive verb 'hear'), with the grammatical subject 'You' functioning as the semantic agent (the one doing the hearing), not the patient, and no passive morphology is present."
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1.0,high,"The target verb 'have heard' introduces an overt grammatical subject ('You') and an overt direct object noun phrase ('it'), satisfying the first 'set_to_1_if' condition.",0,high,"The verb 'heard' licenses an external argument (the subject 'you' as the experiencer/agent of the hearing event) and takes a direct object ('it said'), triggering the set_to_0_if condition for licensing an external argument and containing an overt grammatical object.",0,high,"The target verb 'have heard' licenses an internal argument (direct object 'it'), which triggers the set_to_0_if condition that vetoes any set_to_1_if conditions.",0,high,"The verb 'heard' denotes a punctual perceptual transition into awareness without an encoded durative process phase or defined result state; it is construed as a single instantaneous moment of coming to perceive, not a gradual process culminating in completion.",1,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness (hearing/receiving information), which matches the set_to_1_if condition for punctual perceptual or cognitive transitions into awareness, and is exemplified in the positive examples as a prototypical achievement.",0,high,"The verb 'heard' denotes a bounded perceptual event marking the onset of awareness (hearing the saying), which is a single completed occurrence rather than a dynamic durative activity, triggering the set_to_0_if condition for perceptual events.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness (hearing/receiving information), which encodes eventive change rather than a static condition, triggering the set_to_0_if rule for bounded perceptual events.",0,high,"The clause 'You have heard it said' presents a situation as having actually occurred in the actual world (a factual past state), with no indication of counterfactuality, and does not occur in a counterfactual conditional structure.",0.0,high,"The target gram 'have heard' is not negated; the sentence is positive and describes an event that has occurred, with no negator applying to the auxiliary or the eventuality itself.",1,high,"The verb 'have heard' denotes perception where the focus is on the occurrence of the experience (having encountered this saying) at least once in the subject's life history, rather than on a resulting state.",0,high,The verb 'heard' is a bare perception event that does not entail a resulting state persisting at the reference time; it merely reports past exposure to information without a change of state currently in effect.,0,high,"The clause describes a discrete bounded event (hearing a saying) rather than a continuous situation holding throughout a time span, and lacks duration adverbials or habitual markers indicating extension to the reference time.",1,high,"The predicate 'hear' is a bounded perceptual event construed as a completed occurrence ('you have heard it said'), not as an ongoing state, satisfying the set_to_1_if condition for perceptual events asserted as completed occurrences.",0,high,"The gram 'have heard' is a present perfect form asserting a realized fact in the actual world (you have experienced hearing this saying), with no modal auxiliary, conditional, counterfactual, or future marking present.",0.0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking, matching the simple present perfect form that sets the feature to 0.",0,high,"The target 'have heard' is active voice (subject 'You' is the semantic agent performing the hearing action), not passive voice; it lacks the required passive morphology of 'have been + past participle'."
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1.0,high,"The target verb 'have heard' introduces an overt internal argument ('it'), satisfying the condition for an overt direct object noun phrase.",0,high,"The verb 'heard' licenses an external argument (the experiencer 'you') and takes a direct object ('it said...'), satisfying the set_to_0_if conditions for licensing an external argument and containing an overt grammatical object.",0,high,"The target verb 'have heard' licenses an internal argument (direct object 'it'), which triggers the set_to_0_if condition that vetoes any set_to_1_if conditions.",0,high,"The verb 'hear' denotes a punctual or near-instantaneous perceptual transition into awareness without an encoded durative process phase or defined result state, matching the set_to_0_if criterion for cognitive/perceptual verbs construed as instantaneous transitions.",1,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness (hearing/receiving information), which matches the set_to_1_if criterion for 'punctual perceptual or cognitive transition into awareness or recognition'.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness (hearing the saying), which is a single completed occurrence rather than a dynamic durative activity, triggering the set_to_0_if condition for perceptual events.",0,high,"The phrase 'have heard' denotes a bounded perceptual event marking the onset of awareness (hearing something said), which encodes eventive change rather than a static condition, triggering the set_to_0_if rule for bounded perceptual events.",0,high,"The clause 'You have heard it said' presents a situation as actually occurring in the actual world (a factual statement about what the addressee has experienced), with no indication that it is contrary to fact, thus matching the 'set_to_0_if' condition for factual past.",0.0,high,"The target gram 'have heard' is not negated; the sentence is positive and contains no negator (not, n't, never, or negative quantifier) that applies to the target gram.",1,high,"The verb 'have heard' denotes perception where the focus is on the occurrence of an experience (having encountered this saying) at least once in the subject's life history, rather than on a resulting state.",0,high,The verb 'have heard' is a bare perception event that does not entail a resulting state persisting at the reference time; it merely reports past exposure to information without a change of state currently in effect.,0,high,"The clause describes a discrete bounded event of hearing a saying at some past point, not a continuous situation holding throughout a time span; there is no duration adverbial, and the focus is on the completed action of having heard rather than an ongoing state.",1,high,"The predicate 'hear' is a bounded perceptual event construed as a completed occurrence ('you have heard it said'), presenting the situation as a single bounded event rather than an ongoing state.",0,high,"The gram 'have heard' asserts a realized fact in the actual world (you have experienced hearing this saying), with no modal auxiliary, conditional, counterfactual, or future marking present.",0.0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking, matching the simple present perfect form that sets the feature to 0.",0,high,"The grammatical subject 'You' is the semantic agent (the one who heard), and 'it' is the semantic patient; this is active voice, not passive, because there is no auxiliary 'be/been' or 'get/got' introducing a past participle of 'hear'."
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1.0,high,"The target 'have been paid' is a passive construction where the lexical verb 'pay' licenses both an external argument (agent: 'men' implied from context) and an internal argument (patient: 'they'), satisfying the passive condition in set_to_1_if.",0,high,"The clause is morphologically passive ('have been paid'), and the lexical verb 'pay' licenses an external argument (the agent performing the payment, suppressed in passive voice), triggering the set_to_0_if condition.",0,high,The target verb 'have been paid' licenses an internal argument (the implicit theme 'reward/praise') and denotes a change-of-state event where the subject functions as a patient/theme receiving payment rather than as an external agent/initiator.,0,high,The verb 'have been paid' denotes a punctual change-of-state (transition into a state of having received payment) without an encoded durative process phase; completion is supplied by context rather than inherent to the predicate's meaning.,1,high,"The verb 'have been paid' denotes a punctual transition into a new result state (receiving payment/reward), lacks measurable internal duration, and is construed as occurring at a definable temporal boundary rather than unfolding over time.",0,high,"The phrase 'have been paid in full' entails a defined result state (payment completion), which triggers the set_to_0_if condition for bounded, telic situations with inherent endpoints.",0,high,"The target 'have been paid' denotes a bounded change-of-state event (receiving payment as a completed action with a definite endpoint), which involves dynamic eventive unfolding and thus does not instantiate AktState.",0,high,"The clause 'they have already been paid in full' presents a situation as actually occurring in the actual world (the hypocrites have received their reward), not as contrary to fact, so it does not instantiate ClCntfcl.",0.0,high,"The target gram 'have been paid' is not negated; the sentence 'they have already been paid in full' is affirmative, and the negation 'do not' in the preceding sentence applies to 'announce', not to the target gram.",0,high,"The verb 'have been paid in full' entails a change of state (receiving payment) where the resulting state of being paid holds at the reference time, triggering the set_to_0_if condition.",1,high,"The verb 'have been paid' describes a change of possession/status (receiving payment) where the resulting state (being paid in full) is currently in effect at the reference time, as indicated by the context 'they have already been paid in full.'",0,high,"The clause describes a completed transition into a new state (receiving payment) rather than a situation holding continuously over time, and the adverbial 'already' emphasizes the result as achieved rather than duration.",1,high,"The clause 'they have already been paid in full' presents a bounded passive transition event (payment as a completed occurrence) with the adverbial 'already' reinforcing the bounded, completed nature of the situation.",0,high,"The gram 'have been paid' asserts a realized fact in the actual world (the hypocrites have already received their reward), with no modal, conditional, future, or hypothetical context present.",0.0,high,"The gram 'have been paid' is a simple present perfect passive (present-tense 'have' + past participle 'paid'), with no modal, future, or progressive marking, matching the set_to_0_if condition for simple present passives.",1,high,"The target 'have been paid' instantiates passive voice morphology (auxiliary 'have' + 'been' + past participle 'paid'), with the grammatical subject 'they' corresponding to the semantic patient (the entity receiving payment), meeting the set_to_1_if criteria."
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1.0,high,"The target 'have been paid' is a passive construction where the lexical verb 'pay' licenses both an external argument (agent—those who paid them) and an internal argument (patient—'them', the implicit direct object), satisfying the passive condition in set_to_1_if.",0,high,"The clause 'they have been paid in full' is morphologically passive, and the lexical verb 'pay' licenses an external argument (the agent performing the payment), which triggers the set_to_0_if condition for passive clauses.",0,high,"The target verb 'have been paid' is a passive construction with an implicit internal argument (the reward/payment received by the subject), which violates the requirement that no internal argument be licensed.",0,high,The verb 'have been paid' denotes a punctual change-of-state (transition into a paid state) without an encoded durative process phase; completion is supplied by context rather than inherent to the predicate's meaning.,1,high,"The verb 'have been paid' denotes a punctual transition into a new state (receiving payment/compensation) that is construed as a completed boundary event, naturally modifiable by time-point adverbials (e.g., 'have been paid at that moment'), and does not permit interruption of an ongoing process phase.",0,high,"The verb 'have been paid' entails a defined result state (receiving full payment as compensation), which is encoded in the meaning of 'paid' and triggers the set_to_0_if condition for bounded, telic situations.",0,high,"The target 'have been paid' denotes a change-of-state event (transition from unpaid to paid status) with a bounded completion point, which is a dynamic eventive boundary rather than a static condition holding over time.",0,high,"The clause 'they have been paid in full' presents a situation as having actually occurred in the actual world (the hypocrites have received their reward), without any indication that it is contrary to fact, so it does not instantiate ClCntfcl.",0.0,high,"The negator 'not' in 'Do not pray' negates the imperative verb 'pray', not the target gram 'have been paid', which appears in a separate declarative clause expressing a positive assertion about payment received.",0,high,"The verb 'have been paid in full' entails a change of possession/financial status that results in a current state of being paid, which persists at the reference time, triggering the set_to_0_if condition.",0,high,This is a stative copula construction ('have been paid') where 'been' + past participle describes a resulting state rather than encoding a transition; the clause reports a completed payment without indicating that a persisting result state holds at the reference time.,0,high,"The clause describes a completed transition into a new state (receiving payment in full) rather than a situation holding continuously over time, and lacks any duration adverbial or habitual framing.",1,high,The clause 'they have been paid in full' presents a bounded passive transition event (payment as a completed occurrence) with a completion-measure adverbial ('in full') that profiles the situation as a bounded whole rather than an ongoing state.,0,high,"The gram 'have been paid' asserts a realized fact in the actual world within the speaker's assurance ('I assure you'), with no modal, conditional, future, or hypothetical context present.",0.0,high,"The gram 'have been paid' is a simple present perfect passive (present-tense 'have' + past participle 'paid'), with 'been' followed by a past participle rather than a progressive '-ing' form, matching the set_to_0_if condition for simple present passives.",1,high,"The target 'have been paid' instantiates passive voice morphology (auxiliary 'have' + 'been' + past participle 'paid' of transitive verb 'pay'), with the grammatical subject 'they' corresponding to the semantic patient (the entity receiving payment), satisfying the set_to_1_if conditions."
