TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation,DtExp/DtRes,DtExp/DtUniv,DtRes/DtUniv,DtExp/DtRes/DtUniv,DtHP,DtHP_excused,ASTrns/ASUncc,ASTrns/ASUnrg,ASUncc/ASUnrg,ASTrns/ASUncc/ASUnrg,ASHP,AktState/AktAct,AktAcc/AktAch,AktMultiple,AktHP,TLAspPfv/DtUniv,TLAspPfv/AktState,TLAspPfv/AktAct
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The clause is morphologically passive ('had been promised'), and the lexical verb 'promise' licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase, and the target verb introduces an overt grammatical subject and an overt direct object.",0,high,"The clause is morphologically passive, and the lexical verb licenses an external argument (whether overtly expressed or suppressed).",0,high,"The verb 'had been promised' licenses an internal argument ('to Joseph in marriage'), thus it does not instantiate ASUnrg.",0,high,"The verb 'had been promised' denotes a state change without a durative process phase leading to a defined result condition, as it represents a commitment or agreement made at a specific point in time rather than an event unfolding over time.",0,high,"The event 'had been promised' unfolds over a measurable duration rather than occurring at a single temporal boundary, and does not denote a punctual or near-instantaneous transition into a new state.",0.0,high,"The situation 'had been promised' entails a specific endpoint or defined result state, which is the completion of the promise, thus it is not an activity.",0,high,"The event 'had been promised' does not represent a single punctual dynamic occurrence without a resulting change of state; rather, it implies a state of being promised, which is not a punctual event and entails a resulting state.",0,high,"The gram 'had been promised' is morphologically marked as progressive, which entails dynamic unfolding and is incompatible with stative readings.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'had been promised' does not contain any explicit negation.,0,high,The clause 'His mother Mary had been promised to Joseph in marriage' does not contain any temporal adverbial.,0,high,"The verb 'promised' entails a change of social/legal status that remains in effect at the reference time, so the annotation is 0.",1,high,"The verb describes a change of social/legal status ('promised'), and that status is currently held.",0,medium,"The clause describes a state of being promised, which is a transition into a new state rather than a situation holding continuously across the time span, thus it is not universal.",0,high,"The gram has the form 'have been' + past participle (passive), but the clause does not assert a bounded event, rather it describes a state leading up to the marriage.",0,high,"The gram 'had been promised' asserts a past event as a realized fact, not a hypothetical or unrealized situation.",1,high,"The auxiliary 'had' is morphologically past, indicating a past perfect construction, so the feature TLTS is present.",1,high,"The gram 'had been promised' has the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the grammatical subject 'His mother Mary' corresponds to the semantic patient (the entity affected by the event), not the agent.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,The target verb 'had commanded' introduces an overt grammatical subject ('the angel of God') and an overt direct object ('him to do').,0,high,"The target verb 'had commanded' licenses an external argument ('he'), so the feature ASUncc is not instantiated.",0,high,"The verb 'commanded' licenses an internal argument ('him to do'), so the feature ASUnrg is not instantiated.",0,high,"The verb 'commanded' denotes a punctual event requiring preparation but without a process phase, as it does not unfold over a measurable duration leading up to completion.",0,high,"The event 'had commanded' does not denote a punctual or near-instantaneous transition into a new state, nor does it lack measurable internal duration.",0.0,high,"The situation entails a specific, inherent endpoint or defined result state, as the command is given and then followed.",0,high,"The event 'had commanded' does not represent a single punctual occurrence without a resulting change of state; rather, it implies a process or instruction that leads to a subsequent action or state, thus not fitting the definition of AktSemel.",0,high,"The verb 'commanded' denotes a bounded event involving a change of state, specifically the issuance of a command, which is incompatible with the AktState feature.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'had commanded' is not negated by any negator in the sentence.,1,high,"The clause 'When Joseph woke up, he did what the angel of God had commanded him to do' contains the clausal past time anchor 'When Joseph woke up', so DtDTAM is present.",0,high,"The verb 'commanded' does not focus on the occurrence of an experience at least once, but rather on the completion of the action, and the resulting state of obedience.",0,high,"The verb 'commanded' does not entail that the command is currently in effect, it merely reports a past interaction.",0,high,"The clause describes a discrete, bounded event (commanding) rather than a situation holding continuously across a time span.",1,high,"The clause presents the situation as a single bounded occurrence with a construed endpoint, rather than as ongoing or habitual.",0,high,"The gram 'had commanded' asserts a realized situation in the past, not a hypothetical or projected one.",1,high,"The auxiliary 'had' is morphologically past, indicating that the gram instantiates TLTS.",0,high,"The target 'had commanded' is in the active voice, where the subject 'angel of God' is the agent and the object 'him' is the patient.",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,The target verb 'has come near' does not introduce an overt internal argument (direct or indirect object).,1,high,The verb 'has come near' denotes directed motion or change-of-location where the sole argument undergoes displacement and no external argument is licensed.,0,high,The verb 'has come near' denotes a change-of-location event in which the sole argument functions as an internal argument (theme/patient) rather than an external argument.,0,high,"The verb 'has come near' denotes directed motion toward a spatial or abstract goal, but the event lacks a durative process phase leading to a defined result state, and the sentence can be modified by a durative 'for X time' adverbial without implying completion of a defined goal.",1,high,"The verb phrase 'has come near' denotes a punctual transition into a new state of proximity, indicating a change of state and can be modified by a specific time-point adverbial.",0.0,high,"The situation entails a specific, inherent endpoint or defined result state, as 'come near' implies reaching a state of proximity.",0,high,"The event 'has come near' entails a transition into a new resulting state of proximity, thus it is not a single punctual occurrence without a consequent result condition.",0,high,"The verb phrase 'has come near' denotes a change-of-state or event boundary, indicating dynamic activity rather than a static condition, thus failing the criteria for AktState.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'has come near' is not negated.,0,high,There is no temporal adverbial of any sort present in the text.,0,high,"The verb entails a change of location or state, and that resulting state holds at the reference time.",1,high,The verb 'come' is a motion verb where the mover has moved to a destination and remains there at the reference time.,0,high,"The verb entails a transition into a new state, and the focus is on that transition rather than on a situation holding over time.",1,high,"The predicate 'has come near' is construed as a transition event, where the transition itself is asserted as a completed whole.",0,high,"The gram 'has come near' asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'has come near' is formed with present-tense 'has' followed by a past participle, with no additional modal, future, or progressive marking, so the feature TLTS is not present.",0,high,"The grammatical subject 'kingdom of heaven' corresponds to the semantic agent of the verb 'come', not the semantic patient, and there is no 'by'-phrase.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,The target verb 'have approved' introduces an overt grammatical subject ('I') and an overt direct object ('whom').,0,high,"The target verb 'have approved' licenses an external argument ('I'), therefore it is not unaccusative.",0,high,The verb 'have approved' licenses an internal argument ('whom I love').,0,high,The verb 'approve' denotes a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase.,0,high,"The event 'have approved' can naturally occur as the complement of 'finish', indicating completion of a durative process, thus it is not an achievement.",0.0,high,"The situation entails a specific, inherent endpoint or defined result state, as 'approved' implies a completed action of giving approval.",0,high,"The event 'have approved' entails a transition into a new resulting state, thus it is not AktSemel.",0,high,"The verb 'have approved' denotes a bounded perceptual or cognitive event marking the completion of approval, which encodes eventive change rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have approved' is not negated.,1,high,"The clause contains the lexical past time adverb 'Then', which means 'at that time' in this context.",0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, so the annotation is 0.",1,high,"The verb 'approve' describes a change of social/legal status, and the context implies that the approved status is currently held.",0,high,The clause describes a discrete event (approval) rather than a situation holding continuously across a time span.,1,high,"The predicate 'have approved' is construed as a transition event, where the transition itself is asserted as a completed whole.",0,high,"The gram 'have approved' asserts a situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'have approved' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking, so the feature TLTS is not present.",0,high,"The target 'have approved' is in the active voice because the subject 'I' is the agent of the verb 'approve', not the patient.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The clause 'John had been arrested' is morphologically passive, and the lexical verb 'arrested' licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed.",0,high,"The clause is morphologically passive, and the lexical verb licenses an external argument (whether overtly expressed or suppressed).",0,high,The verb 'had been arrested' denotes a change-of-state event in which the sole argument functions as an internal argument (theme/patient) rather than an external argument.,0,high,The verb 'arrest' denotes a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase.,1,high,The verb 'had been arrested' denotes a punctual transition into a new state (being under arrest).,0.0,high,"The situation 'had been arrested' entails a specific, inherent endpoint or defined result state, thus it is not an activity.",0,high,"The event 'had been arrested' entails a transition into a new resulting state of being under arrest, thus it is not a single punctual dynamic occurrence that does not entail a resulting change of state.",0,high,"The gram 'had been arrested' is morphologically marked as progressive, which entails dynamic unfolding and is incompatible with stative readings.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'had been arrested' is not negated in the sentence.,0,high,The clause 'John had been arrested' does not contain any temporal adverbial.,0,high,"The event 'John had been arrested' sets the scene for the next plot point ('Jesus withdrew'), and the resulting state of the event is relevant for subsequent discourse, so it is classified as non-experiential (0) according to the 'Narrative Progression' edge case.",1,high,"The verb 'arrested' describes a change of social/legal status, and that status is currently held.",0,high,The clause describes a discrete event (arrest) rather than a situation holding continuously across a time span.,1,high,"The gram 'had been arrested' has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process.",0,high,"The gram 'had been arrested' asserts a realized fact in the actual world, and none of the modal, conditional, future, or wish contexts apply.",1,high,"The auxiliary 'had' is morphologically past, indicating a past perfect construction, thus the feature TLTS is present.",1,high,"The gram 'had been arrested' has the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the grammatical subject 'John' corresponds to the semantic patient.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,0,high,The target verb 'have heard' does not introduce an overt internal argument (direct or indirect object).,0,high,"The target verb 'have heard' licenses an external argument 'You', therefore it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument ('it'), so the feature ASUnrg is not instantiated.",0,high,"The verb 'have heard' denotes a punctual or near-instantaneous change-of-state or boundary transition into awareness or understanding without a durative process phase, so the feature AktAcc is not instantiated.",0,medium,"The event 'have heard' can be interpreted as a durative process, and does not necessarily represent a punctual transition into a new state of awareness.",0.0,high,"The verb denotes a bounded perceptual or cognitive event marking the onset of awareness ('heard the news'); even if the stimulus is extended, the awareness event is treated as a single completed occurrence.",0,high,"The event 'have heard' unfolds over a measurable duration rather than occurring as a single punctual occurrence, thus it is not AktSemel.",0,high,"The verb 'have heard' denotes a bounded perceptual or cognitive event marking the onset or completion of awareness, which encodes eventive change rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have heard' is not negated in the sentence.,0,high,There is no temporal adverbial of any sort present in the text.,1,high,"The verb 'hear' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",0,high,The verb 'hear' does not entail a resulting state that holds at the reference time; it is a perception event.,0,high,"The clause describes a discrete event ('heard') rather than a situation holding continuously across a time span, and there are no duration adverbials.",1,medium,"The predicate 'hear' can be construed as a transition event where the transition itself is asserted as a completed whole, and the clause presents the situation as a single bounded occurrence with a construed endpoint.",0,high,"The gram 'have heard' asserts a situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking, so the feature TLTS is not present.",0,high,"The grammatical subject 'You' corresponds to the semantic agent (the one who hears), not the semantic patient; therefore, it is not passive.",N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,The target verb 'have heard' introduces an overt grammatical subject ('You') and an overt direct object ('it').,0,high,"The verb 'have heard' licenses an external argument ('You'), so it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument ('it'), so the feature ASUnrg is not instantiated.",0,high,The verb 'have heard' denotes a punctual or near-instantaneous change-of-state or boundary transition into awareness without a durative process phase.,1,high,The verb 'have heard' denotes a punctual perceptual or cognitive transition into awareness or recognition.,0.0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is not an activity.",0,high,"The event 'have heard' unfolds over a measurable duration rather than occurring as a single punctual occurrence, thus it is not AktSemel.",0,high,"The verb 'have heard' denotes a bounded perceptual or cognitive event marking the onset or completion of awareness, which encodes eventive change rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have heard' is not negated.,0,high,"There is no temporal adverbial in the clause, so the feature DtDTAM is not present.",1,high,"The verb 'hear' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",0,high,The verb 'hear' does not entail a resulting state that holds at the reference time; it merely reports a past interaction without a persisting state.,0,medium,"The clause describes a discrete event ('heard') rather than a situation holding continuously across a time span, so DtUniv is not instantiated.",1,high,"The predicate 'hear' is construed as a transition event, and the clause presents the situation as a single bounded occurrence with a construed endpoint.",0,high,"The gram 'have heard' asserts a situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking, so the feature TLTS is not present.",0,high,"The grammatical subject 'You' corresponds to the semantic agent (the one who hears), not the semantic patient, thus it is not passive.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1,high,The target verb 'have heard' introduces an overt grammatical subject ('You') and an overt direct object ('it').,0,high,"The target verb 'have heard' licenses an external argument 'You', therefore it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument ('it'), so the feature ASUnrg is not instantiated.",0,high,"The verb 'have heard' denotes a punctual or near-instantaneous transition into awareness or understanding, lacking a durative process phase, thus it is classified as achievement (0).",0,high,"The event 'have heard' does not denote a punctual perceptual or cognitive transition into awareness or recognition, but rather a state of having heard something, thus it is not an achievement.",0.0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is not an activity.",0,high,"The event 'have heard' unfolds over a measurable duration rather than occurring as a single punctual occurrence, thus it is not AktSemel.",0,high,"The verb 'have heard' denotes a bounded perceptual or cognitive event marking the onset or completion of awareness, which encodes eventive change rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,"The target gram 'have heard' is not negated by 'not' or 'n't', nor does it contain a negative quantifier or 'never', and it does not appear in a 'neither...nor' construction.",0,high,There is no temporal adverbial of any sort present in the text.,1,high,"The verb 'hear' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",0,high,"The verb 'hear' is a communication verb, and the clause does not entail that the information is currently in effect, but merely reports a past interaction.",0,high,The clause describes a discrete event ('heard') rather than a situation holding continuously across a time span.,1,high,"The predicate 'have heard' is construed as a transition event, where the transition itself is asserted as a completed whole.",0,high,"The gram 'have heard' asserts a situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking, so the feature TLTS is not present.",0,high,"The grammatical subject 'You' corresponds to the semantic agent (the one doing the hearing), not the semantic patient, thus it is not passive.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1,high,"The clause is morphologically passive ('have been paid'), and the lexical verb 'pay' licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",0,high,"The clause is morphologically passive, and the lexical verb licenses an external argument (whether overtly expressed or suppressed).",0,high,"The verb 'have been paid' licenses an internal argument ('paid in full'), so it does not fit the criteria for ASUnrg.",0,high,"The verb 'have been paid' denotes a punctual event requiring preparation but without a process phase, as the payment is a single transaction, thus it does not instantiate AktAcc.",0,high,"The event 'have been paid' can naturally occur as the complement of 'finish', indicating completion of a durative process, thus it is not an achievement.",0.0,high,"The situation entails a specific, inherent endpoint or defined result state ('paid in full'), so it is not an activity.",0,high,"The event 'have been paid' entails a transition into a new resulting state of being paid, thus it is not AktSemel.",0,high,"The gram 'have been paid' involves a completed event of payment, indicating a change of state rather than a static condition, and the passive voice implies an action performed on the subject.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have been paid' is not negated in the sentence.,0,high,There is no temporal adverbial in the clause to anchor the event to a specific past time interval.,0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as 'have been paid' implies they received payment and the benefit of that payment persists.",0,high,"The clause indicates that the hypocrites have received their reward (praise) in full, but the context does not indicate that this reward is currently in effect; it refers to a past event without a persisting state.",0,high,The clause describes a discrete event (being paid) rather than a situation holding continuously across a time span.,1,high,"The gram has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process, as the hypocrites have already received their reward.",0,high,"The gram 'have been paid' asserts a situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'have been paid' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking, thus it is a simple present perfect.",1,high,"The gram has the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the grammatical subject corresponds to the semantic patient.",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The clause is morphologically passive, and the lexical verb 'pay' licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",0,high,"The clause is morphologically passive, and the lexical verb licenses an external argument (whether overtly expressed or suppressed).",0,high,"The verb 'have been paid' licenses an internal argument ('in full'), thus it is not an unergative verb.",0,high,"The verb 'have been paid' denotes a punctual event requiring preparation but without a process phase, as the payment itself is the instantaneous event, not a durative process leading to a result.",0,high,The event 'have been paid' unfolds over a measurable duration rather than occurring at a single temporal boundary.,0.0,high,"The situation entails a specific, inherent endpoint or defined result state, as 'paid in full' indicates completion of the payment.",0,high,"The event 'have been paid' entails a transition into a new resulting state of being paid in full, thus it is not a semelfactive event.",0,high,"The gram 'have been paid' is morphologically marked as passive progressive, which entails dynamic unfolding and is incompatible with stative readings.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have been paid' does not contain any explicit negation.,0,high,"There is no temporal adverbial in the clause 'they have been paid in full', so the clause does not instantiate DtDTAM.",0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.,0,high,"The verb 'have been paid' describes a completed action, but the context does not indicate that the resulting state (e.g., continued satisfaction or obligation) is currently in effect, so it does not instantiate DtRes.",0,high,"The clause describes a completed action (being paid in full) rather than a situation holding continuously across a time span, thus it is not DtUniv.",1,high,"The gram has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process, and the clause contains a completion-measure adverbial ('in full') that profiles the situation as bounded.",0,high,"The gram asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",1,high,"The gram 'have been paid' includes 'been' followed by a passive participle, indicating a progressive perfect construction, which is marked as TLTS.",1,high,"The gram has the form auxiliary 'have' + 'been' + past participle of a transitive verb ('paid'), and the grammatical subject ('they') corresponds to the semantic patient (the entity affected by the event), not the agent.",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N
