TokenID,FullText,Target,annotation,confidence,explanation
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,0,high,The verb entails a change of social/legal status that remains in effect at the reference time.
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,0,high,"The verb 'commanded' entails a change of social/legal status that remains in effect at the reference time, so the feature DtExp is not instantiated."
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,"The verb entails a change of location, and the subject remains at that location at the reference time."
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, so the gram is not experiential."
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,0,high,"The event 'had been arrested' sets the scene for the next plot point ('Jesus withdrew'), and the resulting state of the event is relevant for subsequent discourse, so it is classified as non-experiential (0)."
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer."
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,"The verb 'hear' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates DtExp."
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1,high,"The verb 'heard' denotes perception where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates DtExp."
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as the subject has received their reward and the state of having been paid holds."
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,0,high,The verb entails a change of possession or social/legal status that remains in effect at the reference time.
40006016,"» When you abstain from food , do not be like the hypocrites , with sad faces to be seen by men . They have received their reward .",have received,0,high,"The verb 'have received' entails a change of possession or social/legal status that remains in effect at the reference time, so the annotation is 0."
40007028,"When Jesus had finished these words , the crowds were astonished at what he taught .",had finished,0,high,"The verb 'finished' entails a change of state, and the resulting state (the completion of the words) is relevant for the subsequent discourse, setting the scene for the crowds' astonishment, thus it is not experiential."
40008010,"When Jesus heard it , he was amazed , and said to the crowd : » I tell you , I have not found such great faith in Israel .",have not found,1,high,"The gram is a negative Perfect ('have not found'), which functions as a claim about the absence of the event in the subject's history."
40008029,"They screamed at him , saying : » What have we to do with you , Son of God ? Have you come to torment us before the time ? «",have you come,0,high,"The verb 'come' entails a transition into a new physical location, and the subject remains at that location at the reference time."
