TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation,DtExp/DtRes,DtExp/DtUniv,DtRes/DtUniv,DtExp/DtRes/DtUniv,DtHP,DtHP_excused,ASTrns/ASUncc,ASTrns/ASUnrg,ASUncc/ASUnrg,ASTrns/ASUncc/ASUnrg,ASHP,AktState/AktAct,AktAcc/AktAch,AktMultiple,AktHP,TLAspPfv/DtUniv,TLAspPfv/AktState,TLAspPfv/AktAct
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The passive construction 'had been promised' licenses both an external argument (agent, possibly unexpressed) and an internal argument (patient, 'Mary'), satisfying the set_to_1_if condition for a two-participant event.",0,high,"'had been promised' licenses an external argument (the promiser), and the clause contains an overt indirect object (Mary), so it is not unaccusative.",0,high,"The verb 'had been promised' licenses an internal argument (the recipient Mary), so it does not instantiate ASUnrg.",0,high,'had been promised' denotes a past state or a punctual event of promise without a durative process leading to a defined endpoint or result state.,0,high,"'had been promised' describes a state or condition resulting from a prior event rather than a punctual, near-instantaneous transition into a new state.",0,high,"'had been promised' denotes a completed, bounded event with a defined result state (a promise made), not a dynamic, durative unfolding activity.",0,high,"'had been promised' entails a resulting state of having received a promise, not a punctual single bounded occurrence without change of state.",1,high,'had been promised' denotes a stable relational configuration (a promise made and holding over time) without dynamic change or eventive unfolding.,0,high,The clause 'His mother Mary had been promised to Joseph in marriage' presents a factual past event without any indication of counterfactuality or contrary-to-fact conditions.,0,high,The target gram 'had been promised' is not negated; no negator or negative quantifier applies to it in the sentence.,0,high,"The clause containing 'had been promised' does not contain any overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The phrase 'had been promised' entails a change of social/legal status (promise of marriage) that remains in effect at the reference time, thus it does not present the event as part of life history without asserting a resulting state.",1,high,The phrase 'had been promised' describes a change of social/legal status (promise of marriage) that is currently held at the reference time.,0,high,The phrase 'had been promised' describes a discrete past event (a promise made) rather than a continuous or habitual state holding up to the reference time.,0,high,The phrase 'had been promised' is a passive perfect form but does not assert a bounded event; it describes a stative situation without a construed boundary and no completion-measure adverbial or transition event is present.,0,high,"The phrase 'had been promised' asserts a realized past fact about Mary being promised to Joseph, with no modal, conditional, future, or hypothetical context present.",1,high,"'had' is morphologically past and the construction 'had been promised' includes past auxiliary 'had' plus 'been' plus past participle, indicating a past perfect passive, thus instantiating TLTS.",1,high,"'had been promised' is auxiliary 'have' + 'been' + past participle of a transitive verb, the grammatical subject 'His mother Mary' is the semantic patient, and the agent is omitted, fulfilling the passive construction requirements.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,"The verb 'had commanded' introduces an overt grammatical subject ('the angel of God') and an overt direct object ('him'), fulfilling the two-participant event with an external agent and an internal patient.",0,high,"The verb 'had commanded' licenses an external argument (the angel of God as agent), so it is not unaccusative.",0,high,"The verb 'had commanded' licenses an internal argument ('him'), so it does not instantiate ASUnrg.",0,high,"'had commanded' denotes a punctual act of issuing an order, lacking a durative process phase or inherent endpoint unfolding over time.",0,high,"'had commanded' denotes a past state of having given an order, which is a stative or durative event rather than a punctual boundary transition.",0,high,"'had commanded' denotes a completed, bounded event with a defined result state (issuing a command), not a durative, ongoing activity.",0,high,'had commanded' entails a resulting change of state in the addressee's obligation or status and is not a single punctual occurrence.,0,high,"'had commanded' denotes a past completed action, a bounded dynamic event involving change-of-state, not a static or ongoing mental state.",0,high,"The clause describes a factual past event that actually occurred, with no indication of counterfactuality or regret.",0,high,The target gram 'had commanded' is not negated; no negation or negative quantifier applies to it in the sentence.,1,high,The clause contains the temporal conjunction 'when' which explicitly anchors the event to a specific past time interval.,1,high,"The phrase 'had commanded' refers to a past event that occurred at least once in Joseph's life history without asserting a resulting state, fitting the intuition and no veto conditions apply.",0,high,"The verb 'had commanded' reports a past communication event without indicating that the command or its effect is currently in force, thus no resulting state holding at the reference time is entailed.",0,high,'had commanded' refers to a discrete past event (the angel's command) rather than a continuous or habitual state holding up to the reference time.,1,high,"'had commanded' presents a completed, bounded event in the past that functions as a discrete step in the narrative sequence, fulfilling the set_to_1_if conditions.",0,high,"'had commanded' asserts a realized past event as fact within the narrative, with no modal, conditional, or hypothetical context.",1,high,"'had commanded' uses the morphologically past auxiliary 'had', indicating past perfect tense, which meets the set_to_1_if condition.",0,high,The phrase 'had commanded' is active past perfect with the agent 'the angel of God' as subject and the patient 'him' as object; it lacks the auxiliary 'been' and past participle form required for VcPass.,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,"The verb phrase 'has come near' does not introduce an overt internal argument (direct or indirect object) and is intransitive here, describing a state or event without an affected patient.",1,high,"'has come near' denotes directed motion/change-of-location where the sole argument undergoes displacement and no external argument is licensed, matching unaccusative criteria.",0,high,"The verb phrase 'has come near' denotes a change-of-location event where the sole argument functions as an internal argument (theme/patient), not an external agent, thus it does not instantiate ASUnrg.",0,high,"'has come near' denotes a punctual or near-instantaneous boundary transition without a durative process phase, thus not instantiating AktAcc.",1,high,"'has come near' denotes a punctual or near-instantaneous transition into a new state (the kingdom of heaven reaching a proximate boundary), fitting the definition of an achievement.",0,high,"'has come near' denotes a punctual, bounded event indicating a change of state or location with a defined result, not a durative unfolding activity.",0,high,"'has come near' entails a resulting change of state (a new state of proximity or arrival), so it does not instantiate AktSemel.",0,high,"'has come near' denotes a dynamic change of state or event boundary indicating approach, thus involving internal eventive unfolding.",0,high,The clause 'the kingdom of heaven has come near' presents a factual statement without any indication of counterfactuality or contrary-to-fact conditions.,0,high,The target gram 'has come near' is not negated; there is no negator or negative quantifier affecting it in the sentence.,0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial anchoring the event to a specific past time interval.",0,high,"The phrase 'has come near' entails a change of location with the kingdom now near, indicating a resulting state at the reference time rather than a life-history event.",1,high,"The verb phrase 'has come near' is a motion verb indicating a change of location, and the phrase 'the kingdom of heaven has come near' implies that the kingdom is currently near, so the resulting state holds at the reference time.",0,high,The phrase 'has come near' describes a punctual event indicating a transition rather than a continuous or habitual state holding over time.,1,high,"The predicate 'has come near' denotes a transition event ('come near') asserted as a completed whole, presenting the situation as a bounded occurrence with a construed endpoint.",0,high,"The phrase 'has come near' asserts a realized situation in the actual world without modal, conditional, future, or hypothetical context.",0,high,"The gram 'has come near' is formed with present-tense 'has' followed by a past participle with no modal, future, or progressive marking, indicating simple present perfect.",0,high,'has come near' is an active intransitive verb phrase without passive morphology; no 'have been' + past participle construction and no patient subject or by-phrase present.,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,"The verb 'have approved' has an overt grammatical subject ('I') and an overt internal argument ('whom'), indicating a two-participant event directed from the subject to the object.",0,high,"'have approved' licenses an external argument (the subject 'I'), and the clause contains an overt direct object ('whom'), so it does not meet unaccusative criteria.",0,high,"The verb 'have approved' licenses an internal argument (the Son), so it does not instantiate ASUnrg.",0,high,'have approved' denotes a punctual change-of-state (approval) without a durative process phase or inherent endpoint unfolding over time.,1,high,"'have approved' denotes a punctual cognitive transition into a new state of recognition or acceptance, fitting the criteria for an achievement.",0,high,"'have approved' denotes a bounded, completed cognitive event with a defined result state (approval), not a dynamic, durative unfolding activity.",0,high,"'have approved' entails a resulting state of approval, thus it is not a punctual event without change of state.",0,high,"'have approved' denotes a completed dynamic event (an approval action) with an inherent endpoint, thus not a static state.",0,high,The clause 'whom I have approved' presents a factual statement without any indication of counterfactuality or contrary-to-fact conditions.,0,high,The target gram 'have approved' is not negated; there is no negator directly negating 'have approved' in the sentence.,1,high,'Then' in the clause is a lexical past time adverb explicitly anchoring the event to a specific past time interval.,0,high,"The verb 'have approved' entails a change of social/legal status (approval) that remains in effect at the reference time, indicating a resulting state rather than a mere life-history event.",1,high,"The verb 'have approved' indicates a change of social/legal status (approval) that is currently held, as the clause states 'This is my Son whom I have approved,' implying the approval remains in effect.",0,high,The clause describes a discrete bounded event of approval rather than a continuous or habitual state holding over time.,0,high,'have approved' is a present perfect stative predicate indicating a state of approval without a construed boundary or transition event; the clause does not present a bounded whole or completion.,0,high,"The phrase 'I have approved' asserts a realized fact in the actual world with no modal, conditional, future, or hypothetical context present.",0,high,"The gram 'have approved' is formed with present-tense 'have' followed by a past participle, with no modal, future, or progressive marking.",0,high,The target 'have approved' is active voice with the agent as the subject and no auxiliary 'been' plus past participle; thus it does not instantiate VcPass.,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The passive clause 'had been arrested' involves a lexical verb licensing both an external agent (implied or in a 'by'-phrase) and an internal patient (the overt subject 'John'), satisfying the conditions for ASTrns.",0,high,"'had been arrested' is a passive construction licensing an external argument (agent), so it does not instantiate ASUncc.",0,high,"The verb phrase 'had been arrested' licenses an internal argument (the person arrested) and denotes a change-of-state event where the sole argument is a theme/patient, not an external agent.",0,high,"'had been arrested' denotes a punctual, near-instantaneous change-of-state (arrest) without a durative process phase or inherent endpoint unfolding over time.",1,high,"'had been arrested' denotes a punctual change-of-state event marking the boundary of transition into the arrested state, fitting the achievement criteria.",0,high,"'had been arrested' denotes a completed, bounded event with a defined result state (the arrest), not a dynamic, durative unfolding activity.",0,high,"'had been arrested' entails a resulting change of state (being under arrest), so it does not instantiate AktSemel.",0,high,"'had been arrested' denotes a bounded dynamic event (a completed change-of-state) and is morphologically marked as past perfect progressive, indicating eventive unfolding incompatible with AktState.",0,high,"The clause presents the situation as having actually occurred, with no indication it is contrary to fact.",0,high,The target gram 'had been arrested' is not negated; there is no negator directly negating this event in the sentence.,0,high,"The clause 'John had been arrested' contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The phrase 'had been arrested' introduces a resulting state (being in custody) relevant for subsequent discourse, thus it is non-experiential according to the edge_cases rule.",1,high,The verb phrase 'had been arrested' indicates a change of state (from free to arrested) and the past perfect implies that the resulting state (being arrested) holds at the reference time of the main clause.,0,high,"'had been arrested' describes a discrete, bounded event (an arrest) rather than a continuous or habitual state holding over a time span.",1,high,"'had been arrested' is a perfect passive form asserting a completed, bounded event (the arrest) rather than an ongoing process, matching the set_to_1_if condition for a bounded whole.",0,high,"'had been arrested' is presented as a reported past event asserted as realized in the actual world, with no modal, conditional, or hypothetical context.",1,high,"'had been arrested' includes the morphologically past auxiliary 'had', indicating past perfect tense, which satisfies the set_to_1_if condition.",1,high,"'had been arrested' is auxiliary 'had' + 'been' + past participle 'arrested' of a transitive verb; the grammatical subject 'John' corresponds to the semantic patient (the one affected by the arrest), and the passive construction is morphologically marked.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1,high,"The target verb 'have heard' introduces an overt grammatical subject 'You' and an overt direct object 'it', satisfying the condition for ASTrns.",0,high,"'have heard' licenses an external argument (the subject 'you' is the experiencer/agent), and the verb takes an overt direct object ('it'), so it does not meet unaccusative criteria.",0,high,"The verb 'have heard' licenses an internal argument ('it'), so it does not meet the ASUnrg feature criteria.",0,high,"'have heard' denotes a punctual cognitive event of becoming aware, lacking a durative process phase leading to a defined endpoint, thus it is an achievement, not an accomplishment.",1,high,"'have heard' denotes a punctual cognitive transition into awareness, fitting the definition of an achievement.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is a single completed occurrence without dynamic unfolding.",0,high,'have heard' entails a durative or experiential event rather than a single punctual occurrence without change of state.,0,high,"'have heard' denotes a bounded perceptual event marking the completion of awareness, which involves dynamic change and eventive unfolding, thus not instantiating AktState.",0,high,The clause 'You have heard it was said' presents a factual statement without any indication of counterfactuality or contrary-to-fact conditions.,0,high,"The auxiliary 'have' in 'have heard' is not negated; the negation 'not' applies to 'commit adultery', not to 'have heard'.",0,high,"The clause 'You have heard it was said' contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",1,high,"The verb 'have heard' denotes a perception event focusing on the occurrence of an experience at least once, fitting the experiential feature without indicating a resulting state.",0,high,The verb 'have heard' is a communication verb reporting a past interaction without indicating that the information is currently in effect or that a resulting state holds at the reference time.,0,high,"The phrase 'You have heard' refers to a discrete event of hearing something, not a continuous or habitual state extending over time.",0,high,'have heard' here is a present perfect stative usage indicating knowledge or experience without a bounded endpoint or transition; no completion adverbials or narrative sequencing present.,0,high,"The phrase 'You have heard' asserts a realized fact (that the listener has heard something), with no modal, conditional, future, or hypothetical context present.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking, indicating simple present perfect.",0,high,"The target 'have heard' is an active perfect construction with 'you' as the agent subject; there is no 'been' auxiliary or passive morphology, and the subject is the agent, not the patient.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,"The target verb 'have heard' introduces an overt grammatical subject 'You' and an overt direct object 'it', satisfying the conditions for ASTrns.",0,high,"The verb 'have heard' licenses an external argument (the experiencer 'you') and the clause contains an overt object 'it', so it does not meet unaccusative criteria.",0,high,"The verb 'have heard' licenses an internal argument 'it', so it does not instantiate ASUnrg.",0,high,"'have heard' denotes a punctual cognitive event of becoming aware or perceiving, lacking a durative process phase leading to a defined endpoint, thus it is not an accomplishment.",1,high,"'have heard' denotes a punctual cognitive transition into awareness, fitting the definition of an achievement.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is a single completed occurrence without durative unfolding.",0,high,'have heard' entails a resulting state of having knowledge and is not a single punctual occurrence but a stative or experiential event.,0,high,"The phrase 'have heard' denotes a bounded perceptual event marking the completion of awareness, which involves dynamic change and eventive unfolding, thus not instantiating AktState.",0,high,The clause 'You have heard it said' presents a factual statement without any indication of counterfactuality or regret.,0,high,The target gram 'have heard' is not negated; there is no negator directly negating 'have heard' in the sentence.,0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",1,high,"The phrase 'have heard' denotes a perception verb focusing on the occurrence of an experience at least once, fitting the experiential feature DtExp.",0,high,The verb 'have heard' is a communication verb reporting a past interaction without indicating that the information is currently in effect or that a resulting state holds.,0,high,"'have heard' here refers to a discrete event of hearing a saying, not a continuous or habitual state holding over time.",0,high,'have heard' here is a present perfect stative use indicating knowledge or experience without a bounded endpoint or transition; no completion adverbials or narrative step present.,0,high,"'have heard' is used in a declarative statement asserting a realized fact, with no modal, conditional, future, or hypothetical context.",0,high,"The gram uses present-tense 'have' followed by a past participle with no modal, future, or progressive marking, indicating simple present perfect.",0,high,"The target 'have heard' is an active perfect construction with 'have' + past participle, lacking the auxiliary 'been' and no passive morphology; the subject 'you' is the agent, not the patient.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1,high,"The target verb 'have heard' introduces an overt grammatical subject 'You' and an overt direct object 'it', satisfying the condition for ASTrns.",0,high,"The verb 'have heard' licenses an external argument (the experiencer 'you') and takes an overt direct object 'it', so it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument 'it' (direct object), so it does not instantiate ASUnrg.",0,high,"'have heard' denotes a punctual cognitive event of perceiving or becoming aware, which is near-instantaneous and lacks a durative process phase leading to a defined endpoint.",1,high,"'have heard' denotes a punctual cognitive transition into awareness, fitting the criteria for AktAch.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is a single completed occurrence without durative unfolding.",0,high,'have heard' entails a resulting state of having knowledge or information and is not a single punctual occurrence but a stative or experiential event.,0,high,"The phrase 'have heard' denotes a bounded perceptual event marking the completion of awareness, which involves dynamic change and eventive unfolding, thus not instantiating AktState.",0,high,"The clause 'You have heard it said' presents a factual statement about what the listener has heard, with no indication of counterfactuality or contrary-to-fact conditions.",0,high,The target gram 'have heard' is not negated; there is no negator directly negating 'have heard' in the sentence.,0,high,"The clause containing 'have heard' does not contain any overt lexical, phrasal, or clausal past time adverbial anchoring the event to a specific past time interval.",1,high,"The verb 'have heard' denotes a perception event focusing on the occurrence of the experience at least once, fitting the experiential feature without asserting a resulting state.",0,high,The verb 'have heard' reports a past perception event without indicating a resulting state currently in effect; it does not encode a change of state holding at the reference time.,0,high,"The phrase 'have heard' describes a discrete event of hearing, not a continuous or habitual state extending to the reference time.",0,high,'have heard' here is a present perfect stative verb indicating a past experience without a bounded endpoint or transition; no completion adverbials or narrative step present.,0,high,"'have heard' is a present perfect asserting a realized fact in the actual world without modal, conditional, or future context.",0,high,"'have heard' is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking, matching simple present perfect.",0,high,"'have heard' is an active perfect construction with the grammatical subject as agent, not a passive formed with 'have been' + past participle.",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1,high,"The passive construction 'have been paid' includes an external argument (agent) and an internal argument (patient), with the internal argument overtly expressed, satisfying the conditions for ASTrns.",0,high,"'have been paid' is a passive construction where the verb licenses an external argument (the agent who pays), so it does not meet the unaccusative criteria.",0,high,"The verb phrase 'have been paid' licenses an internal argument (the recipient of payment), so it does not instantiate ASUnrg.",0,high,"'have been paid' denotes a completed, punctual state resulting from a prior action, lacking a durative process phase or inherent endpoint unfolding over time.",0,high,"'have been paid' describes a completed state resulting from a prior process, not a punctual boundary transition event.",0,high,"'have been paid' denotes a completed, bounded event with a defined result state (payment completed), not a dynamic, durative unfolding activity.",0,high,"'have been paid' entails a resulting change of state (the state of having been paid), so it is not a punctual event without a resulting state.",0,high,"'have been paid' is a perfect passive construction indicating a completed, bounded event (payment completed), thus involving dynamic change and event boundary, not a stative condition.",0,high,The clause 'they have already been paid in full' presents a factual past event without any indication of being contrary to fact or counterfactual.,0,high,"The target gram 'have been paid' is not negated; the sentence states 'they have already been paid in full,' indicating the event has occurred.",1,high,"The clause contains the lexical past time adverb 'already', which explicitly anchors the event to a specific past time interval.",0,high,"The phrase 'have already been paid in full' indicates a completed change of possession with a resulting state holding at the reference time, thus not instantiating DtExp.",0,high,'have been paid' here indicates a past completed action with no entailment that the resulting state (being paid) currently holds; it is a past interaction without a persisting state.,0,high,"The phrase 'have been paid' describes a completed, bounded event (payment already made), not a continuous or habitual state holding over time.",0,high,"The gram 'have been paid' is in the form 'have been' + past participle but the clause asserts a completed state ('have already been paid in full') rather than a bounded event, and the predicate is stative without a transition, so it does not instantiate TLAspPfv.",0,high,"'have been paid' is asserted as a realized fact in the actual world ('they have already been paid'), with no modal, conditional, future, or hypothetical context.",0,high,"'have been paid' is formed with present-tense 'have' followed by 'been' and a past participle, with no progressive or modal marking, thus it is a simple present perfect.",1,high,"The phrase 'have been paid' is auxiliary 'have' + 'been' + past participle of a transitive verb, the subject 'they' corresponds to the semantic patient, and the clause implies a passive construction consistent with the presence of a by-phrase in the broader context.",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The passive construction 'have been paid' involves an external argument (payer, possibly expressed in a 'by'-phrase) and an internal argument (the recipient, here overtly expressed as 'them'), satisfying the conditions for ASTrns.",0,high,"The verb phrase 'have been paid' is passive and involves an external agent (payer), so it licenses an external argument, which vetoes ASUncc.",0,high,"'have been paid' licenses an internal argument (the recipient of payment), so it does not instantiate ASUnrg.",0,high,"'have been paid' denotes a punctual, completed transaction without a durative process or inherent endpoint unfolding over time, thus it is not an accomplishment.",1,high,"'have been paid' denotes a punctual change-of-state event marking the completion of payment, a clear boundary transition into a new state.",0,high,"'have been paid' denotes a completed, bounded event with a defined result state (payment completed), not a dynamic, durative unfolding activity.",0,high,"'have been paid' entails a resulting change of state (the payment is completed), so it is not a punctual event without result state.",0,high,"'have been paid' denotes a completed, bounded event (payment), involving dynamic change and event boundary, thus not a stative AktState.",0,high,"The clause 'they have been paid in full' presents the situation as factual and completed, with no indication of counterfactuality or regret.",0,high,"The target gram 'have been paid' is not negated; the sentence states they 'have been paid in full', indicating the event occurred.",0,high,"The clause 'they have been paid in full' contains no overt lexical, phrasal, or clausal past time adverbial anchoring the event to a specific past time interval.",0,high,"The phrase 'have been paid in full' entails a completed change of possession with a resulting state holding at the reference time, thus it is not a DtExp.",0,high,"The phrase 'have been paid' indicates a completed action but does not entail that the resulting state (being paid) is currently in effect as a change of state; it is a past interaction without a persisting state, matching the example 'He has given me advice before' which is annotated 0.",0,high,"The phrase 'have been paid in full' describes a completed, bounded event (payment) rather than a continuous or habitual state extending to the reference time.",0,high,"The gram 'have been paid' is in the form 'have been' + past participle but the clause asserts a completed state rather than a bounded event; it does not present the situation as a bounded whole but rather as a resultant state, consistent with a stative interpretation.",0,high,"The phrase 'have been paid' asserts a realized fact in the actual world with no modal, conditional, future, or hypothetical context present.",0,high,"'have been paid' is present perfect formed with present-tense 'have' + 'been' + past participle, with no progressive or modal marking.",1,high,"The phrase 'have been paid' matches the auxiliary 'have' + 'been' + past participle form, the subject 'they' corresponds to the semantic patient, and the context implies a passive event with an external agent omitted, fulfilling all set_to_1_if conditions.",N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
