TokenID,language,paradigm,mode,gold,pred,correct,DtExp,DtRes,DtUniv,DtDTAM,TLTS,TLAspPfv,TLMdIrr,ClNegPol,ClCntfcl,VcPass,ASTrns,ASUnrg,ASUncc,AktState,AktAct,AktAcc,AktAch
42007022b,eng,participle,binary,0,1,False,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
43006027,eng,participle,binary,0,1,False,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
41014021b,eng,present_past_infinitive_modal,multiclass_required,past,present,False,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
43007030,eng,present_past_infinitive_modal,multiclass_required,past,present,False,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
42008039b,eng,present_past_infinitive_modal,multiclass_required,past,present,False,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
40003002,eng,present_past_infinitive_modal,multiclass_required,past,present,False,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
40014004,eng,present_past_infinitive_modal,multiclass_required,past,present,False,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
41014021b,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,0,would,False,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
40026009,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,could,might,False,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1
40026024b,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,0,would,False,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1
41014005b,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,could,might,False,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1
40018013b,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,0,would,False,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0
43008029,deu,partizip,binary,1,0,False,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
40018013a,deu,partizip,binary,0,1,False,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1
42023008,deu,partizip,binary,0,1,False,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0
42001036,deu,partizip,binary,0,1,False,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
42004035,deu,partizip,binary,0,1,False,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
40015032,deu,partizip,binary,0,1,False,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
42013016,deu,partizip,binary,0,1,False,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
43003018b,deu,partizip,binary,1,0,False,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
42013007a,deu,partizip,binary,0,1,False,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
42012039c,deu,partizip,binary,0,1,False,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1
40018013a,deu,inf_prasens_prat,multiclass_required,prasens,prat,False,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1
42012005,deu,inf_prasens_prat,multiclass_required,prat,prasens,False,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
42009008a,deu,inf_prasens_prat,multiclass_required,prasens,prat,False,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
43009018b,deu,inf_prasens_prat,multiclass_required,prasens,prat,False,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
40009008,deu,inf_prasens_prat,multiclass_required,prasens,prat,False,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
43006046a,deu,inf_prasens_prat,multiclass_required,prat,prasens,False,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
42008039b,deu,inf_prasens_prat,multiclass_required,prat,prasens,False,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
