TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1.0,high,"The clause is morphologically passive, and the lexical verb licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",0,high,"The clause is morphologically passive, and the lexical verb licenses an external argument (whether overtly expressed or suppressed).",0,high,The verb 'had been promised' licenses an internal argument ('to Joseph in marriage').,1.0,high,"The event 'had been promised' involves a durative process directed toward a defined goal, endpoint, or result state (marriage).",0,high,"The event 'had been promised' unfolds over a measurable duration rather than occurring at a single temporal boundary, and does not denote a punctual or near-instantaneous transition into a new state.",0.0,high,"The situation 'had been promised' does not denote a dynamic, durative situation involving ongoing action or natural activity, nor can it be modified by a durative 'for X time' adverbial without implying completion of a goal, and it lacks dynamic unfolding.",0,high,"The event 'had been promised' entails a transition into a new resulting state of being engaged, thus it is not a single punctual dynamic occurrence without a change of state.",0,high,"The gram 'had been promised' is morphologically marked as progressive, which entails dynamic unfolding and is incompatible with stative readings.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'had been promised' is not negated by any negator in the sentence.,0,high,There is no temporal adverbial of any sort present in the text.,0,high,"The verb 'promised' entails a change of social/legal status that remains in effect at the reference time, thus the DtExp feature is not instantiated.",1,high,"The verb 'had been promised' describes a change of social/legal status (promise), and that status is currently held.",0,high,"The clause describes a state of being promised, which is a discrete event rather than a situation holding continuously across a time span.",0,high,"The gram 'had been promised' has the form 'have been' + past participle (passive), but the clause does not assert a bounded event, rather a state of being promised, which is not a completed transition.",0,high,"The gram 'had been promised' asserts a past state of affairs as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",1,high,"The auxiliary 'had' is morphologically past, and 'been' is followed by a passive participle 'promised', which is covered by the progressive rule.",1,high,"The target 'had been promised' has the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the grammatical subject 'His mother Mary' corresponds to the semantic patient."
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1.0,high,The target verb 'had commanded' introduces an overt grammatical subject ('angel of God') and an overt direct object ('him to do').,0,high,The verb 'had commanded' licenses an external argument ('the angel of God') and a direct object ('him to do').,0,high,The verb 'had commanded' licenses an internal argument ('him to do').,0.0,high,"The verb 'command' denotes a punctual event requiring preparation but without a process phase, thus it does not involve a durative process directed toward a defined goal.",0,high,"The event 'had commanded' unfolds over a measurable duration rather than occurring at a single temporal boundary, as commands are typically given and then followed, indicating a process rather than a punctual transition.",0.0,high,"The situation 'had commanded' entails a specific, inherent endpoint or defined result state, thus it is not an activity.",0,high,"The event 'had commanded' entails a transition into a new resulting state of obedience, thus it is not a single punctual dynamic occurrence without a resulting change of state.",0,high,"The verb 'had commanded' denotes a bounded event involving a change of state, specifically the giving of a command, which is incompatible with the AktState feature.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,"The target gram 'had commanded' is not negated by 'not' or 'n't', nor does it appear with 'never' or in a 'neither...nor' construction, and there is no negative quantifier in the clause.",1,high,The clause 'When Joseph woke up' contains a clausal past time anchor starting with the temporal conjunction 'when'.,0,high,"The verb 'commanded' does not denote perception/communication, a bounded activity, or contain explicit frequency adverbs or a negative perfect; it describes an action that leads to a state of obedience, thus not experiential.",0,medium,The verb 'commanded' describes a past interaction without a guaranteed persisting state; it does not necessarily entail that the command is currently in effect.,0,medium,The clause describes a completed action ('had commanded') rather than a situation holding continuously across a time span.,1,high,"The predicate is construed as a transition event (commanded), where the transition itself is asserted as a completed whole.",0,high,"The gram 'had commanded' asserts a realized situation in the actual world, not a hypothetical or future one.",1,high,"The auxiliary 'had' is morphologically past, indicating past perfect.",0,high,The target 'had commanded' is in active voice because the subject 'angel of God' is the agent (doer) of the verb 'commanded'.
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0.0,high,The target verb 'has come near' does not introduce an overt internal argument (direct or indirect object).,0,high,"The verb 'has come near' licenses an external argument, as it implies an agent that is performing the action of coming near.",0,high,The verb 'has come near' denotes a change-of-location event in which the sole argument functions as an internal argument.,0.0,high,"The verb 'has come near' denotes a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase, as it signifies the arrival or approach of the kingdom of heaven.",1,high,"The verb 'has come near' denotes a punctual or near-instantaneous transition into a new state, indicating the kingdom of heaven is now close, thus satisfying the criteria for AktAch.",0.0,high,"The situation entails a specific, inherent endpoint or defined result state, as 'come near' implies reaching a state of proximity.",0,high,"The event 'has come near' entails a transition into a new resulting state of nearness, thus it is not a single punctual dynamic occurrence without a change of state.",0,high,"The verb phrase 'has come near' denotes a change-of-state or event boundary, indicating dynamic change rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'has come near' is not negated by any negator in the sentence.,0,high,There is no temporal adverbial of any sort present in the text.,0,high,"The verb 'has come near' entails a transition into a new physical location (near), and the subject remains at that location at the reference time, thus the feature DtExp is not instantiated.",1,high,The verb 'has come near' is a motion verb where the mover has moved to a destination and remains there at the reference time.,0,high,The clause describes a transition into a new state ('come near') rather than a situation holding continuously across a time span.,1,high,"The predicate 'has come near' is construed as a transition event, where the transition itself is asserted as a completed whole.",0,high,"The gram 'has come near' asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram is formed with present-tense 'has' followed by a past participle, with no additional modal, future, or progressive marking.",0,high,"The target 'has come near' does not have the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the subject is not the semantic patient."
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1.0,high,The target verb 'have approved' introduces an overt direct object 'whom'.,0,high,"The target verb 'have approved' licenses an external argument (agent/initiator) and a direct object, thus it is not unaccusative.",0,high,The verb 'have approved' licenses an internal argument ('whom I love').,0.0,high,The verb 'approve' denotes a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase.,0,high,"The event 'have approved' unfolds over a measurable duration rather than occurring at a single temporal boundary, and does not denote a punctual or near-instantaneous transition into a new state.",0.0,high,"The situation entails a specific, inherent endpoint or defined result state, as 'approved' implies a completed action of giving approval.",0,high,"The event 'have approved' entails a transition into a new resulting state, thus it is not a single punctual dynamic occurrence.",0,high,"The verb 'have approved' denotes a bounded event marking the completion of approval, indicating a change-of-state rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have approved' is not negated in the sentence.,1,high,"The clause contains the lexical past time adverb 'Then' meaning 'at that time', so the feature DtDTAM is present.",0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, thus the annotation is 0.",1,high,"The verb describes a change of social/legal status (approve), and that status is currently held.",0,high,The clause describes a discrete event (approval) rather than a situation holding continuously across a time span.,1,high,"The predicate is construed as a transition event (approve), where the transition itself is asserted as a completed whole.",0,high,"The gram 'have approved' asserts a situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking.",0,high,The target 'have approved' is in active voice because the subject 'I' is the agent and there is no 'been' auxiliary.
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1.0,high,"The clause is morphologically passive, and the lexical verb licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",0,high,"The clause is morphologically passive, and the lexical verb licenses an external argument (whether overtly expressed or suppressed).",0,high,The verb 'had been arrested' denotes a change-of-state event in which the sole argument functions as an internal argument (theme/patient) rather than an external argument.,0.0,high,"The verb 'arrest' denotes a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase, so the AktAcc feature is not instantiated.",0,high,"The event 'had been arrested' unfolds over a measurable duration rather than occurring at a single temporal boundary, as it involves a process of being taken into custody and formally charged.",0.0,high,"The situation 'had been arrested' entails a specific result state, which is not an activity.",0,high,"The event 'had been arrested' entails a transition into a new resulting state (being under arrest), thus it is not a single punctual dynamic occurrence without a change of state.",0,high,"The gram 'had been arrested' is morphologically marked as progressive, which entails dynamic unfolding and is incompatible with stative readings.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'had been arrested' is not negated in the sentence.,0,high,There is no temporal adverbial of any sort present in the text.,0,high,"The verb 'had been arrested' entails a change of state (being in custody), and the resulting state is relevant for subsequent discourse (Jesus withdrew), so it is classified as non-experiential (0) due to the narrative progression edge case.",1,high,"The verb 'arrested' describes a change of social/legal status, and that status is currently held.",0,high,The clause describes a discrete event (arrest) rather than a situation holding continuously across a time span.,1,high,"The gram has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process.",0,high,"The gram 'had been arrested' asserts a realized situation in the actual world, not a hypothetical or future one.",1,high,"The auxiliary 'had' is morphologically past, and 'been' is followed by a passive participle 'arrested', fitting the criteria for TLTS.",1,high,"The target 'had been arrested' has the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the grammatical subject 'John' corresponds to the semantic patient."
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,0.0,high,"The target verb 'have heard' does not introduce an overt internal argument (direct or indirect object), as 'it' is the subject of the subordinate clause 'it was said'.",0,high,"The target verb 'have heard' licenses an external argument ('You') and a direct object ('it was said'), thus it is not unaccusative.",0,high,"The target verb 'have heard' licenses an internal argument ('it'), thus the feature ASUnrg is not instantiated.",0.0,high,"The verb 'hear' in this context denotes a punctual transition into awareness or understanding, not a durative process leading to a defined result, so it is classified as achievement (0).",1,high,The verb 'hear' denotes a punctual perceptual or cognitive transition into awareness or recognition.,0.0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is not an activity.",0,high,"The event 'have heard' unfolds over a measurable duration rather than occurring as a single punctual occurrence, thus it is not AktSemel.",0,high,"The verb 'have heard' denotes a bounded perceptual or cognitive event marking the onset or completion of awareness, which encodes eventive change rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,"The sentence contains a negator ('not'), but it does not negate the target gram 'have heard'; it negates 'commit adultery'.",0,high,There is no temporal adverbial of any sort present in the text.,1,high,"The verb 'have heard' denotes perception or communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",0,high,"The verb 'have heard' does not entail that the information is currently in effect, it merely reports a past interaction without a persisting state.",0,high,The clause describes a discrete event ('have heard') rather than a situation holding continuously across a time span.,0,medium,"The predicate 'hear' does not denote a transition event, and the clause does not present the situation as a single bounded occurrence with a construed endpoint.",0,high,"The gram 'have heard' asserts a situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking, so the annotation is 0.",0,high,"The target 'have heard' is in active voice, where the subject 'You' is the agent and the object 'it' is the patient, thus not a passive construction."
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1.0,high,The target verb 'have heard' introduces an overt grammatical subject ('You') and an overt direct object ('it').,0,high,"The target verb 'have heard' licenses an external argument ('You') and an overt direct object ('it'), thus it is not unaccusative.",0,high,"The target verb 'have heard' licenses an internal argument ('it'), so the feature ASUnrg is not instantiated.",0.0,high,"The verb 'hear' in this context denotes a punctual transition into awareness, not a durative process leading to a defined result, thus it does not instantiate AktAcc.",1,high,The verb 'hear' denotes a punctual perceptual or cognitive transition into awareness or recognition.,0.0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is not an activity.",0,high,"The event unfolds over a measurable duration rather than occurring as a single punctual occurrence, as hearing typically takes time.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the completion of awareness, which encodes eventive change rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have heard' is not negated in the sentence.,0,high,There is no temporal adverbial of any sort present in the text.,1,high,"The verb 'have heard' denotes perception or communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",0,high,"The verb 'have heard' is a communication verb, but the clause does not entail that the information is currently in effect, it merely reports a past interaction without a persisting state.",0,high,The clause describes a discrete event ('have heard') rather than a situation holding continuously across a time span.,0,high,"The predicate 'hear' denotes a stative situation without a construed boundary, and the clause does not introduce a transition into or out of that state.",0,high,"The gram asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking.",0,high,"The grammatical subject 'You' corresponds to the semantic agent (doer/initiator) of the target verb 'have heard', and the grammatical object 'it' corresponds to the semantic patient, indicating an active voice construction."
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,0.0,high,The target verb 'have heard' does not introduce an overt internal argument (direct or indirect object).,0,high,"The target verb 'have heard' licenses an external argument 'You' and can take a direct object 'it said', thus it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument ('it said'), so the feature ASUnrg is not instantiated.",0.0,high,"The verb 'hear' in this context denotes a punctual transition into awareness or understanding, rather than a durative process leading to completion, thus it does not instantiate AktAcc.",1,high,The verb 'hear' denotes a punctual perceptual or cognitive transition into awareness or recognition.,0.0,high,"The verb 'have heard' denotes a bounded perceptual or cognitive event marking the onset of awareness, which is not an activity.",0,high,"The event 'have heard' unfolds over a measurable duration rather than occurring as a single punctual occurrence, thus it is not AktSemel.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the completion of awareness, which encodes eventive change rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have heard' is not negated in the sentence.,0,high,There is no temporal adverbial of any sort present in the text.,0,high,"The verb 'have heard' does not denote perception focusing on occurrence, a negative perfect, a bounded activity, or contain explicit frequency adverbs; instead, it introduces a state of knowing something that persists at the reference time.",0,high,"The verb 'have heard' is a communication verb, but the clause merely reports a past interaction without a persisting state, so it is not resultative.",0,high,The clause describes a discrete event ('have heard') rather than a situation holding continuously across a time span.,0,high,"The predicate 'hear' does not denote a transition event, and the clause does not present the situation as a single bounded occurrence with a construed endpoint.",0,high,"The gram 'have heard' asserts a situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking.",0,high,"The target 'have heard' is in active voice, where the subject 'You' is the agent of the verb 'hear', not the patient."
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1.0,high,"The clause is morphologically passive, and the lexical verb licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",0,high,"The clause is morphologically passive, and the lexical verb licenses an external argument (whether overtly expressed or suppressed).",0,high,The verb 'have been paid' licenses an internal argument ('paid in full').,0.0,high,"The verb 'paid' denotes a punctual event requiring preparation but without a process phase, thus it does not instantiate AktAcc.",0,high,The event unfolds over a measurable duration rather than occurring at a single temporal boundary.,0.0,high,"The situation entails a specific, inherent endpoint or defined result state, as 'paid in full' implies completion.",0,high,"The event 'have been paid' entails a transition into a new resulting state of being paid, thus it is not a single punctual dynamic occurrence.",0,high,"The gram 'have been paid' is morphologically marked as progressive (passive progressive), which entails dynamic unfolding and is incompatible with stative readings.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The sentence does not contain any explicit negation of the target gram 'have been paid'.,0,high,There is no temporal adverbial of any sort present in the text.,0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as 'have been paid' implies they are no longer owed money.",0,high,"The clause indicates that the hypocrites have received their reward in the past, but it does not entail that they are currently being paid or that any resulting state is currently in effect.",0,high,"The clause describes a completed action of being paid, rather than a situation holding continuously across a time span.",0,high,"The clause contains a completion-measure adverbial ('in full') that profiles the situation as bounded, but the gram has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process, but the clause is naturally construed as temporally overlapping with another situation rather than as a discrete bounded event.",0,high,"The gram 'have been paid' asserts a situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram is formed with present-tense 'have' followed by a past participle and 'been', with no additional modal, future, or progressive marking.",1,high,"The target 'have been paid' has the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the grammatical subject 'they' corresponds to the semantic patient."
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1.0,high,"The clause is morphologically passive, and the lexical verb licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",0,high,"The clause is morphologically passive, and the lexical verb licenses an external argument (whether overtly expressed or suppressed).",0,high,"The verb 'have been paid' licenses an internal argument ('in full'), so the feature ASUnrg is not instantiated.",0.0,high,"The verb 'have been paid' denotes a punctual event requiring preparation but without a process phase, thus it does not instantiate the AktAcc feature.",0,high,The event unfolds over a measurable duration rather than occurring at a single temporal boundary.,0.0,high,"The situation entails a specific, inherent endpoint or defined result state ('paid in full').",0,high,"The event 'have been paid' entails a transition into a new resulting state of being paid, thus it is not a single punctual dynamic occurrence without a change of state.",0,high,"The gram 'have been paid' implies a completed action and a change of state, indicating a dynamic event rather than a static condition, thus AktState is 0.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have been paid' is not negated; the sentence asserts that 'they have been paid in full'.,0,high,There is no temporal adverbial of any sort present in the text.,0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as 'have been paid' implies a completed transaction and a change in financial status.",0,high,"The clause indicates a past interaction without a current binding state, as the payment is completed and does not entail a resulting state that holds at the reference time.",0,high,The clause describes a completed action ('have been paid in full') rather than a situation holding continuously across a time span.,1,high,"The gram has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process.",0,high,"The gram 'have been paid' asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",1,high,"The gram 'have been paid' includes 'been' followed by a passive participle, which is treated as a type of progressive participle in this annotation task.",0,high,"The grammatical subject 'they' corresponds to the semantic agent (doer/initiator) of the target verb, and the grammatical object 'in full' corresponds to the semantic patient, so the clause is active, not passive."
