TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The clause is morphologically passive ('had been promised'), and the lexical verb 'promise' licenses both an external argument (agent) and an internal argument (patient).",0.0,high,"The target 'had been promised' does not fit any of the conditions for ASUncc, as it is a passive construction and licenses an external argument.",0,high,The target verb 'had been promised' does not fit any of the conditions for ASUnrg because it licenses an internal argument ('to Joseph in marriage').,0,high,"The target 'had been promised' does not describe a durative process directed toward a defined goal, a gradual change-of-state, or directed motion toward a goal.",0.0,high,"The verb 'had been promised' does not denote a punctual transition into a new state, a punctual perceptual or cognitive transition, or lack measurable internal duration.",0,high,"The verb 'had been promised' does not denote a dynamic, durative situation involving ongoing action or natural activity; it describes a state of being promised, not an activity.",0,high,The target 'had been promised' does not describe a single punctual dynamic occurrence that does not entail a resulting change of state.,1,high,"The verb phrase 'had been promised' denotes a state of being under a promise, which is a stable relational configuration that holds over time and does not require active effort to be maintained.",0,high,"The target gram 'had been promised' does not occur in a counterfactual conditional, express regret, or is explicitly marked as contrary to fact within the provided text.",0,high,"The target gram 'had been promised' does not contain any of the specified negative elements (negation, negative quantifier, 'never', or 'neither...nor' construction).",0.0,high,"The clause does not contain a lexical, phrasal, or clausal past time adverb.",0,medium,"The target 'had been promised' does not contain explicit frequency adverbs, is not a negative Perfect, and does not denote perception/communication or a bounded activity focusing on experience.",1,high,"The verb 'promised' describes a change of social/legal status, and that status is currently held.",0,low,"The clause 'Mary had been promised to Joseph in marriage' does not contain duration adverbials, denote a non-terminating situation, describe repeated events, or contain 'since', so the conditions for DtUniv are not met.",1,high,"The gram has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process.",1.0,high,"The gram 'had been promised' presents the situation as not yet realized at the time of the promise, indicating a future or projected state.",1,high,The auxiliary 'had' is morphologically past and 'been' is followed by a passive participle 'promised'.,1,high,"The target 'had been promised' has the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the grammatical subject 'His mother Mary' corresponds to the semantic patient."
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,The target verb 'had commanded' introduces an overt grammatical subject ('the angel of God') and an overt direct object ('him to do').,0.0,high,"The target verb 'had commanded' licenses an external argument ('he'), so it is not unaccusative.",1,high,The target verb 'had commanded' introduces an overt grammatical subject ('the angel of God') but does not license or realise an internal argument (direct or indirect object).,0,high,"The verb 'command' does not inherently involve a durative process directed toward a defined goal, a gradual change-of-state, or directed motion toward a goal that defines completion, nor can it be naturally modified by an 'in X time' adverbial in the given context.",0.0,high,"The verb 'command' does not denote a punctual transition into a new state, a punctual perceptual or cognitive transition, or an event lacking measurable internal duration.",0,high,"The verb 'had commanded' does not denote a dynamic, durative situation involving ongoing action or natural activity, nor can it be modified by a durative 'for X time' adverbial without implying completion of a goal, and it is not homogeneous, therefore it does not instantiate the AktAct feature.",0,high,The event 'had commanded' does not represent a single punctual dynamic occurrence that does not entail a resulting change of state.,0,high,"The verb 'had commanded' describes an action, not a state, and implies a completed event rather than a continuous state.",0,high,"The target gram 'had commanded' does not occur in a counterfactual conditional, express regret, or is explicitly marked as contrary to fact in the surrounding discourse.",0,high,"The target gram 'had commanded' does not contain any of the specified negative elements (negated auxiliary, negative quantifier, 'never', or 'neither...nor' construction).",1.0,high,The clause 'the angel of God had commanded him to do' contains a clausal past time anchor starting with the temporal conjunction 'when'.,0,high,"The target 'had commanded' does not contain explicit frequency adverbs, is not a negative Perfect, and does not denote perception/communication or a bounded activity focusing on experience.",0,high,"The verb 'commanded' does not describe a change of state, possession, or social/legal status that is currently held, nor is it a motion verb where the mover remains at the destination; the context does not indicate that the resulting state is currently in effect.",0,low,"The clause does not contain duration adverbials, the predicate does not denote a non-terminating situation, the clause does not describe repeated events, and 'since' is not present.",1,high,"The clause presents the situation as a single bounded occurrence with a construed endpoint, rather than as ongoing or habitual.",0.0,high,"The target 'had commanded' does not contain a modal auxiliary, appear in a conditional or counterfactual construction, occur in a clause expressing desire, obligation, or hypothetical evaluation, or is marked as future.",1,high,The auxiliary 'had' is morphologically past.,0,high,"The target 'had commanded' does not have the form 'have' + 'been' + past participle, nor does the subject correspond to the semantic patient."
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,"The verb 'has come near' does not take a direct object, indirect object, or license both an external and internal argument.",1.0,high,The target verb 'has come near' denotes directed motion or change-of-location where the sole argument undergoes displacement and no external argument is licensed.,0,high,"The verb 'has come near' does not fit any of the conditions to set the annotation to 1, as it does not denote an activity performed by an agent without an internal argument, manner of motion, or a bodily action.",0,high,"The target 'has come near' does not involve a durative process directed toward a defined goal, cannot be modified by an 'in X time' adverbial, does not denote a gradual change-of-state that culminates in a defined result condition, and does not involve directed motion or action toward a spatial or abstract goal that defines completion.",1.0,high,"The verb phrase 'has come near' denotes a punctual transition into a new state, indicating the kingdom of heaven is now in proximity.",0,high,"The verb phrase 'has come near' does not denote a dynamic, durative situation involving ongoing action or natural activity, nor can it be modified by a durative 'for X time' adverbial without implying completion of a goal, nor is the situation homogeneous, nor is it a repeated or iterative series of punctual events.",0,high,The event 'has come near' does not represent a single punctual dynamic occurrence that does not entail a resulting change of state.,0,high,"The verb phrase 'has come near' describes a change of state and an eventive unfolding, not a static state or condition.",0,high,"The target gram 'has come near' does not occur in a counterfactual conditional, express regret, or is marked as contrary to fact.",0,high,"The target gram 'has come near' does not contain any of the specified negative elements (negated auxiliary, negative quantifier, 'never', or 'neither...nor' construction).",0.0,high,The target does not contain any past time adverbs or temporal conjunctions.,0,medium,"The target gram 'has come near' is not a negative Perfect, does not contain explicit frequency adverbs, and does not denote perception/communication or a bounded activity focusing on experience.",1,high,The verb 'has come near' is a motion verb where the mover has moved to a destination and remains there at the reference time.,0,low,"The target does not contain duration adverbials, denote a non-terminating situation, describe repeated events, or contain 'since'.",1,high,"The predicate 'has come near' is construed as a transition event, where the transition itself is asserted as a completed whole.",0.0,high,"The target gram 'has come near' does not contain a modal auxiliary, appear in a conditional or counterfactual construction, occur in a clause expressing desire, obligation, or hypothetical evaluation, or is marked as future.",0,high,"The target gram 'has come near' does not meet any of the conditions for TLTS, as it does not include a past auxiliary, future marking, a modal auxiliary before 'have', or 'been' followed by a progressive participle.",0,high,"The target 'has come near' does not have the form 'have' + 'been' + past participle of a transitive verb, nor does it have a 'by'-phrase."
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,0,high,"The target verb 'have approved' does not introduce an overt grammatical subject and an overt direct object, is not morphologically passive, and does not license two internal arguments.",0.0,high,The target verb 'have approved' licenses an external argument ('I') and does not fit any of the unaccusative criteria.,0,high,The target verb 'have approved' licenses an internal argument ('whom I love').,0,high,"The target 'have approved' does not describe a durative process with a defined endpoint, a change-of-state, or directed motion toward a goal, so the AktAcc feature is not instantiated.",0.0,high,"The verb 'have approved' does not denote a punctual transition into a new state, nor does it fit any of the other criteria for AktAch.",0,high,"The verb 'have approved' does not denote a dynamic, durative situation involving ongoing action or natural activity, nor can it be modified by a durative 'for X time' adverbial without implying completion of a goal, and it is not homogeneous, thus it does not instantiate the AktAct feature.",0,high,The event 'have approved' does not represent a single punctual dynamic occurrence without a resulting change of state; it implies a change in status or acceptance.,0,high,"The verb 'have approved' does not denote a mental state, existence, or a stable relational configuration, and it implies an action with a result, indicating dynamic development.",0,high,"The target gram 'have approved' does not occur in a counterfactual conditional, express regret, or is marked as contrary to fact in the provided text.",0,high,The target gram 'have approved' does not contain any of the specified negative polarity markers.,0.0,high,The clause does not contain any past time adverbs or temporal conjunctions.,1,high,The gram 'have approved' denotes a bounded activity where the focus is on having undergone the experience.,1,high,"The verb 'have approved' describes a change of social/legal status, and that status is currently held.",0,high,"The clause does not contain duration adverbials, the predicate does not denote a non-terminating situation, the clause does not describe repeated events, and 'since' is not present.",1,high,"The gram has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process.",0.0,high,"The target 'have approved' does not contain a modal auxiliary, appear in a conditional/counterfactual construction, express desire/obligation/hypothetical evaluation, or marked as future.",0,high,The target gram 'have approved' does not meet any of the conditions to set the annotation to 1.,0,high,"The target 'have approved' does not have the form 'have been + past participle' and the subject 'I' is the agent, not the patient."
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The clause is morphologically passive, and the lexical verb 'arrest' licenses both an external argument (agent) and an internal argument (patient).",0.0,high,"The target verb 'had been arrested' licenses an external argument (the agent of the arrest), so it is not unaccusative.",0,high,"The target verb 'had been arrested' does not fit any of the conditions for ASUnrg, as it does not denote an activity performed by the subject without an internal argument.",0,high,"The target 'had been arrested' does not describe a durative process directed toward a defined goal, a bounded event measurable by 'in X time', a gradual change-of-state culminating in a defined result, or directed motion toward a spatial or abstract goal.",1.0,high,The verb 'had been arrested' denotes a punctual transition into a new state.,0,high,"The verb 'had been arrested' does not denote a dynamic, durative situation involving ongoing action or natural activity, but rather a completed event.",0,high,The event 'had been arrested' is not a single punctual dynamic occurrence that does not entail a resulting change of state; it implies a change of state (being in custody).,0,high,"The target 'had been arrested' describes an event, not a state, and involves a change of state for John.",0,high,"The target gram 'had been arrested' does not occur in a counterfactual conditional, express regret, or is marked as contrary to fact in the surrounding discourse.",0,high,"The target gram 'had been arrested' does not contain any of the specified negative polarity markers such as 'not', a negative quantifier, 'never', or appear in a 'neither...nor' construction.",0.0,high,"The clause 'that John had been arrested' does not contain any lexical, phrasal, or clausal past time adverbs.",1,high,"The verb denotes a bounded activity or process where the focus is on having undergone the experience, not on a persisting result.",1,high,"The verb 'arrest' describes a change of social/legal status, and the context implies that John remained arrested at the reference time.",0,high,"The clause 'John had been arrested' does not contain duration adverbials, denote a non-terminating situation, describe a repeated series of events, or contain 'since', so the feature DtUniv is not instantiated.",1,high,"The gram has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process.",0.0,high,"The target gram 'had been arrested' does not contain a modal auxiliary, appear in a conditional or counterfactual construction, express desire/obligation/hypothetical evaluation, or is marked as future.",1,high,The auxiliary 'had' is morphologically past and 'been' is followed by a passive participle 'arrested'.,1,high,"The target 'had been arrested' has the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the grammatical subject 'John' corresponds to the semantic patient."
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,0,high,The target verb 'have heard' introduces an overt grammatical subject ('You') but not an overt direct object.,0.0,high,"The target verb 'have heard' licenses an external argument 'You', so it is not unaccusative.",1,high,The target verb 'have heard' introduces an overt grammatical subject ('You') but does not license or realise an internal argument.,0,high,"The target 'have heard' does not involve a durative process directed toward a defined goal, can't be modified by an 'in X time' adverbial, does not denote a gradual change-of-state, and does not involve directed motion toward a goal.",1.0,high,The verb 'have heard' denotes a punctual perceptual or cognitive transition into awareness or recognition.,0,high,"The verb 'have heard' does not denote a dynamic, durative situation involving ongoing action or natural activity, nor can it be naturally modified by a durative 'for X time' adverbial without implying completion of a goal, and it is not homogeneous, therefore it does not instantiate the AktAct feature.",0,high,The event 'have heard' is not construed as a single punctual dynamic occurrence that does not entail a resulting change of state.,1,high,"The verb phrase 'have heard' denotes a static perception or cognitive condition that holds over time, as hearing something implies a state of knowing or being aware of it.",0,high,"The target gram 'have heard' does not occur in a counterfactual conditional, express regret, or is marked as contrary to fact in the provided text.",0,high,The target gram 'have heard' does not contain any of the specified negative polarity markers.,0.0,high,The target does not contain any past time adverbs or temporal conjunctions.,1,high,The gram 'have heard' denotes perception or communication where the focus is on the occurrence of an experience at least once.,0,high,"The verb 'hear' does not describe a change of state, possession, or social/legal status, nor is it a motion verb, and the context does not indicate that the resulting state is currently in effect.",0,high,"The target 'have heard' does not contain duration adverbials, denote a non-terminating situation, describe repeated events, or contain 'since'.",0,medium,"The gram 'have heard' does not present the situation as a single bounded occurrence with a construed endpoint, nor does it contain a completion-measure adverbial, function as a discrete step in a narrative sequence, or assert a bounded event as a completed whole; it also does not have the form 'have been' + past participle (passive).",0.0,high,"The target gram 'have heard' does not contain a modal auxiliary, appear in a conditional or counterfactual construction, express desire/obligation/hypothetical evaluation, or is marked as future.",0,high,"The target gram 'have heard' does not meet any of the conditions for TLTS, as it does not include a past auxiliary, future marking, a modal auxiliary, or 'been' followed by a progressive participle.",0,high,"The target 'have heard' does not satisfy any of the conditions for VcPass, as it is not in the passive voice and does not have the form 'have been + past participle'."
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,0,high,"The verb 'have heard' does not introduce an overt grammatical subject and direct object, is not passive, and does not license two internal arguments.",0.0,high,"The target verb 'have heard' licenses an external argument ('You'), so it is not unaccusative.",0,high,The verb 'have heard' licenses an internal argument 'it'.,0,high,"The target 'have heard' does not involve a durative process directed toward a defined goal, can't be modified by an 'in X time' adverbial, does not denote a gradual change-of-state, and does not involve directed motion toward a goal.",1.0,high,The verb 'have heard' denotes a punctual perceptual or cognitive transition into awareness or recognition.,0,high,"The verb 'have heard' does not denote a dynamic, durative situation involving ongoing action or natural activity; it describes a state of having received information.",0,high,The event 'have heard' is not construed as a single punctual dynamic occurrence that does not entail a resulting change of state.,1,high,"The verb phrase 'have heard' denotes a static perception or cognitive condition that holds over time, as it implies a state of knowing something based on past auditory input.",0,high,"The target gram 'have heard' does not occur in a counterfactual conditional, express regret, or is marked as contrary to fact in the provided text.",0,high,"The target gram 'have heard' does not contain any explicit negative markers such as 'not', negative quantifiers, 'never', or appear in a 'neither...nor' construction.",0.0,high,"The clause does not contain a lexical, phrasal, or clausal past time adverb.",1,high,The verb 'heard' denotes perception or communication where the focus is on the occurrence of an experience at least once.,0,high,"The verb 'have heard' does not describe a change of state, possession, or social/legal status, nor is it a motion verb, and the context does not indicate that the resulting state of hearing is currently in effect.",0,low,"The target 'have heard' does not contain duration adverbials, denote a non-terminating situation, describe repeated events, or contain 'since'.",0,medium,"The clause does not present the situation as a single bounded occurrence with a construed endpoint, nor does it contain a completion-measure adverbial, nor is the predicate a transition event, nor does the clause function as a discrete step in a narrative sequence, nor does the gram have the form 'have been' + past participle (passive).",0.0,high,"The target gram 'have heard' does not contain a modal auxiliary, appear in a conditional or counterfactual construction, occur in a clause expressing desire/obligation/hypothetical evaluation, or is marked as future.",0,high,"The target gram 'have heard' does not meet any of the conditions for TLTS, as it does not include a past auxiliary, future marking, a modal auxiliary, or 'been' followed by a progressive participle.",0,high,"The target 'have heard' does not have the form 'have been + past participle', the grammatical subject is not the semantic patient, and there is no 'by'-phrase expressing the external argument."
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,0,high,"The target verb 'have heard' does not introduce an overt grammatical subject and an overt direct object, is not morphologically passive, and does not license two internal arguments.",0.0,high,"The target verb 'have heard' licenses an external argument 'You', so it is not unaccusative.",0,high,"The target verb 'have heard' licenses an internal argument ('it'), so the first condition is not met.",0,high,"The target 'have heard' does not involve a durative process directed toward a defined goal, can't be modified by an 'in X time' adverbial, does not denote a gradual change-of-state, and does not involve directed motion toward a goal.",1.0,high,The verb 'have heard' denotes a punctual perceptual or cognitive transition into awareness or recognition.,0,high,"The verb 'have heard' does not denote a dynamic, durative situation involving ongoing action or natural activity, nor can it be naturally modified by a durative 'for X time' adverbial without implying completion of a goal, and it is not homogeneous, thus it does not instantiate the AktAct feature.",0,high,The event 'have heard' does not represent a single punctual dynamic occurrence that does not entail a resulting change of state.,1,high,"The verb phrase 'have heard' denotes a static perception or cognitive condition that holds over time, as it implies a state of knowing something based on past auditory input.",0,high,"The target gram 'have heard' does not occur in a counterfactual conditional, express regret, or is marked as contrary to fact in the provided text.",0,high,"The target gram 'have heard' does not contain any explicit negative markers such as 'not', negative quantifiers, 'never', or appear in a 'neither...nor' construction.",0.0,high,"The target 'have heard' does not contain a lexical, phrasal, or clausal past time adverb.",1,high,The verb 'have heard' denotes perception or communication where the focus is on the occurrence of an experience at least once.,0,high,"The verb 'have heard' does not describe a change of state, possession, or social/legal status, nor is it a motion verb, and the context does not indicate that the resulting state is currently in effect.",0,low,"The target 'have heard' does not contain duration adverbials, denote a non-terminating situation, describe repeated events, or contain 'since', so the conditions for DtUniv are not met.",1,high,"The gram has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process.",0.0,high,"The target gram 'have heard' does not contain a modal auxiliary, appear in a conditional or counterfactual construction, occur in a clause expressing desire, obligation, or hypothetical evaluation, or is marked as future.",0,high,The target gram 'have heard' does not meet any of the conditions for TLTS.,0,high,"The target 'have heard' does not have the form 'have' + 'been' + past participle, nor does the subject correspond to the semantic patient, and there is no 'by'-phrase."
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1,high,"The clause is morphologically passive ('have been paid'), and the lexical verb 'pay' licenses both an external argument (agent) and an internal argument (patient).",1.0,high,"The target 'have been paid' is a copular clause with 'be' where the verb does not license an external argument, and the sole overt argument functions as the syntactic subject linked to a predicative complement.",1,high,The target verb 'have been paid' introduces an overt grammatical subject ('they') but does not license or realise an internal argument (direct or indirect object).,0,high,"The target 'have been paid' does not describe a durative process directed toward a goal, a bounded event measurable by 'in X time', a gradual change-of-state, or directed motion toward a goal.",1.0,high,"The verb phrase 'have been paid' denotes a punctual transition into a new state of having received payment, and the event lacks measurable internal duration.",0,high,"The target 'have been paid' does not denote a dynamic, durative situation involving ongoing action or natural activity, but rather a completed action.",0,high,The event 'have been paid' does not construe a single punctual dynamic occurrence that does not entail a resulting change of state.,0,high,"The target 'have been paid' describes a completed action, not a state, and thus does not satisfy any of the conditions for AktState.",0,high,"The target gram 'have been paid' does not occur in a counterfactual conditional, express regret, or is marked as contrary to fact; instead, it describes a completed action of being paid.",0,high,"The target gram 'have been paid' does not contain any of the specified negative elements (negated auxiliary, negative quantifier, 'never', or 'neither...nor' construction).",0.0,high,"The target 'have been paid' does not contain any lexical, phrasal, or clausal past time adverbs.",1,high,"The verb denotes a bounded activity or process where the focus is on having undergone the experience, not on a persisting result.",1,high,"The verb 'have been paid' describes a change of possession, and the context indicates that the payment has been received and is currently held.",1,high,"The predicate 'have been paid' denotes a non-terminating situation that holds throughout the entire time span, as the payment is considered complete and the reward is already received.",1,high,"The gram has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process.",0.0,high,"The target gram 'have been paid' does not contain a modal auxiliary, appear in a conditional or counterfactual construction, occur in a clause expressing desire, obligation, or hypothetical evaluation, or is marked as future.",1,high,The target gram 'have been paid' includes 'been' followed by a passive participle 'paid'.,1,high,"The target 'have been paid' has the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the grammatical subject corresponds to the semantic patient."
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The clause is morphologically passive ('have been paid'), and the lexical verb 'pay' licenses both an external argument (agent) and an internal argument (patient).",0.0,high,"The target verb 'have been paid' licenses an external argument ('they'), so it is not unaccusative.",0,high,The target verb 'have been paid' licenses an internal argument ('in full').,0,high,"The target 'have been paid' does not meet any of the conditions for AktAcc, as it does not involve a durative process with a defined goal, modification by 'in X time', a gradual change-of-state, or directed motion toward a goal.",1.0,high,The verb phrase 'have been paid' denotes a punctual transition into a new state of being compensated.,0,high,"The verb 'have been paid' denotes a completed action, not a dynamic, durative situation involving ongoing action or natural activity.",0,high,The event 'have been paid' does not represent a single punctual dynamic occurrence without a resulting change of state; it implies a completed action with a result.,1,high,"The target 'have been paid' denotes a state of possession (of payment) that holds over time, fitting the criterion for AktState.",0,high,"The target gram 'have been paid' does not occur in a counterfactual conditional, express regret, or is marked as contrary to fact in the surrounding discourse.",0,high,"The target gram 'have been paid' does not contain any explicit negative markers such as 'not', 'never', negative quantifiers, or appear in a 'neither...nor' construction.",0.0,high,"The clause 'they have been paid in full' does not contain any lexical, phrasal, or clausal past time adverbs.",1,high,"The gram 'have been paid' is a Perfect form that denotes a bounded activity where the focus is on having undergone the experience, not on a persisting result.",1,high,"The verb 'have been paid' describes a change of possession, and the context indicates that the payment has been received in full, so the resulting state is currently in effect.",0,high,"The clause does not contain duration adverbials, nor does the predicate denote a non-terminating situation or a repeated series of events.",1,high,"The gram has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process.",0.0,high,"The target gram 'have been paid' does not contain a modal auxiliary, appear in a conditional or counterfactual construction, occur in a clause expressing desire, obligation, or hypothetical evaluation, or is marked as future.",1,high,The gram 'have been paid' includes 'been' followed by a progressive participle ('paid').,1,high,"The target gram 'have been paid' has the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the grammatical subject corresponds to the semantic patient."
