TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The passive construction 'had been promised' licenses both an external argument (agent) and an internal argument (patient), with the internal argument 'His mother Mary' overtly present.",0,high,"'had been promised' licenses an external argument (the promiser), indicating a passive construction with an external initiator.",0,high,"The verb 'had been promised' licenses an internal argument (Joseph) as the recipient of the promise, so the subject is not the sole external argument.",0,high,"'Had been promised' denotes a completed, punctual state of promise rather than a durative process with an inherent endpoint or gradual change.",0,high,"'had been promised' describes a state or condition resulting from a prior event rather than a punctual, near-instantaneous transition into a new state.",0,high,"'had been promised' denotes a completed, bounded event with a defined result state (a promise made), not a dynamic durative activity.",0,high,"'had been promised' entails a resulting change of state (a promise made), thus not a punctual event without change of state.",1,high,'had been promised' denotes a stable relational configuration (a promise made and held over time) without dynamic change or eventive unfolding.,0,high,The clause 'His mother Mary had been promised to Joseph in marriage' presents a factual past event without any indication that it is contrary to fact or a counterfactual conditional.,0,high,The target gram 'had been promised' is not negated; there is no negator or negative quantifier affecting it in the sentence.,0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The phrase 'had been promised' indicates a past state or social/legal status (promise of marriage) that remains relevant, not an experiential event in the subject's life history.",1,high,The phrase 'had been promised' indicates a change of social/legal status (promise of marriage) that is currently held at the reference time.,0,high,The phrase 'had been promised' describes a discrete past event (a promise made) rather than a continuous or habitual state extending to the reference time.,1,high,"The phrase 'had been promised' presents a completed, bounded event (a promise made) rather than an ongoing or habitual situation, fitting the criteria for TLAspPfv.",0,high,"The phrase 'had been promised' asserts a realized past event in the actual world without modal, conditional, or hypothetical context.",1,high,"'had been promised' includes the morphologically past auxiliary 'had' and the auxiliary 'been', indicating past perfect passive, thus instantiating TLTS.",1,high,"The phrase 'had been promised' uses the auxiliary 'had been' plus a past participle, the subject 'His mother Mary' is the semantic patient, and the agent is implied or omitted, matching passive construction criteria."
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,"The verb 'had commanded' introduces an overt subject ('the angel of God') and an overt direct object ('him'), indicating a two-participant event directed from the agent to the patient.",0,high,'had commanded' licenses an external argument (the angel) who performs the action of commanding.,0,high,"The verb 'had commanded' licenses an internal argument ('him'), so it does not meet the criteria for ASUnrg.",0,high,"'Had commanded' denotes a punctual act of issuing an order, lacking a durative process or inherent endpoint unfolding over time.",0,high,'had commanded' denotes a durative or ongoing directive rather than a punctual transition into a new state.,0,high,"'had commanded' denotes a completed, bounded event with a defined result state (issuing a command), not a dynamic durative activity.",0,high,"'had commanded' describes a past action that entails a resulting state of having given an order, not a single punctual event without change of state.",0,high,"'had commanded' denotes a completed, bounded event of issuing an order, involving dynamic change and event boundary, not a static state.",0,high,"The clause describes a factual past event that actually occurred, with no indication of counterfactuality or unfulfilled condition.",0,high,The target gram 'had commanded' is not negated; the sentence affirms that Joseph did what the angel had commanded.,1,high,"The clause contains the clausal past time anchor 'When Joseph woke up', explicitly anchoring the event to a specific past time interval.",0,high,"The verb 'had commanded' introduces a past event that sets the scene for subsequent actions, with no indication of frequency or experiential focus, and the resulting state (command given) is relevant for the narrative progression.",0,high,The verb 'had commanded' reports a past directive without indicating that the command is currently in effect or that a resulting state persists.,0,high,'had commanded' refers to a discrete past event (a command given) rather than a continuous or habitual situation extending to the reference time.,1,high,"The clause 'the angel of God had commanded him to do' presents a completed, bounded event (a discrete command given prior to Joseph's action), fitting the transition event criterion and packaging the situation as a bounded whole.",0,high,"'had commanded' asserts a realized past event and is not modal, conditional, or hypothetical.",1,high,"'had commanded' uses the morphologically past auxiliary 'had', indicating past perfect tense.",0,high,'had commanded' is active past perfect with the agent as subject and no passive morphology or 'been' auxiliary present.
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,The verb phrase 'has come near' does not introduce an overt internal argument (no direct or indirect object) and functions intransitively here.,1,high,"'has come near' denotes a change of location where the sole argument undergoes displacement and no external argument is licensed, matching unaccusative criteria.",0,high,"The verb phrase 'has come near' denotes a change-of-location event with the subject functioning as an internal argument (theme), not an external agent, and licenses no external argument.",0,high,'has come near' denotes a punctual boundary transition without a durative process phase or inherent endpoint unfolding over time.,1,high,"'has come near' denotes a punctual transition into a new state (the kingdom of heaven approaching), fitting the definition of an achievement as a boundary crossing event.",0,high,"'has come near' denotes a punctual, bounded event indicating a change of state or approach, not a dynamic durative activity.",0,high,"'has come near' entails a change of state or resultant condition (the kingdom of heaven approaching), thus not a punctual event without change of state.",0,high,"'has come near' denotes a dynamic change of state or event boundary indicating approach, thus not a static situation.",0,high,The clause presents the situation as having actually occurred ('the kingdom of heaven has come near') without any indication that it is contrary to fact or counterfactual.,0,high,The target gram 'has come near' is not negated; the sentence affirms that the kingdom of heaven has come near.,0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The phrase 'has come near' introduces a current state relevant to the discourse, not a life-history event.",1,high,"The phrase 'has come near' indicates a motion verb where the subject has moved to a location near the kingdom of heaven and remains there at the reference time, thus encoding a resulting state.",0,high,The phrase 'has come near' describes a discrete event indicating a transition rather than a continuous or habitual state holding over time.,1,high,"The predicate 'has come near' denotes a transition event (approaching) asserted as a completed whole, presenting the situation as a bounded occurrence with a construed endpoint.",0,high,"The phrase 'has come near' asserts a realized fact in the actual world without modal, conditional, or future marking.",0,high,"The auxiliary 'has' is present tense and is followed by the past participle 'come' with no modal, future, or progressive marking, indicating simple present perfect.",0,high,"'has come near' is an active intransitive construction without passive morphology or a past participle; the subject is the agent, and no 'have been + past participle' passive form is present."
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,"The verb 'have approved' has an overt subject 'I' (implied by 'whom I have approved') and an overt internal argument 'whom' (object), indicating a two-participant event directed from the subject to the object.",0,high,'have approved' licenses an external argument (the subject 'I') as an agent performing an approval action.,0,high,"The verb 'have approved' licenses an internal argument (the Son), so it does not instantiate ASUnrg.",0,high,'have approved' denotes a punctual cognitive event indicating a completed judgment without a durative process or inherent endpoint unfolding over time.,1,high,"'have approved' denotes a punctual transition into a new state of approval, fitting the definition of an achievement.",0,high,"'have approved' denotes a completed, bounded cognitive event with a defined result state (approval), not a dynamic durative activity.",0,high,"'have approved' entails a resulting change of state (the approval status), so it is not a punctual semelfactive event.",0,high,"'have approved' denotes a completed dynamic event of approval, indicating a bounded change-of-state rather than a static condition.",0,high,The clause presents a factual statement without any indication of a counterfactual or contrary-to-fact condition.,0,high,"The target gram 'have approved' is not negated; there is no negator or negative quantifier in the clause, so the event is presented as occurring.",0,high,"'Then' in the sentence functions as a logical connector introducing the voice from heaven, not as a temporal anchor for the event of approval.",0,high,"The verb 'have approved' entails a change of social/legal status that remains in effect at the reference time, not just an event in life history.",1,high,The verb 'have approved' indicates a change of social/legal status (approval) that is currently held at the reference time.,0,high,The clause describes a discrete event of approval rather than a continuous or habitual state holding over time.,1,high,The predicate 'have approved' denotes a completed transition event (approval) presented as a bounded whole without internal temporal development.,0,high,"The phrase 'I have approved' asserts a realized fact in the actual world without modal, conditional, or future marking.",0,high,"'have approved' is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking.",0,high,"The phrase 'have approved' is active with the subject 'I' as the agent approving, no passive morphology or 'been' auxiliary is present."
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The passive construction 'had been arrested' licenses both an external agent (implied or in a 'by'-phrase) and an internal patient (the subject 'John'), satisfying the feature criteria.",0,high,"'had been arrested' is a passive construction derived from an agentive verb 'arrest' that licenses an external argument (the arresting agent), so it does not meet the unaccusative criteria.",0,high,"The verb phrase 'had been arrested' licenses an internal argument (the person arrested) and denotes a change-of-state event with the subject as a patient, not an external agent.",0,high,'had been arrested' denotes a punctual boundary event (the moment of arrest) without a durative process phase leading to a defined endpoint.,1,high,'had been arrested' denotes a punctual change-of-state event marking the boundary of transition into the arrested state.,0,high,"'had been arrested' denotes a completed, bounded event with a defined result state, not a dynamic durative activity.",0,high,"'had been arrested' entails a resulting change of state (being in custody), so it is not a punctual event without change of state.",0,high,"'had been arrested' denotes a bounded past event indicating a change of state, not a static condition.",0,high,"The clause 'John had been arrested' is presented as a factual past event that Jesus heard about, with no indication it is contrary to fact or a counterfactual conditional.",0,high,The target gram 'had been arrested' is not negated; there is no negator or negative quantifier directly negating this event in the sentence.,0,high,"The clause 'John had been arrested' contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The phrase 'had been arrested' introduces a resulting state (being in custody) relevant for subsequent discourse, thus not an experiential event in the subject's life history.",1,high,The verb 'had been arrested' describes a change of state (being arrested) and the past perfect indicates that this resulting state held at the reference time in the past.,0,high,"'had been arrested' describes a discrete, bounded event (an arrest) rather than a continuous or habitual situation holding over time.",1,high,"'had been arrested' is a perfect passive form asserting a completed bounded event (the arrest), which is a transition event, thus instantiating TLAspPfv.",0,high,"The phrase 'had been arrested' is presented as a reported past event asserted as realized, not hypothetical or projected.",1,high,'had' is morphologically past auxiliary indicating past perfect tense in 'had been arrested'.,1,high,"The phrase 'had been arrested' matches the auxiliary 'have' + 'been' + past participle form, the subject 'John' is the semantic patient, and the construction shows passive morphology."
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,1,high,"The verb 'have heard' introduces an overt subject 'You' and an overt direct object 'it', fulfilling the two-participant event with an external agent and an internal patient.",0,high,"'have heard' licenses an external argument (the experiencer 'you') and takes a direct object ('it'), so it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument ('it'), so it does not meet the criteria for ASUnrg.",0,high,"'have heard' denotes a punctual cognitive event of becoming aware, lacking a durative process phase or inherent endpoint.",1,high,"'have heard' denotes a punctual perceptual transition into awareness, fitting the criteria for AktAch.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is a single completed occurrence without durative unfolding.",0,high,"'have heard' entails a state or event that is not punctual or instantaneous but rather a stative or durative experience, thus not a semelfactive event.",0,high,"'have heard' denotes a bounded perceptual event marking the onset or completion of awareness, which involves dynamic change and eventive unfolding.",0,high,The clause 'You have heard it was said' presents a factual statement without any indication of counterfactuality or contrary-to-fact conditions.,0,high,"The target gram 'have heard' is not negated; the negation 'not' applies to 'commit adultery', not to 'have heard'.",0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",1,high,"The phrase 'You have heard' uses a perfect form of a perception verb focusing on the occurrence of an experience, fitting the experiential feature DtExp.",0,high,The verb 'have heard' reports a past perception event without indicating that the information is currently in effect or that a resulting state holds at the reference time.,0,high,"The clause 'You have heard it was said' describes a discrete event of hearing, not a continuous or habitual situation extending over time.",0,high,"'have heard' denotes a stative/perfect experience without a construed boundary or completion, and the clause does not present a bounded whole or transition event.",0,high,"'have heard' asserts a realized fact in the actual world without modal, conditional, or future context.",0,high,"The gram uses present-tense 'have' followed by a past participle with no modal, future, or progressive marking.",0,high,'have heard' is active voice with the grammatical subject as the agent and no passive morphology or 'been' auxiliary present.
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,"The verb phrase 'have heard' includes an overt subject 'You' and an overt direct object 'it', indicating a two-participant event with an external agent affecting an internal patient.",0,high,"'have heard' licenses an external argument (the experiencer 'you') and takes an object ('it'), so it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument 'it', so the subject is not the sole external argument without an internal argument.",0,high,'have heard' denotes a punctual cognitive event marking the transition into awareness without a durative process phase or inherent endpoint.,1,high,"'have heard' denotes a punctual perceptual transition into awareness, fitting the achievement criteria.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset of awareness, which is a single completed occurrence without dynamic unfolding.",0,high,"'have heard' here denotes a perfective state or experience rather than a single punctual event without change of state, thus not semelfactive.",0,high,"'have heard' denotes a bounded perceptual event marking the completion of awareness, involving dynamic change and eventive unfolding.",0,high,The clause 'You have heard it said' presents a factual statement without any indication of counterfactuality or contrary-to-fact conditions.,0,high,The target gram 'have heard' is not negated; the sentence affirms that 'you have heard' something.,0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial anchoring the event to a specific past time interval.",1,high,"The phrase 'have heard' denotes a perception verb focusing on the occurrence of an experience at least once, fitting the life history feature DtExp.",0,high,'have heard' reports a past interaction without indicating that the information is currently in effect or that a resulting state holds at the reference time.,0,high,"The phrase 'You have heard' refers to a discrete event of hearing a saying, not a continuous or habitual state extending to the reference time.",1,high,"'have heard' presents a completed event of perceiving information, a transition event asserted as a bounded whole.",0,high,"'have heard' is used in a present perfect construction asserting a realized fact, not expressing modality, conditionality, or irrealis context.",0,high,"The gram uses present-tense 'have' followed by a past participle with no modal, future, or progressive marking.",0,high,"'have heard' is an active perfect construction with 'you' as the agent subject, not a passive formed with 'have been' + past participle."
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1,high,"The verb phrase 'have heard' includes an overt subject 'You' and an overt direct object 'it', fulfilling the criteria for ASTrns.",0,high,"'have heard' licenses an external argument (the experiencer 'you') and involves an agentive or experiencer role, not a one-participant internal argument event.",0,high,"The verb 'have heard' licenses an internal argument 'it', so it does not meet the criteria for ASUnrg.",0,high,'have heard' denotes a punctual cognitive event marking the moment of perception or awareness without a durative process leading to a defined endpoint.,1,high,"'have heard' denotes a punctual perceptual transition into awareness, fitting the criteria for AktAch.",0,high,"'have heard' denotes a bounded perceptual event marking the onset of awareness, treated as a single completed occurrence.",0,high,'have heard' is a perfective stative or experiential verb indicating a state or experience rather than a single punctual dynamic event without change of state.,0,high,"'have heard' denotes a bounded perceptual event marking the completion of awareness, thus involving dynamic change and eventive unfolding.",0,high,The clause 'You have heard it said' presents a factual statement without any indication of counterfactuality or contrary-to-fact conditions.,0,high,The target gram 'have heard' is not negated; there is no negator or negative quantifier affecting it in the sentence.,0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial anchoring the event to a specific past time interval.",1,high,"The phrase 'You have heard' denotes a perception verb focusing on the occurrence of an experience at least once, fitting the life history feature DtExp.",0,high,The verb 'have heard' reports a past perception event without indicating a resulting state that currently holds.,0,high,"'have heard' refers to a discrete event of hearing something said, not a continuous or habitual situation holding over time.",1,high,"'have heard' presents a single bounded occurrence of perceiving information, a completed event rather than ongoing or habitual.",0,high,"'have heard' asserts a realized fact in the actual world without modal, conditional, or future context.",0,high,"'have heard' is formed with present-tense 'have' followed by a past participle with no modal, future, or progressive marking.",0,high,"'have heard' is active voice with the grammatical subject as the agent, no 'been' auxiliary or passive morphology present."
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1,high,"The passive construction 'have been paid' licenses both an external agent (implied) and an overt internal argument (the payment), satisfying the criteria for ASTrns.",0,high,"'have been paid' is a passive construction where the verb licenses an external argument (the payer), so it is not unaccusative.",0,high,"The verb phrase 'have been paid' licenses an internal argument (the recipient of payment), so the subject is not an external argument and the event is not one-participant without internal argument.",0,high,"The phrase 'have been paid' denotes a punctual, completed transaction without a durative process or inherent endpoint unfolding over time.",1,high,"'have been paid' denotes a punctual transition into a new state of having received payment, fitting the achievement criteria.",0,high,"'have been paid' denotes a completed, bounded event with a defined result state (payment received), not a dynamic durative activity.",0,high,"'have been paid' entails a resulting change of state (the state of having received payment), so it is not a punctual event without change of state.",0,high,"'have been paid' denotes a completed, bounded event (payment received), involving change of state, not a static or durative condition.",0,high,The clause 'they have already been paid in full' presents a factual past event without any indication that it is contrary to fact or counterfactual.,0,high,"The target gram 'have been paid' is not negated; the sentence states 'they have already been paid in full,' indicating the event has occurred.",0,high,The clause 'they have already been paid in full' contains no explicit past time adverbial anchoring the event to a specific past interval; 'already' is not a specific past time adverbial.,0,high,The phrase 'have already been paid in full' indicates a completed change of possession with a resulting state holding at the reference time.,1,high,"The phrase 'have been paid' indicates a completed change of possession with the resulting state (being paid) currently holding, as emphasized by 'already' and 'in full'.",0,high,"'have been paid' describes a completed, bounded event (payment already made), not a continuous or habitual situation extending to the reference time.",1,high,"The phrase 'have been paid' is a perfect passive form asserting a completed, bounded event (payment) rather than an ongoing process, fitting the criteria for TLAspPfv.",0,high,"The phrase 'have been paid' asserts a realized fact in the actual world, with no modal, conditional, future, or hypothetical context.",0,high,"'have been paid' is present perfect passive with no progressive or modal/future marking, so TLTS is not instantiated.",1,high,"The phrase 'have been paid' uses the auxiliary 'have' + 'been' + past participle 'paid', the subject 'they' corresponds to the semantic patient, and the context implies a passive event with an omitted agent."
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The passive construction 'have been paid' licenses both an external argument (agent, implied) and an internal argument (patient, 'in full'), satisfying the criteria for ASTrns.",0,high,"'have been paid' is a passive construction where the verb licenses an external argument (agent), so it is not unaccusative.",0,high,"The verb phrase 'have been paid' licenses an internal argument (the recipient of payment), so the subject is not an external argument and the event is not one-participant with no internal argument.",0,high,"'have been paid' denotes a punctual, completed transaction without a durative process or inherent endpoint unfolding over time.",1,high,"'have been paid' denotes a punctual transition into a new state of having received payment, fitting the criteria of an instantaneous change of state.",0,high,"'have been paid' denotes a completed, bounded event with a defined result state (payment completed), not a dynamic durative activity.",0,high,"'have been paid' entails a resulting change of state (being paid), so it is not a punctual event without change of state.",1,high,"'have been paid' denotes a completed state of possession or receipt of payment, a stable relational configuration without dynamic unfolding.",0,high,"The clause 'they have been paid in full' presents a factual statement about a completed event, with no indication of counterfactuality or contrary-to-fact conditions.",0,high,The phrase 'have been paid' is affirmed ('I assure you they have been paid in full') with no negation present in the target gram or clause.,0,high,"The clause contains no overt lexical, phrasal, or clausal past time adverbial explicitly anchoring the event to a specific past time interval.",0,high,"The phrase 'have been paid' indicates a completed change of state with a resulting condition holding at the reference time, not a life-history event.",1,high,The phrase 'have been paid in full' indicates a completed change of possession with the resulting state (being fully paid) currently holding at the reference time.,0,high,"The phrase 'have been paid in full' describes a completed, bounded event rather than a continuous or habitual situation holding over time.",1,high,"The phrase 'have been paid in full' presents a completed, bounded event with a construed endpoint, indicating a transition event that is asserted as finished.",0,high,"The phrase 'have been paid' asserts a realized fact in the actual world without any modal, conditional, or hypothetical context.",0,high,"The gram 'have been paid' is present perfect passive with present-tense 'have' and no progressive participle, so it does not instantiate TLTS.",1,high,"The phrase 'have been paid' uses the auxiliary 'have' + 'been' + past participle 'paid', the subject 'they' corresponds to the semantic patient, and the construction shows passive morphology."
