TokenID,FullText,Target,ASTrns,ASTrns_conf,ASTrns_explanation,ASUncc,ASUncc_conf,ASUncc_explanation,ASUnrg,ASUnrg_conf,ASUnrg_explanation,AktAcc,AktAcc_conf,AktAcc_explanation,AktAch,AktAch_conf,AktAch_explanation,AktAct,AktAct_conf,AktAct_explanation,AktSemel,AktSemel_conf,AktSemel_explanation,AktState,AktState_conf,AktState_explanation,ClCntfcl,ClCntfcl_conf,ClCntfcl_explanation,ClNegPol,ClNegPol_conf,ClNegPol_explanation,DtDTAM,DtDTAM_conf,DtDTAM_explanation,DtExp,DtExp_conf,DtExp_explanation,DtRes,DtRes_conf,DtRes_explanation,DtUniv,DtUniv_conf,DtUniv_explanation,TLAspPfv,TLAspPfv_conf,TLAspPfv_explanation,TLMdIrr,TLMdIrr_conf,TLMdIrr_explanation,TLTS,TLTS_conf,TLTS_explanation,VcPass,VcPass_conf,VcPass_explanation
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,1,high,"The clause is morphologically passive ('had been promised'), and the lexical verb licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",0,high,"The clause is morphologically passive, and the lexical verb 'promise' licenses an external argument (the promiser), whether overtly expressed or suppressed.",0,high,The verb 'had been promised' licenses an internal argument ('to Joseph in marriage').,0,high,"The verb 'promise' denotes a near-instantaneous change-of-state or boundary transition without a durative process phase, thus it is not an accomplishment.",0.0,high,"The event 'had been promised' unfolds over a measurable duration rather than occurring at a single temporal boundary, thus it is not an achievement.",0.0,high,"The situation 'had been promised' does not denote a dynamic, durative situation involving ongoing action or natural activity, nor can it be modified by a durative 'for X time' adverbial without implying completion of a goal.",0,high,"The event 'had been promised' entails a transition into a new resulting state of being engaged, thus it is not a single punctual occurrence without a change of state.",0,high,"The gram 'had been promised' is morphologically marked as progressive, which entails dynamic unfolding and is incompatible with stative readings.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'had been promised' is not negated by any negator in the sentence.,0.0,high,There is no temporal adverbial of any sort present in the text.,0,high,"The verb 'promised' entails a change of social/legal status that remains in effect at the reference time, so the annotation is 0.",1,high,"The verb 'promise' describes a change of social/legal status, and that status is currently held.",0,high,"The clause describes a state of being promised, which is a bounded event rather than a situation holding continuously across a time span.",0,high,The clause is naturally construed as temporally overlapping with another situation rather than as a discrete bounded event.,0,high,"The gram 'had been promised' asserts a realized state of affairs in the actual world, and none of the modal, conditional, future, or wish contexts apply.",1,high,"The auxiliary 'had' is morphologically past, indicating past perfect, so the feature TLTS is present.",1,high,"The gram has the form auxiliary 'have' + 'been' + past participle of a transitive verb ('had been promised'), and the grammatical subject ('His mother Mary') corresponds to the semantic patient (the entity affected by the event)."
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,1,high,The target verb 'had commanded' introduces an overt grammatical subject ('angel of God') and an overt direct object ('him to do').,0,high,The target verb 'had commanded' licenses an external argument ('the angel of God') and an internal argument ('him').,0,high,The verb 'commanded' licenses an internal argument ('him').,0,high,The verb 'command' denotes a near-instantaneous change-of-state or boundary transition without a durative process phase.,0.0,high,"The event 'had commanded' does not denote a punctual or near-instantaneous transition into a new state, nor does it represent a boundary point of transition itself.",0.0,high,"The situation entails a specific, inherent endpoint or defined result state, as 'commanded' implies a completed action.",0,high,"The event 'had commanded' entails a transition into a new resulting state of being under a command, thus it is not AktSemel.",0,high,"The verb 'commanded' denotes a completed action, not a state that holds over time, and thus does not instantiate AktState.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'had commanded' is not negated by any negator in the sentence.,1.0,high,"The clause 'When Joseph woke up, he did what the angel of God had commanded him to do' contains a clausal past time anchor starting with the temporal conjunction 'when'.",0,high,"The verb 'commanded' entails a change of social/legal status that remains in effect at the reference time, thus the annotation is 0.",0,medium,"The verb 'commanded' does not entail that the command is currently in effect, as it merely reports a past interaction without a persisting state.",0,high,The clause describes a discrete event (commanding) rather than a situation holding continuously across a time span.,1,high,"The predicate 'commanded' is construed as a transition event, where the transition itself is asserted as a completed whole.",0,high,"The gram 'had commanded' asserts a realized situation in the past, as it describes what the angel of God instructed Joseph to do, and Joseph followed through with the command.",1,high,"The auxiliary 'had' is morphologically past, indicating past perfect tense, so the feature TLTS is present.",0,high,"The grammatical subject 'angel of God' corresponds to the semantic agent (doer/initiator) of the target verb 'had commanded', and the grammatical object 'him' corresponds to the semantic patient."
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,0,high,"The target verb 'has come near' does not introduce an overt internal argument (direct or indirect object), so the feature ASTrns is not instantiated.",0,high,"The verb 'has come near' denotes directed motion, but it can be argued that 'the kingdom of heaven' is an external argument, thus the verb licenses an external argument.",0,high,The verb 'has come near' denotes a change-of-location event in which the sole argument functions as an internal argument.,0,high,"The verb 'has come near' denotes a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase, thus it is not an accomplishment.",1.0,high,"The verb phrase 'has come near' denotes a punctual or near-instantaneous transition into a new state, indicating the kingdom of heaven is now close, thus satisfying the condition for AktAch.",0.0,high,"The situation entails a specific, inherent endpoint or defined result state, as 'come near' implies reaching a state of proximity.",0,high,"The event 'has come near' entails a transition into a new resulting state of proximity, thus it is not a single punctual occurrence without a change of state.",0,high,"The verb phrase 'has come near' denotes a change-of-state or event boundary, indicating dynamic change rather than a static condition, thus failing the criteria for AktState.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'has come near' is not negated in the sentence.,0.0,high,There is no temporal adverbial of any sort present in the text.,0,high,"The verb 'come' entails a transition into a new physical location, and the subject remains at that location at the reference time, thus the feature DtExp is not instantiated.",1,high,The verb 'has come near' is a motion verb where the mover has moved to a destination and remains there at the reference time.,0,high,The clause describes a transition into a new state ('come near') rather than a situation holding continuously across the time span.,1,high,"The predicate 'has come near' is construed as a transition event, where the transition itself is asserted as a completed whole.",0,high,"The gram asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'has come near' is formed with present-tense 'has' followed by a past participle, with no additional modal, future, or progressive marking, so the feature TLTS is not present.",0,high,"The target 'has come near' does not have the form auxiliary 'have' + 'been' + past participle of a transitive verb, and the subject is the agent, not the patient."
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,1,high,The target verb 'have approved' introduces an overt grammatical subject ('I') and an overt direct object ('whom').,0,high,The target verb 'have approved' licenses an external argument ('I') and a direct object ('whom').,0,high,The verb 'have approved' licenses an internal argument ('whom I love').,0,high,"The verb 'approve' denotes a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase, so it does not instantiate AktAcc.",0.0,high,The event unfolds over a measurable duration rather than occurring at a single temporal boundary.,0.0,high,"The situation entails a specific, inherent endpoint or defined result state, as 'approved' implies a completed action of giving approval.",0,high,"The event 'have approved' entails a transition into a new resulting state of being approved, thus it is not a single punctual occurrence without a change of state.",0,high,"The verb 'have approved' denotes a completed action, marking the completion of an event rather than a static condition, thus involving dynamic change.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have approved' is not negated by any of the specified criteria.,0.0,high,"The adverb 'then' is a logical connector, not a temporal one.",0,high,"The verb 'approve' entails a change of social/legal status that remains in effect at the reference time, so the annotation is 0.",0,high,The verb 'approve' does not entail a resulting state that holds at the reference time; it merely reports a past interaction without a persisting state.,0,high,The clause describes a discrete event (approval) rather than a situation holding continuously across a time span.,1,high,"The predicate 'have approved' is construed as a transition event, where the transition itself is asserted as a completed whole.",0,high,"The gram asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'have approved' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking.",0,high,The target 'have approved' does not contain 'been' and is not in the passive voice; the subject 'I' is the agent of the verb 'approved'.
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,1,high,"The clause is morphologically passive, and the lexical verb licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",0,high,"The clause is morphologically passive, and the lexical verb licenses an external argument (whether overtly expressed or suppressed).",0,high,"The verb 'arrested' licenses an internal argument (the person being arrested), thus it is not an unergative verb.",0,high,The verb 'arrest' denotes a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase.,1.0,high,The verb 'had been arrested' denotes a punctual transition into a new state.,0.0,high,"The situation 'had been arrested' entails a specific endpoint, which is being in the state of arrest, thus it is not an activity.",0,high,"The event 'had been arrested' entails a transition into a new resulting state of being under arrest, thus it is not a semelfactive event.",0,high,"The gram 'had been arrested' is morphologically marked as progressive, entailing dynamic unfolding and is incompatible with stative readings.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'had been arrested' is not negated in the sentence.,0.0,high,There is no temporal adverbial present in the clause 'John had been arrested'.,0,high,"The event 'John had been arrested' sets the scene for the next plot point ('Jesus withdrew'), so it is classified as non-experiential (0) because the resulting state of the event is relevant for subsequent discourse (Narrative Progression edge case).",0,high,"The target 'had been arrested' is a stative copula, describing a state rather than the change into that state.",0,high,The clause describes a discrete event (arrest) rather than a situation holding continuously across a time span.,1,high,"The gram 'had been arrested' has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process, as it describes a completed action of being arrested.",0,high,"The gram 'had been arrested' asserts a realized situation in the actual world, and none of the modal, conditional, future, or wish contexts apply.",1,high,"The auxiliary 'had' is morphologically past, indicating the past perfect tense, so the feature TLTS is present.",1,high,"The gram has the form auxiliary 'have' + 'been' + past participle of a transitive verb ('had been arrested'), and the grammatical subject ('John') corresponds to the semantic patient (the entity affected by the event)."
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,0,high,"The target verb 'have heard' does not introduce an overt internal argument (direct or indirect object), as 'it' is a subject.",0,high,"The target verb 'have heard' licenses an external argument 'You' and a direct object 'it', thus it is not unaccusative.",0,high,"The target verb 'have heard' licenses an internal argument ('it'), so the feature ASUnrg is not instantiated.",0,high,"The verb 'hear' denotes a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase, so it does not instantiate AktAcc.",1.0,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness, as in 'hear the news', thus satisfying the condition for AktAch.",0.0,high,"The situation consists of a bounded perceptual or cognitive event marking the onset of awareness ('heard the news'); even if the stimulus is extended, the awareness event is treated as a single completed occurrence.",0,high,"The event 'have heard' unfolds over a measurable duration rather than occurring as a single punctual occurrence, thus it is not AktSemel.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset or completion of awareness, indicating eventive change rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have heard' is not negated in the sentence.,0.0,high,There is no temporal adverbial of any sort present in the text.,1,high,"The verb 'have heard' denotes perception or communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer.",0,high,The verb 'hear' does not entail a resulting state that holds at the reference time; it is a perception event.,0,high,The clause describes a discrete event ('have heard') rather than a situation holding continuously across a time span.,0,high,"The clause does not present the situation as a single bounded occurrence with a construed endpoint, nor does it contain a completion-measure adverbial, nor is the predicate construed as a transition event, nor does the clause function as a discrete step in a narrative sequence, nor does the gram have the form 'have been' + past participle (passive).",0,high,"The gram 'have heard' asserts a situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking.",0,high,"The grammatical subject 'You' corresponds to the semantic agent (the one doing the hearing), not the semantic patient, and there is no 'been' auxiliary, so the gram is not passive."
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,1,high,The target verb 'have heard' introduces an overt grammatical subject ('You') and an overt direct object ('it').,0,high,"The target verb 'have heard' licenses an external argument 'You' and a direct object 'it said', thus it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument ('it'), so the feature ASUnrg is not instantiated.",0,high,"The verb 'have heard' denotes a punctual or near-instantaneous change-of-state or boundary transition without a durative process phase, as it represents a single transition into awareness or understanding.",1.0,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness, fitting the criteria for AktAch.",0.0,high,"The verb phrase 'have heard' denotes a bounded perceptual or cognitive event marking the onset of awareness, which is not an activity.",0,high,"The event 'have heard' unfolds over a measurable duration rather than occurring as a single punctual occurrence, thus it is not AktSemel.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the completion of awareness, which encodes eventive change rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have heard' is not negated by any negator in the sentence.,0.0,high,There is no temporal adverbial present in the text.,1,high,"The verb 'heard' denotes perception or communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates DtExp.",0,high,The verb 'hear' does not entail a resulting state that holds at the reference time; it merely reports a past interaction without a persisting state.,0,high,The clause describes a discrete event ('have heard') rather than a situation holding continuously across the time span.,0,high,"The clause does not present the situation as a single bounded occurrence with a construed endpoint, nor does it contain a completion-measure adverbial, nor is the predicate construed as a transition event, nor does the clause function as a discrete step in a narrative sequence, nor does the gram have the form 'have been' + past participle (passive).",0,high,"The gram asserts a situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking, so the feature TLTS is not present.",0,high,"The grammatical subject 'You' corresponds to the semantic agent (the one doing the hearing), not the semantic patient, thus it is not passive."
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1,high,The target verb 'have heard' introduces an overt grammatical subject ('You') and an overt direct object ('it said').,0,high,"The target verb 'have heard' licenses an external argument 'You' and a direct object 'it said', thus it is not unaccusative.",0,high,"The verb 'have heard' licenses an internal argument ('it'), so the feature ASUnrg is not instantiated.",0,high,"The verb 'have heard' denotes a punctual or near-instantaneous transition into awareness or understanding, without a durative process phase, so it is classified as achievement (0).",1.0,high,"The verb 'have heard' denotes a punctual perceptual transition into awareness, as in 'hear the news', thus instantiating the AktAch feature.",0.0,high,"The verb 'have heard' denotes a bounded perceptual or cognitive event marking the onset of awareness, which is treated as a single completed occurrence.",0,high,"The event 'have heard' unfolds over a measurable duration rather than occurring as a single punctual occurrence, thus it is not AktSemel.",0,high,"The verb 'have heard' denotes a bounded perceptual event marking the onset or completion of awareness, encoding eventive change rather than a static condition.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The target gram 'have heard' is not negated in the sentence.,0.0,high,"The clause 'You have heard it said' does not contain any lexical, phrasal, or clausal adverbial that explicitly anchors the event to a specific past time interval.",1,high,"The verb 'heard' denotes perception or communication where the focus is on the occurrence of an experience at least once, rather than on a resulting state or transfer, so the gram instantiates DtExp.",0,high,The verb 'have heard' does not entail a resulting state that holds at the reference time; it merely reports a past interaction without a persisting state.,0,high,The clause describes a discrete event ('heard') rather than a situation holding continuously across a time span.,1,high,"The clause presents the situation as a single bounded occurrence with a construed endpoint, rather than as ongoing or habitual.",0,high,"The gram 'have heard' asserts a situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",0,high,"The gram 'have heard' is formed with present-tense 'have' followed by a past participle, with no additional modal, future, or progressive marking.",0,high,"The grammatical subject 'You' corresponds to the semantic agent (the one doing the hearing), not the semantic patient, thus it is not passive."
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,1,high,"The clause is morphologically passive, and the lexical verb 'pay' licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",0,high,"The clause is morphologically passive, and the lexical verb licenses an external argument (whether overtly expressed or suppressed).",0,high,"The verb 'have been paid' licenses an internal argument ('paid'), so it does not fit the criteria for ASUnrg.",0,high,"The verb 'have been paid' denotes a punctual change-of-state or boundary transition without a durative process phase, as the payment is received at a specific point in time, not over a duration.",0.0,high,"The event 'have been paid' unfolds over a measurable duration rather than occurring at a single temporal boundary, as it implies a process of receiving payment.",0.0,high,"The situation entails a specific, inherent endpoint or defined result state, as 'paid in full' indicates completion.",0,high,"The event 'have been paid' entails a transition into a new resulting state of being compensated, thus it is not AktSemel.",0,high,"The gram 'have been paid' implies a completed action or event, indicating a change of state rather than a static condition, and the passive voice suggests an external event affecting the subject.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The sentence does not contain any explicit negation of the target gram 'have been paid'.,0.0,high,There is no temporal adverbial of any sort present in the text.,0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, as 'have been paid' implies they received payment and the benefit remains.",0,high,"The clause indicates that the hypocrites have received their reward (praise) in full, but the context suggests that this reward is not currently held or in effect; it's a past event, not a current state.",0,high,The clause describes a completed event (being paid in full) rather than a situation holding continuously across a time span.,1,high,"The gram has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process.",0,high,"The gram asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",1,high,"The gram 'have been paid' includes 'been' followed by a passive participle, indicating a progressive perfect construction.",1,high,"The gram has the form auxiliary 'have' + 'been' + past participle of a transitive verb ('paid'), the grammatical subject ('they') corresponds to the semantic patient, and the clause contains a 'by'-phrase ('by men')."
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,1,high,"The clause is morphologically passive, and the lexical verb licenses both an external argument (agent) and an internal argument (patient), even if the external argument is unexpressed or realised in a 'by'-phrase.",0,high,"The clause is morphologically passive, and the lexical verb 'pay' licenses an external argument (the payer), whether overtly expressed or suppressed.",0,high,The verb 'have been paid' licenses an internal argument ('in full').,0,high,"The verb 'have been paid' denotes a punctual change-of-state or boundary transition without a durative process phase, as the payment is received at a specific point in time.",0.0,high,"The event 'have been paid' does not denote a punctual or near-instantaneous transition into a new state, but rather the completion of a process, and can occur as the complement of 'finish' (e.g., 'They finished being paid').",0.0,high,"The situation entails a specific, inherent endpoint or defined result state, as indicated by 'in full', thus it is not an activity.",0,high,"The event 'have been paid' entails a transition into a new resulting state of being paid, thus it is not AktSemel.",0,high,"The gram 'have been paid' implies a completed action and a change of state, indicating a dynamic event rather than a static condition, thus failing the criteria for AktState.",0,high,"The clause presents the situation as having actually occurred in the actual world, without any indication that it is contrary to fact.",0,high,The sentence does not contain any negation related to the target gram 'have been paid'.,0.0,high,There is no temporal adverbial of any sort present in the text.,0,high,"The verb entails a change of possession or social/legal status that remains in effect at the reference time, so the annotation is 0.",0,high,"The target gram 'have been paid' describes a completed action of payment, but the context does not indicate that the resulting state (e.g., satisfaction, obligation fulfilled) is currently in effect; it simply states that they received their reward in full, thus not instantiating the DtRes feature.",0,high,"The clause describes a completed action ('paid in full') rather than a situation holding continuously across a time span, so DtUniv does not apply.",1,high,"The gram has the form 'have been' + past participle (passive), and the clause asserts a bounded event rather than an ongoing process.",0,high,"The gram asserts the situation as realized in the actual world, and none of the modal, conditional, future, or wish contexts apply.",1,high,"The gram 'have been paid' includes 'been' followed by a passive participle, indicating a progressive perfect construction, which is marked as TLTS.",1,high,"The gram has the form auxiliary 'have' + 'been' + past participle of a transitive verb ('paid'), and the grammatical subject ('they') corresponds to the semantic patient (the entity affected by the event), not the agent, thus instantiating VcPass."
