"verse_id","language","text"
"40003002","ENG","» Repent , for the kingdom of heaven has come near . «"
"40003002","KAT","და იტყოდა : შეინანეთ , რამეთუ მოახლებულ არს სასუფეველი ცათაჲ ."
"40003017","ENG","Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «"
"40003017","KAT","და ჴმაჲ იყო ზეცით და თქუა : ესე არს ძე ჩემი საყუარელი , რომელი მე სათნო-ვიყავ ."
"40005027","ENG","» You have heard it was said , ‘ You should not commit adultery . ’"
"40005027","KAT","გესმა , რამეთუ ითქუა : არა იმრუშო ."
"40005038","ENG","» You have heard it said , an eye for an eye and a tooth for a tooth ."
"40005038","KAT","გესმა , რამეთუ თქუმულ არს : თუალი თუალისა წილ და კბილი კბილისა წილ ."
"40005043","ENG","» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’"
"40005043","KAT","გესმა , რამეთუ თქუმულ არს : შეიყუარო მოყუასი შენი და მოიძულო მტერი შენი ."
"40007028","ENG","When Jesus had finished these words , the crowds were astonished at what he taught ."
"40007028","KAT","და იყო რაჟამს დაასრულნა იესუ სიტყუანი ესე , განუკჳრდებოდა ერსა მას მოძღურებაჲ იგი მისი ,"
"40008029","ENG","They screamed at him , saying : » What have we to do with you , Son of God ? Have you come to torment us before the time ? «"
"40008029","KAT","და ღაღად-ყვეს და იტყოდეს : რაჲ ძეს ჩუენი და შენი , იესუ , ძეო ღმრთისაო ? რამეთუ მოხუედ აქა უწინარეს ჟამისა ტანჯვად ჩეუნდა ."
"40010017","ENG","» Beware of men ! They will take you to court ! They will have you beaten in their meeting places ."
"40010017","KAT","ეკრძალებოდეთ კაცთაგან , რამეთუ მიგცემდენ თქუენ კრებულსა და შორის შესაკრებელთა მათთა გტანჯვიდენ თქუენ ."
"40010023","ENG","» When they persecute you in this city , flee to the next . I tell you ; before you have gone through all the cities of Israel the Son of man will come ."
"40010023","KAT","რაჟამს გდევნიდენ თქუენ ამიერ ქალაქით , მიივლტოდეთ სხუად . ამენ გეტყჳ თქუენ : ვერ დაასრულოთ ქალაქები ისრაჱლისაჲ , ვიდრემდის ძე კაცისაჲ მოვიდეს ."
"40012005","ENG","» Have you read the law that on the Sabbath day the priests in the Temple profane the Sabbath , and are guiltless ?"
"40012005","KAT","ანუ არა აღმოგიკითხავსა შჯულსა , რამეთუ შაბათთა შინა მღდელთა ტაძარსა მას შინა შაბათი შეურაცხ-ყვიან და უბრალო იყვნიან ?"
"40012007","ENG","» If you had known what this means , ‘ I desire mercy and not sacrifice , ’ ’ you would not have condemned the guiltless ."
"40012007","KAT","უკუეთუმცა გეცნა , რაჲ არს : წყალობაჲ მნებავს და არა მსხუერპლი , არამცა დასაჯენით უბრალონი ."
"40012018","ENG","» Look ! My servant whom I have chosen . I am well pleased with him . I will put my Spirit upon him and he will declare judgment to the nations ."
"40012018","KAT","აჰა ესერა ძე ჩემი , რომელი მე სათნო-ვიყავ , საყუარელი ჩემი , რომელი სთნავს სულსა ჩემსა . დავდა სული ჩემი მის ზედა , და სამართალი წარმართთა მიუთხრას ."
"40012028","ENG","» But if I cast out demons by God’s Spirit , then the kingdom of God has come to you ."
"40012028","KAT","უკუეთუ მე სულითა ღმრთისაჲთა განვასხამ ეშმაკთა , მო-სამე-იწია თქუენ ზედა სასუფეველი ღმრთისაჲ ."
"40015006","ENG","» You say there is no need for him to give honor to his father . You have invalidated the word of God because of your tradition !"
"40015006","KAT","და არა პატივ-სცეს მამასა ანუ დედასა თჳსსა , ესევითართა დაუმტკიცებელ ჰყავთ მცნებაჲ ღმრთისაჲ მოძღურებითა თქუენითა ."
"40015032","ENG","Jesus called his disciples and said : » I feel compassion for the people , because they have remained with me now three days and have nothing to eat . I do not want to send them away hungry , for they might faint on the way . «"
"40015032","KAT","ხოლო იესუ მოუწოდა მოწაფეთა თჳსთა და ჰრქუა მათ : მეწყალის ერი ესე , რამეთუ აჰა ესერა სამი დღე არს , და მელიან მე და არარაჲ აქუს , რაჲმცა ჭამეს ; და განტევებაჲ მათი უზმთაჲ არა მნებავს , ნუუკუე დაცჳვენ გზასა ზედა ."
"40017012","ENG","» I tell you that Elijah has come . They did not know him and treated him badly as they pleased . They will do the same with the Son of man . «"
"40017012","KAT","ხოლო გეტყჳ თქუენ , რამეთუ ელია აწვე მოვიდა , და არა იცნეს იგი , არამედ უყვეს მას , რაოდენი უნდა . და ეგრეთვე ძესაცა კაცისასა ეგულების ვნებად მათგან ."
"40018012","ENG","» What do you think ? A man has a hundred sheep , and one of them has gone wandering away . Will he leave the ninety-nine and go in search of the wandering one ?"
"40018012","KAT","ვითარ ჰგონებთ თქუენ : კაცსა თუ ვისმე ედგას ასი ცხოვარი და შეცსთეს ერთი მათგანი , არამე დაუტევნესა და ოთხმეოც და ათცხრამეტნი იგი მთათა ზედა და წარვიდეს და მოიძიოს შეცთომილი იგი ?"
"40019004","ENG","He answered : » Have you not read , that he who made them from the beginning made them male and female ?"
"40019004","KAT","ხოლო იესუ მიუგო და ჰრქუა მათ : არა აღმოგიკითხავსა , რამეთუ რომელმან დაჰბადა დასაბამსა , მამაკაცად და დედაკაცად შექმნნა იგინი ?"
"40019012","ENG","» For there are men who , from birth , were without sex . There are some who were made that way by men . There are others who have made themselves so for the kingdom of heaven . He who is able to accept this let him accept it . «"
"40019012","KAT","რამეთუ არიან საჭურისნი , რომელნი მუცლითგან დედისა თჳსისაჲთ საჭურისნი იშვნეს ; და არიან საჭურისნი , რომელნი კაცთაგან გამოისაჭურისნეს ; და არიან საჭურისნი , რომელთა გამოისაჭურისნეს თავნი თჳსნი სასუფეველისათჳს ცათაჲსა . რომელი შემძლებელ არს დატევნად , დაიტიენ ."
"40019028","ENG","Jesus replied : » Truly I say to you , when all things are made new , and the Son of man is seated in his glory , you who have come after me will be seated on twelve seats , judging the twelve tribes of Israel ."
"40019028","KAT","ხოლო იესუ ჰრქუა მათ : ამენ გეტყჳ თქუენ , რამეთუ თქუენ , რომელნი-ეგე შემომიდეგით მე , მერმესა მას შობასა , რაჟამს დაჯდეს ძე კაცისაჲ საყდართა დიდებისა თჳსისათა , დასხდეთ თქუენცა ათორმეტთა საყდართა განსჯად ათორმეტთა ტომთა ისრაჱლისათა ."
"40020012","ENG","» They said : ‘ The last ones have done only one hour’s work . You have made them equal to us . We have undergone the hard work of the day and the burning heat . ’"
"40020012","KAT","და იტყოდეს , ვითარმედ : უკუანაჲსკნელთა მათ ერთი ხოლო ჟამი დაყვეს , და სწორ ჩუენდა ჰყუენ იგინი , რომელთა ვიტჳრთეთ სიმძიმე დღისაჲ და სიცხე ."
"40021042","ENG","Jesus said to them : » Have you read the Scriptures , ‘ The stone the builders rejected has been made the chief cornerstone of the building . This was Jehovah’s doing , and it is wonderful in our eyes . ’"
"40021042","KAT","ჰრქუა მათ იესუ არასადა აღმოგიკითხავსა წიგნთა შინა : ლოდი , რომელ შეურაცხ-ყვეს მაშენებელთა , ესე იქმნა თავ კიდეთა . უფლისა მიერ იყო ესე და არს საკჳრველ წინაშე თუალთა ჩუენთა ."
"40022031","ENG","» Concerning the resurrection of the dead , have you read that which was spoken to you by God ?"
"40022031","KAT","ხოლო აღდგომისათჳს მკუდართასა არა აღმოგიკითხავსა თქუმული იგი ღმრთისამიერი , რომელსა იტყჳს :"
"40022034","ENG","The Pharisees assembled together when they heard that he had put the Sadducees to silence ."
"40022034","KAT","ხოლო ფარისეველთა რაჲ ესმა , რამეთუ დაუყო პირი სადუკეველთა მათ , შეკრბეს ერთად ."
"40023023","ENG","» Woe to you , scribes and Pharisees , hypocrites ! You tithe mint and dill and cumin , and have left undone the weightier matters of the law : justice , mercy and faith . You should do both and leave nothing undone ."
"40023023","KAT","ვაჲ თქუენდა , მწიგნობარნო და ფარისეველნო ორგულნო , რამეთუ ათეულსა მიიღებთ პიტნაკისასა და ცერეცოჲსასა და ძირაკისასა და დაგიტევებიეს უმძიმესი შჯულისაჲ : სამართალი და წყალობაჲ და სარწმუნოებაჲ . ესე ჯერ-იყო საქმედ და იგი არა დატევებად ."
"40023030","ENG","» You claim that you would not have been involved with your fathers when they spilled the blood of the prophets ."
