TokenID,language,paradigm,mode,gold,pred,correct,DtExp,DtRes,DtUniv,DtDTAM,TLTS,TLAspPfv,TLMdIrr,ClNegPol,ClCntfcl,VcPass,ASTrns,ASUnrg,ASUncc,AktState,AktAct,AktAcc,AktAch
43008029,eng,participle,binary,1,1,True,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
43011017,eng,participle,binary,1,1,True,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
42023015,eng,participle,binary,1,1,True,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
42001068b,eng,participle,binary,1,1,True,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
43009022,eng,participle,binary,1,1,True,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
40005027,eng,participle,binary,1,1,True,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
40011023b,eng,participle,binary,1,1,True,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0
42011020,eng,participle,binary,1,1,True,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
40028020,eng,participle,binary,1,1,True,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
43001018,eng,participle,binary,1,1,True,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
43007046,eng,participle,binary,1,1,True,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
41010009,eng,participle,binary,1,1,True,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
42015032,eng,participle,binary,1,1,True,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
42001068a,eng,participle,binary,1,1,True,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
40011021b,eng,participle,binary,1,1,True,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0
40009033,eng,participle,binary,1,1,True,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
43011037,eng,participle,binary,1,1,True,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0
42024018,eng,participle,binary,1,1,True,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
42010013b,eng,participle,binary,1,1,True,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1
42008048,eng,participle,binary,1,1,True,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
41005032,eng,participle,binary,1,1,True,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
40018013a,eng,participle,binary,1,1,True,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1
42015027,eng,participle,binary,1,1,True,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
42014022,eng,participle,binary,1,1,True,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
40006005,eng,participle,binary,1,1,True,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
42023022a,eng,participle,binary,1,1,True,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
41014021b,eng,participle,binary,1,1,True,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1
40019006,eng,participle,binary,1,1,True,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
42004006,eng,participle,binary,1,1,True,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
43007031,eng,participle,binary,1,1,True,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
40019027,eng,participle,binary,1,1,True,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
43005033,eng,participle,binary,1,1,True,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
40013051,eng,participle,binary,1,1,True,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
42010013a,eng,participle,binary,1,1,True,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0
42024034,eng,participle,binary,1,1,True,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
42001049,eng,participle,binary,1,1,True,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
42023008,eng,participle,binary,1,1,True,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
40018031,eng,participle,binary,1,1,True,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
41016008,eng,participle,binary,1,1,True,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
42016011,eng,participle,binary,1,1,True,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
43005045,eng,participle,binary,1,1,True,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
40011023a,eng,participle,binary,1,1,True,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0
43007030,eng,participle,binary,1,1,True,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
41005034,eng,participle,binary,1,1,True,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
