TokenID,FullText,Target,run_id,provider,model_name,feature_name_x,annotation,confidence,explanation,feature_name_y,error
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,20260307T055056Z_56416115,gemini,gemini-2.0-flash-001,AktState,0.0,high,"The gram 'had been promised' is morphologically marked as progressive, which entails dynamic unfolding and is incompatible with stative readings.",AktState,
40001024,"When Joseph woke up , he did what the angel of God had commanded him to do . He took Mary to be his wife .",had commanded,20260307T055056Z_56416115,gemini,gemini-2.0-flash-001,AktState,0.0,high,"The verb 'had commanded' denotes a bounded event involving a change of state (from not commanded to commanded), which is incompatible with the AktState feature.",AktState,
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,20260307T055056Z_56416115,gemini,gemini-2.0-flash-001,AktState,0.0,high,"The phrase 'has come near' denotes a change-of-state or event boundary, indicating dynamic change rather than a static condition, thus it is not AktState.",AktState,
40003017,Then a voice from heaven said : » This is my Son whom I love and whom I have approved . «,have approved,20260307T055056Z_56416115,gemini,gemini-2.0-flash-001,AktState,0.0,high,"The verb 'have approved' denotes a bounded perceptual or cognitive event marking the completion of awareness, which encodes eventive change rather than a static condition.",AktState,
40004012,Jesus heard that John had been arrested . So Jesus withdrew to Galilee .,had been arrested,20260307T055056Z_56416115,gemini,gemini-2.0-flash-001,AktState,0.0,high,"The gram 'had been arrested' is morphologically marked as progressive, entailing dynamic unfolding and is incompatible with stative readings.",AktState,
40005027,"» You have heard it was said , ‘ You should not commit adultery . ’",have heard,20260307T055056Z_56416115,gemini,gemini-2.0-flash-001,AktState,0.0,high,"The verb 'have heard' denotes a bounded perceptual or cognitive event marking the onset or completion of awareness, which encodes eventive change rather than a static condition.",AktState,
40005038,"» You have heard it said , an eye for an eye and a tooth for a tooth .",have heard,20260307T055056Z_56416115,gemini,gemini-2.0-flash-001,AktState,0.0,high,"The verb 'have heard' denotes a bounded perceptual event marking the completion of awareness, which encodes eventive change rather than a static condition.",AktState,
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,20260307T055056Z_56416115,gemini,gemini-2.0-flash-001,AktState,0.0,high,"The verb 'have heard' denotes a bounded perceptual event marking the completion of awareness, which encodes eventive change rather than a static condition.",AktState,
40006002,"» Do not loudly announce it when you give to the poor . The hypocrites do this in the houses of worship and on the streets . They do this to be praised by men . Believe me , they have already been paid in full .",have been paid,20260307T055056Z_56416115,gemini,gemini-2.0-flash-001,AktState,0.0,high,"The gram 'have been paid' is morphologically marked as progressive, entailing dynamic unfolding and is incompatible with stative readings.",AktState,
40006005,» Do not pray like the hypocrites ! They want everyone to see them in the houses of worship and on the street corners . I assure you they have been paid in full .,have been paid,20260307T055056Z_56416115,gemini,gemini-2.0-flash-001,AktState,0.0,high,"The gram 'have been paid' is morphologically marked as progressive, entailing dynamic unfolding and is incompatible with stative readings.",AktState,
